open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
44.9,45.12,44.9,45.11,19714.0,44.994,1672767000000,371,,2023-01-03 09:30:00-08:00
45.09,45.14,45.055,45.1,28516.0,45.1062,1672767300000,392,,2023-01-03 09:35:00-08:00
45.0399,45.0399,44.79,44.845,35060.0,44.8765,1672767600000,403,,2023-01-03 09:40:00-08:00
44.83,44.83,44.65,44.745,28480.0,44.7246,1672767900000,340,,2023-01-03 09:45:00-08:00
44.77,44.81,44.77,44.79,16438.0,44.7914,1672768200000,257,,2023-01-03 09:50:00-08:00
44.79,44.885,44.75,44.85,12094.0,44.8172,1672768500000,199,,2023-01-03 09:55:00-08:00
44.87,44.885,44.75,44.815,12870.0,44.8072,1672768800000,277,,2023-01-03 10:00:00-08:00
44.815,44.86,44.81,44.845,17435.0,44.8397,1672769100000,187,,2023-01-03 10:05:00-08:00
44.83,44.883,44.79,44.81,11321.0,44.834,1672769400000,221,,2023-01-03 10:10:00-08:00
44.79,44.86,44.77,44.795,10252.0,44.8026,1672769700000,223,,2023-01-03 10:15:00-08:00
44.7942,44.8,44.7,44.77,28913.0,44.7407,1672770000000,339,,2023-01-03 10:20:00-08:00
44.77,45.0299,44.77,44.92,29330.0,44.9254,1672770300000,416,,2023-01-03 10:25:00-08:00
44.9,44.9,44.75,44.75,13815.0,44.8402,1672770600000,289,,2023-01-03 10:30:00-08:00
44.7503,44.85,44.7,44.73,20588.0,44.7783,1672770900000,349,,2023-01-03 10:35:00-08:00
44.72,44.76,44.7,44.735,13713.0,44.7395,1672771200000,237,,2023-01-03 10:40:00-08:00
44.7,44.7,44.6,44.65,20083.0,44.6515,1672771500000,298,,2023-01-03 10:45:00-08:00
44.65,44.7691,44.61,44.73,36177.0,44.65,1672771800000,347,,2023-01-03 10:50:00-08:00
44.735,44.8,44.72,44.765,21357.0,44.7733,1672772100000,330,,2023-01-03 10:55:00-08:00
44.7869,44.82,44.71,44.74,17624.0,44.7465,1672772400000,369,,2023-01-03 11:00:00-08:00
44.75,44.76,44.61,44.615,16069.0,44.6713,1672772700000,342,,2023-01-03 11:05:00-08:00
44.6001,44.615,44.445,44.57,24644.0,44.5204,1672773000000,457,,2023-01-03 11:10:00-08:00
44.581,44.649,44.581,44.6,12878.0,44.6086,1672773300000,235,,2023-01-03 11:15:00-08:00
