open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
18.23,18.232,18.23,18.232,325.0,18.2314,1672767000000,3,,2023-01-03 09:30:00-08:00
18.2399,18.2399,18.2399,18.2399,663.0,18.2399,1672767300000,1,,2023-01-03 09:35:00-08:00
18.23,18.24,18.23,18.24,562.0,18.2364,1672767600000,5,,2023-01-03 09:40:00-08:00
18.245,18.245,18.2258,18.2288,2303.0,18.2297,1672767900000,7,,2023-01-03 09:45:00-08:00
18.24,18.24,18.23,18.235,2625.0,18.2374,1672768200000,12,,2023-01-03 09:50:00-08:00
18.23,18.24,18.2269,18.24,660.0,18.2307,1672768500000,6,,2023-01-03 09:55:00-08:00
18.2401,18.2401,18.2401,18.2401,150.0,18.2401,1672768800000,1,,2023-01-03 10:00:00-08:00
18.235,18.235,18.235,18.235,156.0,18.235,1672769100000,1,,2023-01-03 10:05:00-08:00
18.24,18.25,18.235,18.25,12800.0,18.2493,1672769400000,5,,2023-01-03 10:10:00-08:00
18.24,18.24,18.24,18.24,800.0,18.24,1672769700000,3,,2023-01-03 10:15:00-08:00
18.24,18.24,18.238,18.238,500.0,18.2392,1672770000000,3,,2023-01-03 10:20:00-08:00
18.25,18.255,18.25,18.255,2005.0,18.2505,1672770300000,5,,2023-01-03 10:25:00-08:00
18.25,18.25,18.25,18.25,302.0,18.25,1672770600000,3,,2023-01-03 10:30:00-08:00
18.245,18.25,18.245,18.25,1971.0,18.2465,1672770900000,6,,2023-01-03 10:35:00-08:00
18.245,18.245,18.2443,18.2443,11000.0,18.2444,1672771500000,2,,2023-01-03 10:45:00-08:00
18.25,18.255,18.25,18.255,2260.0,18.2506,1672772100000,5,,2023-01-03 10:55:00-08:00
18.2413,18.248,18.2413,18.248,3910.0,18.2448,1672772400000,6,,2023-01-03 11:00:00-08:00
18.235,18.235,18.235,18.235,457.0,18.235,1672773600000,2,,2023-01-03 11:20:00-08:00
18.2299,18.2299,18.2299,18.2299,1000.0,18.2299,1672773900000,1,,2023-01-03 11:25:00-08:00
18.2231,18.2231,18.2231,18.2231,575.0,18.2232,1672774200000,2,,2023-01-03 11:30:00-08:00
18.225,18.2287,18.225,18.2287,400.0,18.2278,1672774500000,2,,2023-01-03 11:35:00-08:00
18.23,18.235,18.225,18.235,450.0,18.2305,1672774800000,4,,2023-01-03 11:40:00-08:00
18.235,18.235,18.2301,18.2301,1669.0,18.2341,1672775100000,10,,2023-01-03 11:45:00-08:00
18.245,18.245,18.245,18.245,220.0,18.2445,1672775400000,3,,2023-01-03 11:50:00-08:00
18.245,18.245,18.245,18.245,100.0,18.245,1672775700000,1,,2023-01-03 11:55:00-08:00
18.245,18.245,18.245,18.245,1043.0,18.245,1672776000000,3,,2023-01-03 12:00:00-08:00
18.245,18.25,18.24,18.25,4050.0,18.2493,1672776600000,8,,2023-01-03 12:10:00-08:00
