open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.2692,1.2692,1.2692,1.2692,100,1.2692,1672769100000,1,,2023-01-03 10:05:00-08:00
1.23,1.23,1.23,1.23,121,1.2302,1672776300000,3,,2023-01-03 12:05:00-08:00
1.24,1.26,1.24,1.26,4518,1.2593,1672776900000,8,,2023-01-03 12:15:00-08:00
1.3665,1.3665,1.3665,1.3665,100,1.3665,1672942500000,1,,2023-01-05 10:15:00-08:00
1.34,1.34,1.3141,1.3141,965,1.3172,1672947900000,3,,2023-01-05 11:45:00-08:00
1.32,1.321,1.32,1.321,333,1.3206,1672949100000,2,,2023-01-05 12:05:00-08:00
1.3543,1.3543,1.3543,1.3543,300,1.3543,1673026800000,1,,2023-01-06 09:40:00-08:00
1.415,1.415,1.415,1.415,100,1.415,1673029500000,1,,2023-01-06 10:25:00-08:00
1.44,1.44,1.44,1.44,220,1.44,1673030700000,3,,2023-01-06 10:45:00-08:00
1.4123,1.4123,1.4123,1.4123,300,1.4123,1673035500000,1,,2023-01-06 12:05:00-08:00
1.43,1.43,1.43,1.43,1001,1.43,1673286000000,3,,2023-01-09 09:40:00-08:00
1.47,1.47,1.47,1.47,3600,1.47,1673288100000,1,,2023-01-09 10:15:00-08:00
1.41,1.41,1.41,1.41,100,1.41,1673288400000,1,,2023-01-09 10:20:00-08:00
1.435,1.435,1.435,1.435,520,1.435,1673288700000,1,,2023-01-09 10:25:00-08:00
1.4,1.4,1.4,1.4,100,1.4,1673294700000,1,,2023-01-09 12:05:00-08:00
1.38,1.38,1.38,1.38,101,1.38,1673383800000,2,,2023-01-10 12:50:00-08:00
1.39,1.39,1.39,1.39,271,1.39,1673384100000,1,,2023-01-10 12:55:00-08:00
1.38,1.38,1.38,1.38,392,1.382,1673460600000,4,,2023-01-11 10:10:00-08:00
1.37,1.37,1.37,1.37,250,1.3702,1673460900000,3,,2023-01-11 10:15:00-08:00
1.35,1.35,1.35,1.35,142,1.347,1673461500000,2,,2023-01-11 10:25:00-08:00
1.3,1.3,1.28,1.28,1564,1.285,1673462400000,16,,2023-01-11 10:40:00-08:00
1.3799,1.3799,1.3799,1.3799,710,1.3799,1673470500000,1,,2023-01-11 12:55:00-08:00
1.38,1.38,1.38,1.38,1275,1.38,1673545800000,4,,2023-01-12 09:50:00-08:00
1.42,1.42,1.42,1.42,102,1.42,1673546400000,2,,2023-01-12 10:00:00-08:00
1.3935,1.3935,1.3935,1.3935,1281,1.3935,1673546700000,2,,2023-01-12 10:05:00-08:00
1.415,1.415,1.395,1.395,400,1.405,1673548200000,3,,2023-01-12 10:30:00-08:00
1.385,1.385,1.385,1.385,100,1.385,1673548500000,1,,2023-01-12 10:35:00-08:00
1.38,1.38,1.38,1.38,454,1.38,1673549400000,6,,2023-01-12 10:50:00-08:00
1.38,1.38,1.38,1.38,100,1.38,1673552100000,1,,2023-01-12 11:35:00-08:00
1.37,1.37,1.37,1.37,200,1.37,1673553000000,1,,2023-01-12 11:50:00-08:00
1.35,1.35,1.35,1.35,130,1.3519,1673555700000,5,,2023-01-12 12:35:00-08:00
1.38,1.38,1.38,1.38,100,1.38,1673983800000,1,,2023-01-17 11:30:00-08:00
1.4,1.4,1.4,1.4,150,1.4,1674064500000,1,,2023-01-18 09:55:00-08:00
1.424,1.424,1.42,1.42,267,1.4225,1674064800000,2,,2023-01-18 10:00:00-08:00
1.43,1.43,1.43,1.43,220,1.4236,1674069000000,3,,2023-01-18 11:10:00-08:00
1.36,1.36,1.36,1.36,100,1.36,1674071100000,1,,2023-01-18 11:45:00-08:00
1.37,1.37,1.37,1.37,348,1.37,1674073200000,2,,2023-01-18 12:20:00-08:00
1.375,1.375,1.375,1.375,120,1.3708,1674074100000,2,,2023-01-18 12:35:00-08:00
1.43,1.43,1.43,1.43,220,1.4236,1674075000000,3,,2023-01-18 12:50:00-08:00
1.4,1.4,1.4,1.4,185,1.4,1674150600000,2,,2023-01-19 09:50:00-08:00
1.4,1.4,1.4,1.4,100,1.4,1674151500000,1,,2023-01-19 10:05:00-08:00
1.4,1.4,1.4,1.4,100,1.4,1674153300000,1,,2023-01-19 10:35:00-08:00
1.4,1.4,1.4,1.4,2100,1.4,1674154500000,2,,2023-01-19 10:55:00-08:00
1.4,1.4,1.4,1.4,700,1.4,1674154800000,1,,2023-01-19 11:00:00-08:00
1.37,1.37,1.37,1.37,100,1.37,1674155700000,1,,2023-01-19 11:15:00-08:00
1.385,1.4,1.385,1.4,300,1.395,1674157500000,2,,2023-01-19 11:45:00-08:00
1.37,1.37,1.37,1.37,100,1.37,1674158100000,1,,2023-01-19 11:55:00-08:00
1.35,1.35,1.35,1.35,300,1.35,1674161700000,3,,2023-01-19 12:55:00-08:00
1.42,1.42,1.42,1.42,101,1.42,1674235800000,2,,2023-01-20 09:30:00-08:00
1.42,1.42,1.42,1.42,100,1.42,1674238200000,1,,2023-01-20 10:10:00-08:00
1.41,1.41,1.41,1.41,156,1.4064,1674240300000,2,,2023-01-20 10:45:00-08:00
1.38,1.38,1.38,1.38,102,1.38,1674241800000,2,,2023-01-20 11:10:00-08:00
1.38,1.38,1.38,1.38,200,1.38,1674245400000,2,,2023-01-20 12:10:00-08:00
1.43,1.43,1.43,1.43,1000,1.43,1674245700000,1,,2023-01-20 12:15:00-08:00
1.37,1.37,1.37,1.37,190,1.37,1674246600000,1,,2023-01-20 12:30:00-08:00
1.41,1.41,1.41,1.41,100,1.41,1674496200000,1,,2023-01-23 09:50:00-08:00
1.41,1.41,1.41,1.41,100,1.41,1674497700000,1,,2023-01-23 10:15:00-08:00
1.4041,1.4041,1.4041,1.4041,113,1.4041,1674498600000,1,,2023-01-23 10:30:00-08:00
1.4,1.4,1.4,1.4,100,1.4,1674500700000,1,,2023-01-23 11:05:00-08:00
