open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
12.43,12.47,12.43,12.47,1563,12.4565,1672767000000,16,,2023-01-03 09:30:00-08:00
12.4962,12.4962,12.485,12.485,520,12.491,1672767300000,5,,2023-01-03 09:35:00-08:00
12.47,12.47,12.47,12.47,592,12.469,1672767600000,14,,2023-01-03 09:40:00-08:00
12.425,12.425,12.425,12.425,285,12.4267,1672767900000,5,,2023-01-03 09:45:00-08:00
12.425,12.44,12.3818,12.3818,2481,12.4177,1672768500000,39,,2023-01-03 09:55:00-08:00
12.345,12.345,12.345,12.345,100,12.345,1672768800000,1,,2023-01-03 10:00:00-08:00
12.345,12.36,12.345,12.36,1404,12.3573,1672769100000,27,,2023-01-03 10:05:00-08:00
12.37,12.38,12.34,12.34,694,12.3614,1672769400000,16,,2023-01-03 10:10:00-08:00
12.375,12.39,12.375,12.39,417,12.3852,1672770300000,6,,2023-01-03 10:25:00-08:00
12.41,12.45,12.41,12.45,807,12.4136,1672770600000,21,,2023-01-03 10:30:00-08:00
12.45,12.45,12.45,12.45,100,12.45,1672770900000,1,,2023-01-03 10:35:00-08:00
12.41,12.44,12.41,12.44,442,12.4206,1672771200000,6,,2023-01-03 10:40:00-08:00
12.41,12.42,12.41,12.42,850,12.4135,1672771500000,13,,2023-01-03 10:45:00-08:00
12.4234,12.4234,12.4234,12.4234,155,12.4222,1672771800000,2,,2023-01-03 10:50:00-08:00
12.46,12.46,12.42,12.42,886,12.4422,1672773600000,16,,2023-01-03 11:20:00-08:00
12.42,12.42,12.42,12.42,200,12.415,1672773900000,3,,2023-01-03 11:25:00-08:00
12.4,12.4,12.35,12.36,3472,12.3915,1672774200000,39,,2023-01-03 11:30:00-08:00
12.3799,12.38,12.3799,12.38,925,12.3777,1672774500000,17,,2023-01-03 11:35:00-08:00
12.395,12.395,12.395,12.395,323,12.3868,1672774800000,7,,2023-01-03 11:40:00-08:00
12.41,12.41,12.39,12.41,400,12.4,1672775100000,4,,2023-01-03 11:45:00-08:00
12.39,12.39,12.39,12.39,238,12.3904,1672775400000,7,,2023-01-03 11:50:00-08:00
12.42,12.42,12.37,12.37,551,12.3904,1672776000000,11,,2023-01-03 12:00:00-08:00
12.345,12.36,12.345,12.35,791,12.3581,1672776300000,13,,2023-01-03 12:05:00-08:00
12.365,12.365,12.365,12.365,233,12.3629,1672776600000,3,,2023-01-03 12:10:00-08:00
12.38,12.4,12.38,12.4,769,12.386,1672776900000,18,,2023-01-03 12:15:00-08:00
12.41,12.41,12.35,12.35,633,12.3785,1672777200000,18,,2023-01-03 12:20:00-08:00
12.35,12.37,12.35,12.365,540,12.3652,1672777500000,12,,2023-01-03 12:25:00-08:00
12.365,12.38,12.36,12.36,391,12.3679,1672777800000,7,,2023-01-03 12:30:00-08:00
12.36,12.36,12.36,12.36,217,12.36,1672778100000,5,,2023-01-03 12:35:00-08:00
12.35,12.38,12.35,12.38,1084,12.378,1672778700000,28,,2023-01-03 12:45:00-08:00
12.35,12.35,12.31,12.35,4912,12.3336,1672779000000,108,,2023-01-03 12:50:00-08:00
12.33,12.34,12.27,12.29,4087,12.3029,1672779300000,97,,2023-01-03 12:55:00-08:00
12.31,12.31,12.31,12.31,346,12.31,1672779600000,1,,2023-01-03 13:00:00-08:00
12.465,12.465,12.465,12.465,100,12.465,1672853400000,1,,2023-01-04 09:30:00-08:00
12.475,12.475,12.475,12.475,576,12.4777,1672854300000,16,,2023-01-04 09:45:00-08:00
12.44,12.445,12.44,12.445,1099,12.4427,1672855200000,14,,2023-01-04 10:00:00-08:00
12.445,12.48,12.445,12.46,838,12.4594,1672855800000,12,,2023-01-04 10:10:00-08:00
12.46,12.47,12.46,12.47,300,12.4633,1672856100000,2,,2023-01-04 10:15:00-08:00
12.47,12.47,12.47,12.47,120,12.4692,1672856400000,3,,2023-01-04 10:20:00-08:00
12.465,12.505,12.465,12.505,746,12.4861,1672857000000,20,,2023-01-04 10:30:00-08:00
12.505,12.525,12.505,12.525,924,12.519,1672857300000,19,,2023-01-04 10:35:00-08:00
12.525,12.55,12.525,12.54,808,12.5385,1672857900000,20,,2023-01-04 10:45:00-08:00
12.56,12.56,12.555,12.555,661,12.5523,1672858200000,21,,2023-01-04 10:50:00-08:00
12.555,12.555,12.555,12.555,300,12.555,1672858500000,2,,2023-01-04 10:55:00-08:00
12.555,12.6,12.53,12.53,811,12.5561,1672858800000,21,,2023-01-04 11:00:00-08:00
12.545,12.545,12.545,12.545,200,12.545,1672859400000,1,,2023-01-04 11:10:00-08:00
12.545,12.56,12.545,12.56,320,12.5534,1672859700000,3,,2023-01-04 11:15:00-08:00
12.565,12.565,12.565,12.565,173,12.566,1672860000000,4,,2023-01-04 11:20:00-08:00
12.56,12.56,12.53,12.535,629,12.5403,1672860300000,12,,2023-01-04 11:25:00-08:00
12.5148,12.54,12.5148,12.54,700,12.5311,1672860600000,8,,2023-01-04 11:30:00-08:00
12.54,12.54,12.54,12.54,200,12.54,1672861200000,1,,2023-01-04 11:40:00-08:00
12.57,12.57,12.5,12.51,2897,12.5264,1672861500000,41,,2023-01-04 11:45:00-08:00
12.5,12.5,12.475,12.49,7052,12.4914,1672861800000,77,,2023-01-04 11:50:00-08:00
12.46,12.55,12.46,12.54,5743,12.4978,1672862100000,96,,2023-01-04 11:55:00-08:00
12.585,12.62,12.571,12.571,978,12.5889,1672862400000,12,,2023-01-04 12:00:00-08:00
12.62,12.62,12.62,12.62,300,12.62,1672862700000,3,,2023-01-04 12:05:00-08:00
12.62,12.62,12.62,12.62,536,12.62,1672863300000,12,,2023-01-04 12:15:00-08:00
12.615,12.615,12.6,12.6,400,12.6075,1672863600000,3,,2023-01-04 12:20:00-08:00
12.63,12.63,12.63,12.63,480,12.628,1672864200000,5,,2023-01-04 12:30:00-08:00
12.63,12.63,12.6,12.6,322,12.6195,1672864500000,4,,2023-01-04 12:35:00-08:00
12.6,12.6,12.57,12.57,865,12.5864,1672864800000,24,,2023-01-04 12:40:00-08:00
12.57,12.59,12.53,12.53,2802,12.5599,1672865100000,40,,2023-01-04 12:45:00-08:00
12.58,12.63,12.58,12.63,1090,12.6173,1672865400000,16,,2023-01-04 12:50:00-08:00
12.65,12.71,12.64,12.68,3555,12.6861,1672865700000,76,,2023-01-04 12:55:00-08:00
