open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.83,5.83,5.7,5.7,432,5.7302,1701970200000,6,,2023-12-07 09:30:00-08:00
5.7,5.7,5.6,5.6,500,5.6414,1701970500000,5,,2023-12-07 09:35:00-08:00
5.7,5.7,5.6,5.65,1319,5.6658,1701971100000,10,,2023-12-07 09:45:00-08:00
5.43,5.43,5.43,5.43,530,5.4431,1701973200000,6,,2023-12-07 10:20:00-08:00
5.51,5.51,4.82,4.82,4410,5.2681,1701973500000,58,,2023-12-07 10:25:00-08:00
5.0,5.0,4.9841,4.9841,815,4.9941,1701973800000,16,,2023-12-07 10:30:00-08:00
5.0,5.35,5.0,5.35,503,5.2407,1701974100000,7,,2023-12-07 10:35:00-08:00
5.6,5.6,5.6,5.6,328,5.6003,1701974400000,9,,2023-12-07 10:40:00-08:00
6.16,6.2,5.4,5.72,1780,5.8576,1701975000000,28,,2023-12-07 10:50:00-08:00
5.69,5.69,5.28,5.28,1634,5.4696,1701975300000,17,,2023-12-07 10:55:00-08:00
5.67,5.67,5.45,5.45,900,5.5442,1701976800000,16,,2023-12-07 11:20:00-08:00
5.33,5.48,5.33,5.48,604,5.3733,1701977100000,8,,2023-12-07 11:25:00-08:00
5.32,5.32,5.32,5.32,601,5.32,1701977400000,2,,2023-12-07 11:30:00-08:00
5.3,5.3,5.2,5.3,1244,5.2857,1701978000000,19,,2023-12-07 11:40:00-08:00
5.29,5.29,5.29,5.29,272,5.29,1701978300000,1,,2023-12-07 11:45:00-08:00
5.29,5.5,5.2,5.2,876,5.3549,1701978600000,10,,2023-12-07 11:50:00-08:00
5.23,5.23,5.0,5.0,984,5.0865,1701978900000,14,,2023-12-07 11:55:00-08:00
4.98,5.0994,4.98,5.0994,203,5.0376,1701979500000,3,,2023-12-07 12:05:00-08:00
4.8,4.8,4.8,4.8,616,4.7868,1701980100000,11,,2023-12-07 12:15:00-08:00
