open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.42,2.42,2.42,2.42,100,2.42,1672767600000,1,,2023-01-03 09:40:00-08:00
2.42,2.42,2.42,2.42,224,2.4199,1672778700000,2,,2023-01-03 12:45:00-08:00
2.49,2.49,2.49,2.49,100,2.49,1672854900000,1,,2023-01-04 09:55:00-08:00
2.48,2.48,2.48,2.48,122,2.48,1672855200000,2,,2023-01-04 10:00:00-08:00
2.4002,2.4003,2.4002,2.4003,400,2.4002,1672864200000,2,,2023-01-04 12:30:00-08:00
2.43,2.43,2.43,2.43,194,2.4494,1672864800000,2,,2023-01-04 12:40:00-08:00
2.4401,2.4401,2.4401,2.4401,300,2.4401,1673034600000,1,,2023-01-06 11:50:00-08:00
2.57,2.58,2.57,2.58,300,2.5733,1673297400000,3,,2023-01-09 12:50:00-08:00
2.58,2.58,2.58,2.58,2000,2.58,1673374500000,3,,2023-01-10 10:15:00-08:00
2.46,2.5684,2.46,2.5684,319,2.511,1673377500000,2,,2023-01-10 11:05:00-08:00
2.52,2.52,2.505,2.52,1122,2.5183,1673466300000,5,,2023-01-11 11:45:00-08:00
2.5,2.52,2.5,2.5,695,2.5113,1673470500000,13,,2023-01-11 12:55:00-08:00
2.49,2.49,2.49,2.49,100,2.49,1673550000000,1,,2023-01-12 11:00:00-08:00
2.4999,2.4999,2.49,2.49,2421,2.4982,1673550300000,7,,2023-01-12 11:05:00-08:00
2.49,2.49,2.49,2.49,100,2.49,1673550900000,1,,2023-01-12 11:15:00-08:00
2.52,2.52,2.52,2.52,197,2.5167,1673635500000,4,,2023-01-13 10:45:00-08:00
2.51,2.51,2.51,2.51,200,2.51,1673635800000,2,,2023-01-13 10:50:00-08:00
2.6,2.6,2.6,2.6,320,2.5994,1674063300000,3,,2023-01-18 09:35:00-08:00
2.59,2.63,2.59,2.63,407,2.6141,1674070800000,5,,2023-01-18 11:40:00-08:00
2.59,2.6,2.59,2.6,400,2.595,1674153300000,5,,2023-01-19 10:35:00-08:00
2.53,2.58,2.48,2.58,5017,2.5003,1674161100000,22,,2023-01-19 12:45:00-08:00
2.49,2.58,2.49,2.58,294,2.5526,1674161400000,3,,2023-01-19 12:50:00-08:00
2.49,2.57,2.46,2.47,700,2.4843,1674161700000,7,,2023-01-19 12:55:00-08:00
2.45,2.5,2.37,2.49,3643,2.4304,1674238500000,24,,2023-01-20 10:15:00-08:00
2.4241,2.49,2.4241,2.445,1106,2.4466,1674242100000,8,,2023-01-20 11:15:00-08:00
2.48,2.5,2.48,2.5,400,2.4864,1674243000000,4,,2023-01-20 11:30:00-08:00
2.38,2.38,2.38,2.38,100,2.38,1674497700000,1,,2023-01-23 10:15:00-08:00
2.4,2.4,2.4,2.4,416,2.4,1674498600000,1,,2023-01-23 10:30:00-08:00
2.4,2.49,2.4,2.49,2104,2.4153,1674501000000,7,,2023-01-23 11:10:00-08:00
2.46,2.51,2.46,2.51,205,2.4854,1674505800000,3,,2023-01-23 12:30:00-08:00
2.4723,2.52,2.4723,2.5187,528,2.5093,1674506100000,6,,2023-01-23 12:35:00-08:00
2.51,2.56,2.51,2.56,1483,2.5331,1674507000000,14,,2023-01-23 12:50:00-08:00
2.56,2.56,2.56,2.56,1158,2.56,1674513600000,1,,2023-01-23 14:40:00-08:00
2.44,2.44,2.44,2.44,101,2.44,1674585900000,1,,2023-01-24 10:45:00-08:00
2.5,2.5,2.5,2.5,100,2.5,1674587400000,1,,2023-01-24 11:10:00-08:00
2.5,2.5,2.5,2.5,1027,2.5,1674587700000,1,,2023-01-24 11:15:00-08:00
2.51,2.51,2.45,2.51,612,2.4974,1674593400000,10,,2023-01-24 12:50:00-08:00
2.505,2.505,2.505,2.505,296,2.5054,1674593700000,5,,2023-01-24 12:55:00-08:00
2.5,2.51,2.5,2.51,516,2.5081,1674675300000,3,,2023-01-25 11:35:00-08:00
2.515,2.54,2.515,2.54,407,2.5361,1674675600000,7,,2023-01-25 11:40:00-08:00
2.525,2.525,2.5,2.5,630,2.5056,1674677700000,3,,2023-01-25 12:15:00-08:00
2.53,2.53,2.53,2.53,100,2.53,1674678300000,1,,2023-01-25 12:25:00-08:00
2.53,2.53,2.53,2.53,100,2.53,1674678600000,1,,2023-01-25 12:30:00-08:00
2.55,2.55,2.55,2.55,100,2.55,1674680100000,1,,2023-01-25 12:55:00-08:00
2.54,2.54,2.53,2.53,656,2.5385,1674756600000,6,,2023-01-26 10:10:00-08:00
2.535,2.535,2.535,2.535,100,2.535,1674759600000,1,,2023-01-26 11:00:00-08:00
2.53,2.53,2.53,2.53,100,2.53,1674760800000,1,,2023-01-26 11:20:00-08:00
