open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.8799,1.8799,1.8799,1.8799,300.0,1.8799,1672767600000,1,,2023-01-03 09:40:00-08:00
1.86,1.86,1.86,1.86,103.0,1.8603,1672768500000,2,,2023-01-03 09:55:00-08:00
1.88,1.88,1.87,1.87,4430.0,1.8734,1672768800000,10,,2023-01-03 10:00:00-08:00
1.87,1.87,1.87,1.87,100.0,1.87,1672769100000,1,,2023-01-03 10:05:00-08:00
1.875,1.88,1.875,1.88,500.0,1.879,1672769400000,5,,2023-01-03 10:10:00-08:00
1.875,1.89,1.875,1.89,4415.0,1.8805,1672769700000,34,,2023-01-03 10:15:00-08:00
1.88,1.88,1.88,1.88,145.0,1.88,1672770300000,2,,2023-01-03 10:25:00-08:00
1.8772,1.8772,1.8772,1.8772,151.0,1.8772,1672770600000,1,,2023-01-03 10:30:00-08:00
1.8752,1.885,1.8752,1.885,3151.0,1.8837,1672771200000,8,,2023-01-03 10:40:00-08:00
1.8866,1.89,1.8866,1.89,2365.0,1.8871,1672771800000,13,,2023-01-03 10:50:00-08:00
1.89,1.89,1.89,1.89,145.0,1.89,1672773000000,1,,2023-01-03 11:10:00-08:00
1.8945,1.9,1.88,1.9,2797.0,1.8944,1672773300000,15,,2023-01-03 11:15:00-08:00
1.8869,1.9052,1.88,1.9,9216.0,1.8947,1672774500000,64,,2023-01-03 11:35:00-08:00
1.9,1.9,1.9,1.9,6175.0,1.9,1672775100000,35,,2023-01-03 11:45:00-08:00
1.9,1.91,1.9,1.9,5057.0,1.901,1672775400000,48,,2023-01-03 11:50:00-08:00
1.9,1.9,1.9,1.9,186.0,1.9,1672775700000,1,,2023-01-03 11:55:00-08:00
1.895,1.895,1.895,1.895,145.0,1.895,1672776300000,4,,2023-01-03 12:05:00-08:00
1.9,1.92,1.9,1.91,13426.0,1.9094,1672776900000,38,,2023-01-03 12:15:00-08:00
1.915,1.92,1.915,1.92,832.0,1.9184,1672777200000,24,,2023-01-03 12:20:00-08:00
1.92,1.92,1.92,1.92,172.0,1.9197,1672777500000,3,,2023-01-03 12:25:00-08:00
1.92,1.92,1.92,1.92,400.0,1.9199,1672778100000,7,,2023-01-03 12:35:00-08:00
1.92,1.92,1.92,1.92,203.0,1.9199,1672778400000,3,,2023-01-03 12:40:00-08:00
1.91,1.9122,1.89,1.89,1575.0,1.9052,1672778700000,19,,2023-01-03 12:45:00-08:00
1.9,1.91,1.9,1.9,1835.0,1.9062,1672779000000,11,,2023-01-03 12:50:00-08:00
1.89,1.89,1.89,1.89,3091.0,1.891,1672779300000,60,,2023-01-03 12:55:00-08:00
1.95,1.95,1.95,1.95,100.0,1.95,1672779600000,1,,2023-01-03 13:00:00-08:00
1.88,1.88,1.88,1.88,586.0,1.88,1672789800000,1,,2023-01-03 15:50:00-08:00
1.95,1.95,1.95,1.95,139.0,1.95,1672855200000,3,,2023-01-04 10:00:00-08:00
1.94,1.94,1.94,1.94,921.0,1.9398,1672855800000,2,,2023-01-04 10:10:00-08:00
1.95,1.95,1.95,1.95,1000.0,1.95,1672856100000,1,,2023-01-04 10:15:00-08:00
1.93,1.93,1.93,1.93,150.0,1.93,1672857600000,1,,2023-01-04 10:40:00-08:00
1.9313,1.9313,1.9313,1.9313,544.0,1.9313,1672858200000,2,,2023-01-04 10:50:00-08:00
1.9447,1.9447,1.9447,1.9447,100.0,1.9447,1672859100000,1,,2023-01-04 11:05:00-08:00
1.93,1.93,1.93,1.93,100.0,1.93,1672859700000,1,,2023-01-04 11:15:00-08:00
1.93,1.93,1.93,1.93,622.0,1.93,1672860000000,10,,2023-01-04 11:20:00-08:00
1.9328,1.9328,1.92,1.92,685.0,1.9261,1672861800000,5,,2023-01-04 11:50:00-08:00
1.935,1.95,1.935,1.95,351.0,1.9454,1672862400000,5,,2023-01-04 12:00:00-08:00
1.95,1.95,1.95,1.95,296.0,1.95,1672862700000,5,,2023-01-04 12:05:00-08:00
1.94,1.945,1.94,1.945,362.0,1.9417,1672863000000,8,,2023-01-04 12:10:00-08:00
1.945,1.945,1.94,1.94,426.0,1.9412,1672863600000,5,,2023-01-04 12:20:00-08:00
1.945,1.95,1.945,1.945,365.0,1.9473,1672863900000,4,,2023-01-04 12:25:00-08:00
1.94,1.95,1.94,1.95,456.0,1.9448,1672864200000,5,,2023-01-04 12:30:00-08:00
1.945,1.945,1.945,1.945,410.0,1.945,1672864500000,2,,2023-01-04 12:35:00-08:00
1.94,1.9401,1.92,1.92,15251.0,1.9399,1672864800000,27,,2023-01-04 12:40:00-08:00
1.92,1.94,1.92,1.94,562.0,1.9236,1672865400000,8,,2023-01-04 12:50:00-08:00
1.94,1.94,1.93,1.93,5187.0,1.9324,1672865700000,54,,2023-01-04 12:55:00-08:00
1.89,1.89,1.89,1.89,721.0,1.89,1672940700000,12,,2023-01-05 09:45:00-08:00
1.8901,1.8901,1.89,1.89,700.0,1.8901,1672941000000,2,,2023-01-05 09:50:00-08:00
1.89,1.89,1.89,1.89,100.0,1.89,1672941900000,1,,2023-01-05 10:05:00-08:00
1.89,1.89,1.89,1.89,100.0,1.89,1672942200000,1,,2023-01-05 10:10:00-08:00
1.895,1.9,1.89,1.9,664.0,1.8957,1672942800000,8,,2023-01-05 10:20:00-08:00
1.89,1.89,1.89,1.89,149.0,1.89,1672943100000,1,,2023-01-05 10:25:00-08:00
1.9,1.9,1.9,1.9,262.0,1.9,1672943400000,2,,2023-01-05 10:30:00-08:00
1.9,1.9,1.9,1.9,149.0,1.9,1672943700000,1,,2023-01-05 10:35:00-08:00
1.89,1.89,1.87,1.87,14033.0,1.8813,1672944900000,18,,2023-01-05 10:55:00-08:00
1.87,1.87,1.87,1.87,152.0,1.87,1672945200000,1,,2023-01-05 11:00:00-08:00
1.87,1.87,1.87,1.87,100.0,1.87,1672945500000,1,,2023-01-05 11:05:00-08:00
1.87,1.87,1.87,1.87,1142.0,1.87,1672947000000,15,,2023-01-05 11:30:00-08:00
1.875,1.875,1.87,1.87,302.0,1.8725,1672947300000,2,,2023-01-05 11:35:00-08:00
1.8799,1.9,1.875,1.89,4975.0,1.8843,1672947900000,33,,2023-01-05 11:45:00-08:00
