open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
31.4799,31.48,31.4392,31.4392,4539,31.4661,1672767000000,33,,2023-01-03 09:30:00-08:00
31.4405,31.455,31.4405,31.45,1246,31.4487,1672767300000,11,,2023-01-03 09:35:00-08:00
31.4899,31.5,31.47,31.48,5759,31.4858,1672767600000,36,,2023-01-03 09:40:00-08:00
31.51,31.51,31.474,31.49,2834,31.4971,1672767900000,23,,2023-01-03 09:45:00-08:00
31.49,31.505,31.4863,31.505,1840,31.4984,1672768200000,9,,2023-01-03 09:50:00-08:00
31.5199,31.5199,31.4897,31.505,3032,31.5104,1672768500000,20,,2023-01-03 09:55:00-08:00
31.4972,31.5238,31.4781,31.4781,3077,31.4961,1672768800000,20,,2023-01-03 10:00:00-08:00
31.51,31.54,31.51,31.53,1119,31.5249,1672769100000,7,,2023-01-03 10:05:00-08:00
31.51,31.51,31.505,31.505,1205,31.5062,1672769400000,6,,2023-01-03 10:10:00-08:00
31.5799,31.59,31.5666,31.58,1398,31.5772,1672769700000,14,,2023-01-03 10:15:00-08:00
31.58,31.58,31.565,31.565,3081,31.5689,1672770000000,21,,2023-01-03 10:20:00-08:00
31.4716,31.49,31.4615,31.49,4042,31.4817,1672770300000,13,,2023-01-03 10:25:00-08:00
31.4701,31.485,31.4701,31.485,1220,31.4825,1672770600000,3,,2023-01-03 10:30:00-08:00
31.4913,31.4913,31.4913,31.4913,900,31.4913,1672770900000,1,,2023-01-03 10:35:00-08:00
31.48,31.501,31.48,31.501,998,31.4917,1672771200000,7,,2023-01-03 10:40:00-08:00
31.51,31.5457,31.51,31.545,773,31.5375,1672771500000,7,,2023-01-03 10:45:00-08:00
31.53,31.53,31.53,31.53,198,31.531,1672771800000,7,,2023-01-03 10:50:00-08:00
31.465,31.465,31.45,31.46,2415,31.4543,1672772100000,6,,2023-01-03 10:55:00-08:00
31.4299,31.47,31.41,31.47,1813,31.4241,1672772400000,12,,2023-01-03 11:00:00-08:00
31.42,31.42,31.42,31.42,450,31.4207,1672772700000,3,,2023-01-03 11:05:00-08:00
31.43,31.4711,31.43,31.4711,1284,31.4504,1672773000000,13,,2023-01-03 11:10:00-08:00
31.48,31.48,31.45,31.48,1056,31.4659,1672773300000,15,,2023-01-03 11:15:00-08:00
31.515,31.525,31.515,31.525,3441,31.5158,1672773600000,6,,2023-01-03 11:20:00-08:00
31.517,31.517,31.5098,31.515,2721,31.5103,1672773900000,14,,2023-01-03 11:25:00-08:00
31.4899,31.56,31.4899,31.56,2467,31.5192,1672774200000,15,,2023-01-03 11:30:00-08:00
31.5542,31.5891,31.55,31.55,942,31.5563,1672774500000,11,,2023-01-03 11:35:00-08:00
31.56,31.56,31.465,31.465,2661,31.4866,1672774800000,30,,2023-01-03 11:40:00-08:00
31.41,31.415,31.32,31.41,6003,31.3832,1672775100000,37,,2023-01-03 11:45:00-08:00
31.4101,31.4799,31.4101,31.4799,1441,31.4657,1672775400000,12,,2023-01-03 11:50:00-08:00
