open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.63,10.7756,10.63,10.67,4815,10.7062,1695313800000,45,,2023-09-21 09:30:00-07:00
10.875,11.0,10.75,10.89,2688,10.8802,1695314100000,30,,2023-09-21 09:35:00-07:00
10.91,11.0,10.91,10.955,3932,10.9665,1695314400000,53,,2023-09-21 09:40:00-07:00
10.9997,11.15,10.9684,10.9684,3759,11.0608,1695314700000,43,,2023-09-21 09:45:00-07:00
11.0,11.05,11.0,11.0308,10202,11.0204,1695315000000,38,,2023-09-21 09:50:00-07:00
11.0,11.0413,11.0,11.0084,1723,11.0051,1695315300000,22,,2023-09-21 09:55:00-07:00
11.05,11.05,11.0,11.0,612,11.0269,1695315600000,15,,2023-09-21 10:00:00-07:00
11.05,11.05,10.97,11.0117,6431,11.0211,1695315900000,31,,2023-09-21 10:05:00-07:00
10.966,11.0998,10.966,11.0998,1119,11.0372,1695316200000,14,,2023-09-21 10:10:00-07:00
11.1,11.1485,11.0,11.1485,786,11.0473,1695316500000,19,,2023-09-21 10:15:00-07:00
11.0,11.14,11.0,11.07,1097,11.1004,1695316800000,13,,2023-09-21 10:20:00-07:00
11.07,11.1499,11.07,11.11,837,11.1111,1695317100000,15,,2023-09-21 10:25:00-07:00
11.1,11.1,11.1,11.1,435,11.1003,1695317400000,6,,2023-09-21 10:30:00-07:00
11.18,11.19,11.09,11.09,1583,11.1353,1695317700000,24,,2023-09-21 10:35:00-07:00
11.05,11.05,11.0203,11.0203,580,11.0319,1695318000000,8,,2023-09-21 10:40:00-07:00
11.05,11.1012,11.05,11.1012,692,11.0649,1695318300000,5,,2023-09-21 10:45:00-07:00
11.0997,11.1,11.0997,11.1,641,11.0998,1695318600000,9,,2023-09-21 10:50:00-07:00
11.1088,11.11,11.06,11.06,2631,11.0932,1695318900000,18,,2023-09-21 10:55:00-07:00
11.06,11.2,11.06,11.13,7359,11.1342,1695319200000,37,,2023-09-21 11:00:00-07:00
11.13,11.13,11.13,11.13,258,11.1298,1695319500000,3,,2023-09-21 11:05:00-07:00
11.119,11.119,11.1169,11.1169,338,11.124,1695319800000,6,,2023-09-21 11:10:00-07:00
11.1182,11.15,11.1182,11.15,209,11.1331,1695320100000,3,,2023-09-21 11:15:00-07:00
11.15,11.15,11.15,11.15,382,11.1505,1695320400000,4,,2023-09-21 11:20:00-07:00
11.1831,11.1944,11.15,11.1501,1911,11.1609,1695320700000,16,,2023-09-21 11:25:00-07:00
11.17,11.17,11.161,11.161,1022,11.1656,1695321000000,4,,2023-09-21 11:30:00-07:00
11.1857,11.1857,11.0643,11.0643,11065,11.1543,1695321300000,31,,2023-09-21 11:35:00-07:00
11.06,11.15,11.01,11.0501,3267,11.085,1695321600000,26,,2023-09-21 11:40:00-07:00
11.05,11.05,11.0,11.0,1141,11.0175,1695321900000,11,,2023-09-21 11:45:00-07:00
11.0497,11.05,11.025,11.025,1074,11.0412,1695322200000,13,,2023-09-21 11:50:00-07:00
11.0,11.05,11.0,11.05,8013,11.0074,1695322500000,13,,2023-09-21 11:55:00-07:00
11.025,11.025,10.96,10.96,5270,10.9956,1695322800000,41,,2023-09-21 12:00:00-07:00
10.97,10.97,10.78,10.9,4800,10.8799,1695323100000,41,,2023-09-21 12:05:00-07:00
10.8,11.1,10.7116,11.0524,25960,10.9767,1695323400000,58,,2023-09-21 12:10:00-07:00
11.08,11.14,10.8,10.819,8574,11.0537,1695323700000,17,,2023-09-21 12:15:00-07:00
10.9157,10.92,10.82,10.85,732,10.8768,1695324000000,12,,2023-09-21 12:20:00-07:00
11.1441,11.15,11.13,11.1499,756,11.1146,1695324300000,13,,2023-09-21 12:25:00-07:00
11.01,11.15,10.91,10.91,1033,11.0974,1695324600000,9,,2023-09-21 12:30:00-07:00
11.0134,11.0134,11.0134,11.0134,637,11.0185,1695324900000,2,,2023-09-21 12:35:00-07:00
11.1053,11.1399,11.1053,11.1399,1983,11.1209,1695325500000,11,,2023-09-21 12:45:00-07:00
11.15,11.15,11.0243,11.15,2976,11.0976,1695325800000,26,,2023-09-21 12:50:00-07:00
11.15,11.15,11.1067,11.11,4104,11.1184,1695326100000,30,,2023-09-21 12:55:00-07:00
11.16,11.16,10.53,10.53,901,11.0766,1695326400000,4,,2023-09-21 13:00:00-07:00
10.8,10.8,10.8,10.8,101,10.8,1695327300000,2,,2023-09-21 13:15:00-07:00
11.04,11.04,11.04,11.04,500,11.04,1695332100000,1,,2023-09-21 14:35:00-07:00
11.05,11.05,11.05,11.05,782,11.0487,1695332400000,2,,2023-09-21 14:40:00-07:00
11.05,11.05,11.05,11.05,575,11.05,1695333300000,3,,2023-09-21 14:55:00-07:00
10.71,10.71,10.71,10.71,119,10.71,1695335700000,3,,2023-09-21 15:35:00-07:00
11.2,11.2,11.2,11.2,100,11.2,1695336000000,1,,2023-09-21 15:40:00-07:00
11.21,11.21,11.21,11.21,275,11.21,1695336300000,1,,2023-09-21 15:45:00-07:00
10.8543,10.8543,10.8543,10.8543,400,10.8543,1695400200000,1,,2023-09-22 09:30:00-07:00
10.875,10.875,10.875,10.875,130,10.8745,1695400800000,2,,2023-09-22 09:40:00-07:00
10.85,10.8995,10.85,10.85,994,10.8627,1695401100000,11,,2023-09-22 09:45:00-07:00
10.8501,10.8701,10.75,10.75,6030,10.7755,1695401400000,23,,2023-09-22 09:50:00-07:00
10.8,10.8,10.7519,10.7519,1091,10.7564,1695401700000,3,,2023-09-22 09:55:00-07:00
10.88,10.9,10.87,10.88,915,10.8765,1695402300000,10,,2023-09-22 10:05:00-07:00
10.88,10.88,10.88,10.88,538,10.8779,1695402900000,5,,2023-09-22 10:15:00-07:00
10.86,10.99,10.86,10.99,2420,10.905,1695403200000,13,,2023-09-22 10:20:00-07:00
10.77,10.77,10.77,10.77,504,10.7729,1695403500000,10,,2023-09-22 10:25:00-07:00
10.865,10.865,10.865,10.865,148,10.8655,1695403800000,3,,2023-09-22 10:30:00-07:00
10.78,10.78,10.78,10.78,249,10.7811,1695404100000,4,,2023-09-22 10:35:00-07:00
10.8892,10.8892,10.77,10.77,1266,10.8093,1695404700000,17,,2023-09-22 10:45:00-07:00
10.765,10.77,10.66,10.66,5140,10.7376,1695405000000,38,,2023-09-22 10:50:00-07:00
10.7,10.7,10.683,10.683,1277,10.6899,1695405300000,11,,2023-09-22 10:55:00-07:00
10.6635,10.6999,10.6635,10.6897,2856,10.6782,1695405600000,12,,2023-09-22 11:00:00-07:00
10.6601,10.688,10.6601,10.688,3310,10.6795,1695405900000,5,,2023-09-22 11:05:00-07:00
10.66,10.68,10.66,10.68,1991,10.6718,1695406200000,10,,2023-09-22 11:10:00-07:00
10.68,10.77,10.68,10.76,2150,10.7462,1695406500000,15,,2023-09-22 11:15:00-07:00
10.75,10.75,10.7375,10.75,1229,10.7393,1695406800000,4,,2023-09-22 11:20:00-07:00
10.7,10.7,10.69,10.69,5268,10.6905,1695407100000,10,,2023-09-22 11:25:00-07:00
10.66,10.66,10.66,10.66,212,10.6758,1695407400000,5,,2023-09-22 11:30:00-07:00
10.7044,10.7044,10.7044,10.7044,1009,10.7045,1695407700000,2,,2023-09-22 11:35:00-07:00
10.6973,10.72,10.6973,10.7195,2347,10.7176,1695408000000,11,,2023-09-22 11:40:00-07:00
10.72,10.85,10.7116,10.85,3571,10.7838,1695408300000,15,,2023-09-22 11:45:00-07:00
10.85,10.9,10.8,10.8,1305,10.8645,1695408600000,15,,2023-09-22 11:50:00-07:00
10.8001,10.87,10.8,10.87,3269,10.8115,1695408900000,7,,2023-09-22 11:55:00-07:00
10.87,10.9,10.87,10.9,796,10.8902,1695409200000,14,,2023-09-22 12:00:00-07:00
10.9,10.91,10.85,10.85,922,10.8789,1695409500000,11,,2023-09-22 12:05:00-07:00
10.8,10.8001,10.7,10.7206,5478,10.7256,1695409800000,17,,2023-09-22 12:10:00-07:00
10.8339,10.85,10.7,10.7,4848,10.7895,1695410100000,16,,2023-09-22 12:15:00-07:00
10.7176,10.7176,10.7176,10.7176,190,10.7176,1695410400000,1,,2023-09-22 12:20:00-07:00
10.75,10.7595,10.75,10.7595,5107,10.7586,1695411000000,6,,2023-09-22 12:30:00-07:00
10.8499,10.8499,10.75,10.8,1724,10.8001,1695411900000,8,,2023-09-22 12:45:00-07:00
10.8,10.83,10.75,10.8,9892,10.7789,1695412200000,75,,2023-09-22 12:50:00-07:00
10.7501,10.8,10.7501,10.8,1503,10.7751,1695412500000,16,,2023-09-22 12:55:00-07:00
10.85,10.85,10.3,10.3,1270,10.5166,1695413100000,18,,2023-09-22 13:05:00-07:00
10.9,10.9,10.9,10.9,175,10.9,1695414000000,1,,2023-09-22 13:20:00-07:00
10.56,10.56,10.55,10.55,250,10.5644,1695414900000,4,,2023-09-22 13:35:00-07:00
11.0,11.0,11.0,11.0,500,11.0,1695421200000,1,,2023-09-22 15:20:00-07:00
10.7,10.8,10.6,10.6,2120,10.7047,1695659700000,6,,2023-09-25 09:35:00-07:00
10.8,10.8,10.6,10.6,269,10.7221,1695660000000,5,,2023-09-25 09:40:00-07:00
10.8,10.8,10.8,10.8,134,10.8,1695660300000,1,,2023-09-25 09:45:00-07:00
10.6,10.6,10.6,10.6,253,10.6,1695660600000,3,,2023-09-25 09:50:00-07:00
10.61,10.61,10.5,10.5,1628,10.5938,1695660900000,8,,2023-09-25 09:55:00-07:00
10.6,10.61,10.5,10.5,1333,10.5598,1695661200000,11,,2023-09-25 10:00:00-07:00
10.5454,10.5454,10.5454,10.5454,113,10.5471,1695661500000,3,,2023-09-25 10:05:00-07:00
10.5,10.5,10.5,10.5,979,10.5061,1695662100000,28,,2023-09-25 10:15:00-07:00
10.47,10.495,10.47,10.495,310,10.4803,1695662400000,3,,2023-09-25 10:20:00-07:00
10.5221,10.5399,10.5221,10.5399,388,10.5347,1695662700000,3,,2023-09-25 10:25:00-07:00
10.45,10.495,10.45,10.45,1771,10.4721,1695663000000,18,,2023-09-25 10:30:00-07:00
