open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.74,9.7499,9.735,9.745,6673.0,9.7411,1672767000000,100,,2023-01-03 09:30:00-08:00
9.74,9.745,9.71,9.735,29799.0,9.7267,1672767300000,397,,2023-01-03 09:35:00-08:00
9.74,9.745,9.69,9.695,11668.0,9.7217,1672767600000,170,,2023-01-03 09:40:00-08:00
9.6908,9.6956,9.655,9.68,17844.0,9.6747,1672767900000,230,,2023-01-03 09:45:00-08:00
9.675,9.695,9.675,9.695,8765.0,9.6836,1672768200000,136,,2023-01-03 09:50:00-08:00
9.695,9.73,9.695,9.72,6747.0,9.7129,1672768500000,120,,2023-01-03 09:55:00-08:00
9.7292,9.735,9.7,9.725,6692.0,9.7185,1672768800000,105,,2023-01-03 10:00:00-08:00
9.72,9.72,9.71,9.71,1576.0,9.7168,1672769100000,39,,2023-01-03 10:05:00-08:00
9.7,9.7,9.66,9.66,15488.0,9.6838,1672769400000,163,,2023-01-03 10:10:00-08:00
9.665,9.67,9.65,9.665,7976.0,9.6579,1672769700000,113,,2023-01-03 10:15:00-08:00
9.665,9.69,9.665,9.685,5311.0,9.6787,1672770000000,80,,2023-01-03 10:20:00-08:00
9.69,9.73,9.685,9.72,29428.0,9.7017,1672770300000,290,,2023-01-03 10:25:00-08:00
9.72,9.725,9.655,9.685,30576.0,9.6807,1672770600000,285,,2023-01-03 10:30:00-08:00
9.685,9.705,9.665,9.665,23816.0,9.6936,1672770900000,232,,2023-01-03 10:35:00-08:00
9.655,9.685,9.655,9.655,14447.0,9.6675,1672771200000,192,,2023-01-03 10:40:00-08:00
9.65,9.655,9.63,9.64,12315.0,9.645,1672771500000,112,,2023-01-03 10:45:00-08:00
9.63,9.635,9.61,9.61,12011.0,9.6215,1672771800000,155,,2023-01-03 10:50:00-08:00
9.61,9.6586,9.61,9.63,9414.0,9.6306,1672772100000,124,,2023-01-03 10:55:00-08:00
9.625,9.64,9.595,9.595,11335.0,9.6164,1672772400000,118,,2023-01-03 11:00:00-08:00
9.595,9.595,9.57,9.59,12599.0,9.5824,1672772700000,148,,2023-01-03 11:05:00-08:00
9.585,9.595,9.555,9.585,11060.0,9.5818,1672773000000,176,,2023-01-03 11:10:00-08:00
9.585,9.595,9.5718,9.5718,6611.0,9.5834,1672773300000,94,,2023-01-03 11:15:00-08:00
9.57,9.58,9.565,9.565,7044.0,9.5707,1672773600000,64,,2023-01-03 11:20:00-08:00
9.56,9.58,9.555,9.575,12393.0,9.5665,1672773900000,129,,2023-01-03 11:25:00-08:00
9.58,9.59,9.5501,9.555,13507.0,9.5698,1672774200000,143,,2023-01-03 11:30:00-08:00
9.56,9.57,9.555,9.565,10206.0,9.5611,1672774500000,129,,2023-01-03 11:35:00-08:00
9.565,9.58,9.55,9.5798,11913.0,9.5602,1672774800000,161,,2023-01-03 11:40:00-08:00
9.58,9.6199,9.575,9.615,20168.0,9.5993,1672775100000,219,,2023-01-03 11:45:00-08:00
