open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.8985,2.8985,2.8941,2.8941,1500,2.8956,1672767300000,2,,2023-01-03 09:35:00-08:00
2.89,2.89,2.89,2.89,100,2.89,1672767600000,1,,2023-01-03 09:40:00-08:00
2.89,2.89,2.86,2.86,1381,2.8817,1672767900000,14,,2023-01-03 09:45:00-08:00
2.86,2.86,2.86,2.86,100,2.86,1672768500000,1,,2023-01-03 09:55:00-08:00
2.86,2.86,2.86,2.86,100,2.86,1672768800000,1,,2023-01-03 10:00:00-08:00
2.88,2.88,2.88,2.88,203,2.88,1672769100000,1,,2023-01-03 10:05:00-08:00
2.86,2.87,2.86,2.87,203,2.8651,1672769400000,2,,2023-01-03 10:10:00-08:00
2.85,2.85,2.85,2.85,100,2.85,1672770000000,1,,2023-01-03 10:20:00-08:00
2.87,2.89,2.87,2.89,994,2.8761,1672770300000,13,,2023-01-03 10:25:00-08:00
2.8989,2.8989,2.88,2.88,943,2.892,1672770600000,11,,2023-01-03 10:30:00-08:00
2.8899,2.89,2.88,2.88,7610,2.8898,1672770900000,11,,2023-01-03 10:35:00-08:00
2.86,2.86,2.83,2.84,3037,2.8491,1672771200000,30,,2023-01-03 10:40:00-08:00
2.84,2.8611,2.84,2.8611,1002,2.8509,1672771800000,8,,2023-01-03 10:50:00-08:00
2.8513,2.8513,2.8513,2.8513,100,2.8513,1672772100000,1,,2023-01-03 10:55:00-08:00
2.86,2.87,2.86,2.86,1111,2.8643,1672772400000,11,,2023-01-03 11:00:00-08:00
2.86,2.86,2.85,2.86,928,2.8593,1672772700000,8,,2023-01-03 11:05:00-08:00
2.86,2.86,2.8401,2.8401,1180,2.8518,1672773000000,5,,2023-01-03 11:10:00-08:00
2.85,2.85,2.85,2.85,150,2.8495,1672773300000,2,,2023-01-03 11:15:00-08:00
2.84,2.84,2.84,2.84,812,2.8401,1672773900000,11,,2023-01-03 11:25:00-08:00
2.85,2.85,2.83,2.83,1307,2.8332,1672774200000,6,,2023-01-03 11:30:00-08:00
2.84,2.849,2.84,2.849,200,2.8445,1672774500000,2,,2023-01-03 11:35:00-08:00
2.84,2.86,2.84,2.86,2316,2.8569,1672774800000,23,,2023-01-03 11:40:00-08:00
2.87,2.88,2.87,2.88,400,2.875,1672775100000,4,,2023-01-03 11:45:00-08:00
2.8835,2.8835,2.8835,2.8835,100,2.8835,1672775400000,1,,2023-01-03 11:50:00-08:00
2.88,2.88,2.85,2.85,1446,2.8675,1672775700000,16,,2023-01-03 11:55:00-08:00
2.85,2.85,2.85,2.85,100,2.85,1672776000000,1,,2023-01-03 12:00:00-08:00
2.87,2.87,2.86,2.86,1332,2.8615,1672776300000,21,,2023-01-03 12:05:00-08:00
2.865,2.865,2.865,2.865,102,2.865,1672776600000,1,,2023-01-03 12:10:00-08:00
2.87,2.87,2.87,2.87,671,2.87,1672776900000,15,,2023-01-03 12:15:00-08:00
2.85,2.86,2.84,2.86,2248,2.8573,1672777200000,33,,2023-01-03 12:20:00-08:00
2.85,2.86,2.85,2.86,3238,2.8588,1672777500000,34,,2023-01-03 12:25:00-08:00
2.87,2.88,2.86,2.86,765,2.8703,1672778100000,22,,2023-01-03 12:35:00-08:00
2.865,2.865,2.86,2.86,652,2.8628,1672778400000,7,,2023-01-03 12:40:00-08:00
2.85,2.85,2.85,2.85,100,2.85,1672778700000,1,,2023-01-03 12:45:00-08:00
2.86,2.87,2.85,2.85,2418,2.8613,1672779000000,34,,2023-01-03 12:50:00-08:00
2.85,2.86,2.84,2.84,4922,2.8487,1672779300000,60,,2023-01-03 12:55:00-08:00
2.83,2.83,2.83,2.83,519,2.83,1672782300000,1,,2023-01-03 13:45:00-08:00
3.0,3.005,3.0,3.005,1700,3.0003,1672853700000,3,,2023-01-04 09:35:00-08:00
3.01,3.01,3.01,3.01,404,3.01,1672854000000,6,,2023-01-04 09:40:00-08:00
