open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.6425,2.65,2.64,2.645,26680.0,2.6466,1672767000000,63,,2023-01-03 09:30:00-08:00
2.65,2.65,2.63,2.64,633733.0,2.6403,1672767300000,704,,2023-01-03 09:35:00-08:00
2.64,2.64,2.625,2.63,814343.0,2.6302,1672767600000,588,,2023-01-03 09:40:00-08:00
2.63,2.63,2.61,2.62,559240.0,2.6205,1672767900000,753,,2023-01-03 09:45:00-08:00
2.615,2.6179,2.615,2.615,7068.0,2.615,1672768200000,44,,2023-01-03 09:50:00-08:00
2.615,2.62,2.61,2.615,12549.0,2.6156,1672768500000,45,,2023-01-03 09:55:00-08:00
2.615,2.62,2.61,2.62,60315.0,2.6153,1672768800000,138,,2023-01-03 10:00:00-08:00
2.615,2.64,2.6122,2.63,2682341.0,2.6257,1672769100000,2419,,2023-01-03 10:05:00-08:00
2.63,2.64,2.63,2.63,469069.0,2.6303,1672769400000,421,,2023-01-03 10:10:00-08:00
2.63,2.6399,2.63,2.635,128318.0,2.6305,1672769700000,144,,2023-01-03 10:15:00-08:00
2.63,2.639,2.63,2.63,189394.0,2.6302,1672770000000,214,,2023-01-03 10:20:00-08:00
2.63,2.6399,2.63,2.63,53838.0,2.6316,1672770300000,134,,2023-01-03 10:25:00-08:00
2.63,2.6399,2.63,2.63,80203.0,2.6306,1672770600000,217,,2023-01-03 10:30:00-08:00
2.63,2.64,2.63,2.6301,184526.0,2.6313,1672770900000,232,,2023-01-03 10:35:00-08:00
2.63,2.64,2.63,2.63,77903.0,2.6303,1672771200000,121,,2023-01-03 10:40:00-08:00
2.63,2.639,2.62,2.625,234999.0,2.6297,1672771500000,173,,2023-01-03 10:45:00-08:00
2.625,2.625,2.625,2.625,15232.0,2.625,1672771800000,37,,2023-01-03 10:50:00-08:00
2.63,2.63,2.62,2.6248,412114.0,2.6204,1672772100000,483,,2023-01-03 10:55:00-08:00
2.62,2.622,2.62,2.62,24801.0,2.6201,1672772400000,83,,2023-01-03 11:00:00-08:00
2.62,2.625,2.61,2.615,354495.0,2.6183,1672772700000,278,,2023-01-03 11:05:00-08:00
2.61,2.62,2.61,2.61,113625.0,2.6105,1672773000000,225,,2023-01-03 11:10:00-08:00
2.61,2.615,2.61,2.61,2010567.0,2.6299,1672773300000,34,,2023-01-03 11:15:00-08:00
2.61,2.615,2.605,2.605,1030458.0,2.6097,1672773600000,525,,2023-01-03 11:20:00-08:00
2.61,2.6199,2.61,2.615,560835.0,2.6107,1672773900000,468,,2023-01-03 11:25:00-08:00
2.615,2.62,2.605,2.605,439529.0,2.6094,1672774200000,396,,2023-01-03 11:30:00-08:00
2.605,2.61,2.6,2.6,188868.0,2.6037,1672774500000,635,,2023-01-03 11:35:00-08:00
2.605,2.6099,2.6,2.605,288859.0,2.6002,1672774800000,397,,2023-01-03 11:40:00-08:00
2.6,2.6182,2.6,2.61,1902419.0,2.61,1672775100000,1362,,2023-01-03 11:45:00-08:00
2.615,2.615,2.6,2.6,665757.0,2.6099,1672775400000,642,,2023-01-03 11:50:00-08:00
2.605,2.6078,2.59,2.59,583113.0,2.5996,1672775700000,648,,2023-01-03 11:55:00-08:00
2.595,2.6099,2.59,2.605,1913778.0,2.6001,1672776000000,1496,,2023-01-03 12:00:00-08:00
2.6,2.605,2.59,2.595,640678.0,2.5996,1672776300000,591,,2023-01-03 12:05:00-08:00
2.595,2.6,2.59,2.595,445544.0,2.591,1672776600000,1069,,2023-01-03 12:10:00-08:00
2.59,2.6,2.59,2.59,505144.0,2.5905,1672776900000,604,,2023-01-03 12:15:00-08:00
2.595,2.595,2.58,2.58,1718581.0,2.5885,1672777200000,1519,,2023-01-03 12:20:00-08:00
2.585,2.59,2.58,2.585,282654.0,2.5816,1672777500000,477,,2023-01-03 12:25:00-08:00
2.58,2.6,2.58,2.5897,1502221.0,2.5888,1672777800000,1398,,2023-01-03 12:30:00-08:00
2.5881,2.6,2.58,2.59,1226798.0,2.5902,1672778100000,992,,2023-01-03 12:35:00-08:00
2.59,2.6,2.59,2.595,1045724.0,2.5904,1672778400000,984,,2023-01-03 12:40:00-08:00
2.5915,2.595,2.58,2.59,1736581.0,2.5891,1672778700000,973,,2023-01-03 12:45:00-08:00
2.5842,2.6,2.58,2.59,1598555.0,2.5904,1672779000000,1649,,2023-01-03 12:50:00-08:00
2.59,2.6,2.585,2.595,891781.0,2.5927,1672779300000,663,,2023-01-03 12:55:00-08:00
2.59,2.59,2.59,2.59,58105.0,2.59,1672779600000,3,,2023-01-03 13:00:00-08:00
2.59,2.59,2.59,2.59,6900.0,2.59,1672780800000,1,,2023-01-03 13:20:00-08:00
2.6,2.6,2.6,2.6,220.0,2.6,1672781700000,3,,2023-01-03 13:35:00-08:00
