open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.81,8.81,8.6097,8.6097,4476,8.6491,1688574600000,10,,2023-07-05 09:30:00-07:00
8.69,8.9799,8.54,8.9799,1163,8.6561,1688574900000,14,,2023-07-05 09:35:00-07:00
8.516,8.52,8.15,8.26,1212,8.4057,1688575200000,20,,2023-07-05 09:40:00-07:00
8.3887,8.4,8.3,8.4,879,8.3411,1688575500000,12,,2023-07-05 09:45:00-07:00
8.51,8.61,8.51,8.61,3183,8.5682,1688575800000,10,,2023-07-05 09:50:00-07:00
8.85,8.88,8.85,8.88,649,8.8716,1688576100000,10,,2023-07-05 09:55:00-07:00
8.98,8.98,8.95,8.98,3380,8.9596,1688576400000,23,,2023-07-05 10:00:00-07:00
8.95,9.1626,8.4787,8.5091,11536,8.9137,1688576700000,37,,2023-07-05 10:05:00-07:00
8.714,8.8,8.6269,8.8,3500,8.6597,1688577000000,13,,2023-07-05 10:10:00-07:00
8.89,8.9,8.7674,8.896,4105,8.8631,1688577600000,12,,2023-07-05 10:20:00-07:00
8.89,9.1,8.7621,9.1,2858,8.9102,1688577900000,28,,2023-07-05 10:25:00-07:00
8.9,8.9,8.829,8.829,1187,8.8733,1688578200000,6,,2023-07-05 10:30:00-07:00
8.92,9.05,8.9,8.9093,5617,8.9643,1688578500000,24,,2023-07-05 10:35:00-07:00
9.05,9.1,8.91,9.1,679,9.0082,1688578800000,11,,2023-07-05 10:40:00-07:00
9.08,9.44,9.08,9.3254,8206,9.3018,1688579100000,67,,2023-07-05 10:45:00-07:00
9.4979,9.7499,9.25,9.4565,15761,9.493,1688579400000,75,,2023-07-05 10:50:00-07:00
9.3,9.3,9.2065,9.25,1272,9.2576,1688579700000,12,,2023-07-05 10:55:00-07:00
9.2001,9.2001,8.905,8.905,1271,9.1045,1688580000000,17,,2023-07-05 11:00:00-07:00
8.9001,9.1,8.9001,9.1,1100,8.9183,1688580300000,2,,2023-07-05 11:05:00-07:00
8.9,8.9,8.9,8.9,492,8.9,1688580900000,4,,2023-07-05 11:15:00-07:00
8.9,9.0706,8.8,9.01,4184,8.885,1688581200000,30,,2023-07-05 11:20:00-07:00
