open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.775,5.78,5.61,5.78,1205,5.7089,1692376200000,20,,2023-08-18 09:30:00-07:00
5.7378,5.7378,5.5534,5.63,8024,5.6088,1692376500000,78,,2023-08-18 09:35:00-07:00
5.7,5.7,5.7,5.7,971,5.6984,1692376800000,15,,2023-08-18 09:40:00-07:00
5.7,5.7,5.63,5.6946,2334,5.6846,1692377100000,10,,2023-08-18 09:45:00-07:00
5.7,5.7,5.65,5.7,1432,5.6925,1692377400000,22,,2023-08-18 09:50:00-07:00
5.7,5.7,5.7,5.7,222,5.6955,1692377700000,3,,2023-08-18 09:55:00-07:00
5.7,5.7,5.69,5.7,583,5.6999,1692378000000,10,,2023-08-18 10:00:00-07:00
5.707,5.71,5.7,5.71,607,5.7062,1692378300000,6,,2023-08-18 10:05:00-07:00
5.7801,5.7801,5.65,5.65,681,5.7045,1692378900000,11,,2023-08-18 10:15:00-07:00
5.58,5.65,5.58,5.58,2996,5.5954,1692379200000,42,,2023-08-18 10:20:00-07:00
5.59,5.59,5.59,5.59,494,5.593,1692379500000,8,,2023-08-18 10:25:00-07:00
5.59,5.59,5.59,5.59,173,5.59,1692380100000,3,,2023-08-18 10:35:00-07:00
5.76,5.7768,5.76,5.7768,448,5.7721,1692380400000,2,,2023-08-18 10:40:00-07:00
5.8,5.8,5.8,5.8,644,5.7902,1692380700000,11,,2023-08-18 10:45:00-07:00
5.6156,5.695,5.59,5.695,997,5.6304,1692381000000,14,,2023-08-18 10:50:00-07:00
5.6,5.7,5.51,5.51,9844,5.6046,1692381600000,99,,2023-08-18 11:00:00-07:00
5.51,5.51,5.51,5.51,525,5.5288,1692381900000,9,,2023-08-18 11:05:00-07:00
5.78,5.78,5.78,5.78,219,5.773,1692382500000,3,,2023-08-18 11:15:00-07:00
5.615,5.615,5.59,5.59,1108,5.6039,1692382800000,14,,2023-08-18 11:20:00-07:00
5.56,5.56,5.56,5.56,151,5.5658,1692383100000,5,,2023-08-18 11:25:00-07:00
5.55,5.785,5.55,5.6,3417,5.7239,1692383400000,23,,2023-08-18 11:30:00-07:00
5.77,5.77,5.77,5.77,116,5.7686,1692383700000,3,,2023-08-18 11:35:00-07:00
