open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.59,5.61,5.59,5.61,200.0,5.6,1672767000000,2,,2023-01-03 09:30:00-08:00
5.555,5.63,5.555,5.63,310.0,5.6013,1672767600000,4,,2023-01-03 09:40:00-08:00
5.62,5.62,5.62,5.62,100.0,5.62,1672767900000,1,,2023-01-03 09:45:00-08:00
5.55,5.55,5.55,5.55,100.0,5.55,1672768500000,1,,2023-01-03 09:55:00-08:00
5.55,5.55,5.47,5.47,1212.0,5.5179,1672768800000,16,,2023-01-03 10:00:00-08:00
5.52,5.52,5.52,5.52,100.0,5.52,1672769400000,1,,2023-01-03 10:10:00-08:00
5.47,5.47,5.405,5.405,520.0,5.4671,1672769700000,9,,2023-01-03 10:15:00-08:00
5.48,5.48,5.48,5.48,140.0,5.4829,1672770600000,3,,2023-01-03 10:30:00-08:00
5.38,5.46,5.38,5.46,655.0,5.3827,1672770900000,73,,2023-01-03 10:35:00-08:00
5.205,5.205,5.205,5.205,105.0,5.2124,1672772100000,2,,2023-01-03 10:55:00-08:00
5.31,5.31,5.205,5.205,209.0,5.2598,1672773300000,3,,2023-01-03 11:15:00-08:00
5.2,5.2,5.2,5.2,100.0,5.2,1672773600000,1,,2023-01-03 11:20:00-08:00
5.29,5.29,5.24,5.24,202.0,5.2644,1672773900000,4,,2023-01-03 11:25:00-08:00
5.12,5.21,5.12,5.21,257.0,5.1714,1672774500000,10,,2023-01-03 11:35:00-08:00
5.12,5.165,5.12,5.165,319.0,5.1505,1672775100000,8,,2023-01-03 11:45:00-08:00
5.16,5.16,5.16,5.16,312.0,5.1755,1672775700000,22,,2023-01-03 11:55:00-08:00
5.12,5.12,5.11,5.11,1034.0,5.1147,1672776000000,17,,2023-01-03 12:00:00-08:00
5.125,5.17,5.125,5.17,1225.0,5.149,1672776600000,30,,2023-01-03 12:10:00-08:00
5.2,5.2,5.2,5.2,303.0,5.1968,1672776900000,10,,2023-01-03 12:15:00-08:00
5.23,5.25,5.23,5.25,966.0,5.2349,1672777800000,20,,2023-01-03 12:30:00-08:00
5.34,5.34,5.34,5.34,301.0,5.3393,1672778100000,9,,2023-01-03 12:35:00-08:00
5.32,5.32,5.32,5.32,225.0,5.3215,1672778400000,6,,2023-01-03 12:40:00-08:00
5.3175,5.3175,5.3175,5.3175,114.0,5.3173,1672778700000,3,,2023-01-03 12:45:00-08:00
5.31,5.31,5.23,5.23,1357.0,5.2632,1672779000000,46,,2023-01-03 12:50:00-08:00
5.23,5.28,5.23,5.28,3998.0,5.2536,1672779300000,85,,2023-01-03 12:55:00-08:00
5.26,5.26,5.26,5.26,121.0,5.26,1672779600000,1,,2023-01-03 13:00:00-08:00
5.27,5.34,5.265,5.29,769.0,5.3075,1672854000000,15,,2023-01-04 09:40:00-08:00
5.37,5.37,5.37,5.37,100.0,5.37,1672854300000,1,,2023-01-04 09:45:00-08:00
5.3178,5.37,5.3178,5.335,1209.0,5.3235,1672854600000,5,,2023-01-04 09:50:00-08:00
5.37,5.37,5.31,5.31,642.0,5.3243,1672854900000,21,,2023-01-04 09:55:00-08:00
5.37,5.37,5.35,5.35,200.0,5.36,1672855200000,2,,2023-01-04 10:00:00-08:00
5.37,5.4,5.37,5.4,702.0,5.3769,1672855500000,17,,2023-01-04 10:05:00-08:00
5.42,5.42,5.42,5.42,109.0,5.4175,1672855800000,2,,2023-01-04 10:10:00-08:00
5.42,5.42,5.41,5.41,415.0,5.4051,1672856100000,8,,2023-01-04 10:15:00-08:00
5.42,5.42,5.42,5.42,100.0,5.42,1672856400000,1,,2023-01-04 10:20:00-08:00
5.42,5.42,5.42,5.42,100.0,5.42,1672856700000,1,,2023-01-04 10:25:00-08:00
5.42,5.42,5.42,5.42,314.0,5.4194,1672857000000,6,,2023-01-04 10:30:00-08:00
5.43,5.43,5.43,5.43,200.0,5.43,1672857300000,2,,2023-01-04 10:35:00-08:00
5.43,5.43,5.43,5.43,107.0,5.4284,1672857600000,2,,2023-01-04 10:40:00-08:00
5.42,5.51,5.42,5.51,1782.0,5.4664,1672857900000,35,,2023-01-04 10:45:00-08:00
5.56,5.56,5.56,5.56,210.0,5.56,1672858200000,4,,2023-01-04 10:50:00-08:00
5.56,5.56,5.56,5.56,100.0,5.56,1672858500000,1,,2023-01-04 10:55:00-08:00
5.55,5.56,5.55,5.56,450.0,5.5546,1672858800000,9,,2023-01-04 11:00:00-08:00
5.5,5.53,5.495,5.53,958.0,5.5034,1672859400000,7,,2023-01-04 11:10:00-08:00
5.53,5.53,5.53,5.53,313.0,5.53,1672859700000,4,,2023-01-04 11:15:00-08:00
5.52,5.52,5.46,5.46,875.0,5.4765,1672860300000,41,,2023-01-04 11:25:00-08:00
5.405,5.44,5.405,5.44,302.0,5.4165,1672861200000,3,,2023-01-04 11:40:00-08:00
5.46,5.46,5.46,5.46,111.0,5.4533,1672861500000,3,,2023-01-04 11:45:00-08:00
5.44,5.45,5.44,5.45,726.0,5.4407,1672861800000,14,,2023-01-04 11:50:00-08:00
5.41,5.45,5.41,5.45,259.0,5.4285,1672862100000,10,,2023-01-04 11:55:00-08:00
5.46,5.46,5.425,5.425,671.0,5.4573,1672862400000,17,,2023-01-04 12:00:00-08:00
5.43,5.48,5.43,5.48,218.0,5.4571,1672862700000,3,,2023-01-04 12:05:00-08:00
5.47,5.47,5.46,5.47,332.0,5.4641,1672863000000,7,,2023-01-04 12:10:00-08:00
5.47,5.48,5.47,5.48,550.0,5.4704,1672863300000,11,,2023-01-04 12:15:00-08:00
5.42,5.42,5.4,5.4,714.0,5.4119,1672863600000,31,,2023-01-04 12:20:00-08:00
5.43,5.43,5.43,5.43,149.0,5.4145,1672863900000,10,,2023-01-04 12:25:00-08:00
5.3805,5.3805,5.355,5.355,360.0,5.3633,1672864500000,19,,2023-01-04 12:35:00-08:00
5.38,5.39,5.38,5.39,610.0,5.3868,1672864800000,13,,2023-01-04 12:40:00-08:00
5.39,5.39,5.39,5.39,216.0,5.39,1672865100000,3,,2023-01-04 12:45:00-08:00
5.39,5.47,5.39,5.455,3944.0,5.4329,1672865400000,119,,2023-01-04 12:50:00-08:00
5.47,5.47,5.4,5.43,5856.0,5.4429,1672865700000,130,,2023-01-04 12:55:00-08:00
5.46,5.46,5.46,5.46,210.0,5.46,1672866000000,2,,2023-01-04 13:00:00-08:00
5.65,5.675,5.65,5.675,651.0,5.6595,1672939800000,10,,2023-01-05 09:30:00-08:00
5.7,5.7,5.7,5.7,300.0,5.6999,1672940100000,3,,2023-01-05 09:35:00-08:00
5.65,5.68,5.63,5.63,1542.0,5.6549,1672940700000,53,,2023-01-05 09:45:00-08:00
5.55,5.61,5.55,5.61,300.0,5.59,1672941000000,3,,2023-01-05 09:50:00-08:00
5.615,5.615,5.615,5.615,150.0,5.615,1672941600000,2,,2023-01-05 10:00:00-08:00
5.67,5.67,5.57,5.57,1473.0,5.6132,1672941900000,15,,2023-01-05 10:05:00-08:00
5.57,5.6,5.57,5.6,271.0,5.5889,1672942200000,3,,2023-01-05 10:10:00-08:00
5.63,5.63,5.57,5.57,858.0,5.623,1672942500000,9,,2023-01-05 10:15:00-08:00
