open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.42,2.44,2.42,2.43,3868,2.4309,1672767000000,54,,2023-01-03 09:30:00-08:00
2.43,2.43,2.41,2.41,2699,2.4192,1672767300000,42,,2023-01-03 09:35:00-08:00
2.41,2.41,2.33,2.33,18905,2.3717,1672767600000,77,,2023-01-03 09:40:00-08:00
2.3121,2.32,2.3121,2.32,2316,2.3133,1672767900000,7,,2023-01-03 09:45:00-08:00
2.31,2.335,2.31,2.33,10035,2.3311,1672768200000,108,,2023-01-03 09:50:00-08:00
2.335,2.34,2.335,2.34,1458,2.3396,1672768500000,22,,2023-01-03 09:55:00-08:00
2.33,2.33,2.3115,2.3115,4916,2.328,1672768800000,63,,2023-01-03 10:00:00-08:00
2.315,2.32,2.315,2.315,2726,2.3168,1672769100000,26,,2023-01-03 10:05:00-08:00
2.32,2.32,2.27,2.27,13657,2.2941,1672769400000,56,,2023-01-03 10:10:00-08:00
2.29,2.29,2.29,2.29,383,2.29,1672769700000,6,,2023-01-03 10:15:00-08:00
2.295,2.3,2.2799,2.28,7092,2.2893,1672770000000,89,,2023-01-03 10:20:00-08:00
2.28,2.28,2.28,2.28,806,2.28,1672770300000,16,,2023-01-03 10:25:00-08:00
2.28,2.3006,2.28,2.3006,3068,2.2889,1672770600000,42,,2023-01-03 10:30:00-08:00
2.29,2.31,2.29,2.3,2283,2.2956,1672770900000,13,,2023-01-03 10:35:00-08:00
2.29,2.29,2.261,2.261,6568,2.2862,1672771200000,45,,2023-01-03 10:40:00-08:00
2.27,2.27,2.27,2.27,1339,2.2701,1672771500000,7,,2023-01-03 10:45:00-08:00
2.28,2.28,2.26,2.27,6490,2.2699,1672771800000,47,,2023-01-03 10:50:00-08:00
2.265,2.285,2.26,2.27,6779,2.2772,1672772100000,68,,2023-01-03 10:55:00-08:00
2.28,2.295,2.275,2.275,4944,2.2853,1672772400000,59,,2023-01-03 11:00:00-08:00
2.27,2.2727,2.2699,2.27,6495,2.2701,1672772700000,56,,2023-01-03 11:05:00-08:00
2.27,2.28,2.27,2.275,1981,2.275,1672773000000,24,,2023-01-03 11:10:00-08:00
2.28,2.29,2.28,2.29,1708,2.2853,1672773300000,29,,2023-01-03 11:15:00-08:00
2.3,2.3,2.29,2.29,9810,2.2902,1672773600000,51,,2023-01-03 11:20:00-08:00
2.2882,2.2882,2.27,2.27,9262,2.2731,1672773900000,43,,2023-01-03 11:25:00-08:00
2.27,2.27,2.2677,2.2677,1838,2.2679,1672774200000,9,,2023-01-03 11:30:00-08:00
