open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.26,2.275,2.26,2.27,8300,2.2643,1672767000000,59,,2023-01-03 09:30:00-08:00
2.275,2.275,2.27,2.275,1631,2.2718,1672767300000,11,,2023-01-03 09:35:00-08:00
2.27,2.2775,2.265,2.265,2886,2.2691,1672767600000,25,,2023-01-03 09:40:00-08:00
2.265,2.27,2.25,2.255,12062,2.2596,1672767900000,47,,2023-01-03 09:45:00-08:00
2.255,2.26,2.255,2.26,700,2.2571,1672768200000,7,,2023-01-03 09:50:00-08:00
2.255,2.265,2.255,2.26,2464,2.2606,1672768500000,36,,2023-01-03 09:55:00-08:00
2.26,2.26,2.255,2.26,4332,2.2599,1672768800000,47,,2023-01-03 10:00:00-08:00
2.26,2.26,2.25,2.25,1584,2.2565,1672769100000,22,,2023-01-03 10:05:00-08:00
2.255,2.26,2.25,2.255,2035,2.2533,1672769400000,16,,2023-01-03 10:10:00-08:00
2.25,2.25,2.24,2.245,6439,2.2493,1672769700000,53,,2023-01-03 10:15:00-08:00
2.245,2.245,2.235,2.245,5810,2.2403,1672770000000,71,,2023-01-03 10:20:00-08:00
2.245,2.25,2.24,2.245,7438,2.2443,1672770300000,18,,2023-01-03 10:25:00-08:00
2.245,2.245,2.24,2.24,2436,2.2407,1672770600000,26,,2023-01-03 10:30:00-08:00
2.24,2.25,2.24,2.245,2270,2.2452,1672770900000,25,,2023-01-03 10:35:00-08:00
2.245,2.2475,2.24,2.2475,1194,2.2433,1672771200000,16,,2023-01-03 10:40:00-08:00
2.24,2.245,2.235,2.24,7822,2.2401,1672771500000,56,,2023-01-03 10:45:00-08:00
2.24,2.2469,2.235,2.245,3669,2.2405,1672771800000,25,,2023-01-03 10:50:00-08:00
2.25,2.25,2.25,2.25,804,2.2493,1672772100000,12,,2023-01-03 10:55:00-08:00
2.25,2.25,2.245,2.25,20951,2.2499,1672772400000,45,,2023-01-03 11:00:00-08:00
2.25,2.25,2.245,2.25,1102,2.2495,1672772700000,15,,2023-01-03 11:05:00-08:00
2.25,2.25,2.245,2.245,1378,2.2461,1672773000000,20,,2023-01-03 11:10:00-08:00
2.245,2.25,2.24,2.245,3009,2.2466,1672773300000,31,,2023-01-03 11:15:00-08:00
2.245,2.25,2.245,2.245,1392,2.2454,1672773600000,18,,2023-01-03 11:20:00-08:00
2.25,2.25,2.245,2.245,1620,2.2459,1672773900000,20,,2023-01-03 11:25:00-08:00
2.25,2.25,2.23,2.23,13022,2.2362,1672774200000,99,,2023-01-03 11:30:00-08:00
2.225,2.235,2.225,2.2299,9594,2.2287,1672774500000,63,,2023-01-03 11:35:00-08:00
2.23,2.23,2.225,2.23,1425,2.2261,1672774800000,11,,2023-01-03 11:40:00-08:00
2.23,2.24,2.23,2.24,3674,2.2317,1672775100000,35,,2023-01-03 11:45:00-08:00
2.235,2.2375,2.23,2.235,1719,2.2351,1672775400000,21,,2023-01-03 11:50:00-08:00
2.235,2.24,2.23,2.2375,2235,2.235,1672775700000,29,,2023-01-03 11:55:00-08:00
2.235,2.24,2.235,2.235,1157,2.2363,1672776000000,20,,2023-01-03 12:00:00-08:00
2.235,2.2375,2.23,2.23,5659,2.2322,1672776300000,61,,2023-01-03 12:05:00-08:00
2.225,2.23,2.225,2.225,1564,2.2256,1672776600000,22,,2023-01-03 12:10:00-08:00
2.225,2.23,2.225,2.23,1139,2.2274,1672776900000,19,,2023-01-03 12:15:00-08:00
2.22,2.2275,2.215,2.215,6210,2.2218,1672777200000,51,,2023-01-03 12:20:00-08:00
2.22,2.23,2.22,2.225,5407,2.2243,1672777500000,54,,2023-01-03 12:25:00-08:00
2.225,2.23,2.22,2.23,2279,2.2268,1672777800000,26,,2023-01-03 12:30:00-08:00
2.23,2.2375,2.225,2.225,9653,2.2301,1672778100000,90,,2023-01-03 12:35:00-08:00
2.225,2.23,2.225,2.225,37449,2.2293,1672778400000,146,,2023-01-03 12:40:00-08:00
2.23,2.23,2.2222,2.23,3648,2.2269,1672778700000,37,,2023-01-03 12:45:00-08:00
2.23,2.23,2.225,2.23,8660,2.2287,1672779000000,111,,2023-01-03 12:50:00-08:00
2.23,2.24,2.22,2.23,40123,2.2295,1672779300000,297,,2023-01-03 12:55:00-08:00
2.23,2.23,2.23,2.23,6825,2.23,1672779600000,11,,2023-01-03 13:00:00-08:00
2.275,2.275,2.275,2.275,102,2.275,1672853400000,3,,2023-01-04 09:30:00-08:00
2.275,2.28,2.275,2.275,1241,2.2754,1672853700000,10,,2023-01-04 09:35:00-08:00
2.28,2.28,2.275,2.275,563,2.2763,1672854000000,9,,2023-01-04 09:40:00-08:00
2.275,2.275,2.27,2.27,2548,2.272,1672854300000,24,,2023-01-04 09:45:00-08:00
2.27,2.27,2.265,2.265,3921,2.2692,1672854600000,36,,2023-01-04 09:50:00-08:00
2.265,2.27,2.265,2.265,904,2.2672,1672854900000,5,,2023-01-04 09:55:00-08:00
2.2677,2.2677,2.265,2.265,1102,2.2675,1672855200000,3,,2023-01-04 10:00:00-08:00
2.26,2.265,2.26,2.265,1767,2.2614,1672855500000,16,,2023-01-04 10:05:00-08:00
2.27,2.27,2.26,2.265,3605,2.2636,1672855800000,12,,2023-01-04 10:10:00-08:00
2.265,2.27,2.265,2.27,2184,2.2652,1672856100000,11,,2023-01-04 10:15:00-08:00
2.27,2.27,2.265,2.265,1400,2.2676,1672856400000,14,,2023-01-04 10:20:00-08:00
2.265,2.27,2.265,2.27,488,2.266,1672856700000,5,,2023-01-04 10:25:00-08:00
2.27,2.275,2.27,2.27,5503,2.2703,1672857000000,56,,2023-01-04 10:30:00-08:00
2.27,2.27,2.2601,2.27,3331,2.2611,1672857300000,5,,2023-01-04 10:35:00-08:00
2.27,2.27,2.26,2.265,4105,2.2647,1672857600000,47,,2023-01-04 10:40:00-08:00
