open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.25,10.25,10.25,10.25,100,10.25,1673034900000,1,,2023-01-06 11:55:00-08:00
10.26,10.26,10.25,10.25,685,10.2529,1674497700000,6,,2023-01-23 10:15:00-08:00
10.33,10.33,10.33,10.33,5000,10.33,1674502800000,8,,2023-01-23 11:40:00-08:00
10.3701,10.3701,10.37,10.37,1200,10.37,1678996500000,5,,2023-03-16 12:55:00-07:00
10.38,10.3801,10.38,10.38,2200,10.38,1679340900000,10,,2023-03-20 12:35:00-07:00
10.38,10.4238,10.38,10.3801,1976,10.3823,1679341200000,14,,2023-03-20 12:40:00-07:00
10.59,10.59,10.59,10.59,100,10.59,1680804600000,1,,2023-04-06 11:10:00-07:00
9.9,9.9,9.9,9.9,100,9.9,1680805200000,1,,2023-04-06 11:20:00-07:00
10.76,10.76,10.7101,10.7101,200,10.7351,1686768600000,2,,2023-06-14 11:50:00-07:00
10.99,11.01,10.99,11.01,450,10.9989,1687539900000,4,,2023-06-23 10:05:00-07:00
11.065,11.065,11.04,11.065,952,11.0611,1687540500000,9,,2023-06-23 10:15:00-07:00
10.53,10.53,10.53,10.53,100,10.53,1697827200000,1,,2023-10-20 11:40:00-07:00
