open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.26,10.26,10.21,10.21,10145,10.2107,1672775700000,8,,2023-01-03 11:55:00-08:00
10.35,10.35,10.2101,10.2748,1400,10.3126,1672776300000,18,,2023-01-03 12:05:00-08:00
10.34,10.35,10.34,10.35,550,10.3718,1672777500000,7,,2023-01-03 12:25:00-08:00
10.2101,10.2101,10.2101,10.2101,250,10.2341,1672778100000,4,,2023-01-03 12:35:00-08:00
10.28,10.28,10.25,10.25,350,10.2453,1672779300000,5,,2023-01-03 12:55:00-08:00
10.3,10.35,10.2301,10.2301,400,10.3622,1673026200000,5,,2023-01-06 09:30:00-08:00
10.34,10.35,10.3,10.3,650,10.3356,1673026500000,10,,2023-01-06 09:35:00-08:00
10.35,10.35,10.25,10.25,500,10.296,1673031300000,6,,2023-01-06 10:55:00-08:00
10.25,10.25,10.25,10.25,400,10.25,1673038200000,3,,2023-01-06 12:50:00-08:00
10.31,10.31,10.31,10.31,1000,10.31,1673976900000,2,,2023-01-17 09:35:00-08:00
10.31,10.31,10.31,10.31,1658,10.31,1673977200000,2,,2023-01-17 09:40:00-08:00
10.31,10.31,10.31,10.31,250,10.31,1673977500000,1,,2023-01-17 09:45:00-08:00
10.4,10.41,10.34,10.35,1738,10.3764,1673979600000,22,,2023-01-17 10:20:00-08:00
10.4,10.4,10.35,10.35,1627,10.3685,1673979900000,21,,2023-01-17 10:25:00-08:00
10.4,10.45,10.4,10.45,350,10.3982,1673981400000,8,,2023-01-17 10:50:00-08:00
10.45,10.45,10.4,10.45,1551,10.4445,1673987400000,22,,2023-01-17 12:30:00-08:00
10.31,10.31,10.31,10.31,701,10.31,1674063600000,1,,2023-01-18 09:40:00-08:00
10.3,10.3,10.3,10.3,200,10.3,1674150600000,1,,2023-01-19 09:50:00-08:00
10.3,10.3,10.3,10.3,1513,10.3002,1674246300000,2,,2023-01-20 12:25:00-08:00
10.2,10.2,10.2,10.2,100,10.2,1674495900000,1,,2023-01-23 09:45:00-08:00
10.095,10.2,10.095,10.2,400,10.1436,1674496200000,4,,2023-01-23 09:50:00-08:00
10.25,10.25,10.25,10.25,108,10.25,1674498900000,2,,2023-01-23 10:35:00-08:00
10.2865,10.3028,10.24,10.2401,4900,10.2667,1674499200000,28,,2023-01-23 10:40:00-08:00
10.39,10.39,10.39,10.39,170,10.39,1674761400000,1,,2023-01-26 11:30:00-08:00
10.67,10.67,10.67,10.67,362,10.6253,1674763800000,7,,2023-01-26 12:10:00-08:00
10.67,10.67,10.67,10.67,1000,10.67,1674764100000,1,,2023-01-26 12:15:00-08:00
10.4,10.4,10.4,10.4,523,10.4013,1674766500000,2,,2023-01-26 12:55:00-08:00
10.25,10.25,10.25,10.25,100,10.25,1675198500000,1,,2023-01-31 12:55:00-08:00
10.28,10.28,10.26,10.26,213,10.2694,1675452000000,2,,2023-02-03 11:20:00-08:00
10.39,10.4,10.39,10.4,600,10.3933,1676407800000,6,,2023-02-14 12:50:00-08:00
10.65,10.65,10.65,10.65,288,10.6889,1677003900000,4,,2023-02-21 10:25:00-08:00
10.5,10.5,10.13,10.2501,6100,10.25,1677006300000,19,,2023-02-21 11:05:00-08:00
10.13,10.5,10.13,10.3673,4946,10.4562,1677006600000,19,,2023-02-21 11:10:00-08:00
10.1571,10.5,10.1571,10.5,4561,10.4527,1677006900000,26,,2023-02-21 11:15:00-08:00
10.37,10.37,10.37,10.37,100,10.37,1677007200000,1,,2023-02-21 11:20:00-08:00
10.25,10.25,10.25,10.25,120,10.25,1677008400000,1,,2023-02-21 11:40:00-08:00
10.35,10.35,10.35,10.35,100,10.35,1677008700000,1,,2023-02-21 11:45:00-08:00
10.3501,10.775,10.2,10.2,3900,10.4599,1677009000000,13,,2023-02-21 11:50:00-08:00
10.25,10.35,10.25,10.35,1776,10.2848,1677009300000,10,,2023-02-21 11:55:00-08:00
10.3853,10.775,10.35,10.39,3640,10.5707,1677009600000,14,,2023-02-21 12:00:00-08:00
10.35,10.3501,10.34,10.34,10649,10.3464,1677009900000,16,,2023-02-21 12:05:00-08:00
10.4,10.4,10.36,10.3701,7280,10.3715,1677010200000,8,,2023-02-21 12:10:00-08:00
10.33,10.37,10.33,10.37,200,10.35,1677010500000,2,,2023-02-21 12:15:00-08:00
10.38,10.38,10.38,10.38,1200,10.38,1677010800000,1,,2023-02-21 12:20:00-08:00
10.38,10.38,10.38,10.38,166,10.376,1677011700000,2,,2023-02-21 12:35:00-08:00
10.44,10.45,10.44,10.45,440,10.4468,1677264600000,5,,2023-02-24 10:50:00-08:00
10.45,10.45,10.45,10.45,900,10.45,1677520200000,7,,2023-02-27 09:50:00-08:00
10.4577,10.46,10.4577,10.4577,4312,10.4589,1677525300000,4,,2023-02-27 11:15:00-08:00
10.7,10.7,10.7,10.7,500,10.7,1677703800000,1,,2023-03-01 12:50:00-08:00
10.65,10.68,10.65,10.6601,366,10.661,1677784500000,4,,2023-03-02 11:15:00-08:00
11.0,11.0,11.0,11.0,200,11.0,1679945700000,2,,2023-03-27 12:35:00-07:00
11.27,11.5,11.27,11.34,585,11.3547,1679946000000,5,,2023-03-27 12:40:00-07:00
11.34,11.34,11.34,11.34,115,11.3335,1679946600000,2,,2023-03-27 12:50:00-07:00
12.4,14.0,12.2,12.2,2037,12.6244,1680118500000,16,,2023-03-29 12:35:00-07:00
11.29,12.7,11.29,12.16,1945,12.4774,1680118800000,35,,2023-03-29 12:40:00-07:00
11.65,11.65,11.65,11.65,102,11.6475,1680119100000,3,,2023-03-29 12:45:00-07:00
11.0,11.0,11.0,11.0,100,11.0,1680200700000,1,,2023-03-30 11:25:00-07:00
11.2,11.2,11.2,11.2,100,11.2,1680202800000,1,,2023-03-30 12:00:00-07:00
11.7,11.7,11.7,11.7,100,11.7,1680289200000,1,,2023-03-31 12:00:00-07:00
