open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.978,9.015,8.972,9.014,4058.2999999999997,8.9954,1672767000000,120,,2023-01-03 09:30:00-08:00
9.015,9.015,9.001,9.002,1645.1000000000001,9.0074,1672767300000,78,,2023-01-03 09:35:00-08:00
9.002,9.002,8.972,8.973,5336.5,8.9864,1672767600000,143,,2023-01-03 09:40:00-08:00
8.9725,8.973,8.9,8.905,3921.8,8.9338,1672767900000,155,,2023-01-03 09:45:00-08:00
8.911,8.92,8.902,8.913,1423.5,8.9121,1672768200000,97,,2023-01-03 09:50:00-08:00
8.913,8.976,8.908,8.944,6541.9,8.9422,1672768500000,196,,2023-01-03 09:55:00-08:00
8.9585,8.998,8.947,8.956,1567.5,8.9684,1672768800000,64,,2023-01-03 10:00:00-08:00
8.957,8.995,8.957,8.983,2218.6,8.9637,1672769100000,59,,2023-01-03 10:05:00-08:00
8.958,8.982,8.92,8.92,2884.6000000000004,8.9561,1672769400000,139,,2023-01-03 10:10:00-08:00
8.92,8.958,8.919,8.921,4036.3,8.9247,1672769700000,119,,2023-01-03 10:15:00-08:00
8.92,8.921,8.92,8.921,684.8,8.9201,1672770000000,67,,2023-01-03 10:20:00-08:00
8.92,8.969,8.92,8.9495,2272.7,8.9397,1672770300000,107,,2023-01-03 10:25:00-08:00
8.96,9.013,8.96,8.982,3400.1000000000004,8.9882,1672770600000,156,,2023-01-03 10:30:00-08:00
8.982,8.994,8.959,8.959,1375.4,8.9839,1672770900000,88,,2023-01-03 10:35:00-08:00
8.96,8.983,8.954,8.962,2692.9,8.958,1672771200000,112,,2023-01-03 10:40:00-08:00
8.962,8.962,8.952,8.952,1127.9,8.9534,1672771500000,88,,2023-01-03 10:45:00-08:00
8.952,8.953,8.952,8.952,3813.7,8.9527,1672771800000,140,,2023-01-03 10:50:00-08:00
8.952,8.953,8.952,8.952,5566.3,8.9524,1672772100000,97,,2023-01-03 10:55:00-08:00
8.952,8.952,8.945,8.951,4115.0,8.9492,1672772400000,120,,2023-01-03 11:00:00-08:00
8.945,8.997,8.945,8.99,2610.5,8.9543,1672772700000,113,,2023-01-03 11:05:00-08:00
8.98,8.999,8.958,8.958,2851.1,8.9763,1672773000000,125,,2023-01-03 11:10:00-08:00
8.967,8.99,8.949,8.966,4086.0,8.9665,1672773300000,127,,2023-01-03 11:15:00-08:00
8.949,8.981,8.949,8.949,791.5000000000001,8.9676,1672773600000,49,,2023-01-03 11:20:00-08:00
8.968,8.97,8.949,8.958,4322.0,8.9563,1672773900000,138,,2023-01-03 11:25:00-08:00
8.952,8.962,8.94,8.9413,1753.6999999999998,8.9484,1672774200000,127,,2023-01-03 11:30:00-08:00
8.944,8.944,8.94,8.942,1586.8000000000002,8.9428,1672774500000,81,,2023-01-03 11:35:00-08:00
8.94,8.999,8.935,8.997,4076.8,8.9493,1672774800000,125,,2023-01-03 11:40:00-08:00
8.967,9.058,8.946,9.058,10891.3,9.025,1672775100000,140,,2023-01-03 11:45:00-08:00
9.045,9.057,9.045,9.0559,3045.9999999999995,9.0554,1672775400000,104,,2023-01-03 11:50:00-08:00
9.055,9.07,9.033,9.037,3995.1,9.0515,1672775700000,149,,2023-01-03 11:55:00-08:00
9.039,9.092,9.033,9.069,7421.3,9.0607,1672776000000,180,,2023-01-03 12:00:00-08:00
9.055,9.069,9.041,9.043,1426.5,9.0559,1672776300000,69,,2023-01-03 12:05:00-08:00
9.043,9.06,9.033,9.052,1751.6,9.0461,1672776600000,95,,2023-01-03 12:10:00-08:00
9.052,9.057,9.051,9.056,1297.1,9.0549,1672776900000,88,,2023-01-03 12:15:00-08:00
9.054,9.054,9.001,9.016,3314.7999999999997,9.0342,1672777200000,125,,2023-01-03 12:20:00-08:00
9.015,9.025,9.011,9.012,2551.0,9.0212,1672777500000,96,,2023-01-03 12:25:00-08:00
9.02,9.048,9.02,9.046,3144.7,9.0314,1672777800000,136,,2023-01-03 12:30:00-08:00
9.047,9.048,9.012,9.015,3023.6,9.0331,1672778100000,163,,2023-01-03 12:35:00-08:00
9.015,9.031,9.012,9.023,3515.9,9.0181,1672778400000,195,,2023-01-03 12:40:00-08:00
9.023,9.023,8.994,9.0,7760.5,9.0091,1672778700000,349,,2023-01-03 12:45:00-08:00
8.994,9.05,8.988,9.032,5013.0,9.0031,1672779000000,216,,2023-01-03 12:50:00-08:00
9.01,9.039,9.01,9.039,18310.9,9.0241,1672779300000,701,,2023-01-03 12:55:00-08:00
9.2,9.2,9.008,9.2,44.0,9.0961,1672779600000,6,,2023-01-03 13:00:00-08:00
9.193,9.193,9.193,9.193,55.6,9.1928,1672780200000,4,,2023-01-03 13:10:00-08:00
9.01,9.01,9.01,9.01,53.5,9.0325,1672781100000,3,,2023-01-03 13:25:00-08:00
9.147,9.147,9.0,9.0,33.4,9.0983,1672781400000,4,,2023-01-03 13:30:00-08:00
9.177,9.177,9.177,9.177,10.0,9.177,1672781700000,1,,2023-01-03 13:35:00-08:00
9.0,9.0,9.0,9.0,82.6,9.0,1672782000000,1,,2023-01-03 13:40:00-08:00
9.142,9.142,9.0,9.0,32.9,9.0538,1672782300000,7,,2023-01-03 13:45:00-08:00
9.151,9.151,9.151,9.151,10.0,9.151,1672782600000,1,,2023-01-03 13:50:00-08:00
9.2,9.2,9.2,9.2,100.0,9.2,1672783800000,1,,2023-01-03 14:10:00-08:00
9.0,9.2,9.0,9.0,70.0,9.0571,1672784100000,3,,2023-01-03 14:15:00-08:00
9.181,9.181,9.181,9.181,12.4,9.1653,1672784400000,3,,2023-01-03 14:20:00-08:00
9.154,9.154,9.154,9.154,41.3,9.1538,1672786800000,2,,2023-01-03 15:00:00-08:00
9.1,9.1,9.0,9.0,254.4,9.0182,1672787400000,13,,2023-01-03 15:10:00-08:00
8.999,9.0,8.999,9.0,201.4,8.9997,1672787700000,4,,2023-01-03 15:15:00-08:00
8.9,8.9,8.9,8.9,100.0,8.9,1672788900000,1,,2023-01-03 15:35:00-08:00
9.0,9.0,9.0,9.0,500.0,9.0,1672789200000,1,,2023-01-03 15:40:00-08:00
9.0,9.0,9.0,9.0,16.0,9.0,1672789800000,2,,2023-01-03 15:50:00-08:00
9.0,9.0,9.0,9.0,32.5,8.9923,1672790100000,4,,2023-01-03 15:55:00-08:00
9.488,9.498,9.455,9.455,5114.9,9.4794,1672853400000,135,,2023-01-04 09:30:00-08:00
9.462,9.5045,9.458,9.5,23627.100000000002,9.4858,1672853700000,268,,2023-01-04 09:35:00-08:00
9.5,9.502,9.448,9.472,3477.6,9.4852,1672854000000,95,,2023-01-04 09:40:00-08:00
9.47,9.482,9.458,9.482,3988.3,9.4777,1672854300000,140,,2023-01-04 09:45:00-08:00
9.499,9.524,9.476,9.498,18278.5,9.4997,1672854600000,209,,2023-01-04 09:50:00-08:00
9.507,9.531,9.485,9.489,22347.999999999996,9.5018,1672854900000,206,,2023-01-04 09:55:00-08:00
9.479,9.479,9.379,9.406,3283.1,9.4267,1672855200000,164,,2023-01-04 10:00:00-08:00
9.421,9.44,9.405,9.412,4208.3,9.4269,1672855500000,117,,2023-01-04 10:05:00-08:00
