open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.41,7.42,7.41,7.42,2056,7.4141,1672767000000,30,,2023-01-03 09:30:00-08:00
7.44,7.45,7.44,7.45,2746,7.4428,1672767300000,69,,2023-01-03 09:35:00-08:00
7.43,7.43,7.4,7.4,4224,7.4177,1672767600000,82,,2023-01-03 09:40:00-08:00
7.38,7.39,7.36,7.37,8467,7.3745,1672767900000,125,,2023-01-03 09:45:00-08:00
7.36,7.385,7.36,7.385,4262,7.3715,1672768200000,84,,2023-01-03 09:50:00-08:00
7.39,7.42,7.39,7.41,5637,7.397,1672768500000,95,,2023-01-03 09:55:00-08:00
7.42,7.459,7.42,7.459,3186,7.4291,1672768800000,82,,2023-01-03 10:00:00-08:00
7.46,7.46,7.4,7.41,6924,7.4226,1672769100000,114,,2023-01-03 10:05:00-08:00
7.4,7.4,7.39,7.4,5807,7.3966,1672769400000,100,,2023-01-03 10:10:00-08:00
7.39,7.4,7.38,7.38,3995,7.3911,1672769700000,66,,2023-01-03 10:15:00-08:00
7.38,7.39,7.375,7.39,3923,7.3843,1672770000000,88,,2023-01-03 10:20:00-08:00
7.4,7.44,7.4,7.44,3615,7.4189,1672770300000,103,,2023-01-03 10:25:00-08:00
7.44,7.44,7.39,7.39,3817,7.4102,1672770600000,63,,2023-01-03 10:30:00-08:00
7.38,7.39,7.36,7.36,2812,7.3778,1672770900000,57,,2023-01-03 10:35:00-08:00
7.35,7.37,7.34,7.37,7008,7.3579,1672771200000,132,,2023-01-03 10:40:00-08:00
7.37,7.37,7.335,7.35,6289,7.3436,1672771500000,78,,2023-01-03 10:45:00-08:00
7.349,7.36,7.32,7.35,4791,7.3402,1672771800000,81,,2023-01-03 10:50:00-08:00
7.35,7.4,7.34,7.38,5849,7.3733,1672772100000,135,,2023-01-03 10:55:00-08:00
7.39,7.4,7.36,7.36,2697,7.379,1672772400000,45,,2023-01-03 11:00:00-08:00
7.35,7.36,7.32,7.35,6490,7.3426,1672772700000,128,,2023-01-03 11:05:00-08:00
7.349,7.35,7.31,7.325,5175,7.33,1672773000000,89,,2023-01-03 11:10:00-08:00
7.33,7.33,7.31,7.31,1700,7.3218,1672773300000,43,,2023-01-03 11:15:00-08:00
7.31,7.34,7.31,7.33,5586,7.325,1672773600000,116,,2023-01-03 11:20:00-08:00
7.325,7.33,7.325,7.325,1568,7.3296,1672773900000,31,,2023-01-03 11:25:00-08:00
7.325,7.325,7.29,7.3,8073,7.3053,1672774200000,151,,2023-01-03 11:30:00-08:00
7.29,7.3,7.29,7.3,1054,7.2957,1672774500000,21,,2023-01-03 11:35:00-08:00
7.3,7.325,7.295,7.31,5706,7.3057,1672774800000,116,,2023-01-03 11:40:00-08:00
7.32,7.37,7.32,7.36,4832,7.3553,1672775100000,97,,2023-01-03 11:45:00-08:00
7.37,7.38,7.37,7.38,2767,7.374,1672775400000,61,,2023-01-03 11:50:00-08:00
7.39,7.4,7.36,7.37,7085,7.3741,1672775700000,116,,2023-01-03 11:55:00-08:00
7.38,7.39,7.34,7.34,5346,7.3626,1672776000000,127,,2023-01-03 12:00:00-08:00
7.34,7.34,7.325,7.325,2414,7.3313,1672776300000,68,,2023-01-03 12:05:00-08:00
7.33,7.35,7.33,7.35,5987,7.3382,1672776600000,137,,2023-01-03 12:10:00-08:00
7.35,7.38,7.35,7.35,6607,7.361,1672776900000,145,,2023-01-03 12:15:00-08:00
7.34,7.3441,7.315,7.33,8253,7.3287,1672777200000,152,,2023-01-03 12:20:00-08:00
7.32,7.32,7.29,7.295,5477,7.3052,1672777500000,119,,2023-01-03 12:25:00-08:00
7.3,7.3,7.27,7.275,13039,7.2867,1672777800000,241,,2023-01-03 12:30:00-08:00
7.27,7.279,7.235,7.235,10200,7.2597,1672778100000,202,,2023-01-03 12:35:00-08:00
7.23,7.27,7.225,7.25,23361,7.2468,1672778400000,318,,2023-01-03 12:40:00-08:00
7.24,7.265,7.235,7.255,23689,7.2516,1672778700000,234,,2023-01-03 12:45:00-08:00
7.25,7.32,7.25,7.31,33251,7.2729,1672779000000,464,,2023-01-03 12:50:00-08:00
7.3,7.37,7.295,7.33,93000,7.3255,1672779300000,1009,,2023-01-03 12:55:00-08:00
