open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
22.6701,22.735,22.41,22.42,6404,22.5895,1672767000000,85,,2023-01-03 09:30:00-08:00
22.42,22.465,21.9701,22.0,31999,22.0967,1672767300000,235,,2023-01-03 09:35:00-08:00
21.995,22.03,21.83,21.8538,3677,21.9567,1672767600000,88,,2023-01-03 09:40:00-08:00
21.78,21.925,21.78,21.8456,4011,21.8515,1672767900000,65,,2023-01-03 09:45:00-08:00
21.9,21.9367,21.895,21.9,3206,21.9123,1672768200000,58,,2023-01-03 09:50:00-08:00
21.915,22.03,21.895,21.99,6341,21.9672,1672768500000,110,,2023-01-03 09:55:00-08:00
22.04,22.05,21.87,21.88,8259,21.9916,1672768800000,98,,2023-01-03 10:00:00-08:00
21.88,21.92,21.8716,21.9,4123,21.8921,1672769100000,32,,2023-01-03 10:05:00-08:00
21.87,22.0899,21.87,21.89,10627,21.9671,1672769400000,154,,2023-01-03 10:10:00-08:00
21.88,21.94,21.81,21.91,3925,21.8947,1672769700000,177,,2023-01-03 10:15:00-08:00
21.955,22.015,21.943,22.0,3299,21.9788,1672770000000,70,,2023-01-03 10:20:00-08:00
22.01,22.12,22.0,22.0,5288,22.0585,1672770300000,109,,2023-01-03 10:25:00-08:00
22.0,22.0,21.96,21.99,1579,21.9699,1672770600000,60,,2023-01-03 10:30:00-08:00
21.92,21.955,21.92,21.95,1982,21.9517,1672770900000,47,,2023-01-03 10:35:00-08:00
21.93,22.06,21.93,21.95,8445,21.9959,1672771200000,170,,2023-01-03 10:40:00-08:00
21.92,21.99,21.92,21.95,1778,21.9588,1672771500000,35,,2023-01-03 10:45:00-08:00
21.95,21.97,21.93,21.95,7861,21.9531,1672771800000,146,,2023-01-03 10:50:00-08:00
21.95,21.96,21.91,21.95,5405,21.9398,1672772100000,165,,2023-01-03 10:55:00-08:00
21.95,21.95,21.82,21.83,7428,21.8968,1672772400000,137,,2023-01-03 11:00:00-08:00
21.82,21.82,21.53,21.5654,10467,21.6356,1672772700000,168,,2023-01-03 11:05:00-08:00
21.52,21.53,21.32,21.35,10428,21.4565,1672773000000,103,,2023-01-03 11:10:00-08:00
21.42,21.62,21.42,21.6,10539,21.5455,1672773300000,149,,2023-01-03 11:15:00-08:00
21.63,21.71,21.48,21.6,23378,21.6078,1672773600000,226,,2023-01-03 11:20:00-08:00
21.6,21.62,21.565,21.6056,15920,21.5926,1672773900000,164,,2023-01-03 11:25:00-08:00
21.6,21.6,21.47,21.475,13671,21.5501,1672774200000,145,,2023-01-03 11:30:00-08:00
21.45,21.46,21.28,21.3073,5516,21.3547,1672774500000,104,,2023-01-03 11:35:00-08:00
21.28,21.45,21.26,21.385,13116,21.3092,1672774800000,172,,2023-01-03 11:40:00-08:00
21.44,21.48,21.43,21.46,3892,21.4556,1672775100000,79,,2023-01-03 11:45:00-08:00
21.52,21.52,21.435,21.49,6524,21.4765,1672775400000,140,,2023-01-03 11:50:00-08:00
21.46,21.54,21.46,21.53,6078,21.5093,1672775700000,115,,2023-01-03 11:55:00-08:00
21.57,21.63,21.57,21.62,4932,21.613,1672776000000,97,,2023-01-03 12:00:00-08:00
21.6,21.64,21.51,21.52,10622,21.5747,1672776300000,239,,2023-01-03 12:05:00-08:00
21.52,21.59,21.51,21.57,6250,21.546,1672776600000,119,,2023-01-03 12:10:00-08:00
21.57,21.83,21.57,21.76,9095,21.727,1672776900000,171,,2023-01-03 12:15:00-08:00
21.75,21.75,21.37,21.38,10858,21.6188,1672777200000,225,,2023-01-03 12:20:00-08:00
21.36,21.41,21.3201,21.41,10132,21.3798,1672777500000,177,,2023-01-03 12:25:00-08:00
21.42,21.585,21.41,21.48,12997,21.5264,1672777800000,270,,2023-01-03 12:30:00-08:00
21.49,21.495,21.25,21.25,16248,21.3993,1672778100000,291,,2023-01-03 12:35:00-08:00
21.255,21.32,21.1603,21.27,14146,21.2414,1672778400000,291,,2023-01-03 12:40:00-08:00
21.295,21.34,21.13,21.13,18932,21.2763,1672778700000,364,,2023-01-03 12:45:00-08:00
21.115,21.31,21.0,21.28,27038,21.1353,1672779000000,514,,2023-01-03 12:50:00-08:00
21.28,21.48,21.25,21.43,91566,21.3592,1672779300000,1144,,2023-01-03 12:55:00-08:00
21.4,21.4,21.4,21.4,100,21.4,1672783200000,1,,2023-01-03 14:00:00-08:00
21.35,21.35,21.35,21.35,100,21.35,1672789500000,1,,2023-01-03 15:45:00-08:00
20.9,20.95,20.9,20.9,4023,20.9087,1672853400000,64,,2023-01-04 09:30:00-08:00
20.92,20.95,20.9,20.95,3684,20.9211,1672853700000,88,,2023-01-04 09:35:00-08:00
20.95,21.01,20.92,21.01,3143,20.9683,1672854000000,58,,2023-01-04 09:40:00-08:00
21.01,21.1,21.01,21.1,1750,21.0652,1672854300000,27,,2023-01-04 09:45:00-08:00
21.1,21.1,21.0221,21.0221,1895,21.0476,1672854600000,55,,2023-01-04 09:50:00-08:00
21.02,21.02,21.02,21.02,442,21.022,1672854900000,12,,2023-01-04 09:55:00-08:00
21.04,21.04,20.935,20.945,3504,20.9979,1672855200000,73,,2023-01-04 10:00:00-08:00
20.97,21.01,20.97,21.01,1508,20.9777,1672855500000,35,,2023-01-04 10:05:00-08:00
21.05,21.06,21.015,21.05,3678,21.0393,1672855800000,67,,2023-01-04 10:10:00-08:00
21.035,21.05,21.035,21.05,906,21.0399,1672856100000,17,,2023-01-04 10:15:00-08:00
21.02,21.05,21.02,21.05,611,21.0252,1672856400000,5,,2023-01-04 10:20:00-08:00
21.0268,21.05,20.95,20.95,7839,20.9967,1672856700000,152,,2023-01-04 10:25:00-08:00
20.95,20.96,20.94,20.945,1727,20.9469,1672857000000,45,,2023-01-04 10:30:00-08:00
20.96,20.96,20.96,20.96,163,20.9572,1672857300000,4,,2023-01-04 10:35:00-08:00
20.9486,20.99,20.9058,20.96,6744,20.9549,1672857600000,148,,2023-01-04 10:40:00-08:00
21.0185,21.02,20.96,20.96,7885,20.9834,1672858200000,129,,2023-01-04 10:50:00-08:00
20.976,20.99,20.96,20.99,2972,20.9759,1672858500000,63,,2023-01-04 10:55:00-08:00
20.99,21.08,20.9897,20.9897,3291,21.0359,1672858800000,82,,2023-01-04 11:00:00-08:00
21.02,21.055,21.02,21.02,2284,21.0287,1672859100000,72,,2023-01-04 11:05:00-08:00
21.005,21.01,20.98,21.01,1954,20.9911,1672859400000,53,,2023-01-04 11:10:00-08:00
21.07,21.13,21.07,21.125,1273,21.0948,1672859700000,36,,2023-01-04 11:15:00-08:00
21.15,21.15,21.04,21.04,2654,21.0764,1672860000000,89,,2023-01-04 11:20:00-08:00
21.04,21.04,20.892,20.94,5326,20.95,1672860300000,133,,2023-01-04 11:25:00-08:00
20.915,20.97,20.91,20.95,2818,20.9362,1672860600000,87,,2023-01-04 11:30:00-08:00
20.96,21.01,20.96,20.98,1808,20.981,1672860900000,45,,2023-01-04 11:35:00-08:00
21.03,21.03,20.97,20.98,2964,20.9861,1672861200000,83,,2023-01-04 11:40:00-08:00
21.025,21.07,20.96,20.99,3905,21.0194,1672861500000,116,,2023-01-04 11:45:00-08:00
20.97,20.99,20.96,20.985,2780,20.9752,1672861800000,63,,2023-01-04 11:50:00-08:00
20.985,21.08,20.985,21.08,2846,21.0164,1672862100000,86,,2023-01-04 11:55:00-08:00
21.09,21.125,21.06,21.06,3447,21.1007,1672862400000,130,,2023-01-04 12:00:00-08:00
21.06,21.065,21.05,21.06,1159,21.0569,1672862700000,41,,2023-01-04 12:05:00-08:00
21.07,21.1,21.05,21.05,2990,21.0663,1672863000000,92,,2023-01-04 12:10:00-08:00
21.07,21.09,21.07,21.09,1566,21.0824,1672863300000,44,,2023-01-04 12:15:00-08:00
21.12,21.12,21.03,21.03,4418,21.0727,1672863600000,123,,2023-01-04 12:20:00-08:00
21.02,21.02,20.95,21.01,6223,20.9829,1672863900000,159,,2023-01-04 12:25:00-08:00
20.99,20.99,20.97,20.97,4075,20.9784,1672864200000,142,,2023-01-04 12:30:00-08:00
20.97,20.97,20.9001,20.9001,3594,20.9279,1672864500000,97,,2023-01-04 12:35:00-08:00
20.9,20.92,20.81,20.83,11192,20.8805,1672864800000,243,,2023-01-04 12:40:00-08:00
20.84,20.9795,20.84,20.9795,9049,20.8961,1672865100000,164,,2023-01-04 12:45:00-08:00
20.965,21.08,20.95,21.08,17006,20.9931,1672865400000,354,,2023-01-04 12:50:00-08:00
21.065,21.16,21.065,21.155,35956,21.1211,1672865700000,586,,2023-01-04 12:55:00-08:00
21.14,21.14,21.14,21.14,111,21.14,1672866000000,2,,2023-01-04 13:00:00-08:00
21.3985,21.41,21.39,21.4,3487,21.405,1672939800000,56,,2023-01-05 09:30:00-08:00
21.37,21.415,21.37,21.415,1427,21.3997,1672940100000,21,,2023-01-05 09:35:00-08:00
