open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
44.13,44.13,44.13,44.13,100,44.13,1672767900000,1,,2023-01-03 09:45:00-08:00
44.29,44.29,44.29,44.29,100,44.29,1672768500000,1,,2023-01-03 09:55:00-08:00
44.32,44.32,44.32,44.32,160,44.32,1672768800000,1,,2023-01-03 10:00:00-08:00
44.2133,44.2133,44.2133,44.2133,151,44.2139,1672770000000,2,,2023-01-03 10:20:00-08:00
44.3803,44.3803,44.3803,44.3803,158,44.3803,1672770600000,1,,2023-01-03 10:30:00-08:00
44.2935,44.4,44.2935,44.38,645,44.3432,1672770900000,6,,2023-01-03 10:35:00-08:00
44.39,44.44,44.37,44.44,483,44.4016,1672771800000,6,,2023-01-03 10:50:00-08:00
44.36,44.42,44.35,44.42,2500,44.3572,1672772100000,8,,2023-01-03 10:55:00-08:00
44.18,44.18,44.18,44.18,262,44.18,1672773900000,4,,2023-01-03 11:25:00-08:00
44.4435,44.4435,44.4435,44.4435,152,44.4428,1672775700000,2,,2023-01-03 11:55:00-08:00
44.39,44.4666,44.39,44.4666,945,44.4334,1672776000000,5,,2023-01-03 12:00:00-08:00
44.34,44.34,44.34,44.34,150,44.34,1672776300000,1,,2023-01-03 12:05:00-08:00
44.435,44.435,44.435,44.435,141,44.435,1672776600000,3,,2023-01-03 12:10:00-08:00
44.51,44.51,44.51,44.51,101,44.5094,1672776900000,2,,2023-01-03 12:15:00-08:00
44.455,44.455,44.455,44.455,105,44.4532,1672777800000,3,,2023-01-03 12:30:00-08:00
44.415,44.415,44.415,44.415,101,44.4151,1672778700000,2,,2023-01-03 12:45:00-08:00
44.4,44.4,44.4,44.4,536,44.3995,1672779300000,5,,2023-01-03 12:55:00-08:00
45.55,45.55,45.55,45.55,189,45.55,1672853400000,1,,2023-01-04 09:30:00-08:00
45.655,45.6999,45.655,45.6999,5732,45.6922,1672853700000,41,,2023-01-04 09:35:00-08:00
45.62,45.62,45.58,45.58,300,45.6033,1672854000000,3,,2023-01-04 09:40:00-08:00
45.6393,45.6393,45.61,45.61,358,45.6279,1672854300000,4,,2023-01-04 09:45:00-08:00
45.58,45.58,45.53,45.53,200,45.555,1672854600000,2,,2023-01-04 09:50:00-08:00
45.47,45.47,45.47,45.47,100,45.47,1672854900000,1,,2023-01-04 09:55:00-08:00
45.37,45.4699,45.3,45.4699,1955,45.4534,1672855200000,8,,2023-01-04 10:00:00-08:00
45.41,45.41,45.41,45.41,100,45.41,1672855500000,1,,2023-01-04 10:05:00-08:00
45.42,45.49,45.42,45.49,201,45.4553,1672855800000,3,,2023-01-04 10:10:00-08:00
45.5,45.57,45.5,45.57,200,45.535,1672856100000,2,,2023-01-04 10:15:00-08:00
45.55,45.55,45.55,45.55,100,45.55,1672856400000,1,,2023-01-04 10:20:00-08:00
45.56,45.57,45.56,45.57,200,45.565,1672856700000,2,,2023-01-04 10:25:00-08:00
45.59,45.595,45.55,45.55,539,45.5762,1672857000000,8,,2023-01-04 10:30:00-08:00
45.64,45.67,45.64,45.67,1118,45.6672,1672857300000,4,,2023-01-04 10:35:00-08:00
45.61,45.61,45.57,45.57,202,45.59,1672857600000,3,,2023-01-04 10:40:00-08:00
45.59,45.59,45.58,45.58,221,45.5886,1672857900000,4,,2023-01-04 10:45:00-08:00
45.6,45.64,45.6,45.64,200,45.62,1672858200000,2,,2023-01-04 10:50:00-08:00
45.695,45.695,45.64,45.68,1426,45.6777,1672858500000,10,,2023-01-04 10:55:00-08:00
45.39,45.39,45.33,45.33,200,45.36,1672858800000,2,,2023-01-04 11:00:00-08:00
45.45,45.45,45.36,45.4139,693,45.4029,1672859100000,5,,2023-01-04 11:05:00-08:00
45.2639,45.395,45.2639,45.36,1005,45.313,1672859400000,10,,2023-01-04 11:10:00-08:00
45.47,45.48,45.47,45.48,318,45.4768,1672859700000,4,,2023-01-04 11:15:00-08:00
45.54,45.54,45.31,45.31,202,45.4269,1672860000000,3,,2023-01-04 11:20:00-08:00
45.16,45.16,45.11,45.11,500,45.138,1672860300000,4,,2023-01-04 11:25:00-08:00
45.11,45.19,45.11,45.19,330,45.1526,1672860600000,6,,2023-01-04 11:30:00-08:00
45.23,45.23,45.23,45.23,200,45.23,1672860900000,2,,2023-01-04 11:35:00-08:00
45.28,45.3112,45.28,45.28,823,45.3036,1672861200000,4,,2023-01-04 11:40:00-08:00
45.25,45.31,45.25,45.28,537,45.2932,1672861500000,3,,2023-01-04 11:45:00-08:00
45.24,45.33,45.24,45.33,200,45.285,1672861800000,2,,2023-01-04 11:50:00-08:00
45.44,45.51,45.44,45.51,333,45.4852,1672862100000,4,,2023-01-04 11:55:00-08:00
45.53,45.53,45.53,45.53,100,45.53,1672862400000,1,,2023-01-04 12:00:00-08:00
45.55,45.55,45.45,45.45,202,45.5006,1672862700000,4,,2023-01-04 12:05:00-08:00
45.48,45.525,45.46,45.525,300,45.4883,1672863000000,3,,2023-01-04 12:10:00-08:00
45.5,45.52,45.5,45.52,246,45.5075,1672863300000,4,,2023-01-04 12:15:00-08:00
45.45,45.45,45.45,45.45,100,45.45,1672863600000,1,,2023-01-04 12:20:00-08:00
45.5,45.515,45.5,45.515,438,45.5116,1672863900000,2,,2023-01-04 12:25:00-08:00
45.43,45.43,45.4,45.4,200,45.415,1672864200000,2,,2023-01-04 12:30:00-08:00
45.2777,45.3371,45.27,45.32,1113,45.3129,1672864500000,7,,2023-01-04 12:35:00-08:00
45.25,45.2901,45.25,45.2901,328,45.2824,1672864800000,4,,2023-01-04 12:40:00-08:00
45.3,45.35,45.3,45.35,303,45.3335,1672865100000,5,,2023-01-04 12:45:00-08:00
45.39,45.46,45.39,45.46,428,45.4054,1672865400000,8,,2023-01-04 12:50:00-08:00
45.54,45.56,45.54,45.56,490,45.553,1672865700000,7,,2023-01-04 12:55:00-08:00
44.2753,44.2753,44.2753,44.2753,109,44.2753,1672940400000,1,,2023-01-05 09:40:00-08:00
44.32,44.32,44.32,44.32,341,44.32,1672940700000,3,,2023-01-05 09:45:00-08:00
44.2662,44.2662,44.2662,44.2662,182,44.2662,1672941000000,1,,2023-01-05 09:50:00-08:00
44.19,44.19,44.19,44.19,455,44.19,1672941300000,1,,2023-01-05 09:55:00-08:00
44.1182,44.1182,44.1182,44.1182,200,44.1182,1672941600000,1,,2023-01-05 10:00:00-08:00
44.145,44.145,44.1003,44.1003,1000,44.1226,1672942200000,2,,2023-01-05 10:10:00-08:00
44.03,44.03,44.03,44.03,125,44.03,1672942500000,1,,2023-01-05 10:15:00-08:00
44.36,44.36,44.36,44.36,100,44.36,1672942800000,1,,2023-01-05 10:20:00-08:00
44.45,44.45,44.45,44.45,309,44.451,1672947900000,3,,2023-01-05 11:45:00-08:00
44.4851,44.4851,44.4851,44.4851,750,44.4851,1672948200000,1,,2023-01-05 11:50:00-08:00
44.14,44.14,44.14,44.14,200,44.14,1672950000000,1,,2023-01-05 12:20:00-08:00
44.19,44.19,44.19,44.19,125,44.184,1672950900000,2,,2023-01-05 12:35:00-08:00
44.205,44.205,44.16,44.195,868,44.1786,1672951200000,9,,2023-01-05 12:40:00-08:00
44.225,44.225,44.15,44.195,625,44.1692,1672951500000,5,,2023-01-05 12:45:00-08:00
44.16,44.16,44.14,44.14,240,44.1585,1672952100000,4,,2023-01-05 12:55:00-08:00
44.88,44.88,44.88,44.88,1400,44.88,1673026200000,2,,2023-01-06 09:30:00-08:00
44.8,44.8,44.8,44.8,1400,44.8,1673026500000,2,,2023-01-06 09:35:00-08:00
44.671,44.671,44.671,44.671,1504,44.6713,1673026800000,2,,2023-01-06 09:40:00-08:00
44.83,44.83,44.83,44.83,1200,44.83,1673027100000,2,,2023-01-06 09:45:00-08:00
44.73,44.73,44.73,44.73,1521,44.7308,1673027400000,4,,2023-01-06 09:50:00-08:00
44.77,44.8,44.77,44.8,1600,44.785,1673028000000,2,,2023-01-06 10:00:00-08:00
44.84,44.84,44.82,44.82,1650,44.8298,1673028300000,4,,2023-01-06 10:05:00-08:00
44.82,44.82,44.81,44.81,1653,44.8116,1673028600000,6,,2023-01-06 10:10:00-08:00
44.77,44.77,44.77,44.77,1563,44.7699,1673028900000,5,,2023-01-06 10:15:00-08:00
44.74,44.78,44.74,44.78,1500,44.7454,1673029500000,5,,2023-01-06 10:25:00-08:00
44.751,44.83,44.751,44.82,2501,44.7841,1673029800000,8,,2023-01-06 10:30:00-08:00
44.82,44.85,44.82,44.85,2785,44.8355,1673030100000,6,,2023-01-06 10:35:00-08:00
44.82,44.82,44.82,44.82,1500,44.82,1673031000000,1,,2023-01-06 10:50:00-08:00
44.88,44.88,44.88,44.88,1200,44.88,1673031300000,2,,2023-01-06 10:55:00-08:00
44.87,44.87,44.87,44.87,1500,44.87,1673031600000,2,,2023-01-06 11:00:00-08:00
44.87,44.885,44.87,44.885,1412,44.8719,1673031900000,6,,2023-01-06 11:05:00-08:00
44.8975,44.9175,44.89,44.915,1035,44.8981,1673032200000,9,,2023-01-06 11:10:00-08:00
45.01,45.011,45.005,45.011,1100,45.0076,1673032500000,6,,2023-01-06 11:15:00-08:00
45.052,45.08,45.052,45.08,1019,45.0704,1673032800000,7,,2023-01-06 11:20:00-08:00
45.051,45.052,45.05,45.05,809,45.0528,1673033100000,5,,2023-01-06 11:25:00-08:00
45.06,45.06,45.04,45.042,913,45.0566,1673033400000,12,,2023-01-06 11:30:00-08:00
45.055,45.14,45.042,45.13,3544,45.0995,1673033700000,10,,2023-01-06 11:35:00-08:00
45.175,45.2,45.16,45.2,810,45.185,1673034000000,7,,2023-01-06 11:40:00-08:00
45.14,45.14,45.14,45.14,1300,45.14,1673034300000,2,,2023-01-06 11:45:00-08:00
45.19,45.2438,45.19,45.2438,1000,45.2008,1673034600000,2,,2023-01-06 11:50:00-08:00
45.222,45.222,45.21,45.21,1800,45.2167,1673034900000,2,,2023-01-06 11:55:00-08:00
45.252,45.26,45.252,45.26,1303,45.2527,1673035200000,4,,2023-01-06 12:00:00-08:00
45.29,45.3493,45.29,45.3493,2101,45.3126,1673035500000,4,,2023-01-06 12:05:00-08:00
45.31,45.31,45.27,45.27,2300,45.2961,1673035800000,3,,2023-01-06 12:10:00-08:00
45.31,45.31,45.31,45.31,1500,45.31,1673036100000,2,,2023-01-06 12:15:00-08:00
45.2,45.2001,45.2,45.2,2268,45.2,1673036400000,4,,2023-01-06 12:20:00-08:00
45.23,45.23,45.17,45.17,1839,45.1882,1673036700000,6,,2023-01-06 12:25:00-08:00
45.201,45.22,45.201,45.22,1660,45.2028,1673037000000,2,,2023-01-06 12:30:00-08:00
45.23,45.23,45.22,45.22,2300,45.2235,1673037300000,3,,2023-01-06 12:35:00-08:00
45.2,45.2198,45.2,45.2198,1890,45.2041,1673037600000,3,,2023-01-06 12:40:00-08:00
45.22,45.22,45.22,45.22,2900,45.22,1673037900000,5,,2023-01-06 12:45:00-08:00
45.17,45.18,45.14,45.1601,8634,45.1664,1673038200000,12,,2023-01-06 12:50:00-08:00
45.18,45.21,45.01,45.08,11396,45.0457,1673038500000,29,,2023-01-06 12:55:00-08:00
46.68,46.72,46.66,46.66,1501,46.6867,1673285400000,5,,2023-01-09 09:30:00-08:00
46.61,46.62,46.59,46.62,1101,46.6082,1673285700000,4,,2023-01-09 09:35:00-08:00
46.55,46.5894,46.51,46.51,1872,46.5458,1673286000000,6,,2023-01-09 09:40:00-08:00
46.5595,46.5595,46.52,46.555,3007,46.5405,1673286300000,8,,2023-01-09 09:45:00-08:00
46.53,46.57,46.53,46.57,3225,46.5483,1673286600000,13,,2023-01-09 09:50:00-08:00
46.57,46.58,46.57,46.58,7500,46.5783,1673286900000,27,,2023-01-09 09:55:00-08:00
46.65,46.66,46.65,46.66,2000,46.6593,1673287200000,8,,2023-01-09 10:00:00-08:00
46.67,46.67,46.67,46.67,800,46.67,1673287500000,2,,2023-01-09 10:05:00-08:00
46.665,46.665,46.665,46.665,100,46.665,1673288100000,1,,2023-01-09 10:15:00-08:00
