open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.65,8.71,8.65,8.71,2316.0,8.677,1672767000000,53,,2023-01-03 09:30:00-08:00
8.71,8.71,8.63,8.63,5543.0,8.6541,1672767300000,51,,2023-01-03 09:35:00-08:00
8.62,8.67,8.62,8.63,8750.0,8.6381,1672767600000,89,,2023-01-03 09:40:00-08:00
8.6,8.6,8.55,8.55,4643.0,8.5898,1672767900000,36,,2023-01-03 09:45:00-08:00
8.58,8.58,8.58,8.58,498.0,8.5818,1672768200000,4,,2023-01-03 09:50:00-08:00
8.55,8.575,8.55,8.575,240.0,8.5625,1672768500000,5,,2023-01-03 09:55:00-08:00
8.54,8.56,8.54,8.54,2228.0,8.5412,1672768800000,32,,2023-01-03 10:00:00-08:00
8.53,8.56,8.53,8.53,2093.0,8.5386,1672769100000,56,,2023-01-03 10:05:00-08:00
8.52,8.53,8.465,8.465,4225.0,8.5134,1672769400000,72,,2023-01-03 10:10:00-08:00
8.46,8.46,8.4,8.4,1103.0,8.4427,1672769700000,16,,2023-01-03 10:15:00-08:00
8.42,8.49,8.41,8.49,8759.0,8.4368,1672770000000,162,,2023-01-03 10:20:00-08:00
8.5,8.54,8.49,8.535,3165.0,8.5116,1672770300000,58,,2023-01-03 10:25:00-08:00
8.535,8.535,8.48,8.49,2345.0,8.5138,1672770600000,32,,2023-01-03 10:30:00-08:00
8.49,8.505,8.42,8.42,10715.0,8.4684,1672770900000,122,,2023-01-03 10:35:00-08:00
8.425,8.46,8.425,8.43,3457.0,8.4391,1672771200000,37,,2023-01-03 10:40:00-08:00
8.42,8.42,8.41,8.41,1650.0,8.417,1672771500000,8,,2023-01-03 10:45:00-08:00
8.42,8.43,8.41,8.41,3773.0,8.4183,1672771800000,63,,2023-01-03 10:50:00-08:00
8.43,8.46,8.43,8.46,2410.0,8.4403,1672772100000,56,,2023-01-03 10:55:00-08:00
8.48,8.51,8.46,8.51,6845.0,8.4878,1672772400000,81,,2023-01-03 11:00:00-08:00
8.5,8.55,8.495,8.51,5596.0,8.5196,1672772700000,84,,2023-01-03 11:05:00-08:00
8.505,8.5501,8.505,8.53,8953.0,8.5314,1672773000000,116,,2023-01-03 11:10:00-08:00
8.53,8.59,8.525,8.5675,4139.0,8.5614,1672773300000,46,,2023-01-03 11:15:00-08:00
8.595,8.6,8.57,8.57,1682.0,8.5858,1672773600000,21,,2023-01-03 11:20:00-08:00
8.565,8.565,8.515,8.56,4348.0,8.5397,1672773900000,62,,2023-01-03 11:25:00-08:00
8.525,8.525,8.51,8.51,221.0,8.5179,1672774200000,8,,2023-01-03 11:30:00-08:00
8.53,8.59,8.53,8.57,3970.0,8.5588,1672774500000,78,,2023-01-03 11:35:00-08:00
8.56,8.59,8.56,8.59,1684.0,8.5838,1672774800000,38,,2023-01-03 11:40:00-08:00
8.62,8.64,8.6001,8.6001,4455.0,8.616,1672775100000,42,,2023-01-03 11:45:00-08:00
8.605,8.63,8.605,8.62,1836.0,8.6148,1672775400000,48,,2023-01-03 11:50:00-08:00
8.63,8.64,8.595,8.61,3562.0,8.6151,1672775700000,61,,2023-01-03 11:55:00-08:00
8.61,8.63,8.61,8.625,1688.0,8.6201,1672776000000,39,,2023-01-03 12:00:00-08:00
8.62,8.62,8.6,8.61,1930.0,8.6082,1672776300000,36,,2023-01-03 12:05:00-08:00
8.595,8.61,8.595,8.6,1576.0,8.6026,1672776600000,44,,2023-01-03 12:10:00-08:00
8.61,8.655,8.61,8.635,2608.0,8.6341,1672776900000,76,,2023-01-03 12:15:00-08:00
8.63,8.63,8.59,8.59,1839.0,8.6036,1672777200000,54,,2023-01-03 12:20:00-08:00
8.59,8.6,8.57,8.6,3626.0,8.5951,1672777500000,82,,2023-01-03 12:25:00-08:00
8.61,8.63,8.61,8.62,4686.0,8.6185,1672777800000,70,,2023-01-03 12:30:00-08:00
8.62,8.64,8.59,8.59,9021.0,8.618,1672778100000,141,,2023-01-03 12:35:00-08:00
8.6,8.6,8.55,8.55,6000.0,8.5735,1672778400000,121,,2023-01-03 12:40:00-08:00
8.5459,8.6,8.5459,8.6,5966.0,8.5707,1672778700000,91,,2023-01-03 12:45:00-08:00
8.59,8.66,8.59,8.625,8376.0,8.6271,1672779000000,210,,2023-01-03 12:50:00-08:00
8.62,8.635,8.55,8.59,54966.0,8.6019,1672779300000,820,,2023-01-03 12:55:00-08:00
8.57,8.57,8.57,8.57,3883.0,8.57,1672779600000,10,,2023-01-03 13:00:00-08:00
8.58,8.58,8.58,8.58,169.0,8.58,1672788600000,2,,2023-01-03 15:30:00-08:00
8.285,8.325,8.285,8.325,4154.0,8.3105,1672853400000,86,,2023-01-04 09:30:00-08:00
8.32,8.35,8.31,8.345,3215.0,8.3298,1672853700000,57,,2023-01-04 09:35:00-08:00
8.34,8.37,8.34,8.37,2002.0,8.362,1672854000000,51,,2023-01-04 09:40:00-08:00
8.37,8.38,8.31,8.32,6928.0,8.3531,1672854300000,93,,2023-01-04 09:45:00-08:00
8.32,8.33,8.31,8.33,725.0,8.319,1672854600000,19,,2023-01-04 09:50:00-08:00
8.31,8.31,8.29,8.3,3125.0,8.2999,1672854900000,63,,2023-01-04 09:55:00-08:00
8.29,8.31,8.25,8.26,9158.0,8.2862,1672855200000,137,,2023-01-04 10:00:00-08:00
8.25,8.28,8.25,8.28,5852.0,8.263,1672855500000,70,,2023-01-04 10:05:00-08:00
8.28,8.3,8.28,8.29,6962.0,8.2941,1672855800000,122,,2023-01-04 10:10:00-08:00
8.31,8.345,8.29,8.33,8484.0,8.3103,1672856100000,154,,2023-01-04 10:15:00-08:00
8.325,8.35,8.315,8.35,3633.0,8.3263,1672856400000,49,,2023-01-04 10:20:00-08:00
8.34,8.39,8.34,8.39,3154.0,8.3627,1672856700000,68,,2023-01-04 10:25:00-08:00
8.42,8.46,8.39,8.45,5293.0,8.4166,1672857000000,75,,2023-01-04 10:30:00-08:00
8.45,8.5,8.44,8.455,6208.0,8.4782,1672857300000,104,,2023-01-04 10:35:00-08:00
8.47,8.47,8.44,8.45,2935.0,8.4514,1672857600000,83,,2023-01-04 10:40:00-08:00
8.45,8.46,8.43,8.43,6287.0,8.4455,1672857900000,131,,2023-01-04 10:45:00-08:00
8.42,8.435,8.405,8.41,3843.0,8.4219,1672858200000,66,,2023-01-04 10:50:00-08:00
8.393,8.4,8.38,8.38,4736.0,8.3917,1672858500000,107,,2023-01-04 10:55:00-08:00
8.37,8.425,8.34,8.371,11616.0,8.3803,1672858800000,181,,2023-01-04 11:00:00-08:00
8.4,8.42,8.35,8.36,3020.0,8.3916,1672859100000,52,,2023-01-04 11:05:00-08:00
8.355,8.37,8.35,8.37,3626.0,8.3589,1672859400000,78,,2023-01-04 11:10:00-08:00
8.37,8.38,8.345,8.35,8033.0,8.3575,1672859700000,132,,2023-01-04 11:15:00-08:00
8.36,8.36,8.29,8.29,5558.0,8.3329,1672860000000,94,,2023-01-04 11:20:00-08:00
8.29,8.31,8.25,8.28,10160.0,8.2743,1672860300000,135,,2023-01-04 11:25:00-08:00
8.27,8.31,8.27,8.3,5723.0,8.2826,1672860600000,96,,2023-01-04 11:30:00-08:00
8.3,8.31,8.275,8.28,5923.0,8.2935,1672860900000,124,,2023-01-04 11:35:00-08:00
8.28,8.31,8.28,8.3,6375.0,8.2995,1672861200000,118,,2023-01-04 11:40:00-08:00
8.29,8.32,8.285,8.295,6187.0,8.297,1672861500000,119,,2023-01-04 11:45:00-08:00
8.295,8.32,8.285,8.3,8657.0,8.298,1672861800000,145,,2023-01-04 11:50:00-08:00
8.3,8.35,8.3,8.34,5117.0,8.3277,1672862100000,134,,2023-01-04 11:55:00-08:00
8.345,8.41,8.34,8.395,6529.0,8.3572,1672862400000,153,,2023-01-04 12:00:00-08:00
8.41,8.41,8.36,8.36,5862.0,8.3821,1672862700000,71,,2023-01-04 12:05:00-08:00
8.36,8.36,8.33,8.34,3224.0,8.3412,1672863000000,73,,2023-01-04 12:10:00-08:00
8.345,8.37,8.345,8.35,7272.0,8.3559,1672863300000,119,,2023-01-04 12:15:00-08:00
8.365,8.37,8.23,8.34,38212.0,8.3209,1672863600000,425,,2023-01-04 12:20:00-08:00
8.35,8.49,8.35,8.49,14456.0,8.4224,1672863900000,230,,2023-01-04 12:25:00-08:00
8.48,8.5,8.45,8.5,9113.0,8.4796,1672864200000,148,,2023-01-04 12:30:00-08:00
8.5,8.5,8.45,8.46,11662.0,8.4821,1672864500000,170,,2023-01-04 12:35:00-08:00
8.455,8.48,8.43,8.47,12675.0,8.4534,1672864800000,205,,2023-01-04 12:40:00-08:00
8.46,8.5,8.45,8.49,8331.0,8.4799,1672865100000,152,,2023-01-04 12:45:00-08:00
8.5,8.5,8.455,8.48,26104.0,8.4833,1672865400000,399,,2023-01-04 12:50:00-08:00
8.475,8.54,8.47,8.5,76273.0,8.5097,1672865700000,920,,2023-01-04 12:55:00-08:00
8.5,8.5,8.5,8.5,13158.0,8.5,1672866000000,10,,2023-01-04 13:00:00-08:00
8.315,8.33,8.3,8.31,1683.0,8.3087,1672939800000,38,,2023-01-05 09:30:00-08:00
8.31,8.34,8.31,8.33,2440.0,8.3213,1672940100000,46,,2023-01-05 09:35:00-08:00
8.33,8.33,8.28,8.28,3095.0,8.3174,1672940400000,61,,2023-01-05 09:40:00-08:00
8.28,8.3,8.28,8.2948,2384.0,8.29,1672940700000,25,,2023-01-05 09:45:00-08:00
8.31,8.34,8.27,8.28,2933.0,8.3236,1672941000000,66,,2023-01-05 09:50:00-08:00
8.27,8.27,8.23,8.23,3295.0,8.2487,1672941300000,44,,2023-01-05 09:55:00-08:00
8.24,8.24,8.19,8.19,8011.0,8.2031,1672941600000,97,,2023-01-05 10:00:00-08:00
8.185,8.19,8.15,8.155,7420.0,8.1721,1672941900000,115,,2023-01-05 10:05:00-08:00
8.15,8.18,8.15,8.18,4052.0,8.1599,1672942200000,61,,2023-01-05 10:10:00-08:00
8.18,8.18,8.16,8.16,2623.0,8.1776,1672942500000,45,,2023-01-05 10:15:00-08:00
8.17,8.25,8.17,8.25,3383.0,8.1992,1672942800000,61,,2023-01-05 10:20:00-08:00
8.25,8.26,8.19,8.2,3910.0,8.2389,1672943100000,79,,2023-01-05 10:25:00-08:00
8.21,8.28,8.21,8.265,4055.0,8.2373,1672943400000,66,,2023-01-05 10:30:00-08:00
8.265,8.3,8.265,8.29,3804.0,8.2831,1672943700000,77,,2023-01-05 10:35:00-08:00
8.29,8.3,8.27,8.28,2236.0,8.2835,1672944000000,34,,2023-01-05 10:40:00-08:00
8.27,8.27,8.26,8.27,3492.0,8.2689,1672944300000,74,,2023-01-05 10:45:00-08:00
8.26,8.27,8.26,8.27,3631.0,8.2645,1672944600000,56,,2023-01-05 10:50:00-08:00
8.27,8.28,8.25,8.28,4212.0,8.2619,1672944900000,93,,2023-01-05 10:55:00-08:00
8.27,8.3,8.27,8.28,1736.0,8.2846,1672945200000,33,,2023-01-05 11:00:00-08:00
8.28,8.28,8.26,8.28,2831.0,8.2673,1672945500000,59,,2023-01-05 11:05:00-08:00
8.275,8.275,8.255,8.26,2722.0,8.2668,1672945800000,34,,2023-01-05 11:10:00-08:00
8.27,8.27,8.265,8.265,421.0,8.2666,1672946100000,11,,2023-01-05 11:15:00-08:00
8.265,8.28,8.26,8.26,2660.0,8.2674,1672946400000,32,,2023-01-05 11:20:00-08:00
8.26,8.26,8.21,8.21,1600.0,8.233,1672946700000,41,,2023-01-05 11:25:00-08:00
8.23,8.25,8.23,8.25,1493.0,8.2358,1672947000000,36,,2023-01-05 11:30:00-08:00
8.26,8.31,8.26,8.31,1906.0,8.2817,1672947300000,26,,2023-01-05 11:35:00-08:00
8.3,8.33,8.3,8.32,1690.0,8.308,1672947600000,39,,2023-01-05 11:40:00-08:00
8.32,8.34,8.32,8.34,3499.0,8.3283,1672947900000,69,,2023-01-05 11:45:00-08:00
8.32,8.32,8.29,8.3,2318.0,8.3112,1672948200000,43,,2023-01-05 11:50:00-08:00
8.3,8.3,8.25,8.25,3421.0,8.2768,1672948500000,57,,2023-01-05 11:55:00-08:00
8.25,8.25,8.185,8.19,6632.0,8.2115,1672948800000,83,,2023-01-05 12:00:00-08:00
8.18,8.19,8.17,8.19,4422.0,8.1825,1672949100000,67,,2023-01-05 12:05:00-08:00
8.19,8.23,8.17,8.22,7414.0,8.2064,1672949400000,142,,2023-01-05 12:10:00-08:00
8.24,8.24,8.2,8.2,2750.0,8.2246,1672949700000,39,,2023-01-05 12:15:00-08:00
8.2,8.21,8.16,8.1998,4062.0,8.1864,1672950000000,56,,2023-01-05 12:20:00-08:00
8.2,8.21,8.2,8.21,2952.0,8.2047,1672950300000,74,,2023-01-05 12:25:00-08:00
8.22,8.225,8.19,8.2,4721.0,8.2098,1672950600000,75,,2023-01-05 12:30:00-08:00
8.1901,8.21,8.19,8.2,7931.0,8.1994,1672950900000,123,,2023-01-05 12:35:00-08:00
8.2,8.21,8.2,8.2,3484.0,8.2017,1672951200000,83,,2023-01-05 12:40:00-08:00
8.2,8.22,8.19,8.21,9271.0,8.2071,1672951500000,190,,2023-01-05 12:45:00-08:00
8.21,8.225,8.2,8.2,9454.0,8.2125,1672951800000,224,,2023-01-05 12:50:00-08:00
8.2,8.23,8.2,8.2,39429.0,8.2138,1672952100000,518,,2023-01-05 12:55:00-08:00
8.22,8.22,8.22,8.22,2209.0,8.22,1672952400000,5,,2023-01-05 13:00:00-08:00
8.51,8.52,8.495,8.495,3187.0,8.5135,1673026200000,72,,2023-01-06 09:30:00-08:00
8.5,8.5,8.47,8.49,2041.0,8.4877,1673026800000,36,,2023-01-06 09:40:00-08:00
8.49,8.49,8.47,8.48,1481.0,8.4807,1673027100000,57,,2023-01-06 09:45:00-08:00
8.49,8.49,8.4668,8.4668,1358.0,8.4696,1673027400000,8,,2023-01-06 09:50:00-08:00
8.48,8.48,8.47,8.47,1166.0,8.4778,1673027700000,27,,2023-01-06 09:55:00-08:00
8.49,8.51,8.49,8.49,1984.0,8.493,1673028000000,52,,2023-01-06 10:00:00-08:00
8.51,8.515,8.51,8.515,685.0,8.5056,1673028300000,23,,2023-01-06 10:05:00-08:00
8.505,8.52,8.485,8.485,3633.0,8.511,1673028600000,56,,2023-01-06 10:10:00-08:00
8.48,8.51,8.48,8.51,1654.0,8.4888,1673028900000,42,,2023-01-06 10:15:00-08:00
8.49,8.5,8.49,8.5,775.0,8.4975,1673029500000,18,,2023-01-06 10:25:00-08:00
8.49,8.49,8.485,8.49,1081.0,8.4894,1673029800000,38,,2023-01-06 10:30:00-08:00
8.48,8.5,8.48,8.495,3622.0,8.4944,1673030100000,80,,2023-01-06 10:35:00-08:00
8.44,8.44,8.44,8.44,352.0,8.4468,1673030700000,13,,2023-01-06 10:45:00-08:00
8.43,8.43,8.405,8.405,851.0,8.4227,1673031000000,13,,2023-01-06 10:50:00-08:00
8.405,8.405,8.405,8.405,246.0,8.4022,1673031300000,4,,2023-01-06 10:55:00-08:00
8.41,8.43,8.41,8.43,1528.0,8.4208,1673031600000,68,,2023-01-06 11:00:00-08:00
8.42,8.46,8.41,8.46,2649.0,8.4305,1673031900000,54,,2023-01-06 11:05:00-08:00
8.47,8.51,8.47,8.495,915.0,8.482,1673032200000,23,,2023-01-06 11:10:00-08:00
8.53,8.53,8.49,8.49,1670.0,8.502,1673032500000,36,,2023-01-06 11:15:00-08:00
8.5,8.5,8.5,8.5,376.0,8.5002,1673032800000,19,,2023-01-06 11:20:00-08:00
8.51,8.51,8.435,8.435,2215.0,8.4775,1673033100000,31,,2023-01-06 11:25:00-08:00
8.42,8.43,8.42,8.42,743.0,8.4266,1673033400000,17,,2023-01-06 11:30:00-08:00
8.43,8.44,8.43,8.435,1685.0,8.4328,1673033700000,59,,2023-01-06 11:35:00-08:00
8.425,8.43,8.39,8.39,2971.0,8.4198,1673034000000,61,,2023-01-06 11:40:00-08:00
8.41,8.41,8.41,8.41,283.0,8.4097,1673034300000,15,,2023-01-06 11:45:00-08:00
8.4225,8.4225,8.4225,8.4225,122.0,8.4184,1673034600000,3,,2023-01-06 11:50:00-08:00
8.42,8.43,8.41,8.41,1974.0,8.42,1673034900000,58,,2023-01-06 11:55:00-08:00
8.43,8.46,8.43,8.45,1749.0,8.4487,1673035200000,71,,2023-01-06 12:00:00-08:00
8.45,8.4848,8.42,8.43,7191.0,8.4564,1673035500000,143,,2023-01-06 12:05:00-08:00
8.42,8.42,8.41,8.42,1588.0,8.4157,1673035800000,49,,2023-01-06 12:10:00-08:00
8.41,8.435,8.41,8.435,1222.0,8.4279,1673036100000,42,,2023-01-06 12:15:00-08:00
8.44,8.44,8.41,8.43,3656.0,8.4256,1673036400000,98,,2023-01-06 12:20:00-08:00
8.42,8.42,8.39,8.39,1371.0,8.4024,1673036700000,32,,2023-01-06 12:25:00-08:00
8.395,8.41,8.39,8.3901,5598.0,8.3988,1673037000000,91,,2023-01-06 12:30:00-08:00
8.39,8.4,8.375,8.38,2483.0,8.3886,1673037300000,52,,2023-01-06 12:35:00-08:00
8.39,8.42,8.39,8.42,4684.0,8.4077,1673037600000,128,,2023-01-06 12:40:00-08:00
8.44,8.45,8.41,8.41,5059.0,8.4313,1673037900000,89,,2023-01-06 12:45:00-08:00
8.4,8.4,8.365,8.39,12160.0,8.3821,1673038200000,215,,2023-01-06 12:50:00-08:00
8.39,8.41,8.36,8.37,37242.0,8.3824,1673038500000,577,,2023-01-06 12:55:00-08:00
8.38,8.38,8.38,8.38,5718.0,8.38,1673038800000,12,,2023-01-06 13:00:00-08:00
7.85,7.85,7.81,7.81,5195.0,7.8361,1673285400000,83,,2023-01-09 09:30:00-08:00
7.8,7.8,7.76,7.76,4007.0,7.788,1673285700000,73,,2023-01-09 09:35:00-08:00
7.76,7.77,7.71,7.74,11714.0,7.733,1673286000000,147,,2023-01-09 09:40:00-08:00
7.74,7.785,7.74,7.78,5784.0,7.7652,1673286300000,83,,2023-01-09 09:45:00-08:00
7.77,7.79,7.77,7.79,1348.0,7.7838,1673286600000,35,,2023-01-09 09:50:00-08:00
7.78,7.8,7.78,7.8,1548.0,7.7886,1673286900000,59,,2023-01-09 09:55:00-08:00
7.79,7.8,7.79,7.79,950.0,7.7939,1673287200000,27,,2023-01-09 10:00:00-08:00
7.79,7.82,7.79,7.815,2646.0,7.8034,1673287500000,71,,2023-01-09 10:05:00-08:00
7.81,7.81,7.76,7.78,16680.0,7.7952,1673287800000,127,,2023-01-09 10:10:00-08:00
7.78,7.78,7.77,7.77,842.0,7.7734,1673288100000,29,,2023-01-09 10:15:00-08:00
7.77,7.79,7.77,7.79,1550.0,7.7808,1673288400000,71,,2023-01-09 10:20:00-08:00
7.79,7.823,7.79,7.823,2184.0,7.8041,1673288700000,46,,2023-01-09 10:25:00-08:00
7.84,7.9,7.84,7.89,16034.0,7.8576,1673289000000,111,,2023-01-09 10:30:00-08:00
7.88,7.88,7.8,7.8,6742.0,7.8387,1673289300000,113,,2023-01-09 10:35:00-08:00
7.78,7.78,7.72,7.77,14311.0,7.7518,1673289600000,149,,2023-01-09 10:40:00-08:00
7.7626,7.765,7.72,7.75,4382.0,7.7418,1673289900000,94,,2023-01-09 10:45:00-08:00
7.76,7.76,7.74,7.74,957.0,7.7561,1673290200000,25,,2023-01-09 10:50:00-08:00
7.74,7.76,7.73,7.76,3462.0,7.7449,1673290500000,103,,2023-01-09 10:55:00-08:00
7.77,7.78,7.77,7.77,1776.0,7.7707,1673290800000,60,,2023-01-09 11:00:00-08:00
7.76,7.76,7.74,7.75,4291.0,7.7532,1673291100000,85,,2023-01-09 11:05:00-08:00
7.76,7.76,7.75,7.76,3833.0,7.7544,1673291400000,68,,2023-01-09 11:10:00-08:00
7.77,7.78,7.77,7.77,2505.0,7.7727,1673291700000,55,,2023-01-09 11:15:00-08:00
7.78,7.82,7.77,7.82,4871.0,7.7938,1673292000000,88,,2023-01-09 11:20:00-08:00
7.81,7.83,7.79,7.83,5865.0,7.8006,1673292300000,127,,2023-01-09 11:25:00-08:00
7.82,7.84,7.82,7.8273,1641.0,7.8276,1673292600000,49,,2023-01-09 11:30:00-08:00
7.8,7.82,7.79,7.79,1582.0,7.798,1673292900000,47,,2023-01-09 11:35:00-08:00
7.76,7.81,7.76,7.81,6834.0,7.7846,1673293200000,136,,2023-01-09 11:40:00-08:00
7.81,7.82,7.78,7.78,3869.0,7.8024,1673293500000,83,,2023-01-09 11:45:00-08:00
7.785,7.785,7.76,7.76,1445.0,7.7726,1673293800000,52,,2023-01-09 11:50:00-08:00
7.75,7.75,7.73,7.74,4980.0,7.7353,1673294100000,122,,2023-01-09 11:55:00-08:00
7.7215,7.74,7.67,7.7,9880.0,7.7083,1673294400000,161,,2023-01-09 12:00:00-08:00
7.68,7.68,7.68,7.68,1437.0,7.6833,1673294700000,44,,2023-01-09 12:05:00-08:00
7.67,7.675,7.65,7.65,4466.0,7.6647,1673295000000,120,,2023-01-09 12:10:00-08:00
7.64,7.66,7.63,7.66,4513.0,7.6492,1673295300000,121,,2023-01-09 12:15:00-08:00
7.66,7.68,7.65,7.66,6260.0,7.6649,1673295600000,141,,2023-01-09 12:20:00-08:00
7.66,7.69,7.66,7.67,6176.0,7.672,1673295900000,166,,2023-01-09 12:25:00-08:00
7.66,7.7,7.645,7.7,7195.0,7.6611,1673296200000,151,,2023-01-09 12:30:00-08:00
7.67,7.675,7.645,7.65,2821.0,7.6635,1673296500000,81,,2023-01-09 12:35:00-08:00
7.65,7.65,7.61,7.64,12872.0,7.631,1673296800000,217,,2023-01-09 12:40:00-08:00
7.63,7.66,7.615,7.63,12460.0,7.6378,1673297100000,200,,2023-01-09 12:45:00-08:00
7.63,7.69,7.63,7.635,26487.0,7.6514,1673297400000,443,,2023-01-09 12:50:00-08:00
7.64,7.64,7.565,7.62,89929.0,7.6,1673297700000,1102,,2023-01-09 12:55:00-08:00
7.63,7.68,7.63,7.68,6151.0,7.6349,1673298000000,7,,2023-01-09 13:00:00-08:00
7.68,7.68,7.67,7.68,599.0,7.6783,1673298300000,6,,2023-01-09 13:05:00-08:00
7.69,7.69,7.69,7.69,100.0,7.69,1673301900000,1,,2023-01-09 14:05:00-08:00
7.78,7.805,7.71,7.73,24332.0,7.7573,1673371800000,199,,2023-01-10 09:30:00-08:00
7.75,7.77,7.73,7.77,5566.0,7.752,1673372100000,81,,2023-01-10 09:35:00-08:00
7.78,7.82,7.775,7.775,5001.0,7.8004,1673372400000,75,,2023-01-10 09:40:00-08:00
7.79,7.79,7.685,7.72,7082.0,7.7195,1673372700000,107,,2023-01-10 09:45:00-08:00
7.72,7.76,7.72,7.73,5488.0,7.732,1673373000000,88,,2023-01-10 09:50:00-08:00
7.75,7.75,7.69,7.71,4689.0,7.715,1673373300000,93,,2023-01-10 09:55:00-08:00
7.69,7.7,7.68,7.7,2949.0,7.6933,1673373600000,75,,2023-01-10 10:00:00-08:00
7.7,7.7254,7.66,7.715,8931.0,7.6861,1673373900000,87,,2023-01-10 10:05:00-08:00
7.7,7.71,7.66,7.67,6144.0,7.6881,1673374200000,81,,2023-01-10 10:10:00-08:00
7.65,7.65,7.6,7.6,2525.0,7.6284,1673374500000,40,,2023-01-10 10:15:00-08:00
7.62,7.66,7.62,7.65,2367.0,7.6428,1673374800000,47,,2023-01-10 10:20:00-08:00
7.65,7.66,7.64,7.65,2561.0,7.6513,1673375100000,35,,2023-01-10 10:25:00-08:00
7.66,7.66,7.64,7.65,3272.0,7.6522,1673375400000,58,,2023-01-10 10:30:00-08:00
7.64,7.65,7.6,7.605,14789.0,7.6204,1673375700000,71,,2023-01-10 10:35:00-08:00
7.62,7.62,7.59,7.595,13812.0,7.6091,1673376000000,57,,2023-01-10 10:40:00-08:00
7.5999,7.62,7.59,7.62,2753.0,7.6049,1673376300000,48,,2023-01-10 10:45:00-08:00
7.61,7.62,7.6,7.61,2297.0,7.6093,1673376600000,49,,2023-01-10 10:50:00-08:00
7.61,7.69,7.6,7.65,30606.0,7.6321,1673376900000,138,,2023-01-10 10:55:00-08:00
7.65,7.71,7.65,7.71,4034.0,7.6821,1673377200000,74,,2023-01-10 11:00:00-08:00
7.73,7.73,7.65,7.65,4854.0,7.689,1673377500000,68,,2023-01-10 11:05:00-08:00
7.65,7.66,7.615,7.62,7269.0,7.6407,1673377800000,119,,2023-01-10 11:10:00-08:00
7.61,7.66,7.61,7.66,3305.0,7.6325,1673378100000,83,,2023-01-10 11:15:00-08:00
