open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
17.52,17.55,17.52,17.525,648,17.5415,1672767300000,6,,2023-01-03 09:35:00-08:00
17.55,17.55,17.515,17.55,943,17.5463,1672767600000,14,,2023-01-03 09:40:00-08:00
17.5025,17.5025,17.5025,17.5025,113,17.5025,1672767900000,1,,2023-01-03 09:45:00-08:00
17.595,17.595,17.57,17.59,1186,17.5899,1672768200000,5,,2023-01-03 09:50:00-08:00
17.59,17.59,17.59,17.59,2700,17.59,1672768500000,5,,2023-01-03 09:55:00-08:00
17.55,17.55,17.55,17.55,216,17.55,1672768800000,3,,2023-01-03 10:00:00-08:00
17.55,17.55,17.55,17.55,1100,17.55,1672769400000,11,,2023-01-03 10:10:00-08:00
17.615,17.63,17.53,17.53,3000,17.5825,1672770000000,24,,2023-01-03 10:20:00-08:00
17.51,17.56,17.49,17.49,950,17.5253,1672770300000,10,,2023-01-03 10:25:00-08:00
17.5645,17.5645,17.5645,17.5645,126,17.5645,1672770900000,1,,2023-01-03 10:35:00-08:00
17.55,17.55,17.55,17.55,186,17.55,1672771500000,1,,2023-01-03 10:45:00-08:00
17.55,17.6104,17.55,17.5872,956,17.5733,1672771800000,16,,2023-01-03 10:50:00-08:00
17.54,17.54,17.49,17.49,565,17.5201,1672772100000,4,,2023-01-03 10:55:00-08:00
17.585,17.6284,17.585,17.6284,1192,17.5893,1672774800000,2,,2023-01-03 11:40:00-08:00
17.6503,17.6503,17.6503,17.6503,104,17.6503,1672775400000,1,,2023-01-03 11:50:00-08:00
17.58,17.58,17.58,17.58,136,17.5514,1672775700000,2,,2023-01-03 11:55:00-08:00
17.51,17.56,17.49,17.56,668,17.5156,1672776000000,8,,2023-01-03 12:00:00-08:00
17.55,17.55,17.55,17.55,100,17.55,1672776300000,1,,2023-01-03 12:05:00-08:00
17.53,17.53,17.53,17.53,100,17.53,1672776600000,1,,2023-01-03 12:10:00-08:00
17.55,17.555,17.55,17.555,396,17.5537,1672776900000,5,,2023-01-03 12:15:00-08:00
17.555,17.555,17.555,17.555,200,17.555,1672777200000,2,,2023-01-03 12:20:00-08:00
17.52,17.52,17.52,17.52,100,17.52,1672777800000,1,,2023-01-03 12:30:00-08:00
17.5,17.58,17.5,17.56,1355,17.5355,1672778100000,18,,2023-01-03 12:35:00-08:00
