open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
80.64,80.91,80.59,80.91,3951,80.7241,1672767000000,103,,2023-01-03 09:30:00-08:00
80.95,80.955,80.95,80.955,358,80.9499,1672767300000,17,,2023-01-03 09:35:00-08:00
80.945,80.96,80.89,80.955,1966,80.9268,1672767600000,52,,2023-01-03 09:40:00-08:00
80.9,80.96,80.83,80.925,4747,80.8842,1672767900000,115,,2023-01-03 09:45:00-08:00
80.88,81.01,80.85,80.86,6962,80.9597,1672768200000,93,,2023-01-03 09:50:00-08:00
80.87,80.98,80.85,80.9,1440,80.8897,1672768500000,35,,2023-01-03 09:55:00-08:00
80.88,80.88,80.76,80.815,3319,80.8135,1672768800000,85,,2023-01-03 10:00:00-08:00
80.75,80.76,80.59,80.63,1839,80.6994,1672769100000,67,,2023-01-03 10:05:00-08:00
80.67,80.71,80.62,80.62,2858,80.6788,1672769400000,86,,2023-01-03 10:10:00-08:00
80.6,80.68,80.6,80.64,1162,80.6504,1672769700000,28,,2023-01-03 10:15:00-08:00
80.64,80.78,80.64,80.78,1453,80.6898,1672770000000,60,,2023-01-03 10:20:00-08:00
80.85,80.85,80.85,80.85,481,80.8463,1672770300000,19,,2023-01-03 10:25:00-08:00
81.15,81.16,81.03,81.03,3177,81.0787,1672770600000,111,,2023-01-03 10:30:00-08:00
81.07,81.19,81.02,81.02,3350,81.1164,1672770900000,103,,2023-01-03 10:35:00-08:00
81.03,81.04,80.93,80.94,1581,80.9856,1672771200000,59,,2023-01-03 10:40:00-08:00
80.94,80.94,80.89,80.94,2587,80.9166,1672771500000,61,,2023-01-03 10:45:00-08:00
80.98,80.99,80.91,80.98,1598,80.9706,1672771800000,47,,2023-01-03 10:50:00-08:00
81.09,81.09,81.02,81.02,915,81.055,1672772100000,33,,2023-01-03 10:55:00-08:00
81.01,81.06,80.96,81.06,1501,81.0133,1672772400000,49,,2023-01-03 11:00:00-08:00
80.84,80.86,80.79,80.83,1997,80.8309,1672772700000,47,,2023-01-03 11:05:00-08:00
80.85,80.88,80.81,80.88,2785,80.8303,1672773000000,69,,2023-01-03 11:10:00-08:00
80.93,80.96,80.855,80.91,1387,80.8919,1672773300000,62,,2023-01-03 11:15:00-08:00
80.88,80.95,80.835,80.835,3189,80.8821,1672773600000,111,,2023-01-03 11:20:00-08:00
80.83,80.92,80.815,80.9,3922,80.8593,1672773900000,87,,2023-01-03 11:25:00-08:00
80.875,80.92,80.82,80.92,5984,80.867,1672774200000,153,,2023-01-03 11:30:00-08:00
80.88,80.9,80.83,80.835,3379,80.8663,1672774500000,94,,2023-01-03 11:35:00-08:00
80.835,80.995,80.835,80.97,3064,80.9183,1672774800000,101,,2023-01-03 11:40:00-08:00
80.99,81.18,80.98,81.15,2830,81.0511,1672775100000,73,,2023-01-03 11:45:00-08:00
81.14,81.17,81.09,81.135,1630,81.1381,1672775400000,58,,2023-01-03 11:50:00-08:00
81.135,81.2,81.12,81.2,1928,81.1558,1672775700000,63,,2023-01-03 11:55:00-08:00
81.205,81.205,81.205,81.205,490,81.1931,1672776000000,24,,2023-01-03 12:00:00-08:00
81.21,81.31,81.2025,81.23,3791,81.2544,1672776300000,110,,2023-01-03 12:05:00-08:00
81.25,81.35,81.21,81.35,4453,81.2687,1672776600000,115,,2023-01-03 12:10:00-08:00
81.39,81.46,81.39,81.46,1078,81.4392,1672776900000,42,,2023-01-03 12:15:00-08:00
81.4,81.405,81.06,81.06,4587,81.3099,1672777200000,186,,2023-01-03 12:20:00-08:00
81.08,81.2,81.0,81.18,4683,81.0987,1672777500000,178,,2023-01-03 12:25:00-08:00
81.24,81.38,81.24,81.38,531,81.3073,1672777800000,25,,2023-01-03 12:30:00-08:00
81.37,81.425,81.37,81.39,3614,81.4024,1672778100000,158,,2023-01-03 12:35:00-08:00
81.4,81.52,81.4,81.49,6324,81.4675,1672778400000,210,,2023-01-03 12:40:00-08:00
