open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.0399,1.04,1.0306,1.0387,8050.0,1.033,1672767000000,5,,2023-01-03 09:30:00-08:00
1.035,1.04,1.03,1.0301,28676.0,1.0308,1672767300000,40,,2023-01-03 09:35:00-08:00
1.035,1.035,1.02,1.0341,12546.0,1.0307,1672767600000,27,,2023-01-03 09:40:00-08:00
1.0301,1.06,1.0301,1.05,39135.0,1.0497,1672767900000,31,,2023-01-03 09:45:00-08:00
1.05,1.0541,1.03,1.03,7910.0,1.0378,1672768200000,29,,2023-01-03 09:50:00-08:00
1.0538,1.06,1.0538,1.06,3644.0,1.0598,1672768800000,4,,2023-01-03 10:00:00-08:00
1.045,1.045,1.0401,1.0401,594.0,1.0409,1672769100000,3,,2023-01-03 10:05:00-08:00
1.045,1.05,1.04,1.05,29558.0,1.0495,1672769400000,20,,2023-01-03 10:10:00-08:00
1.0527,1.053,1.05,1.0501,3100.0,1.0525,1672769700000,6,,2023-01-03 10:15:00-08:00
1.055,1.055,1.04,1.0488,34500.0,1.0472,1672770000000,81,,2023-01-03 10:20:00-08:00
1.04,1.05,1.04,1.05,6150.0,1.0415,1672770600000,17,,2023-01-03 10:30:00-08:00
1.05,1.05,1.045,1.0499,800.0,1.0487,1672770900000,4,,2023-01-03 10:35:00-08:00
1.04,1.05,1.04,1.05,28823.0,1.0429,1672771200000,42,,2023-01-03 10:40:00-08:00
1.0401,1.05,1.03,1.0301,37094.0,1.0398,1672771500000,19,,2023-01-03 10:45:00-08:00
1.04,1.04,1.03,1.03,67234.0,1.0319,1672771800000,88,,2023-01-03 10:50:00-08:00
1.03,1.05,1.03,1.0329,41063.0,1.0463,1672772100000,29,,2023-01-03 10:55:00-08:00
1.0382,1.0393,1.0352,1.0352,3500.0,1.039,1672772400000,3,,2023-01-03 11:00:00-08:00
1.0392,1.04,1.02,1.02,7986.0,1.0385,1672772700000,10,,2023-01-03 11:05:00-08:00
1.0215,1.0227,1.02,1.0201,3343.0,1.0215,1672773000000,10,,2023-01-03 11:10:00-08:00
1.025,1.025,1.0,1.0158,10831.0,1.0075,1672773300000,15,,2023-01-03 11:15:00-08:00
1.0178,1.0178,1.0178,1.0178,1000.0,1.0178,1672773600000,1,,2023-01-03 11:20:00-08:00
1.0159,1.0185,1.0159,1.016,6160.0,1.0181,1672773900000,6,,2023-01-03 11:25:00-08:00
1.01,1.0157,1.0,1.01,14833.0,1.0016,1672774200000,27,,2023-01-03 11:30:00-08:00
1.0099,1.0099,1.005,1.0093,1144.0,1.0083,1672774500000,5,,2023-01-03 11:35:00-08:00
1.0051,1.0051,0.99,0.99,18000.0,0.9958,1672774800000,13,,2023-01-03 11:40:00-08:00
1.01,1.02,1.0019,1.02,7250.0,1.0162,1672775100000,37,,2023-01-03 11:45:00-08:00
1.0199,1.0199,1.0199,1.0199,500.0,1.0199,1672775400000,1,,2023-01-03 11:50:00-08:00
1.02,1.04,1.02,1.03,8100.0,1.0298,1672775700000,17,,2023-01-03 11:55:00-08:00
1.035,1.0365,1.035,1.0365,3601.0,1.0357,1672776000000,4,,2023-01-03 12:00:00-08:00
1.0364,1.04,1.0364,1.0364,1868.0,1.0367,1672776300000,7,,2023-01-03 12:05:00-08:00
1.0362,1.05,1.0362,1.04,22350.0,1.0429,1672776600000,27,,2023-01-03 12:10:00-08:00
1.04,1.04,1.03,1.0399,2704.0,1.0393,1672776900000,6,,2023-01-03 12:15:00-08:00
1.03,1.03,1.03,1.03,800.0,1.03,1672777200000,8,,2023-01-03 12:20:00-08:00
1.03,1.0304,1.03,1.03,3800.0,1.0301,1672777500000,30,,2023-01-03 12:25:00-08:00
1.03,1.03,1.02,1.02,1807.0,1.0234,1672777800000,8,,2023-01-03 12:30:00-08:00
1.02,1.0299,1.02,1.02,300.0,1.0233,1672778100000,3,,2023-01-03 12:35:00-08:00
1.02,1.04,1.02,1.035,16252.0,1.0328,1672778400000,31,,2023-01-03 12:40:00-08:00
1.0308,1.0373,1.03,1.03,12600.0,1.0301,1672778700000,13,,2023-01-03 12:45:00-08:00
1.03,1.04,1.02,1.04,22028.0,1.0276,1672779000000,56,,2023-01-03 12:50:00-08:00
1.035,1.06,1.03,1.05,28453.0,1.0415,1672779300000,69,,2023-01-03 12:55:00-08:00
1.03,1.03,1.03,1.03,1005.0,1.03,1672783500000,2,,2023-01-03 14:05:00-08:00
1.03,1.03,1.03,1.03,100.0,1.03,1672785000000,1,,2023-01-03 14:30:00-08:00
1.0299,1.0299,1.0299,1.0299,1000.0,1.0299,1672787100000,1,,2023-01-03 15:05:00-08:00
1.03,1.03,1.03,1.03,900.0,1.03,1672789200000,1,,2023-01-03 15:40:00-08:00
1.03,1.03,1.03,1.03,3000.0,1.03,1672790400000,2,,2023-01-03 16:00:00-08:00
1.0496,1.0498,1.04,1.0498,9848.0,1.045,1672853400000,9,,2023-01-04 09:30:00-08:00
1.0444,1.06,1.0444,1.0592,19404.0,1.0513,1672853700000,38,,2023-01-04 09:35:00-08:00
1.0566,1.07,1.05,1.0699,63259.0,1.059,1672854000000,63,,2023-01-04 09:40:00-08:00
1.07,1.095,1.0599,1.0599,98672.0,1.0762,1672854300000,111,,2023-01-04 09:45:00-08:00
1.0559,1.08,1.0559,1.06,42359.0,1.0707,1672854600000,59,,2023-01-04 09:50:00-08:00
1.0562,1.06,1.055,1.06,8218.0,1.0593,1672854900000,18,,2023-01-04 09:55:00-08:00
1.06,1.0737,1.052,1.06,29654.0,1.0676,1672855200000,37,,2023-01-04 10:00:00-08:00
1.0651,1.07,1.065,1.0696,7312.0,1.0663,1672855500000,9,,2023-01-04 10:05:00-08:00
1.0672,1.08,1.0671,1.0698,27900.0,1.0704,1672855800000,37,,2023-01-04 10:10:00-08:00
1.0679,1.08,1.0679,1.0739,34808.0,1.0736,1672856100000,35,,2023-01-04 10:15:00-08:00
1.07,1.08,1.07,1.0752,8384.0,1.0743,1672856400000,26,,2023-01-04 10:20:00-08:00
1.0799,1.08,1.0778,1.08,1500.0,1.0787,1672856700000,3,,2023-01-04 10:25:00-08:00
1.0761,1.08,1.07,1.07,11906.0,1.0782,1672857000000,9,,2023-01-04 10:30:00-08:00
1.08,1.09,1.0799,1.0892,38554.0,1.087,1672857300000,42,,2023-01-04 10:35:00-08:00
1.09,1.11,1.0897,1.1001,96607.0,1.1017,1672857600000,64,,2023-01-04 10:40:00-08:00
1.1099,1.1099,1.0757,1.09,39719.0,1.0898,1672857900000,73,,2023-01-04 10:45:00-08:00
1.09,1.1,1.09,1.1,7288.0,1.0964,1672858200000,13,,2023-01-04 10:50:00-08:00
1.085,1.1,1.0827,1.09,3050.0,1.0866,1672858500000,9,,2023-01-04 10:55:00-08:00
1.095,1.1,1.07,1.0734,30700.0,1.0906,1672858800000,49,,2023-01-04 11:00:00-08:00
1.08,1.09,1.0701,1.08,10219.0,1.0791,1672859100000,29,,2023-01-04 11:05:00-08:00
1.08,1.1,1.0799,1.0873,8300.0,1.0849,1672859400000,13,,2023-01-04 11:10:00-08:00
1.09,1.09,1.09,1.09,500.0,1.09,1672859700000,4,,2023-01-04 11:15:00-08:00
1.0885,1.09,1.0885,1.0885,5100.0,1.0891,1672860000000,15,,2023-01-04 11:20:00-08:00
1.0807,1.09,1.08,1.08,12314.0,1.0804,1672860300000,26,,2023-01-04 11:25:00-08:00
1.0735,1.09,1.0735,1.09,3697.0,1.0781,1672860600000,11,,2023-01-04 11:30:00-08:00
1.09,1.0927,1.0738,1.0738,14000.0,1.089,1672860900000,28,,2023-01-04 11:35:00-08:00
1.0727,1.08,1.07,1.08,11600.0,1.078,1672861200000,12,,2023-01-04 11:40:00-08:00
1.08,1.08,1.0792,1.0792,2976.0,1.0793,1672861500000,5,,2023-01-04 11:45:00-08:00
1.0899,1.09,1.0701,1.08,9704.0,1.0786,1672861800000,19,,2023-01-04 11:50:00-08:00
1.09,1.09,1.08,1.09,13400.0,1.0879,1672862100000,16,,2023-01-04 11:55:00-08:00
1.09,1.09,1.085,1.09,23581.0,1.0891,1672862400000,15,,2023-01-04 12:00:00-08:00
1.1,1.1,1.0835,1.085,11135.0,1.0894,1672862700000,19,,2023-01-04 12:05:00-08:00
1.085,1.1,1.085,1.1,13315.0,1.0933,1672863000000,18,,2023-01-04 12:10:00-08:00
1.1,1.11,1.0901,1.0901,29454.0,1.1017,1672863300000,54,,2023-01-04 12:15:00-08:00
1.1,1.11,1.1,1.1,9595.0,1.1077,1672863600000,21,,2023-01-04 12:20:00-08:00
1.1,1.11,1.1,1.1091,4929.0,1.1013,1672863900000,29,,2023-01-04 12:25:00-08:00
1.0907,1.0992,1.09,1.0992,12397.0,1.0907,1672864200000,21,,2023-01-04 12:30:00-08:00
1.095,1.095,1.09,1.095,4400.0,1.0916,1672864500000,11,,2023-01-04 12:35:00-08:00
