open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.89,1.89,1.88,1.882,14826.0,1.8847,1672767000000,77,,2023-01-03 09:30:00-08:00
1.885,1.89,1.88,1.8801,4424.0,1.8832,1672767300000,43,,2023-01-03 09:35:00-08:00
1.8801,1.885,1.86,1.86,19851.0,1.8745,1672767600000,143,,2023-01-03 09:40:00-08:00
1.865,1.865,1.8523,1.855,33304.0,1.8602,1672767900000,135,,2023-01-03 09:45:00-08:00
1.8591,1.865,1.8506,1.865,13549.0,1.8591,1672768200000,67,,2023-01-03 09:50:00-08:00
1.865,1.88,1.865,1.875,8844.0,1.8708,1672768500000,46,,2023-01-03 09:55:00-08:00
1.88,1.885,1.875,1.885,11543.0,1.8799,1672768800000,49,,2023-01-03 10:00:00-08:00
1.885,1.885,1.87,1.875,10834.0,1.8798,1672769100000,50,,2023-01-03 10:05:00-08:00
1.875,1.88,1.87,1.875,3926.0,1.8761,1672769400000,27,,2023-01-03 10:10:00-08:00
1.875,1.875,1.86,1.8634,8039.0,1.8692,1672769700000,61,,2023-01-03 10:15:00-08:00
1.865,1.865,1.85,1.8574,7668.0,1.8596,1672770000000,82,,2023-01-03 10:20:00-08:00
1.8599,1.87,1.855,1.87,13570.0,1.8615,1672770300000,67,,2023-01-03 10:25:00-08:00
1.8699,1.87,1.85,1.855,9133.0,1.8615,1672770600000,74,,2023-01-03 10:30:00-08:00
1.86,1.865,1.86,1.86,14430.0,1.8631,1672770900000,54,,2023-01-03 10:35:00-08:00
1.865,1.87,1.86,1.87,1323.0,1.8657,1672771200000,17,,2023-01-03 10:40:00-08:00
1.865,1.87,1.86,1.87,2520.0,1.8661,1672771500000,22,,2023-01-03 10:45:00-08:00
1.8686,1.88,1.86,1.88,10501.0,1.8705,1672771800000,59,,2023-01-03 10:50:00-08:00
1.88,1.88,1.875,1.88,4116.0,1.8782,1672772100000,26,,2023-01-03 10:55:00-08:00
1.88,1.88,1.87,1.875,5119.0,1.8745,1672772400000,38,,2023-01-03 11:00:00-08:00
1.88,1.88,1.87,1.88,3749.0,1.8736,1672772700000,29,,2023-01-03 11:05:00-08:00
