open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.49,2.52,2.49,2.5,1099,2.5027,1672767000000,8,,2023-01-03 09:30:00-08:00
2.49,2.53,2.49,2.49,500,2.504,1672767300000,5,,2023-01-03 09:35:00-08:00
2.52,2.52,2.49,2.52,500,2.508,1672767600000,5,,2023-01-03 09:40:00-08:00
2.52,2.52,2.49,2.52,625,2.5044,1672767900000,8,,2023-01-03 09:45:00-08:00
2.49,2.51,2.49,2.49,600,2.4995,1672768200000,8,,2023-01-03 09:50:00-08:00
2.52,2.52,2.49,2.52,399,2.5078,1672768500000,5,,2023-01-03 09:55:00-08:00
2.52,2.52,2.49,2.5,600,2.505,1672768800000,6,,2023-01-03 10:00:00-08:00
2.52,2.53,2.49,2.527,5171,2.5197,1672769100000,39,,2023-01-03 10:05:00-08:00
2.53,2.53,2.52,2.52,300,2.5233,1672769400000,3,,2023-01-03 10:10:00-08:00
2.52,2.52,2.49,2.49,1801,2.4967,1672769700000,11,,2023-01-03 10:15:00-08:00
2.49,2.52,2.49,2.52,500,2.508,1672770000000,6,,2023-01-03 10:20:00-08:00
2.5,2.52,2.49,2.5,1000,2.506,1672770300000,11,,2023-01-03 10:25:00-08:00
2.5,2.53,2.49,2.49,955,2.5059,1672770600000,13,,2023-01-03 10:30:00-08:00
2.52,2.53,2.5,2.53,700,2.5093,1672770900000,7,,2023-01-03 10:35:00-08:00
2.51,2.515,2.5,2.5,860,2.5041,1672771200000,9,,2023-01-03 10:40:00-08:00
2.515,2.515,2.47,2.47,817,2.4975,1672771500000,11,,2023-01-03 10:45:00-08:00
2.5,2.5,2.46,2.46,723,2.4794,1672771800000,8,,2023-01-03 10:50:00-08:00
2.48,2.49,2.48,2.49,753,2.4807,1672772100000,12,,2023-01-03 10:55:00-08:00
2.5,2.5,2.5,2.5,100,2.5,1672773600000,1,,2023-01-03 11:20:00-08:00
2.485,2.4955,2.485,2.4955,1000,2.4934,1672773900000,4,,2023-01-03 11:25:00-08:00
