open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.56,8.56,8.535,8.55,480.0,8.5525,1692117000000,10,,2023-08-15 09:30:00-07:00
8.52,8.52,8.52,8.52,112.0,8.5221,1692117300000,2,,2023-08-15 09:35:00-07:00
8.54,8.54,8.52,8.52,263.0,8.5305,1692117600000,4,,2023-08-15 09:40:00-07:00
8.54,8.55,8.54,8.55,1290.0,8.5443,1692117900000,21,,2023-08-15 09:45:00-07:00
8.5538,8.63,8.5538,8.63,1554.0,8.5985,1692118200000,16,,2023-08-15 09:50:00-07:00
8.63,8.66,8.63,8.65,1630.0,8.6498,1692118500000,7,,2023-08-15 09:55:00-07:00
8.655,8.655,8.655,8.655,103.0,8.6556,1692118800000,2,,2023-08-15 10:00:00-07:00
8.65,8.65,8.63,8.63,6623.0,8.6418,1692119400000,30,,2023-08-15 10:10:00-07:00
8.64,8.6499,8.52,8.52,17179.0,8.6035,1692119700000,26,,2023-08-15 10:15:00-07:00
8.54,8.54,8.54,8.54,200.0,8.54,1692120000000,2,,2023-08-15 10:20:00-07:00
8.55,8.6,8.55,8.6,29777.0,8.5983,1692120300000,32,,2023-08-15 10:25:00-07:00
8.62,8.62,8.555,8.555,4939.0,8.6025,1692120600000,20,,2023-08-15 10:30:00-07:00
8.5101,8.5542,8.51,8.55,6111.0,8.5202,1692120900000,20,,2023-08-15 10:35:00-07:00
8.56,8.56,8.5101,8.5101,896.0,8.5366,1692121200000,7,,2023-08-15 10:40:00-07:00
8.51,8.5101,8.43,8.47,4320.0,8.4984,1692121500000,21,,2023-08-15 10:45:00-07:00
8.5,8.51,8.5,8.5073,1820.0,8.5026,1692121800000,10,,2023-08-15 10:50:00-07:00
8.5004,8.5004,8.5,8.5,500.0,8.5021,1692122400000,4,,2023-08-15 11:00:00-07:00
8.49,8.49,8.45,8.45,1230.0,8.4848,1692122700000,7,,2023-08-15 11:05:00-07:00
