open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.11,2.11,2.1,2.1,200.0,2.105,1672767000000,2,,2023-01-03 09:30:00-08:00
2.11,2.11,2.11,2.11,300.0,2.11,1672767300000,3,,2023-01-03 09:35:00-08:00
2.11,2.11,2.11,2.11,100.0,2.11,1672767600000,1,,2023-01-03 09:40:00-08:00
2.11,2.11,2.11,2.11,112.0,2.1089,1672767900000,2,,2023-01-03 09:45:00-08:00
2.11,2.11,2.1,2.1,200.0,2.105,1672768200000,2,,2023-01-03 09:50:00-08:00
2.11,2.11,2.11,2.11,200.0,2.11,1672768500000,2,,2023-01-03 09:55:00-08:00
2.11,2.11,2.1,2.11,300.0,2.1067,1672768800000,3,,2023-01-03 10:00:00-08:00
2.11,2.11,2.1,2.1,200.0,2.105,1672769100000,2,,2023-01-03 10:05:00-08:00
2.1,2.1,2.1,2.1,300.0,2.1,1672769400000,3,,2023-01-03 10:10:00-08:00
2.1,2.1,2.1,2.1,300.0,2.1,1672769700000,3,,2023-01-03 10:15:00-08:00
2.1,2.1,2.071,2.1,450.0,2.0839,1672770000000,3,,2023-01-03 10:20:00-08:00
2.11,2.11,2.11,2.11,300.0,2.11,1672770300000,3,,2023-01-03 10:25:00-08:00
2.11,2.11,2.09,2.11,3101.0,2.0919,1672770600000,7,,2023-01-03 10:30:00-08:00
2.11,2.11,2.11,2.11,300.0,2.11,1672770900000,3,,2023-01-03 10:35:00-08:00
2.11,2.11,2.11,2.11,200.0,2.11,1672771200000,2,,2023-01-03 10:40:00-08:00
2.11,2.11,2.085,2.1,8909.0,2.0985,1672771500000,26,,2023-01-03 10:45:00-08:00
2.1,2.12,2.09,2.09,2457.0,2.1032,1672772100000,17,,2023-01-03 10:55:00-08:00
2.11,2.11,2.08,2.095,615.0,2.101,1672772400000,8,,2023-01-03 11:00:00-08:00
2.0839,2.11,2.07,2.08,2195.0,2.0786,1672772700000,10,,2023-01-03 11:05:00-08:00
2.08,2.12,2.08,2.11,3701.0,2.1054,1672773000000,22,,2023-01-03 11:10:00-08:00
2.11,2.11,2.11,2.11,300.0,2.11,1672773300000,3,,2023-01-03 11:15:00-08:00
2.1,2.12,2.095,2.095,4192.0,2.1076,1672773600000,29,,2023-01-03 11:20:00-08:00
2.11,2.11,2.08,2.08,1100.0,2.0864,1672773900000,4,,2023-01-03 11:25:00-08:00
2.1,2.1,2.1,2.1,100.0,2.1,1672774200000,1,,2023-01-03 11:30:00-08:00
2.09,2.1,2.07,2.1,1210.0,2.078,1672774500000,9,,2023-01-03 11:35:00-08:00
2.11,2.11,2.09,2.11,505.0,2.0977,1672774800000,6,,2023-01-03 11:40:00-08:00
2.11,2.11,2.11,2.11,200.0,2.11,1672775100000,2,,2023-01-03 11:45:00-08:00
2.0901,2.11,2.08,2.11,1075.0,2.0941,1672775700000,8,,2023-01-03 11:55:00-08:00
2.1,2.12,2.1,2.12,1600.0,2.1073,1672776000000,11,,2023-01-03 12:00:00-08:00
2.12,2.15,2.12,2.15,4515.0,2.1443,1672776300000,22,,2023-01-03 12:05:00-08:00
2.15,2.15,2.15,2.15,300.0,2.15,1672776600000,3,,2023-01-03 12:10:00-08:00
2.15,2.15,2.1296,2.15,405.0,2.1446,1672776900000,5,,2023-01-03 12:15:00-08:00
2.14,2.15,2.12,2.14,5944.0,2.1482,1672777200000,16,,2023-01-03 12:20:00-08:00
2.14,2.14,2.14,2.14,409.0,2.14,1672777500000,5,,2023-01-03 12:25:00-08:00
2.14,2.208,2.14,2.16,39596.0,2.1909,1672777800000,104,,2023-01-03 12:30:00-08:00
2.2,2.2,2.17,2.175,778.0,2.1829,1672778100000,16,,2023-01-03 12:35:00-08:00
2.19,2.19,2.17,2.1701,2423.0,2.1736,1672778400000,11,,2023-01-03 12:40:00-08:00
2.19,2.19,2.16,2.19,2477.0,2.1742,1672778700000,27,,2023-01-03 12:45:00-08:00
2.1885,2.19,2.18,2.19,1552.0,2.1895,1672779000000,67,,2023-01-03 12:50:00-08:00
2.21,2.21,2.16,2.21,13078.0,2.1926,1672779300000,107,,2023-01-03 12:55:00-08:00
2.21,2.21,2.21,2.21,168.0,2.21,1672779600000,2,,2023-01-03 13:00:00-08:00
2.2,2.2,2.2,2.2,100.0,2.2,1672781700000,1,,2023-01-03 13:35:00-08:00
2.2,2.2,2.2,2.2,100.0,2.2,1672790400000,1,,2023-01-03 16:00:00-08:00
2.214,2.214,2.214,2.214,1000.0,2.214,1672856400000,1,,2023-01-04 10:20:00-08:00
2.22,2.22,2.2,2.2,202.0,2.2101,1672857900000,3,,2023-01-04 10:45:00-08:00
2.21,2.21,2.21,2.21,102.0,2.2101,1672858500000,3,,2023-01-04 10:55:00-08:00
2.2042,2.2042,2.2,2.2,769.0,2.2006,1672858800000,12,,2023-01-04 11:00:00-08:00
2.18,2.18,2.18,2.18,190.0,2.1657,1672860300000,3,,2023-01-04 11:25:00-08:00
