open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
78.1,78.45,78.1,78.33,1151,78.3011,1672767000000,33,,2023-01-03 09:30:00-08:00
78.27,78.61,78.19,78.53,3851,78.3699,1672767600000,120,,2023-01-03 09:40:00-08:00
78.53,78.53,78.33,78.33,813,78.3626,1672767900000,33,,2023-01-03 09:45:00-08:00
78.2388,78.375,78.2388,78.375,321,78.2836,1672768200000,5,,2023-01-03 09:50:00-08:00
78.27,78.43,78.27,78.405,2033,78.3297,1672768500000,52,,2023-01-03 09:55:00-08:00
78.4,78.49,78.24,78.49,1255,78.3835,1672768800000,42,,2023-01-03 10:00:00-08:00
78.68,78.68,78.545,78.545,299,78.5754,1672769100000,7,,2023-01-03 10:05:00-08:00
78.64,78.83,78.54,78.67,5974,78.6486,1672769400000,138,,2023-01-03 10:10:00-08:00
78.65,78.65,78.59,78.65,618,78.6119,1672769700000,17,,2023-01-03 10:15:00-08:00
78.54,78.56,78.46,78.46,970,78.5259,1672770000000,17,,2023-01-03 10:20:00-08:00
78.61,78.87,78.61,78.87,866,78.7453,1672770300000,28,,2023-01-03 10:25:00-08:00
78.76,78.76,78.61,78.61,1425,78.6923,1672770600000,45,,2023-01-03 10:30:00-08:00
78.63,78.98,78.63,78.72,5787,78.77,1672770900000,193,,2023-01-03 10:35:00-08:00
78.78,78.8519,78.72,78.79,1063,78.7875,1672771200000,33,,2023-01-03 10:40:00-08:00
78.78,78.87,78.78,78.855,1648,78.8162,1672771500000,48,,2023-01-03 10:45:00-08:00
78.88,79.05,78.88,78.98,1345,78.9917,1672771800000,37,,2023-01-03 10:50:00-08:00
79.05,79.05,78.93,78.97,1455,78.9555,1672772100000,55,,2023-01-03 10:55:00-08:00
79.02,79.02,78.82,78.925,2665,78.9295,1672772400000,63,,2023-01-03 11:00:00-08:00
78.94,78.94,78.75,78.755,1346,78.8423,1672772700000,65,,2023-01-03 11:05:00-08:00
78.66,78.705,78.23,78.325,7856,78.5441,1672773000000,146,,2023-01-03 11:10:00-08:00
78.38,78.42,78.26,78.39,1491,78.3871,1672773300000,49,,2023-01-03 11:15:00-08:00
78.355,78.355,78.05,78.22,5820,78.2154,1672773600000,180,,2023-01-03 11:20:00-08:00
78.16,78.16,78.05,78.11,672,78.0963,1672773900000,16,,2023-01-03 11:25:00-08:00
77.985,77.985,77.83,77.88,2848,77.8758,1672774200000,78,,2023-01-03 11:30:00-08:00
77.93,77.93,77.8775,77.8775,309,77.9001,1672774500000,7,,2023-01-03 11:35:00-08:00
77.9,78.19,77.9,78.125,4360,78.0238,1672774800000,138,,2023-01-03 11:40:00-08:00
78.19,78.572,78.19,78.54,2345,78.4529,1672775100000,95,,2023-01-03 11:45:00-08:00
78.44,78.44,78.34,78.34,3278,78.3889,1672775400000,159,,2023-01-03 11:50:00-08:00
78.28,78.42,78.28,78.325,1765,78.3319,1672775700000,56,,2023-01-03 11:55:00-08:00
78.37,78.46,78.32,78.3325,6540,78.4059,1672776000000,191,,2023-01-03 12:00:00-08:00
78.375,78.375,78.23,78.35,6127,78.3162,1672776300000,172,,2023-01-03 12:05:00-08:00
78.37,78.53,78.37,78.53,2217,78.4342,1672776600000,65,,2023-01-03 12:10:00-08:00
78.61,79.04,78.61,78.81,5120,78.8968,1672776900000,140,,2023-01-03 12:15:00-08:00
78.695,78.695,78.29,78.335,8227,78.4006,1672777200000,212,,2023-01-03 12:20:00-08:00
78.335,78.58,78.29,78.58,6064,78.4056,1672777500000,151,,2023-01-03 12:25:00-08:00
78.55,78.84,78.55,78.73,4546,78.7305,1672777800000,129,,2023-01-03 12:30:00-08:00
78.65,78.77,78.415,78.415,3082,78.5998,1672778100000,86,,2023-01-03 12:35:00-08:00
78.41,78.58,78.39,78.47,20171,78.4172,1672778400000,142,,2023-01-03 12:40:00-08:00
78.47,78.69,78.42,78.69,4665,78.5916,1672778700000,180,,2023-01-03 12:45:00-08:00
78.685,78.845,78.55,78.555,13380,78.726,1672779000000,401,,2023-01-03 12:50:00-08:00
78.52,78.635,78.16,78.2,53309,78.35,1672779300000,1034,,2023-01-03 12:55:00-08:00
