open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
83.91,84.19,83.91,84.14,4981.0,84.0585,1672767000000,127,,2023-01-03 09:30:00-08:00
84.13,84.135,84.094,84.094,2300.0,84.1165,1672767300000,65,,2023-01-03 09:35:00-08:00
84.09,84.09,83.97,83.9757,3862.0,84.0079,1672767600000,84,,2023-01-03 09:40:00-08:00
83.89,83.89,83.715,83.725,4707.0,83.8425,1672767900000,119,,2023-01-03 09:45:00-08:00
83.78,83.78,83.73,83.73,2991.0,83.7617,1672768200000,85,,2023-01-03 09:50:00-08:00
83.69,83.78,83.69,83.76,2584.0,83.744,1672768500000,64,,2023-01-03 09:55:00-08:00
83.73,83.86,83.66,83.815,6116.0,83.7283,1672768800000,129,,2023-01-03 10:00:00-08:00
83.78,83.8,83.73,83.8,4450.0,83.773,1672769100000,93,,2023-01-03 10:05:00-08:00
83.79,83.91,83.79,83.865,3565.0,83.8499,1672769400000,77,,2023-01-03 10:10:00-08:00
83.9,84.02,83.89,84.02,2668.0,83.9377,1672769700000,63,,2023-01-03 10:15:00-08:00
83.995,84.02,83.9393,83.98,3617.0,83.9664,1672770000000,77,,2023-01-03 10:20:00-08:00
83.985,84.19,83.985,84.16,4968.0,84.1091,1672770300000,112,,2023-01-03 10:25:00-08:00
84.13,84.13,83.98,83.98,3870.0,84.0402,1672770600000,111,,2023-01-03 10:30:00-08:00
83.98,84.21,83.98,84.035,7432.0,84.0598,1672770900000,166,,2023-01-03 10:35:00-08:00
84.06,84.12,84.06,84.12,3713.0,84.0889,1672771200000,107,,2023-01-03 10:40:00-08:00
84.08,84.08,83.97,84.01,2334.0,84.0379,1672771500000,62,,2023-01-03 10:45:00-08:00
83.985,84.115,83.985,84.09,5731.0,84.0657,1672771800000,134,,2023-01-03 10:50:00-08:00
84.08,84.15,84.08,84.09,2044.0,84.1158,1672772100000,51,,2023-01-03 10:55:00-08:00
84.105,84.105,83.9,83.9,4183.0,84.0177,1672772400000,119,,2023-01-03 11:00:00-08:00
83.87,83.885,83.83,83.87,2838.0,83.8711,1672772700000,76,,2023-01-03 11:05:00-08:00
83.88,83.88,83.71,83.71,4639.0,83.7889,1672773000000,112,,2023-01-03 11:10:00-08:00
83.74,83.795,83.73,83.79,4245.0,83.7598,1672773300000,91,,2023-01-03 11:15:00-08:00
83.8,83.81,83.69,83.69,5012.0,83.756,1672773600000,111,,2023-01-03 11:20:00-08:00
83.6,83.6,83.5,83.52,3433.0,83.579,1672773900000,83,,2023-01-03 11:25:00-08:00
83.53,83.53,83.37,83.415,6707.0,83.4348,1672774200000,131,,2023-01-03 11:30:00-08:00
83.42,83.43,83.345,83.36,3897.0,83.3823,1672774500000,104,,2023-01-03 11:35:00-08:00
83.34,83.63,83.325,83.63,19552.0,83.5587,1672774800000,194,,2023-01-03 11:40:00-08:00
83.64,84.02,83.64,83.96,11085.0,83.898,1672775100000,136,,2023-01-03 11:45:00-08:00
83.9,83.92,83.71,83.77,5244.0,83.8444,1672775400000,167,,2023-01-03 11:50:00-08:00
83.75,83.84,83.65,83.76,11879.0,83.766,1672775700000,204,,2023-01-03 11:55:00-08:00
83.76,83.87,83.71,83.77,13746.0,83.7772,1672776000000,284,,2023-01-03 12:00:00-08:00
83.78,83.8,83.64,83.71,10139.0,83.7073,1672776300000,226,,2023-01-03 12:05:00-08:00
83.705,83.79,83.7,83.77,13744.0,83.7328,1672776600000,304,,2023-01-03 12:10:00-08:00
83.77,83.88,83.77,83.83,11244.0,83.8392,1672776900000,243,,2023-01-03 12:15:00-08:00
83.82,83.82,83.5,83.51,37732.0,83.6149,1672777200000,323,,2023-01-03 12:20:00-08:00
83.52,83.76,83.52,83.76,14354.0,83.6258,1672777500000,309,,2023-01-03 12:25:00-08:00
83.745,83.77,83.64,83.74,13299.0,83.7156,1672777800000,314,,2023-01-03 12:30:00-08:00
83.72,83.755,83.55,83.59,15818.0,83.6571,1672778100000,354,,2023-01-03 12:35:00-08:00
83.58,83.69,83.58,83.675,13483.0,83.6449,1672778400000,283,,2023-01-03 12:40:00-08:00
83.66,83.7,83.58,83.69,20853.0,83.6534,1672778700000,407,,2023-01-03 12:45:00-08:00
83.7,83.91,83.7,83.91,26719.0,83.7939,1672779000000,591,,2023-01-03 12:50:00-08:00
83.91,83.93,83.64,83.69,92498.0,83.7913,1672779300000,1632,,2023-01-03 12:55:00-08:00
