open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.44,9.44,9.44,9.44,6.6875,9.4399,1672768800000,3,,2023-01-03 10:00:00-08:00
9.4384,9.4384,9.4384,9.4384,6.8125,9.4384,1672770000000,1,,2023-01-03 10:20:00-08:00
9.4384,9.4384,9.4384,9.4384,25.0,9.4384,1672772700000,1,,2023-01-03 11:05:00-08:00
8.8,8.8,8.8,8.8,125.625,8.8,1672773000000,3,,2023-01-03 11:10:00-08:00
9.28,9.28,9.28,9.28,6.25,9.28,1672776000000,1,,2023-01-03 12:00:00-08:00
9.12,9.12,9.12,9.12,6.25,9.12,1672776900000,1,,2023-01-03 12:15:00-08:00
8.96,8.96,8.0016,8.0016,559.3125,8.2776,1672854300000,30,,2023-01-04 09:45:00-08:00
8.5888,8.5888,8.5888,8.5888,6.875,8.5884,1672855800000,2,,2023-01-04 10:10:00-08:00
8.2928,8.2928,8.2928,8.2928,10.0,8.2928,1672862100000,1,,2023-01-04 11:55:00-08:00
8.1168,8.1168,8.1168,8.1168,6.25,8.1168,1672864200000,1,,2023-01-04 12:30:00-08:00
8.1552,8.1552,8.1552,8.1552,11.875,8.1552,1672867800000,1,,2023-01-04 13:30:00-08:00
8.792,8.792,8.792,8.792,6.25,8.792,1672941600000,1,,2023-01-05 10:00:00-08:00
8.96,8.96,8.96,8.96,93.9375,8.9606,1672945800000,6,,2023-01-05 11:10:00-08:00
8.96,8.96,8.96,8.96,312.5,8.96,1672950000000,1,,2023-01-05 12:20:00-08:00
8.404,8.404,8.404,8.404,250.25,8.4068,1672951500000,4,,2023-01-05 12:45:00-08:00
7.984,7.984,7.984,7.984,9.4375,7.984,1672959900000,1,,2023-01-05 15:05:00-08:00
8.8,8.8,8.8,8.8,6.25,8.8,1673030700000,1,,2023-01-06 10:45:00-08:00
8.8,8.8,8.4304,8.4304,12.5,8.6152,1673031000000,2,,2023-01-06 10:50:00-08:00
9.28,9.28,9.28,9.28,10.6875,9.2772,1673037300000,3,,2023-01-06 12:35:00-08:00
8.8144,8.816,8.8144,8.816,137.5,8.8145,1673047200000,3,,2023-01-06 15:20:00-08:00
9.28,9.28,9.28,9.28,13.75,9.28,1673048700000,1,,2023-01-06 15:45:00-08:00
8.16,8.16,8.16,8.16,12.5,8.16,1673285700000,2,,2023-01-09 09:35:00-08:00
8.16,8.16,8.16,8.16,12.5,8.164,1673286300000,2,,2023-01-09 09:45:00-08:00
8.16,8.16,8.16,8.16,12.5,8.16,1673287200000,1,,2023-01-09 10:00:00-08:00
8.16,8.16,8.16,8.16,12.5,8.1641,1673288100000,3,,2023-01-09 10:15:00-08:00
8.16,8.16,8.16,8.16,12.5,8.16,1673288700000,2,,2023-01-09 10:25:00-08:00
8.0,8.0016,8.0,8.0016,48.75,8.0028,1673289600000,4,,2023-01-09 10:40:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673290200000,1,,2023-01-09 10:50:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673291100000,1,,2023-01-09 11:05:00-08:00
9.2768,9.2768,9.2768,9.2768,6.25,9.2768,1673291400000,1,,2023-01-09 11:10:00-08:00
9.2736,9.2736,8.0,8.0,20.0,8.4528,1673291700000,4,,2023-01-09 11:15:00-08:00
8.0,8.0,8.0,8.0,12.5,8.044,1673292600000,3,,2023-01-09 11:30:00-08:00
9.2752,9.2752,9.2752,9.2752,6.25,9.2752,1673292900000,1,,2023-01-09 11:35:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673293200000,1,,2023-01-09 11:40:00-08:00
8.0,8.0,8.0,8.0,6.25,8.0,1673293500000,1,,2023-01-09 11:45:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673294100000,2,,2023-01-09 11:55:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673294700000,2,,2023-01-09 12:05:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673295300000,1,,2023-01-09 12:15:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673295600000,1,,2023-01-09 12:20:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673296200000,1,,2023-01-09 12:30:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673296500000,1,,2023-01-09 12:35:00-08:00
9.2768,9.2768,9.2768,9.2768,6.25,9.2768,1673296800000,1,,2023-01-09 12:40:00-08:00
8.0,8.0,8.0,8.0,12.5,8.0,1673297100000,2,,2023-01-09 12:45:00-08:00
8.0,8.532,8.0,8.0,52.1875,8.2771,1673297400000,5,,2023-01-09 12:50:00-08:00
8.5328,8.5328,8.0,8.0,65.0625,8.3069,1673297700000,8,,2023-01-09 12:55:00-08:00
8.8,8.88,8.8,8.88,625.0,8.8784,1673372700000,2,,2023-01-10 09:45:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673373600000,1,,2023-01-10 10:00:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673374200000,1,,2023-01-10 10:10:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673375100000,1,,2023-01-10 10:25:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673375700000,1,,2023-01-10 10:35:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673377200000,1,,2023-01-10 11:00:00-08:00
8.16,8.16,8.16,8.16,6.25,8.16,1673378400000,1,,2023-01-10 11:20:00-08:00
