open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
20.5,20.5,20.5,20.5,150,20.4853,1672770900000,3,,2023-01-03 10:35:00-08:00
20.51,20.51,20.51,20.51,100,20.51,1672771500000,1,,2023-01-03 10:45:00-08:00
20.65,20.65,20.65,20.65,100,20.65,1672778400000,1,,2023-01-03 12:40:00-08:00
21.23,21.23,20.995,20.995,1348,21.0124,1672862700000,3,,2023-01-04 12:05:00-08:00
21.37,21.37,21.37,21.37,113,21.37,1672950000000,1,,2023-01-05 12:20:00-08:00
21.35,21.35,21.35,21.35,202,21.35,1673038500000,1,,2023-01-06 12:55:00-08:00
21.56,21.56,21.56,21.56,207,21.56,1673286600000,4,,2023-01-09 09:50:00-08:00
21.56,21.56,21.56,21.56,100,21.56,1673286900000,1,,2023-01-09 09:55:00-08:00
21.56,21.56,21.56,21.56,100,21.56,1673287800000,1,,2023-01-09 10:10:00-08:00
21.56,21.56,21.56,21.56,100,21.56,1673289000000,1,,2023-01-09 10:30:00-08:00
21.56,21.56,21.56,21.56,105,21.5533,1673289900000,2,,2023-01-09 10:45:00-08:00
21.56,21.56,21.56,21.56,100,21.56,1673290800000,1,,2023-01-09 11:00:00-08:00
21.57,21.57,21.57,21.57,900,21.5692,1673291400000,5,,2023-01-09 11:10:00-08:00
21.475,21.475,21.475,21.475,150,21.475,1673292000000,1,,2023-01-09 11:20:00-08:00
21.62,21.62,21.62,21.62,129,21.62,1673292600000,1,,2023-01-09 11:30:00-08:00
21.3,21.3,21.3,21.3,175,21.3,1673297700000,1,,2023-01-09 12:55:00-08:00
21.3001,21.31,21.3,21.3,1771,21.3022,1673374200000,10,,2023-01-10 10:10:00-08:00
21.39,21.39,21.39,21.39,200,21.389,1673376600000,3,,2023-01-10 10:50:00-08:00
21.1936,21.1936,21.1936,21.1936,362,21.1936,1673378400000,1,,2023-01-10 11:20:00-08:00
21.39,22.42,21.3897,22.42,2263,21.8803,1673378700000,18,,2023-01-10 11:25:00-08:00
21.7083,21.7083,21.7083,21.7083,108,21.7083,1673379300000,1,,2023-01-10 11:35:00-08:00
21.5149,21.5149,21.5149,21.5149,500,21.5149,1673383500000,1,,2023-01-10 12:45:00-08:00
21.55,21.55,21.5499,21.5499,200,21.55,1673384100000,2,,2023-01-10 12:55:00-08:00
22.1277,22.1277,22.1277,22.1277,1000,22.1277,1673458200000,1,,2023-01-11 09:30:00-08:00
22.0,22.1,22.0,22.1,500,22.08,1673459400000,2,,2023-01-11 09:50:00-08:00
22.1,22.11,22.1,22.11,750,22.1078,1673460600000,3,,2023-01-11 10:10:00-08:00
22.22,22.22,22.22,22.22,179,22.22,1673464200000,1,,2023-01-11 11:10:00-08:00
22.1166,22.1166,22.1166,22.1166,1000,22.1166,1673466900000,1,,2023-01-11 11:55:00-08:00
21.97,21.97,21.97,21.97,200,21.97,1673469000000,1,,2023-01-11 12:30:00-08:00
21.91,21.91,21.91,21.91,184,21.8507,1673469300000,2,,2023-01-11 12:35:00-08:00
21.91,21.91,21.91,21.91,200,21.91,1673470500000,1,,2023-01-11 12:55:00-08:00
21.97,22.2,21.835,22.2,1000,21.9423,1673551200000,5,,2023-01-12 11:20:00-08:00
22.21,22.56,22.21,22.56,4576,22.335,1673554200000,21,,2023-01-12 12:10:00-08:00
22.38,22.38,22.38,22.38,150,22.38,1673640900000,2,,2023-01-13 12:15:00-08:00
22.21,22.21,22.16,22.17,1600,22.175,1673641800000,15,,2023-01-13 12:30:00-08:00
22.17,22.2,22.16,22.2,2023,22.1635,1673642100000,5,,2023-01-13 12:35:00-08:00
22.25,22.25,22.25,22.25,604,22.2681,1673982600000,8,,2023-01-17 11:10:00-08:00
22.07,22.07,22.07,22.07,187,22.07,1674066000000,1,,2023-01-18 10:20:00-08:00
22.27,22.27,22.27,22.27,300,22.27,1674068400000,2,,2023-01-18 11:00:00-08:00
22.08,22.11,22.08,22.11,300,22.1,1674068700000,2,,2023-01-18 11:05:00-08:00
22.2699,22.2699,22.2699,22.2699,171,22.2699,1674073200000,1,,2023-01-18 12:20:00-08:00
22.135,22.135,22.135,22.135,284,22.135,1674158100000,1,,2023-01-19 11:55:00-08:00
22.25,22.3,22.24,22.24,9584,22.2446,1674159900000,14,,2023-01-19 12:25:00-08:00
22.21,22.21,22.21,22.21,200,22.21,1674244800000,1,,2023-01-20 12:00:00-08:00
22.2814,22.2814,22.2814,22.2814,100,22.2814,1674246900000,1,,2023-01-20 12:35:00-08:00
22.2101,22.255,22.2,22.2118,5100,22.2115,1674499800000,28,,2023-01-23 10:50:00-08:00
22.2551,22.2551,22.2551,22.2551,100,22.2551,1674500100000,1,,2023-01-23 10:55:00-08:00
22.2665,22.2665,22.2665,22.2665,300,22.2665,1674501600000,1,,2023-01-23 11:20:00-08:00
22.05,22.085,22.001,22.085,2000,22.0347,1674671100000,18,,2023-01-25 10:25:00-08:00
22.5475,22.5475,22.5,22.5,656,22.5072,1674673200000,3,,2023-01-25 11:00:00-08:00
22.375,22.375,22.25,22.375,500,22.3488,1674677400000,4,,2023-01-25 12:10:00-08:00
22.5787,22.5787,22.5787,22.5787,107,22.5787,1674755700000,1,,2023-01-26 09:55:00-08:00
22.54,22.54,22.54,22.54,105,22.54,1674761400000,1,,2023-01-26 11:30:00-08:00
22.34,22.34,22.34,22.34,100,22.34,1675186800000,1,,2023-01-31 09:40:00-08:00
22.25,22.25,22.25,22.25,602,22.2672,1675196400000,7,,2023-01-31 12:20:00-08:00
22.31,22.31,22.31,22.31,100,22.31,1675284600000,1,,2023-02-01 12:50:00-08:00
22.35,22.35,22.35,22.35,495,22.3431,1675284900000,2,,2023-02-01 12:55:00-08:00
22.79,22.79,22.79,22.79,150,22.8333,1675364400000,2,,2023-02-02 11:00:00-08:00
23.49,23.49,23.49,23.49,860,23.49,1675370400000,2,,2023-02-02 12:40:00-08:00
23.3263,23.3263,23.3263,23.3263,1668,23.3263,1675449900000,1,,2023-02-03 10:45:00-08:00
22.57,22.57,22.57,22.57,356,22.576,1675705500000,4,,2023-02-06 09:45:00-08:00
23.0,23.0,23.0,23.0,200,23.0,1675715400000,2,,2023-02-06 12:30:00-08:00
22.59,22.59,22.59,22.59,100,22.59,1675716900000,1,,2023-02-06 12:55:00-08:00
22.65,22.65,22.64,22.64,300,22.6433,1675792500000,3,,2023-02-07 09:55:00-08:00
22.615,22.615,22.6005,22.6005,570,22.6074,1675793400000,3,,2023-02-07 10:10:00-08:00
22.675,22.675,22.675,22.675,568,22.675,1675798200000,4,,2023-02-07 11:30:00-08:00
22.94,22.94,22.94,22.94,172,23.0656,1675799100000,2,,2023-02-07 11:45:00-08:00
23.23,23.23,23.23,23.23,219,22.9359,1675799400000,6,,2023-02-07 11:50:00-08:00
22.99,23.0,22.99,23.0,1375,22.9985,1675964100000,6,,2023-02-09 09:35:00-08:00
22.955,22.975,22.95,22.9501,3851,22.9554,1675967400000,23,,2023-02-09 10:30:00-08:00
22.87,22.87,22.79,22.8562,1334,22.8365,1675970400000,8,,2023-02-09 11:20:00-08:00
22.79,22.79,22.79,22.79,101,22.7906,1675973400000,2,,2023-02-09 12:10:00-08:00
22.85,22.85,22.75,22.817,1100,22.8016,1676057700000,8,,2023-02-10 11:35:00-08:00
22.605,22.605,22.605,22.605,151,22.605,1676060700000,1,,2023-02-10 12:25:00-08:00
22.49,22.49,22.49,22.49,100,22.49,1676314500000,1,,2023-02-13 10:55:00-08:00
22.2717,22.2717,22.2717,22.2717,1100,22.2717,1676488500000,1,,2023-02-15 11:15:00-08:00
22.265,22.265,22.25,22.25,359,22.2588,1676494500000,5,,2023-02-15 12:55:00-08:00
22.36,22.36,22.2761,22.2761,1247,22.286,1676659200000,8,,2023-02-17 10:40:00-08:00
22.41,22.41,22.41,22.41,160,22.4086,1676665800000,3,,2023-02-17 12:30:00-08:00
22.43,22.43,22.43,22.43,100,22.43,1676666700000,1,,2023-02-17 12:45:00-08:00
22.33,22.33,22.22,22.22,300,22.27,1677001500000,3,,2023-02-21 09:45:00-08:00
22.21,22.21,22.21,22.21,100,22.21,1677002400000,1,,2023-02-21 10:00:00-08:00
22.19,22.19,22.19,22.19,100,22.19,1677004500000,1,,2023-02-21 10:35:00-08:00
22.18,22.18,22.17,22.17,219,22.1754,1677004800000,2,,2023-02-21 10:40:00-08:00
22.0,22.0,22.0,22.0,1100,22.0,1677007500000,5,,2023-02-21 11:25:00-08:00
21.72,21.72,21.72,21.72,100,21.72,1677008100000,1,,2023-02-21 11:35:00-08:00
21.95,21.95,21.95,21.95,200,21.95,1677093000000,1,,2023-02-22 11:10:00-08:00
21.95,21.95,21.95,21.95,100,21.95,1677096300000,1,,2023-02-22 12:05:00-08:00
22.0,22.0,22.0,22.0,200,22.0,1677096900000,2,,2023-02-22 12:15:00-08:00
21.998,21.998,21.998,21.998,410,21.9966,1677177300000,3,,2023-02-23 10:35:00-08:00
21.98,21.98,21.98,21.98,288,21.98,1677181500000,4,,2023-02-23 11:45:00-08:00
22.0579,22.0579,22.0579,22.0579,173,22.0579,1677268800000,1,,2023-02-24 12:00:00-08:00
21.88,21.88,21.88,21.88,300,21.88,1677269700000,1,,2023-02-24 12:15:00-08:00
22.21,22.22,22.21,22.22,428,22.2177,1677789000000,2,,2023-03-02 12:30:00-08:00
22.2,22.2,22.14,22.16,1800,22.1444,1677874200000,3,,2023-03-03 12:10:00-08:00
22.14,22.14,22.14,22.14,100,22.14,1677876900000,1,,2023-03-03 12:55:00-08:00
21.82,21.82,21.82,21.82,200,21.82,1678473300000,1,,2023-03-10 10:35:00-08:00
21.86,21.86,21.86,21.86,200,21.8845,1678725300000,3,,2023-03-13 09:35:00-07:00
21.8601,21.8601,21.8601,21.8601,200,21.8601,1678725900000,2,,2023-03-13 09:45:00-07:00
21.8601,21.8601,21.8601,21.8601,100,21.8601,1678726200000,1,,2023-03-13 09:50:00-07:00
21.8909,21.8909,21.8909,21.8909,200,21.8909,1678726500000,2,,2023-03-13 09:55:00-07:00
21.8909,21.8909,21.86,21.868,300,21.873,1678726800000,3,,2023-03-13 10:00:00-07:00
21.61,21.61,21.5,21.5,1126,21.554,1678733400000,8,,2023-03-13 11:50:00-07:00
21.61,21.6101,21.61,21.6101,328,21.61,1678818300000,4,,2023-03-14 11:25:00-07:00
21.63,21.63,21.61,21.61,1061,21.6119,1678822200000,5,,2023-03-14 12:30:00-07:00
21.16,21.16,20.86,20.9,968,20.9766,1678897800000,16,,2023-03-15 09:30:00-07:00
21.74,21.74,21.74,21.74,450,21.74,1678900800000,1,,2023-03-15 10:20:00-07:00
21.499,21.499,21.499,21.499,700,21.499,1678904100000,1,,2023-03-15 11:15:00-07:00
21.6507,21.6507,21.6507,21.6507,1555,21.6507,1678985100000,1,,2023-03-16 09:45:00-07:00
21.246,21.246,21.08,21.08,200,21.163,1679075700000,2,,2023-03-17 10:55:00-07:00
21.4099,21.4099,21.4099,21.4099,100,21.4099,1679079900000,1,,2023-03-17 12:05:00-07:00
21.08,21.08,21.08,21.08,118,21.08,1679080200000,1,,2023-03-17 12:10:00-07:00
21.1158,21.1158,21.1158,21.1158,200,21.1158,1679337000000,1,,2023-03-20 11:30:00-07:00
21.2,21.2,21.2,21.2,467,21.2,1679340000000,3,,2023-03-20 12:20:00-07:00
21.12,21.18,21.12,21.18,700,21.1561,1679340900000,8,,2023-03-20 12:35:00-07:00
21.5,21.5,21.5,21.5,100,21.5,1679504400000,1,,2023-03-22 10:00:00-07:00
21.5,21.5,21.5,21.5,1293,21.4999,1679507400000,5,,2023-03-22 10:50:00-07:00
21.5994,21.6,21.5994,21.6,300,21.5996,1679511900000,2,,2023-03-22 12:05:00-07:00
21.4501,21.4501,21.45,21.45,2268,21.4501,1679514600000,2,,2023-03-22 12:50:00-07:00
21.451,21.451,21.3055,21.3055,1000,21.3346,1679589300000,3,,2023-03-23 09:35:00-07:00
21.51,21.51,21.335,21.51,1300,21.4562,1679592300000,6,,2023-03-23 10:25:00-07:00
21.51,21.51,21.51,21.51,696,21.51,1679595000000,5,,2023-03-23 11:10:00-07:00
21.4669,21.4669,21.4669,21.4669,574,21.4669,1679597700000,1,,2023-03-23 11:55:00-07:00
22.0425,22.0425,22.0425,22.0425,157,22.0425,1679676600000,1,,2023-03-24 09:50:00-07:00
21.6791,21.6791,21.6791,21.6791,100,21.6791,1679684100000,1,,2023-03-24 11:55:00-07:00
21.27,21.27,21.27,21.27,192,21.2652,1679686200000,2,,2023-03-24 12:30:00-07:00
21.7463,21.7463,21.7463,21.7463,604,21.7463,1679935200000,1,,2023-03-27 09:40:00-07:00
21.682,21.682,21.682,21.682,600,21.682,1679936400000,1,,2023-03-27 10:00:00-07:00
21.4336,21.4336,21.4336,21.4336,578,21.4336,1679937900000,1,,2023-03-27 10:25:00-07:00
