open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.595,10.62,10.595,10.62,6905,10.6091,1672767000000,83,,2023-01-03 09:30:00-08:00
10.63,10.6342,10.615,10.615,6144,10.6278,1672767300000,74,,2023-01-03 09:35:00-08:00
10.61,10.61,10.585,10.585,3806,10.6008,1672767600000,45,,2023-01-03 09:40:00-08:00
10.57,10.57,10.54,10.557,10147,10.5502,1672767900000,68,,2023-01-03 09:45:00-08:00
10.555,10.57,10.5513,10.57,5336,10.5597,1672768200000,47,,2023-01-03 09:50:00-08:00
10.57,10.6,10.57,10.59,8365,10.583,1672768500000,71,,2023-01-03 09:55:00-08:00
10.595,10.595,10.57,10.58,3057,10.5807,1672768800000,27,,2023-01-03 10:00:00-08:00
10.585,10.59,10.5841,10.59,2206,10.586,1672769100000,16,,2023-01-03 10:05:00-08:00
10.58,10.6,10.58,10.59,8381,10.5939,1672769400000,71,,2023-01-03 10:10:00-08:00
10.58,10.595,10.58,10.5901,2965,10.5895,1672769700000,19,,2023-01-03 10:15:00-08:00
10.59,10.595,10.58,10.595,6237,10.5898,1672770000000,49,,2023-01-03 10:20:00-08:00
10.59,10.605,10.59,10.605,5520,10.5978,1672770300000,71,,2023-01-03 10:25:00-08:00
10.595,10.6,10.58,10.58,3362,10.5923,1672770600000,46,,2023-01-03 10:30:00-08:00
10.5788,10.605,10.5758,10.6,13698,10.5908,1672770900000,91,,2023-01-03 10:35:00-08:00
10.5988,10.62,10.5988,10.61,5796,10.6097,1672771200000,58,,2023-01-03 10:40:00-08:00
10.615,10.625,10.615,10.62,6941,10.6198,1672771500000,82,,2023-01-03 10:45:00-08:00
10.63,10.635,10.615,10.63,10029,10.6265,1672771800000,97,,2023-01-03 10:50:00-08:00
10.625,10.625,10.6,10.6,4296,10.6194,1672772100000,42,,2023-01-03 10:55:00-08:00
10.6001,10.6001,10.58,10.58,5499,10.5872,1672772400000,60,,2023-01-03 11:00:00-08:00
10.58,10.58,10.57,10.575,2791,10.5721,1672772700000,33,,2023-01-03 11:05:00-08:00
10.57,10.5799,10.57,10.575,8008,10.5717,1672773000000,81,,2023-01-03 11:10:00-08:00
10.57,10.59,10.57,10.59,9824,10.5833,1672773300000,65,,2023-01-03 11:15:00-08:00
10.5825,10.61,10.58,10.605,8078,10.595,1672773600000,64,,2023-01-03 11:20:00-08:00
10.605,10.63,10.6,10.625,7635,10.6112,1672773900000,60,,2023-01-03 11:25:00-08:00
10.6274,10.6274,10.59,10.59,9571,10.6085,1672774200000,76,,2023-01-03 11:30:00-08:00
10.59,10.605,10.59,10.605,5122,10.598,1672774500000,44,,2023-01-03 11:35:00-08:00
10.61,10.63,10.61,10.63,8791,10.6197,1672774800000,63,,2023-01-03 11:40:00-08:00
10.635,10.68,10.635,10.665,21584,10.6604,1672775100000,142,,2023-01-03 11:45:00-08:00
10.665,10.6687,10.65,10.65,3752,10.6625,1672775400000,48,,2023-01-03 11:50:00-08:00
10.655,10.67,10.6525,10.66,7580,10.6616,1672775700000,81,,2023-01-03 11:55:00-08:00
10.66,10.665,10.62,10.6213,15874,10.6488,1672776000000,80,,2023-01-03 12:00:00-08:00
10.625,10.63,10.62,10.6293,8586,10.6276,1672776300000,61,,2023-01-03 12:05:00-08:00
10.6225,10.645,10.6225,10.645,10978,10.6339,1672776600000,57,,2023-01-03 12:10:00-08:00
10.65,10.66,10.6491,10.65,10555,10.6523,1672776900000,75,,2023-01-03 12:15:00-08:00
10.65,10.655,10.643,10.645,12591,10.6501,1672777200000,113,,2023-01-03 12:20:00-08:00
10.645,10.66,10.645,10.655,7822,10.651,1672777500000,77,,2023-01-03 12:25:00-08:00
