open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
15.16,15.29,15.16,15.29,1353.0,15.1939,1672767000000,41,,2023-01-03 09:30:00-08:00
15.27,15.27,15.23,15.23,1439.0,15.2478,1672767300000,44,,2023-01-03 09:35:00-08:00
15.22,15.22,15.185,15.185,646.0,15.2076,1672767600000,17,,2023-01-03 09:40:00-08:00
15.17,15.17,15.15,15.17,2272.0,15.1634,1672767900000,30,,2023-01-03 09:45:00-08:00
15.14,15.19,15.14,15.19,1628.0,15.1699,1672768200000,35,,2023-01-03 09:50:00-08:00
15.19,15.19,15.16,15.16,2999.0,15.1721,1672768500000,71,,2023-01-03 09:55:00-08:00
15.17,15.18,15.16,15.16,2438.0,15.1729,1672768800000,66,,2023-01-03 10:00:00-08:00
15.145,15.145,15.12,15.12,719.0,15.1325,1672769100000,26,,2023-01-03 10:05:00-08:00
15.15,15.21,15.15,15.18,1911.0,15.1611,1672769400000,52,,2023-01-03 10:10:00-08:00
15.17,15.17,15.125,15.125,1429.0,15.149,1672769700000,40,,2023-01-03 10:15:00-08:00
15.09,15.09,15.09,15.09,345.0,15.0937,1672770000000,17,,2023-01-03 10:20:00-08:00
15.085,15.15,15.085,15.15,2831.0,15.1221,1672770300000,64,,2023-01-03 10:25:00-08:00
15.17,15.17,15.12,15.14,1886.0,15.13,1672770600000,31,,2023-01-03 10:30:00-08:00
15.13,15.13,15.12,15.12,627.0,15.1217,1672770900000,21,,2023-01-03 10:35:00-08:00
15.12,15.14,15.09,15.1,1998.0,15.1231,1672771200000,47,,2023-01-03 10:40:00-08:00
15.06,15.06,15.005,15.005,1252.0,15.0355,1672771500000,37,,2023-01-03 10:45:00-08:00
14.98,15.07,14.97,15.07,3148.0,15.0128,1672771800000,57,,2023-01-03 10:50:00-08:00
15.08,15.09,15.06,15.06,1769.0,15.078,1672772100000,41,,2023-01-03 10:55:00-08:00
15.06,15.06,15.03,15.03,1078.0,15.0478,1672772400000,37,,2023-01-03 11:00:00-08:00
15.005,15.01,14.995,15.0,1856.0,15.0027,1672772700000,47,,2023-01-03 11:05:00-08:00
14.97,14.97,14.93,14.96,2801.0,14.9442,1672773000000,51,,2023-01-03 11:10:00-08:00
14.96,14.96,14.9,14.91,1710.0,14.9355,1672773300000,57,,2023-01-03 11:15:00-08:00
14.91,14.92,14.91,14.92,2398.0,14.9174,1672773600000,66,,2023-01-03 11:20:00-08:00
14.93,14.93,14.93,14.93,111.0,14.93,1672773900000,3,,2023-01-03 11:25:00-08:00
14.92,14.96,14.89,14.96,6600.0,14.9155,1672774200000,124,,2023-01-03 11:30:00-08:00
14.98,14.99,14.98,14.99,998.0,14.977,1672774500000,24,,2023-01-03 11:35:00-08:00
15.0,15.04,14.995,15.04,3187.0,15.0086,1672774800000,69,,2023-01-03 11:40:00-08:00
15.045,15.11,15.045,15.08,2029.0,15.08,1672775100000,49,,2023-01-03 11:45:00-08:00
15.09,15.09,15.07,15.08,1297.0,15.0802,1672775400000,43,,2023-01-03 11:50:00-08:00
15.075,15.075,15.05,15.06,1195.0,15.0634,1672775700000,34,,2023-01-03 11:55:00-08:00
15.04,15.06,15.01,15.01,2276.0,15.0517,1672776000000,61,,2023-01-03 12:00:00-08:00
15.005,15.005,15.0,15.0,1681.0,15.004,1672776300000,43,,2023-01-03 12:05:00-08:00
14.99,15.0,14.93,15.0,6556.0,14.9738,1672776600000,130,,2023-01-03 12:10:00-08:00
15.015,15.05,15.015,15.015,1161.0,15.0387,1672776900000,40,,2023-01-03 12:15:00-08:00
15.0,15.0,14.91,14.92,3015.0,14.9499,1672777200000,104,,2023-01-03 12:20:00-08:00
14.92,14.94,14.92,14.94,3891.0,14.9288,1672777500000,74,,2023-01-03 12:25:00-08:00
14.96,14.97,14.94,14.97,2634.0,14.9622,1672777800000,68,,2023-01-03 12:30:00-08:00
14.98,15.02,14.98,15.005,4961.0,14.9998,1672778100000,120,,2023-01-03 12:35:00-08:00
15.0,15.03,14.97,15.03,5896.0,14.9936,1672778400000,146,,2023-01-03 12:40:00-08:00
15.035,15.05,15.01,15.03,4803.0,15.0313,1672778700000,93,,2023-01-03 12:45:00-08:00
15.03,15.13,15.03,15.13,11920.0,15.0844,1672779000000,265,,2023-01-03 12:50:00-08:00
15.14,15.14,15.03,15.07,25669.0,15.0761,1672779300000,465,,2023-01-03 12:55:00-08:00
15.07,15.07,15.07,15.07,10208.0,15.07,1672779600000,8,,2023-01-03 13:00:00-08:00
14.86,14.925,14.86,14.9,2728.0,14.8925,1672853400000,67,,2023-01-04 09:30:00-08:00
14.93,14.93,14.93,14.93,821.0,14.9305,1672853700000,22,,2023-01-04 09:35:00-08:00
14.98,14.98,14.98,14.98,113.0,14.9776,1672854000000,3,,2023-01-04 09:40:00-08:00
14.98,14.98,14.93,14.93,3902.0,14.9619,1672854300000,46,,2023-01-04 09:45:00-08:00
14.92,14.92,14.84,14.86,1708.0,14.8753,1672854600000,26,,2023-01-04 09:50:00-08:00
14.84,14.84,14.83,14.83,319.0,14.8467,1672854900000,7,,2023-01-04 09:55:00-08:00
14.83,14.85,14.82,14.85,1480.0,14.8363,1672855200000,44,,2023-01-04 10:00:00-08:00
14.85,14.87,14.74,14.87,16576.0,14.7897,1672855500000,223,,2023-01-04 10:05:00-08:00
14.97,14.97,14.97,14.97,255.0,14.9716,1672856100000,10,,2023-01-04 10:15:00-08:00
14.93,14.93,14.93,14.93,410.0,14.958,1672856400000,10,,2023-01-04 10:20:00-08:00
14.97,15.01,14.93,14.98,3975.0,14.9782,1672856700000,66,,2023-01-04 10:25:00-08:00
14.98,15.03,14.98,14.99,1774.0,14.9968,1672857000000,34,,2023-01-04 10:30:00-08:00
14.99,15.01,14.99,14.99,1546.0,14.9966,1672857300000,29,,2023-01-04 10:35:00-08:00
15.005,15.01,14.98,15.0,2014.0,15.0002,1672857600000,33,,2023-01-04 10:40:00-08:00
14.99,14.99,14.945,14.945,2855.0,14.97,1672857900000,41,,2023-01-04 10:45:00-08:00
14.96,14.98,14.96,14.98,782.0,14.9639,1672858200000,17,,2023-01-04 10:50:00-08:00
14.98,14.98,14.925,14.935,2561.0,14.9401,1672858500000,38,,2023-01-04 10:55:00-08:00
14.97,15.0,14.935,14.98,2935.0,14.9847,1672858800000,50,,2023-01-04 11:00:00-08:00
15.0,15.005,14.94,14.945,2220.0,14.9652,1672859100000,38,,2023-01-04 11:05:00-08:00
14.945,14.97,14.945,14.97,1540.0,14.9598,1672859400000,27,,2023-01-04 11:10:00-08:00
14.99,14.9975,14.89,14.89,7333.0,14.9582,1672859700000,98,,2023-01-04 11:15:00-08:00
14.85,14.875,14.8,14.8,1736.0,14.8471,1672860000000,38,,2023-01-04 11:20:00-08:00
14.795,14.795,14.735,14.735,1166.0,14.7629,1672860300000,23,,2023-01-04 11:25:00-08:00
14.76,14.84,14.76,14.84,3383.0,14.7906,1672860600000,48,,2023-01-04 11:30:00-08:00
14.86,14.87,14.795,14.83,3937.0,14.8261,1672860900000,67,,2023-01-04 11:35:00-08:00
14.83,14.86,14.83,14.86,244.0,14.8427,1672861200000,6,,2023-01-04 11:40:00-08:00
14.86,14.905,14.86,14.905,1656.0,14.877,1672861500000,31,,2023-01-04 11:45:00-08:00
14.905,14.91,14.89,14.905,1441.0,14.9031,1672861800000,20,,2023-01-04 11:50:00-08:00
14.9,14.9175,14.85,14.855,5121.0,14.8844,1672862100000,68,,2023-01-04 11:55:00-08:00
14.84,14.85,14.795,14.83,19781.0,14.8127,1672862400000,219,,2023-01-04 12:00:00-08:00
14.81,14.81,14.78,14.795,3105.0,14.7987,1672862700000,36,,2023-01-04 12:05:00-08:00
14.81,14.87,14.81,14.85,1776.0,14.8321,1672863000000,31,,2023-01-04 12:10:00-08:00
14.82,14.94,14.82,14.9,3157.0,14.8715,1672863300000,75,,2023-01-04 12:15:00-08:00
14.92,14.93,14.91,14.93,3198.0,14.918,1672863600000,69,,2023-01-04 12:20:00-08:00
14.95,14.98,14.95,14.98,2892.0,14.9612,1672863900000,43,,2023-01-04 12:25:00-08:00
14.99,15.0,14.94,14.94,4314.0,14.97,1672864200000,86,,2023-01-04 12:30:00-08:00
14.915,14.915,14.84,14.845,3863.0,14.8677,1672864500000,75,,2023-01-04 12:35:00-08:00
14.85,14.89,14.85,14.88,8732.0,14.8706,1672864800000,152,,2023-01-04 12:40:00-08:00
14.871,14.9,14.87,14.9,3452.0,14.8835,1672865100000,75,,2023-01-04 12:45:00-08:00
14.9,14.95,14.9,14.925,10111.0,14.9286,1672865400000,223,,2023-01-04 12:50:00-08:00
14.925,14.99,14.89,14.96,21150.0,14.9395,1672865700000,352,,2023-01-04 12:55:00-08:00
14.97,14.97,14.97,14.97,5626.0,14.97,1672866000000,7,,2023-01-04 13:00:00-08:00
15.05,15.05,15.05,15.05,514.0,15.0455,1672939800000,13,,2023-01-05 09:30:00-08:00
15.03,15.04,15.005,15.02,1052.0,15.0215,1672940100000,24,,2023-01-05 09:35:00-08:00
15.01,15.01,14.97,14.97,1615.0,14.99,1672940400000,42,,2023-01-05 09:40:00-08:00
15.0,15.02,15.0,15.02,746.0,15.0113,1672940700000,25,,2023-01-05 09:45:00-08:00
15.09,15.09,15.07,15.07,1994.0,15.0815,1672941000000,32,,2023-01-05 09:50:00-08:00
15.08,15.09,15.08,15.08,868.0,15.0815,1672941300000,26,,2023-01-05 09:55:00-08:00
15.08,15.08,15.03,15.07,1172.0,15.0573,1672941600000,28,,2023-01-05 10:00:00-08:00
15.08,15.09,15.08,15.09,889.0,15.0821,1672941900000,17,,2023-01-05 10:05:00-08:00
15.09,15.09,15.08,15.08,2983.0,15.0868,1672942200000,56,,2023-01-05 10:10:00-08:00
15.07,15.09,15.065,15.065,708.0,15.0769,1672942500000,11,,2023-01-05 10:15:00-08:00
15.08,15.33,15.08,15.33,16672.0,15.1271,1672942800000,153,,2023-01-05 10:20:00-08:00
15.315,15.35,15.28,15.325,1551.0,15.3059,1672943100000,21,,2023-01-05 10:25:00-08:00
15.28,15.36,15.28,15.345,2160.0,15.3199,1672943400000,52,,2023-01-05 10:30:00-08:00
15.37,15.37,15.31,15.35,782.0,15.3351,1672943700000,15,,2023-01-05 10:35:00-08:00
15.34,15.36,15.33,15.36,552.0,15.3436,1672944000000,12,,2023-01-05 10:40:00-08:00
15.335,15.36,15.33,15.33,1195.0,15.3422,1672944300000,31,,2023-01-05 10:45:00-08:00
15.32,15.365,15.28,15.365,1701.0,15.3226,1672944600000,48,,2023-01-05 10:50:00-08:00
15.36,15.36,15.33,15.33,2263.0,15.347,1672944900000,45,,2023-01-05 10:55:00-08:00
15.34,15.34,15.28,15.3,2762.0,15.314,1672945200000,48,,2023-01-05 11:00:00-08:00
15.3,15.35,15.29,15.35,1235.0,15.318,1672945500000,29,,2023-01-05 11:05:00-08:00
15.37,15.4,15.37,15.38,1712.0,15.3785,1672945800000,37,,2023-01-05 11:10:00-08:00
15.38,15.4,15.38,15.385,1107.0,15.3827,1672946100000,28,,2023-01-05 11:15:00-08:00
15.4,15.4,15.36,15.39,2767.0,15.3785,1672946400000,76,,2023-01-05 11:20:00-08:00
15.39,15.4,15.38,15.4,1194.0,15.3931,1672946700000,27,,2023-01-05 11:25:00-08:00
15.4,15.41,15.37,15.37,2037.0,15.3957,1672947000000,52,,2023-01-05 11:30:00-08:00
15.38,15.42,15.38,15.4,2624.0,15.3949,1672947300000,80,,2023-01-05 11:35:00-08:00
15.39,15.39,15.34,15.34,2517.0,15.3552,1672947600000,53,,2023-01-05 11:40:00-08:00
15.34,15.39,15.32,15.39,2543.0,15.3449,1672947900000,77,,2023-01-05 11:45:00-08:00
15.37,15.395,15.36,15.395,3513.0,15.381,1672948200000,55,,2023-01-05 11:50:00-08:00
15.395,15.4,15.33,15.33,2391.0,15.37,1672948500000,53,,2023-01-05 11:55:00-08:00
15.31,15.35,15.3,15.31,2978.0,15.325,1672948800000,74,,2023-01-05 12:00:00-08:00
15.32,15.35,15.3,15.31,3491.0,15.315,1672949100000,74,,2023-01-05 12:05:00-08:00
15.33,15.35,15.325,15.34,3171.0,15.3381,1672949400000,87,,2023-01-05 12:10:00-08:00
15.335,15.35,15.26,15.28,2823.0,15.3112,1672949700000,62,,2023-01-05 12:15:00-08:00
15.27,15.29,15.26,15.265,4013.0,15.2792,1672950000000,97,,2023-01-05 12:20:00-08:00
15.275,15.29,15.25,15.25,3415.0,15.2691,1672950300000,82,,2023-01-05 12:25:00-08:00
15.24,15.24,15.18,15.21,4771.0,15.2161,1672950600000,118,,2023-01-05 12:30:00-08:00
15.23,15.28,15.21,15.24,5890.0,15.2463,1672950900000,140,,2023-01-05 12:35:00-08:00
15.24,15.3,15.24,15.3,7211.0,15.2764,1672951200000,187,,2023-01-05 12:40:00-08:00
15.31,15.3215,15.27,15.305,9088.0,15.3002,1672951500000,194,,2023-01-05 12:45:00-08:00
15.3,15.32,15.26,15.27,13704.0,15.297,1672951800000,326,,2023-01-05 12:50:00-08:00
15.25,15.27,15.19,15.23,38569.0,15.2262,1672952100000,692,,2023-01-05 12:55:00-08:00
15.23,15.23,15.23,15.23,2274.0,15.23,1672952400000,8,,2023-01-05 13:00:00-08:00
16.55,16.57,16.51,16.51,1068.0,16.5354,1673026200000,26,,2023-01-06 09:30:00-08:00
16.46,16.49,16.46,16.49,1431.0,16.4792,1673026500000,52,,2023-01-06 09:35:00-08:00
16.49,16.49,16.465,16.465,1398.0,16.4782,1673026800000,33,,2023-01-06 09:40:00-08:00
16.4559,16.4559,16.44,16.44,1206.0,16.4493,1673027100000,31,,2023-01-06 09:45:00-08:00
16.4437,16.445,16.43,16.44,718.0,16.4369,1673027400000,21,,2023-01-06 09:50:00-08:00
16.41,16.47,16.41,16.47,1513.0,16.4438,1673027700000,54,,2023-01-06 09:55:00-08:00
16.49,16.5,16.485,16.49,1223.0,16.4844,1673028000000,21,,2023-01-06 10:00:00-08:00
16.51,16.58,16.51,16.58,1507.0,16.5371,1673028300000,39,,2023-01-06 10:05:00-08:00
16.61,16.61,16.61,16.61,369.0,16.6066,1673028600000,19,,2023-01-06 10:10:00-08:00
16.635,16.635,16.59,16.6,2217.0,16.6163,1673028900000,45,,2023-01-06 10:15:00-08:00
16.57,16.585,16.57,16.585,502.0,16.5714,1673029200000,9,,2023-01-06 10:20:00-08:00
16.57,16.61,16.45,16.45,5820.0,16.5332,1673029500000,105,,2023-01-06 10:25:00-08:00
16.48,16.49,16.455,16.49,2141.0,16.4872,1673029800000,34,,2023-01-06 10:30:00-08:00
16.46,16.465,16.44,16.445,1372.0,16.459,1673030100000,43,,2023-01-06 10:35:00-08:00
