open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.06,3.06,3.0252,3.0252,376.5,3.0431,1672767000000,3,,2023-01-03 09:30:00-08:00
3.1158,3.12,3.1158,3.12,116.33330000000001,3.1164,1672767300000,9,,2023-01-03 09:35:00-08:00
3.12,3.12,3.12,3.12,21.0,3.1193,1672767600000,2,,2023-01-03 09:40:00-08:00
3.0636,3.0636,3.0636,3.0636,24.6667,3.0636,1672767900000,3,,2023-01-03 09:45:00-08:00
3.069,3.069,3.069,3.069,83.3333,3.069,1672768200000,1,,2023-01-03 09:50:00-08:00
3.0642,3.069,3.0642,3.069,300.0,3.0682,1672768800000,7,,2023-01-03 10:00:00-08:00
3.12,3.12,3.12,3.12,58.3333,3.12,1672769700000,1,,2023-01-03 10:15:00-08:00
3.0606,3.12,3.06,3.06,563.3333,3.115,1672770000000,9,,2023-01-03 10:20:00-08:00
3.0762,3.0762,3.0762,3.0762,41.3333,3.0706,1672770300000,4,,2023-01-03 10:25:00-08:00
3.0606,3.09,3.0606,3.09,1016.6667,3.0626,1672770600000,15,,2023-01-03 10:30:00-08:00
3.129,3.129,3.129,3.129,166.6667,3.129,1672771200000,1,,2023-01-03 10:40:00-08:00
3.1284,3.1284,3.1284,3.1284,168.3333,3.1276,1672771500000,2,,2023-01-03 10:45:00-08:00
3.1296,3.1296,3.1296,3.1296,83.5,3.1295,1672771800000,4,,2023-01-03 10:50:00-08:00
3.1326,3.1326,3.0624,3.0624,64.5,3.0987,1672772100000,2,,2023-01-03 10:55:00-08:00
3.1254,3.1254,3.1254,3.1254,83.33330000000001,3.1254,1672772700000,3,,2023-01-03 11:05:00-08:00
3.0746,3.0746,3.0746,3.0746,50.0,3.0746,1672773000000,1,,2023-01-03 11:10:00-08:00
3.1254,3.126,3.0936,3.126,91.66669999999999,3.1198,1672773300000,4,,2023-01-03 11:15:00-08:00
3.0834,3.0834,3.0834,3.0834,171.1667,3.0819,1672773600000,4,,2023-01-03 11:20:00-08:00
3.126,3.126,3.126,3.126,166.6667,3.126,1672773900000,1,,2023-01-03 11:25:00-08:00
3.126,3.126,3.126,3.126,16.6667,3.126,1672774500000,1,,2023-01-03 11:35:00-08:00
3.126,3.1308,3.027,3.1122,1865.8333,3.0355,1672775100000,16,,2023-01-03 11:45:00-08:00
3.0744,3.0744,3.0282,3.0282,270.0,3.0401,1672775400000,4,,2023-01-03 11:50:00-08:00
3.0741,3.0741,3.036,3.036,100.0,3.0424,1672776300000,2,,2023-01-03 12:05:00-08:00
3.0312,3.0447,3.0312,3.0447,103.33340000000001,3.0334,1672776600000,4,,2023-01-03 12:10:00-08:00
3.117,3.117,3.117,3.117,16.6667,3.117,1672777200000,1,,2023-01-03 12:20:00-08:00
3.0456,3.0456,3.0456,3.0456,26.0,3.0456,1672778100000,1,,2023-01-03 12:35:00-08:00
3.0462,3.0684,3.045,3.0684,5192.3333,3.0466,1672778400000,42,,2023-01-03 12:40:00-08:00
3.045,3.045,3.045,3.045,113.6667,3.045,1672778700000,5,,2023-01-03 12:45:00-08:00
3.0456,3.0456,3.0156,3.0156,1503.3333,3.0306,1672779000000,51,,2023-01-03 12:50:00-08:00
3.0162,3.0456,3.0162,3.0162,934.8334,3.0194,1672779300000,40,,2023-01-03 12:55:00-08:00
3.0168,3.0168,3.0168,3.0168,16.6667,3.0168,1672779900000,1,,2023-01-03 13:05:00-08:00
3.0162,3.0162,3.0162,3.0162,166.6667,3.0162,1672780200000,1,,2023-01-03 13:10:00-08:00
3.18,3.18,3.18,3.18,16.6667,3.18,1672783200000,1,,2023-01-03 14:00:00-08:00
3.111,3.111,3.0786,3.0792,1646.8333,3.0794,1672853400000,6,,2023-01-04 09:30:00-08:00
3.111,3.12,3.111,3.12,331.8334,3.1195,1672853700000,2,,2023-01-04 09:35:00-08:00
3.12,3.12,3.0762,3.0792,1364.0,3.0942,1672854000000,36,,2023-01-04 09:40:00-08:00
