open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.96,3.98,3.957,3.975,5998,3.9613,1672767000000,63,,2023-01-03 09:30:00-08:00
3.97,3.98,3.97,3.98,849,3.9773,1672767300000,25,,2023-01-03 09:35:00-08:00
3.97,3.97,3.965,3.965,968,3.9695,1672767600000,12,,2023-01-03 09:40:00-08:00
3.96,3.96,3.96,3.96,625,3.96,1672767900000,12,,2023-01-03 09:45:00-08:00
3.955,3.96,3.955,3.96,221,3.9577,1672768200000,6,,2023-01-03 09:50:00-08:00
3.955,3.97,3.955,3.97,1033,3.9616,1672768500000,18,,2023-01-03 09:55:00-08:00
3.965,3.965,3.965,3.965,331,3.9654,1672768800000,9,,2023-01-03 10:00:00-08:00
3.97,3.97,3.97,3.97,1081,3.97,1672769100000,20,,2023-01-03 10:05:00-08:00
3.97,3.97,3.965,3.965,582,3.9673,1672769400000,29,,2023-01-03 10:10:00-08:00
3.965,3.965,3.965,3.965,333,3.965,1672769700000,9,,2023-01-03 10:15:00-08:00
3.97,3.97,3.965,3.965,600,3.9679,1672770000000,37,,2023-01-03 10:20:00-08:00
3.97,3.97,3.97,3.97,1023,3.9705,1672770300000,16,,2023-01-03 10:25:00-08:00
3.975,3.975,3.975,3.975,211,3.9753,1672770900000,4,,2023-01-03 10:35:00-08:00
3.9793,3.98,3.975,3.98,3400,3.9777,1672771200000,16,,2023-01-03 10:40:00-08:00
3.975,3.975,3.97,3.97,1652,3.9706,1672771500000,29,,2023-01-03 10:45:00-08:00
3.965,3.965,3.965,3.965,429,3.9653,1672772100000,9,,2023-01-03 10:55:00-08:00
3.965,3.965,3.965,3.965,389,3.965,1672772400000,8,,2023-01-03 11:00:00-08:00
3.965,3.965,3.955,3.955,2794,3.9603,1672772700000,52,,2023-01-03 11:05:00-08:00
3.95,3.96,3.95,3.955,11076,3.9514,1672773000000,105,,2023-01-03 11:10:00-08:00
3.955,3.955,3.95,3.95,1342,3.9506,1672773300000,23,,2023-01-03 11:15:00-08:00
3.95,3.95,3.95,3.95,2294,3.95,1672773600000,27,,2023-01-03 11:20:00-08:00
3.95,3.95,3.95,3.95,314,3.9504,1672773900000,13,,2023-01-03 11:25:00-08:00
3.95,3.95,3.95,3.95,1494,3.9501,1672774200000,27,,2023-01-03 11:30:00-08:00
3.95,3.955,3.95,3.955,407,3.9538,1672774500000,6,,2023-01-03 11:35:00-08:00
3.955,3.96,3.955,3.96,261,3.9573,1672774800000,9,,2023-01-03 11:40:00-08:00
3.955,3.975,3.955,3.97,2983,3.9656,1672775100000,46,,2023-01-03 11:45:00-08:00
3.961,3.97,3.961,3.965,920,3.9672,1672775400000,15,,2023-01-03 11:50:00-08:00
3.965,3.965,3.965,3.965,356,3.9664,1672775700000,8,,2023-01-03 11:55:00-08:00
3.965,3.965,3.95,3.95,1880,3.9581,1672776000000,42,,2023-01-03 12:00:00-08:00
3.95,3.95,3.95,3.95,920,3.949,1672776300000,18,,2023-01-03 12:05:00-08:00
3.95,3.95,3.945,3.945,675,3.9457,1672776600000,21,,2023-01-03 12:10:00-08:00
3.945,3.945,3.92,3.92,7430,3.9335,1672777200000,69,,2023-01-03 12:20:00-08:00
3.92,3.92,3.92,3.92,115,3.9207,1672777500000,4,,2023-01-03 12:25:00-08:00
3.925,3.93,3.925,3.925,3331,3.9275,1672777800000,38,,2023-01-03 12:30:00-08:00
3.925,3.94,3.925,3.935,2069,3.93,1672778100000,34,,2023-01-03 12:35:00-08:00
3.94,3.95,3.94,3.94,8445,3.9407,1672778400000,69,,2023-01-03 12:40:00-08:00
3.9391,3.9399,3.935,3.935,2706,3.9395,1672778700000,10,,2023-01-03 12:45:00-08:00
3.9399,3.98,3.935,3.9799,24912,3.9624,1672779000000,222,,2023-01-03 12:50:00-08:00
3.97,4.01,3.97,3.985,31051,3.9887,1672779300000,220,,2023-01-03 12:55:00-08:00
3.99,3.99,3.99,3.99,718,3.99,1672779600000,1,,2023-01-03 13:00:00-08:00
4.01,4.01,4.0,4.01,3800,4.0016,1672853400000,15,,2023-01-04 09:30:00-08:00
4.001,4.001,4.001,4.001,500,4.001,1672853700000,1,,2023-01-04 09:35:00-08:00
4.005,4.005,4.005,4.005,577,4.0057,1672854000000,6,,2023-01-04 09:40:00-08:00
4.0025,4.01,4.001,4.005,905,4.0032,1672854300000,7,,2023-01-04 09:45:00-08:00
4.0,4.0,3.99,4.0,8339,3.9954,1672854600000,55,,2023-01-04 09:50:00-08:00
3.9944,4.0,3.99,3.995,6604,3.9932,1672854900000,23,,2023-01-04 09:55:00-08:00
3.99,4.0,3.99,3.995,3834,3.9924,1672855200000,51,,2023-01-04 10:00:00-08:00
4.0,4.01,4.0,4.005,2305,4.0009,1672855800000,31,,2023-01-04 10:10:00-08:00
4.0,4.01,4.0,4.01,340,4.005,1672856100000,7,,2023-01-04 10:15:00-08:00
4.0001,4.01,4.0,4.01,4365,4.0013,1672856400000,18,,2023-01-04 10:20:00-08:00
4.01,4.01,4.005,4.005,300,4.0067,1672856700000,4,,2023-01-04 10:25:00-08:00
4.0,4.01,4.0,4.0,951,4.0044,1672857000000,12,,2023-01-04 10:30:00-08:00
