open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
29.4599,29.58,29.4081,29.58,5557,29.4519,1672768800000,18,,2023-01-03 10:00:00-08:00
29.52,29.52,29.52,29.52,100,29.52,1672774800000,1,,2023-01-03 11:40:00-08:00
29.5697,29.5697,29.5697,29.5697,779,29.5697,1672775400000,1,,2023-01-03 11:50:00-08:00
29.539,29.539,29.53,29.53,500,29.5336,1672777200000,2,,2023-01-03 12:20:00-08:00
29.68,29.68,29.68,29.68,100,29.68,1672865100000,1,,2023-01-04 12:45:00-08:00
29.4941,29.4941,29.4941,29.4941,210,29.4941,1672940700000,3,,2023-01-05 09:45:00-08:00
29.64,29.64,29.64,29.64,438,29.64,1672947300000,1,,2023-01-05 11:35:00-08:00
29.63,29.64,29.63,29.63,328,29.633,1672947600000,4,,2023-01-05 11:40:00-08:00
29.65,29.65,29.65,29.65,200,29.65,1672950600000,2,,2023-01-05 12:30:00-08:00
30.2304,30.2304,30.2304,30.2304,100,30.2304,1673038200000,1,,2023-01-06 12:50:00-08:00
30.24,30.25,30.24,30.25,260,30.2462,1673038500000,3,,2023-01-06 12:55:00-08:00
30.5399,30.54,30.5399,30.54,400,30.54,1673286600000,2,,2023-01-09 09:50:00-08:00
30.44,30.44,30.44,30.44,285,30.44,1673289300000,2,,2023-01-09 10:35:00-08:00
30.28,30.28,30.2578,30.2578,300,30.2693,1673294700000,3,,2023-01-09 12:05:00-08:00
30.27,30.27,30.27,30.27,827,30.27,1673295300000,1,,2023-01-09 12:15:00-08:00
30.19,30.19,30.19,30.19,200,30.19,1673372100000,1,,2023-01-10 09:35:00-08:00
30.27,30.27,30.27,30.27,173,30.27,1673372400000,1,,2023-01-10 09:40:00-08:00
30.33,30.34,30.3299,30.34,1862,30.3385,1673377800000,5,,2023-01-10 11:10:00-08:00
30.29,30.29,30.29,30.29,260,30.29,1673381400000,2,,2023-01-10 12:10:00-08:00
30.37,30.37,30.37,30.37,600,30.37,1673383800000,2,,2023-01-10 12:50:00-08:00
30.57,30.57,30.57,30.57,260,30.57,1673463600000,1,,2023-01-11 11:00:00-08:00
30.59,30.59,30.5601,30.5601,1014,30.5841,1673465100000,2,,2023-01-11 11:25:00-08:00
30.95,30.95,30.95,30.95,100,30.95,1673547300000,1,,2023-01-12 10:15:00-08:00
