open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
95.06,95.18,95.06,95.18,568.0,95.0894,1672767000000,9,,2023-01-03 09:30:00-08:00
95.17,95.17,95.1,95.1,258.0,95.1339,1672767300000,6,,2023-01-03 09:35:00-08:00
95.09,95.09,95.04,95.04,617.0,95.0787,1672767600000,8,,2023-01-03 09:40:00-08:00
94.89,94.89,94.89,94.89,100.0,94.89,1672767900000,1,,2023-01-03 09:45:00-08:00
94.93,95.01,94.93,94.99,4989.0,94.9374,1672768500000,8,,2023-01-03 09:55:00-08:00
95.01,95.01,94.98,94.99,3332.0,94.987,1672768800000,16,,2023-01-03 10:00:00-08:00
95.01,95.01,94.99,95.0,1241.0,95.0008,1672769100000,7,,2023-01-03 10:05:00-08:00
95.0,95.06,95.0,95.06,1100.0,95.0273,1672769400000,5,,2023-01-03 10:10:00-08:00
95.01,95.05,95.0,95.02,1508.0,95.0229,1672769700000,15,,2023-01-03 10:15:00-08:00
95.03,95.03,95.03,95.03,300.0,95.03,1672770000000,1,,2023-01-03 10:20:00-08:00
95.08,95.22,95.08,95.22,1067.0,95.1684,1672770300000,8,,2023-01-03 10:25:00-08:00
95.22,95.22,95.14,95.155,10400.0,95.1738,1672770600000,35,,2023-01-03 10:30:00-08:00
95.2,95.21,95.16,95.21,5101.0,95.1856,1672770900000,21,,2023-01-03 10:35:00-08:00
95.19,95.25,95.13,95.18,3312.0,95.1722,1672771200000,17,,2023-01-03 10:40:00-08:00
95.1903,95.1903,95.15,95.17,2798.0,95.1659,1672771500000,23,,2023-01-03 10:45:00-08:00
95.22,95.27,95.21,95.27,2244.0,95.245,1672771800000,15,,2023-01-03 10:50:00-08:00
95.28,95.28,95.28,95.28,200.0,95.28,1672772100000,2,,2023-01-03 10:55:00-08:00
95.22,95.22,95.2079,95.2079,402.0,95.2107,1672772400000,6,,2023-01-03 11:00:00-08:00
95.2,95.2,95.2,95.2,194.0,95.1989,1672772700000,4,,2023-01-03 11:05:00-08:00
95.21,95.21,95.18,95.18,205.0,95.194,1672773000000,6,,2023-01-03 11:10:00-08:00
95.1837,95.1837,95.1837,95.1837,115.0,95.1837,1672773300000,1,,2023-01-03 11:15:00-08:00
95.1556,95.1556,95.11,95.135,845.0,95.141,1672773600000,14,,2023-01-03 11:20:00-08:00
95.09,95.1063,95.08,95.1063,708.0,95.0891,1672773900000,6,,2023-01-03 11:25:00-08:00
95.04,95.04,95.0,95.0059,740.0,95.0173,1672774200000,7,,2023-01-03 11:30:00-08:00
95.0125,95.03,95.0125,95.03,435.0,95.0246,1672774500000,4,,2023-01-03 11:35:00-08:00
95.0964,95.14,95.0964,95.14,1052.0,95.107,1672774800000,5,,2023-01-03 11:40:00-08:00
95.37,95.37,95.31,95.31,4034.0,95.3655,1672775100000,28,,2023-01-03 11:45:00-08:00
95.33,95.33,95.25,95.28,32425.0,95.3277,1672775400000,18,,2023-01-03 11:50:00-08:00
95.2931,95.2931,95.2931,95.2931,221.0,95.2872,1672775700000,3,,2023-01-03 11:55:00-08:00
95.275,95.37,95.27,95.32,1098.0,95.3285,1672776000000,14,,2023-01-03 12:00:00-08:00
95.32,95.32,95.25,95.25,400.0,95.2725,1672776300000,4,,2023-01-03 12:05:00-08:00
95.23,95.35,95.23,95.35,561.0,95.2903,1672776600000,10,,2023-01-03 12:10:00-08:00
95.35,95.39,95.35,95.36,1547.0,95.3778,1672776900000,22,,2023-01-03 12:15:00-08:00
95.27,95.27,95.21,95.21,2395.0,95.2473,1672777200000,20,,2023-01-03 12:20:00-08:00
95.1905,95.27,95.1905,95.27,686.0,95.2484,1672777500000,11,,2023-01-03 12:25:00-08:00
95.28,95.39,95.28,95.39,807.0,95.3286,1672777800000,13,,2023-01-03 12:30:00-08:00
