open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.1,4.1,4.1,4.1,250.0,4.1,1672767000000,1,,2023-01-03 09:30:00-08:00
4.1,4.1,4.1,4.1,200.0,4.1,1672767600000,1,,2023-01-03 09:40:00-08:00
4.11,4.11,4.1,4.1,700.0,4.1029,1672768800000,3,,2023-01-03 10:00:00-08:00
4.1429,4.1429,4.1429,4.1429,171.0,4.1428,1672774800000,2,,2023-01-03 11:40:00-08:00
4.13,4.13,4.13,4.13,500.0,4.13,1672775100000,1,,2023-01-03 11:45:00-08:00
4.125,4.1399,4.125,4.1399,288.0,4.1347,1672775700000,2,,2023-01-03 11:55:00-08:00
4.125,4.15,4.125,4.15,1947.0,4.1408,1672776000000,7,,2023-01-03 12:00:00-08:00
4.15,4.15,4.14,4.15,2066.0,4.1495,1672778400000,7,,2023-01-03 12:40:00-08:00
4.25,4.25,4.24,4.2402,1177.0,4.2413,1672779300000,7,,2023-01-03 12:55:00-08:00
4.33,4.33,4.32,4.32,600.0,4.3267,1672856100000,7,,2023-01-04 10:15:00-08:00
4.33,4.33,4.32,4.32,1217.0,4.3258,1672858500000,7,,2023-01-04 10:55:00-08:00
4.35,4.35,4.35,4.35,100.0,4.35,1672861500000,1,,2023-01-04 11:45:00-08:00
4.31,4.3499,4.31,4.3499,1391.0,4.347,1672863000000,3,,2023-01-04 12:10:00-08:00
4.33,4.3499,4.33,4.3499,2500.0,4.3451,1672863300000,3,,2023-01-04 12:15:00-08:00
4.35,4.36,4.35,4.36,1206.0,4.3513,1672863600000,8,,2023-01-04 12:20:00-08:00
4.4313,4.4313,4.4313,4.4313,500.0,4.4313,1672864800000,2,,2023-01-04 12:40:00-08:00
4.36,4.45,4.36,4.45,750.0,4.3844,1672865100000,6,,2023-01-04 12:45:00-08:00
4.44,4.5,4.4365,4.5,5006.0,4.4672,1672865400000,30,,2023-01-04 12:50:00-08:00
4.46,4.49,4.45,4.49,2554.0,4.4786,1672865700000,33,,2023-01-04 12:55:00-08:00
4.57,4.585,4.57,4.5815,2887.0,4.5827,1672940700000,5,,2023-01-05 09:45:00-08:00
4.56,4.56,4.5501,4.56,577.0,4.557,1672941000000,5,,2023-01-05 09:50:00-08:00
4.56,4.61,4.56,4.56,535.0,4.5726,1672941600000,5,,2023-01-05 10:00:00-08:00
4.55,4.55,4.5,4.5,800.0,4.5213,1672941900000,7,,2023-01-05 10:05:00-08:00
4.55,4.55,4.55,4.55,601.0,4.55,1672942800000,2,,2023-01-05 10:20:00-08:00
4.57,4.57,4.569,4.57,1898.0,4.5696,1672944000000,6,,2023-01-05 10:40:00-08:00
4.59,4.59,4.59,4.59,100.0,4.59,1672946100000,1,,2023-01-05 11:15:00-08:00
4.55,4.55,4.55,4.55,280.0,4.55,1672947600000,1,,2023-01-05 11:40:00-08:00
4.51,4.51,4.265,4.265,3023.0,4.4011,1672951800000,27,,2023-01-05 12:50:00-08:00
4.3642,4.42,4.35,4.35,4651.0,4.4093,1673026500000,19,,2023-01-06 09:35:00-08:00
