open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.285,1.3,1.285,1.29,400,1.2913,1672769100000,4,,2023-01-03 10:05:00-08:00
1.2827,1.3,1.27,1.27,3310,1.2862,1672771800000,18,,2023-01-03 10:50:00-08:00
1.2855,1.29,1.27,1.29,1400,1.2848,1672777200000,5,,2023-01-03 12:20:00-08:00
1.27,1.27,1.27,1.27,200,1.27,1672777800000,2,,2023-01-03 12:30:00-08:00
1.29,1.29,1.29,1.29,100,1.29,1672778400000,1,,2023-01-03 12:40:00-08:00
1.27,1.27,1.27,1.27,100,1.27,1672779000000,1,,2023-01-03 12:50:00-08:00
1.27,1.27,1.27,1.27,492,1.27,1672779300000,6,,2023-01-03 12:55:00-08:00
1.32,1.32,1.32,1.32,300,1.3202,1672855500000,5,,2023-01-04 10:05:00-08:00
1.32,1.32,1.32,1.32,100,1.32,1672855800000,1,,2023-01-04 10:10:00-08:00
1.35,1.37,1.335,1.36,9300,1.3496,1672856100000,13,,2023-01-04 10:15:00-08:00
1.36,1.36,1.36,1.36,200,1.36,1672856400000,2,,2023-01-04 10:20:00-08:00
1.36,1.36,1.35,1.35,800,1.3513,1672856700000,5,,2023-01-04 10:25:00-08:00
1.35,1.36,1.35,1.36,605,1.3583,1672857000000,4,,2023-01-04 10:30:00-08:00
1.35,1.35,1.32,1.32,1606,1.3444,1672857300000,6,,2023-01-04 10:35:00-08:00
1.32,1.32,1.32,1.32,200,1.32,1672857600000,2,,2023-01-04 10:40:00-08:00
1.32,1.32,1.32,1.32,400,1.32,1672857900000,4,,2023-01-04 10:45:00-08:00
1.32,1.33,1.32,1.33,200,1.325,1672858200000,2,,2023-01-04 10:50:00-08:00
1.34,1.35,1.34,1.35,200,1.345,1672858500000,2,,2023-01-04 10:55:00-08:00
1.36,1.36,1.36,1.36,100,1.36,1672859100000,1,,2023-01-04 11:05:00-08:00
1.38,1.38,1.37,1.37,1100,1.3782,1672859400000,4,,2023-01-04 11:10:00-08:00
1.35,1.35,1.35,1.35,100,1.35,1672859700000,1,,2023-01-04 11:15:00-08:00
1.37,1.37,1.37,1.37,400,1.37,1672860900000,1,,2023-01-04 11:35:00-08:00
1.35,1.37,1.35,1.36,384,1.3666,1672861200000,5,,2023-01-04 11:40:00-08:00
1.36,1.36,1.36,1.36,100,1.36,1672861500000,1,,2023-01-04 11:45:00-08:00
1.375,1.375,1.375,1.375,100,1.375,1672862100000,1,,2023-01-04 11:55:00-08:00
1.375,1.375,1.375,1.375,100,1.375,1672862400000,1,,2023-01-04 12:00:00-08:00
1.375,1.39,1.36,1.36,3200,1.3848,1672862700000,17,,2023-01-04 12:05:00-08:00
1.38,1.38,1.38,1.38,100,1.38,1672863000000,1,,2023-01-04 12:10:00-08:00
1.37,1.37,1.37,1.37,100,1.37,1672863300000,1,,2023-01-04 12:15:00-08:00
1.385,1.39,1.385,1.39,300,1.3883,1672863900000,3,,2023-01-04 12:25:00-08:00
1.39,1.39,1.38,1.38,3600,1.3877,1672864200000,29,,2023-01-04 12:30:00-08:00
1.37,1.39,1.37,1.385,400,1.3838,1672865100000,4,,2023-01-04 12:45:00-08:00
1.37,1.37,1.37,1.37,465,1.3716,1672865700000,5,,2023-01-04 12:55:00-08:00
1.4032,1.4032,1.4032,1.4032,1000,1.4032,1672943100000,1,,2023-01-05 10:25:00-08:00
1.41,1.41,1.41,1.41,200,1.41,1672943400000,2,,2023-01-05 10:30:00-08:00
1.4599,1.4599,1.4599,1.4599,100,1.4599,1672944000000,1,,2023-01-05 10:40:00-08:00
1.42,1.42,1.42,1.42,500,1.42,1672947900000,2,,2023-01-05 11:45:00-08:00
1.44,1.44,1.44,1.44,400,1.44,1672950900000,2,,2023-01-05 12:35:00-08:00
1.44,1.44,1.43,1.44,1937,1.4391,1672951200000,10,,2023-01-05 12:40:00-08:00
1.47,1.47,1.44,1.44,771,1.4576,1672951500000,9,,2023-01-05 12:45:00-08:00
1.455,1.455,1.44,1.44,385,1.4439,1672952100000,4,,2023-01-05 12:55:00-08:00
1.46,1.46,1.46,1.46,100,1.46,1672961100000,1,,2023-01-05 15:25:00-08:00
1.52,1.58,1.52,1.55,3146,1.5523,1673027400000,24,,2023-01-06 09:50:00-08:00
1.56,1.57,1.56,1.57,200,1.565,1673028000000,2,,2023-01-06 10:00:00-08:00
1.56,1.57,1.55,1.55,757,1.5605,1673028600000,6,,2023-01-06 10:10:00-08:00
1.55,1.55,1.55,1.55,230,1.55,1673029200000,1,,2023-01-06 10:20:00-08:00
1.55,1.55,1.55,1.55,500,1.55,1673034000000,2,,2023-01-06 11:40:00-08:00
1.58,1.58,1.57,1.57,220,1.5755,1673036700000,2,,2023-01-06 12:25:00-08:00
1.57,1.575,1.545,1.545,821,1.5698,1673037000000,7,,2023-01-06 12:30:00-08:00
1.5506,1.5506,1.53,1.53,925,1.5461,1673037600000,3,,2023-01-06 12:40:00-08:00
1.58,1.59,1.52,1.52,1532,1.5655,1673038500000,15,,2023-01-06 12:55:00-08:00
1.681,1.69,1.68,1.69,2200,1.6815,1673285400000,8,,2023-01-09 09:30:00-08:00
1.69,1.69,1.69,1.69,100,1.69,1673285700000,1,,2023-01-09 09:35:00-08:00
1.69,1.69,1.69,1.69,150,1.69,1673286000000,2,,2023-01-09 09:40:00-08:00
1.6813,1.6813,1.68,1.68,796,1.6821,1673286300000,3,,2023-01-09 09:45:00-08:00
1.69,1.69,1.69,1.69,114,1.69,1673286900000,2,,2023-01-09 09:55:00-08:00
1.69,1.7,1.69,1.7,1097,1.6909,1673287200000,4,,2023-01-09 10:00:00-08:00
1.7,1.71,1.7,1.71,1398,1.7061,1673288400000,9,,2023-01-09 10:20:00-08:00
1.695,1.695,1.695,1.695,200,1.695,1673288700000,2,,2023-01-09 10:25:00-08:00
1.71,1.715,1.7099,1.715,11819,1.71,1673289000000,6,,2023-01-09 10:30:00-08:00
1.735,1.735,1.69,1.73,1301,1.72,1673289300000,18,,2023-01-09 10:35:00-08:00
1.73,1.75,1.73,1.75,3806,1.7358,1673289600000,27,,2023-01-09 10:40:00-08:00
1.73,1.7613,1.73,1.73,1300,1.7467,1673289900000,9,,2023-01-09 10:45:00-08:00
1.74,1.74,1.74,1.74,408,1.74,1673290200000,5,,2023-01-09 10:50:00-08:00
1.745,1.745,1.72,1.725,1300,1.7288,1673290500000,12,,2023-01-09 10:55:00-08:00
1.72,1.725,1.72,1.7224,1200,1.7233,1673290800000,7,,2023-01-09 11:00:00-08:00
1.73,1.73,1.68,1.68,2699,1.7217,1673291100000,12,,2023-01-09 11:05:00-08:00
1.695,1.71,1.695,1.71,300,1.705,1673291400000,3,,2023-01-09 11:10:00-08:00
1.68,1.68,1.68,1.68,502,1.6799,1673291700000,6,,2023-01-09 11:15:00-08:00
1.68,1.68,1.68,1.68,100,1.68,1673292300000,1,,2023-01-09 11:25:00-08:00
1.68,1.68,1.68,1.68,100,1.68,1673292600000,1,,2023-01-09 11:30:00-08:00
1.675,1.68,1.675,1.68,1800,1.6797,1673293200000,4,,2023-01-09 11:40:00-08:00
1.715,1.715,1.715,1.715,200,1.715,1673293500000,2,,2023-01-09 11:45:00-08:00
1.76,1.76,1.75,1.76,600,1.7583,1673293800000,6,,2023-01-09 11:50:00-08:00
1.7,1.73,1.7,1.715,3001,1.7032,1673294400000,22,,2023-01-09 12:00:00-08:00
1.73,1.73,1.73,1.73,113,1.7258,1673294700000,5,,2023-01-09 12:05:00-08:00
1.725,1.725,1.725,1.725,100,1.725,1673295000000,1,,2023-01-09 12:10:00-08:00
1.75,1.77,1.725,1.77,1604,1.7528,1673295600000,16,,2023-01-09 12:20:00-08:00
1.755,1.755,1.755,1.755,100,1.755,1673295900000,1,,2023-01-09 12:25:00-08:00
1.76,1.76,1.76,1.76,136,1.76,1673296200000,1,,2023-01-09 12:30:00-08:00
1.76,1.76,1.755,1.755,236,1.7579,1673296500000,2,,2023-01-09 12:35:00-08:00
1.76,1.76,1.76,1.76,1132,1.76,1673296800000,12,,2023-01-09 12:40:00-08:00
1.76,1.78,1.76,1.77,1837,1.7702,1673297400000,9,,2023-01-09 12:50:00-08:00
1.78,1.78,1.68,1.76,3837,1.7732,1673297700000,18,,2023-01-09 12:55:00-08:00
1.8583,1.8583,1.8583,1.8583,800,1.8583,1673373000000,1,,2023-01-10 09:50:00-08:00
1.82,1.82,1.82,1.82,500,1.82,1673373300000,1,,2023-01-10 09:55:00-08:00
1.84,1.84,1.84,1.84,251,1.84,1673373900000,2,,2023-01-10 10:05:00-08:00
1.8404,1.86,1.8404,1.86,1201,1.8539,1673374800000,11,,2023-01-10 10:20:00-08:00
1.85,1.85,1.85,1.85,9033,1.85,1673375100000,16,,2023-01-10 10:25:00-08:00
1.854,1.865,1.85,1.865,1100,1.8568,1673375700000,10,,2023-01-10 10:35:00-08:00
1.85,1.85,1.84,1.84,851,1.8424,1673376000000,6,,2023-01-10 10:40:00-08:00
1.84,1.84,1.84,1.84,600,1.84,1673377500000,6,,2023-01-10 11:05:00-08:00
1.84,1.84,1.84,1.84,900,1.84,1673378400000,9,,2023-01-10 11:20:00-08:00
