open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.74,1.74,1.73,1.73,3557.0,1.7387,1672767000000,8,,2023-01-03 09:30:00-08:00
1.73,1.7399,1.7221,1.7221,2075.0,1.7279,1672767300000,10,,2023-01-03 09:35:00-08:00
1.73,1.73,1.72,1.72,6232.0,1.7204,1672767900000,9,,2023-01-03 09:45:00-08:00
1.72,1.74,1.72,1.73,11714.0,1.7382,1672768200000,9,,2023-01-03 09:50:00-08:00
1.73,1.74,1.73,1.73,2947.0,1.7325,1672768500000,19,,2023-01-03 09:55:00-08:00
1.74,1.76,1.74,1.76,17210.0,1.7517,1672768800000,70,,2023-01-03 10:00:00-08:00
1.7599,1.7856,1.73,1.75,25345.0,1.7658,1672769100000,90,,2023-01-03 10:05:00-08:00
1.7536,1.7601,1.74,1.7401,10123.0,1.7556,1672769400000,81,,2023-01-03 10:10:00-08:00
1.74,1.7599,1.73,1.7476,6909.0,1.7445,1672769700000,26,,2023-01-03 10:15:00-08:00
1.73,1.76,1.73,1.73,551.0,1.7491,1672770000000,4,,2023-01-03 10:20:00-08:00
1.74,1.7586,1.74,1.74,2204.0,1.7446,1672770300000,13,,2023-01-03 10:25:00-08:00
1.7482,1.76,1.73,1.76,10484.0,1.7556,1672770600000,74,,2023-01-03 10:30:00-08:00
1.76,1.76,1.76,1.76,101.0,1.76,1672770900000,2,,2023-01-03 10:35:00-08:00
1.74,1.74,1.71,1.71,3022.0,1.723,1672771200000,16,,2023-01-03 10:40:00-08:00
1.7109,1.72,1.71,1.715,2352.0,1.7187,1672771500000,26,,2023-01-03 10:45:00-08:00
1.7111,1.72,1.7111,1.72,8147.0,1.7178,1672771800000,42,,2023-01-03 10:50:00-08:00
1.72,1.73,1.7162,1.73,1888.0,1.7197,1672772100000,9,,2023-01-03 10:55:00-08:00
1.725,1.73,1.725,1.73,1070.0,1.7283,1672772400000,8,,2023-01-03 11:00:00-08:00
1.72,1.73,1.71,1.725,938.0,1.7218,1672772700000,9,,2023-01-03 11:05:00-08:00
1.72,1.73,1.71,1.72,844.0,1.7177,1672773000000,7,,2023-01-03 11:10:00-08:00
1.73,1.73,1.72,1.72,200.0,1.725,1672773300000,2,,2023-01-03 11:15:00-08:00
1.71,1.73,1.71,1.72,400.0,1.7175,1672773600000,3,,2023-01-03 11:20:00-08:00
1.72,1.72,1.71,1.72,1459.0,1.7122,1672773900000,10,,2023-01-03 11:25:00-08:00
1.72,1.73,1.72,1.73,732.0,1.7239,1672774200000,6,,2023-01-03 11:30:00-08:00
1.71,1.73,1.71,1.73,455.0,1.72,1672774500000,7,,2023-01-03 11:35:00-08:00
1.7299,1.73,1.71,1.72,1732.0,1.7229,1672774800000,10,,2023-01-03 11:40:00-08:00
1.72,1.73,1.71,1.72,1615.0,1.7231,1672775100000,16,,2023-01-03 11:45:00-08:00
1.72,1.72,1.715,1.715,1401.0,1.7196,1672775400000,10,,2023-01-03 11:50:00-08:00
1.715,1.715,1.71,1.715,590.0,1.7141,1672775700000,5,,2023-01-03 11:55:00-08:00
1.715,1.73,1.71,1.72,4499.0,1.7193,1672776000000,31,,2023-01-03 12:00:00-08:00
1.72,1.73,1.7199,1.7299,7979.0,1.723,1672776300000,24,,2023-01-03 12:05:00-08:00
1.72,1.7238,1.71,1.712,2600.0,1.7193,1672776600000,5,,2023-01-03 12:10:00-08:00
1.73,1.73,1.71,1.71,2166.0,1.7233,1672776900000,10,,2023-01-03 12:15:00-08:00
1.71,1.72,1.71,1.72,3722.0,1.7157,1672777200000,20,,2023-01-03 12:20:00-08:00
1.72,1.72,1.71,1.715,2842.0,1.7139,1672777500000,15,,2023-01-03 12:25:00-08:00
1.72,1.72,1.71,1.71,8370.0,1.7116,1672777800000,19,,2023-01-03 12:30:00-08:00
1.71,1.71,1.6801,1.6801,7729.0,1.7027,1672778100000,37,,2023-01-03 12:35:00-08:00
1.68,1.69,1.68,1.685,11574.0,1.683,1672778400000,40,,2023-01-03 12:40:00-08:00
1.685,1.71,1.68,1.68,9367.0,1.6835,1672778700000,63,,2023-01-03 12:45:00-08:00
1.68,1.68,1.6601,1.67,8301.0,1.6758,1672779000000,30,,2023-01-03 12:50:00-08:00
1.6601,1.7,1.66,1.68,33030.0,1.6806,1672779300000,166,,2023-01-03 12:55:00-08:00
1.74,1.74,1.74,1.74,100.0,1.74,1672787400000,1,,2023-01-03 15:10:00-08:00
1.7122,1.7122,1.71,1.71,251.0,1.7113,1672853400000,3,,2023-01-04 09:30:00-08:00
1.72,1.74,1.71,1.74,2204.0,1.7268,1672853700000,15,,2023-01-04 09:35:00-08:00
1.73,1.74,1.73,1.73,500.0,1.731,1672854000000,5,,2023-01-04 09:40:00-08:00
1.73,1.74,1.725,1.725,4201.0,1.7305,1672854300000,14,,2023-01-04 09:45:00-08:00
1.725,1.74,1.725,1.74,5344.0,1.7309,1672854600000,19,,2023-01-04 09:50:00-08:00
1.735,1.7399,1.72,1.7311,14062.0,1.7284,1672854900000,22,,2023-01-04 09:55:00-08:00
1.72,1.73,1.72,1.73,1000.0,1.721,1672855200000,2,,2023-01-04 10:00:00-08:00
1.73,1.73,1.72,1.72,3568.0,1.7234,1672855500000,12,,2023-01-04 10:05:00-08:00
1.74,1.74,1.73,1.7314,815.0,1.7329,1672856100000,9,,2023-01-04 10:15:00-08:00
1.74,1.75,1.73,1.745,10699.0,1.748,1672856400000,45,,2023-01-04 10:20:00-08:00
1.76,1.76,1.745,1.7512,500.0,1.7505,1672856700000,4,,2023-01-04 10:25:00-08:00
1.745,1.745,1.745,1.745,113.0,1.7466,1672857000000,2,,2023-01-04 10:30:00-08:00
1.76,1.76,1.73,1.7301,6844.0,1.7318,1672857300000,13,,2023-01-04 10:35:00-08:00
1.76,1.76,1.745,1.7573,900.0,1.7562,1672857600000,3,,2023-01-04 10:40:00-08:00
1.745,1.75,1.73,1.75,5100.0,1.7446,1672857900000,11,,2023-01-04 10:45:00-08:00
1.74,1.7545,1.74,1.753,3035.0,1.7511,1672858200000,26,,2023-01-04 10:50:00-08:00
1.76,1.76,1.74,1.75,8278.0,1.7422,1672858500000,17,,2023-01-04 10:55:00-08:00
1.745,1.75,1.735,1.735,5025.0,1.7417,1672858800000,20,,2023-01-04 11:00:00-08:00
1.735,1.735,1.735,1.735,300.0,1.735,1672859100000,3,,2023-01-04 11:05:00-08:00
1.735,1.735,1.735,1.735,200.0,1.735,1672859700000,2,,2023-01-04 11:15:00-08:00
1.75,1.75,1.735,1.735,600.0,1.74,1672860000000,6,,2023-01-04 11:20:00-08:00
1.73,1.73,1.73,1.73,975.0,1.73,1672860300000,5,,2023-01-04 11:25:00-08:00
1.73,1.73,1.73,1.73,433.0,1.73,1672860600000,6,,2023-01-04 11:30:00-08:00
1.725,1.725,1.725,1.725,1900.0,1.725,1672861500000,4,,2023-01-04 11:45:00-08:00
1.73,1.74,1.725,1.735,4022.0,1.7347,1672862100000,30,,2023-01-04 11:55:00-08:00
1.745,1.7492,1.73,1.7492,4018.0,1.7415,1672862700000,21,,2023-01-04 12:05:00-08:00
1.7401,1.75,1.7401,1.75,5301.0,1.7409,1672863000000,4,,2023-01-04 12:10:00-08:00
1.76,1.77,1.755,1.77,2600.0,1.7594,1672863300000,14,,2023-01-04 12:15:00-08:00
1.76,1.76,1.76,1.76,2500.0,1.76,1672863600000,1,,2023-01-04 12:20:00-08:00
1.77,1.78,1.7601,1.77,3060.0,1.7673,1672863900000,22,,2023-01-04 12:25:00-08:00
1.7799,1.7799,1.755,1.76,13225.0,1.763,1672864200000,44,,2023-01-04 12:30:00-08:00
1.76,1.77,1.76,1.77,5698.0,1.7682,1672864500000,25,,2023-01-04 12:35:00-08:00
1.77,1.79,1.765,1.785,13602.0,1.7782,1672864800000,36,,2023-01-04 12:40:00-08:00
1.785,1.79,1.785,1.79,3916.0,1.7883,1672865100000,18,,2023-01-04 12:45:00-08:00
1.79,1.7962,1.78,1.79,7515.0,1.7869,1672865400000,26,,2023-01-04 12:50:00-08:00
1.79,1.8,1.78,1.78,18199.0,1.7901,1672865700000,78,,2023-01-04 12:55:00-08:00
1.78,1.78,1.78,1.78,233.0,1.78,1672866000000,1,,2023-01-04 13:00:00-08:00
1.81,1.84,1.81,1.84,5044.0,1.8147,1672866900000,22,,2023-01-04 13:15:00-08:00
1.86,1.96,1.85,1.91,10988.0,1.9072,1672867200000,38,,2023-01-04 13:20:00-08:00
1.82,1.82,1.82,1.82,100.0,1.82,1672872000000,1,,2023-01-04 14:40:00-08:00
1.93,1.9399,1.92,1.9399,382.0,1.9278,1672939800000,4,,2023-01-05 09:30:00-08:00
1.93,1.93,1.93,1.93,105.0,1.9305,1672940100000,2,,2023-01-05 09:35:00-08:00
1.94,1.94,1.935,1.935,1201.0,1.9392,1672940400000,10,,2023-01-05 09:40:00-08:00
1.935,1.9697,1.935,1.9697,10112.0,1.9554,1672940700000,43,,2023-01-05 09:45:00-08:00
1.96,1.96,1.96,1.96,400.0,1.96,1672941000000,4,,2023-01-05 09:50:00-08:00
1.965,1.977,1.96,1.977,2049.0,1.9715,1672941300000,17,,2023-01-05 09:55:00-08:00
1.9782,1.98,1.975,1.975,4591.0,1.9776,1672941600000,28,,2023-01-05 10:00:00-08:00
1.9715,1.9715,1.9708,1.9708,2400.0,1.971,1672941900000,3,,2023-01-05 10:05:00-08:00
1.98,1.98,1.98,1.98,2130.0,1.9799,1672942200000,5,,2023-01-05 10:10:00-08:00
1.975,1.98,1.97,1.9701,30493.0,1.9794,1672942500000,76,,2023-01-05 10:15:00-08:00
1.975,2.0,1.96,1.9997,18561.0,1.9879,1672942800000,68,,2023-01-05 10:20:00-08:00
2.0,2.02,1.9801,1.9999,13602.0,2.0098,1672943100000,48,,2023-01-05 10:25:00-08:00
1.99,1.9991,1.98,1.99,3319.0,1.9913,1672943400000,23,,2023-01-05 10:30:00-08:00
1.99,1.99,1.9741,1.9741,8524.0,1.9771,1672943700000,19,,2023-01-05 10:35:00-08:00
1.975,2.035,1.975,2.02,57387.0,2.013,1672944000000,94,,2023-01-05 10:40:00-08:00
2.02,2.027,2.0,2.015,4422.0,2.0235,1672944300000,22,,2023-01-05 10:45:00-08:00
2.01,2.03,2.01,2.025,4301.0,2.0218,1672944600000,17,,2023-01-05 10:50:00-08:00
2.025,2.04,2.02,2.0201,4536.0,2.0247,1672944900000,15,,2023-01-05 10:55:00-08:00
2.025,2.04,2.02,2.02,4350.0,2.0277,1672945200000,22,,2023-01-05 11:00:00-08:00
2.02,2.04,2.02,2.03,8728.0,2.0299,1672945500000,41,,2023-01-05 11:05:00-08:00
2.03,2.04,2.03,2.03,16138.0,2.033,1672945800000,68,,2023-01-05 11:10:00-08:00
2.03,2.04,2.03,2.035,3245.0,2.0335,1672946100000,15,,2023-01-05 11:15:00-08:00
2.035,2.05,2.03,2.04,9414.0,2.0404,1672946400000,44,,2023-01-05 11:20:00-08:00
2.03,2.035,2.02,2.035,8333.0,2.0301,1672946700000,37,,2023-01-05 11:25:00-08:00
2.03,2.0369,2.0118,2.02,2903.0,2.0251,1672947000000,31,,2023-01-05 11:30:00-08:00
2.03,2.035,2.03,2.03,1976.0,2.0311,1672947300000,17,,2023-01-05 11:35:00-08:00
2.035,2.05,2.035,2.045,2596.0,2.0408,1672947600000,22,,2023-01-05 11:40:00-08:00
2.045,2.045,2.035,2.035,1708.0,2.04,1672947900000,15,,2023-01-05 11:45:00-08:00
2.04,2.11,2.04,2.0968,24598.0,2.0714,1672948200000,72,,2023-01-05 11:50:00-08:00
2.0908,2.1,2.05,2.05,33222.0,2.0955,1672948500000,19,,2023-01-05 11:55:00-08:00
2.0527,2.06,2.01,2.025,6313.0,2.0471,1672948800000,32,,2023-01-05 12:00:00-08:00
