open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
70.53,70.68,70.53,70.68,4616.0,70.6075,1672767000000,121,,2023-01-03 09:30:00-08:00
70.69,70.69,70.57,70.6,2084.0,70.6325,1672767300000,72,,2023-01-03 09:35:00-08:00
70.59,70.59,70.28,70.28,3226.0,70.4756,1672767600000,109,,2023-01-03 09:40:00-08:00
70.22,70.25,70.03,70.14,8689.0,70.1351,1672767900000,148,,2023-01-03 09:45:00-08:00
70.11,70.225,70.11,70.16,16469.0,70.1359,1672768200000,292,,2023-01-03 09:50:00-08:00
70.14,70.28,70.14,70.24,1581.0,70.2117,1672768500000,56,,2023-01-03 09:55:00-08:00
70.2675,70.2675,70.21,70.23,1804.0,70.2273,1672768800000,55,,2023-01-03 10:00:00-08:00
70.21,70.285,70.21,70.285,2197.0,70.2476,1672769100000,79,,2023-01-03 10:05:00-08:00
70.29,70.39,70.29,70.39,1764.0,70.3387,1672769400000,89,,2023-01-03 10:10:00-08:00
70.39,70.46,70.39,70.46,2057.0,70.4316,1672769700000,61,,2023-01-03 10:15:00-08:00
70.42,70.42,70.34,70.41,5610.0,70.3929,1672770000000,106,,2023-01-03 10:20:00-08:00
70.445,70.68,70.445,70.65,4564.0,70.5784,1672770300000,114,,2023-01-03 10:25:00-08:00
70.65,70.71,70.57,70.57,2371.0,70.6413,1672770600000,89,,2023-01-03 10:30:00-08:00
70.55,70.559,70.43,70.43,1892.0,70.4933,1672770900000,72,,2023-01-03 10:35:00-08:00
70.49,70.52,70.44,70.44,2679.0,70.4842,1672771200000,120,,2023-01-03 10:40:00-08:00
70.43,70.5,70.43,70.5,2244.0,70.4575,1672771500000,112,,2023-01-03 10:45:00-08:00
70.5,70.66,70.49,70.66,2898.0,70.5972,1672771800000,127,,2023-01-03 10:50:00-08:00
70.62,70.65,70.57,70.57,1729.0,70.6151,1672772100000,70,,2023-01-03 10:55:00-08:00
70.6,70.6,70.51,70.52,3302.0,70.544,1672772400000,124,,2023-01-03 11:00:00-08:00
70.53,70.53,70.49,70.49,1920.0,70.4996,1672772700000,72,,2023-01-03 11:05:00-08:00
70.495,70.53,70.43,70.43,5270.0,70.4809,1672773000000,155,,2023-01-03 11:10:00-08:00
70.445,70.495,70.43,70.495,3479.0,70.4592,1672773300000,113,,2023-01-03 11:15:00-08:00
70.47,70.5,70.39,70.39,3319.0,70.4667,1672773600000,110,,2023-01-03 11:20:00-08:00
70.405,70.43,70.33,70.3453,3008.0,70.3905,1672773900000,85,,2023-01-03 11:25:00-08:00
70.32,70.32,70.18,70.19,4268.0,70.2663,1672774200000,113,,2023-01-03 11:30:00-08:00
