open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.7,3.7185,3.7,3.7,2731.0,3.7012,1672767000000,31,,2023-01-03 09:30:00-08:00
3.7,3.73,3.7,3.71,5431.0,3.7147,1672767300000,49,,2023-01-03 09:35:00-08:00
3.71,3.71,3.66,3.66,3653.0,3.6825,1672767600000,33,,2023-01-03 09:40:00-08:00
3.65,3.66,3.61,3.64,5498.0,3.6395,1672767900000,50,,2023-01-03 09:45:00-08:00
3.65,3.65,3.64,3.64,2700.0,3.642,1672768200000,20,,2023-01-03 09:50:00-08:00
3.6403,3.65,3.64,3.64,4464.0,3.6453,1672768500000,38,,2023-01-03 09:55:00-08:00
3.64,3.644,3.62,3.635,4840.0,3.6343,1672768800000,33,,2023-01-03 10:00:00-08:00
3.63,3.65,3.625,3.64,2146.0,3.6353,1672769100000,29,,2023-01-03 10:05:00-08:00
3.63,3.63,3.61,3.61,3544.0,3.6238,1672769400000,43,,2023-01-03 10:10:00-08:00
3.6,3.61,3.57,3.59,10847.0,3.5905,1672769700000,105,,2023-01-03 10:15:00-08:00
3.59,3.6,3.575,3.59,7835.0,3.5823,1672770000000,42,,2023-01-03 10:20:00-08:00
3.595,3.605,3.595,3.6,2644.0,3.6,1672770300000,32,,2023-01-03 10:25:00-08:00
3.6,3.62,3.6,3.6,2207.0,3.6064,1672770600000,27,,2023-01-03 10:30:00-08:00
3.6,3.62,3.6,3.6085,6562.0,3.6171,1672770900000,32,,2023-01-03 10:35:00-08:00
3.6,3.6,3.58,3.58,4382.0,3.589,1672771200000,28,,2023-01-03 10:40:00-08:00
3.58,3.6,3.56,3.6,4748.0,3.5806,1672771500000,41,,2023-01-03 10:45:00-08:00
3.6,3.615,3.6,3.61,1987.0,3.6067,1672771800000,24,,2023-01-03 10:50:00-08:00
3.61,3.62,3.61,3.61,2813.0,3.6132,1672772100000,32,,2023-01-03 10:55:00-08:00
3.6,3.605,3.59,3.5901,8024.0,3.5968,1672772400000,56,,2023-01-03 11:00:00-08:00
3.6,3.6,3.58,3.6,4417.0,3.5878,1672772700000,53,,2023-01-03 11:05:00-08:00
3.61,3.62,3.6,3.6,1941.0,3.6089,1672773000000,25,,2023-01-03 11:10:00-08:00
3.6,3.62,3.6,3.61,2321.0,3.612,1672773300000,23,,2023-01-03 11:15:00-08:00
3.61,3.6148,3.61,3.61,2843.0,3.6104,1672773600000,16,,2023-01-03 11:20:00-08:00
3.61,3.635,3.61,3.62,2873.0,3.623,1672773900000,32,,2023-01-03 11:25:00-08:00
3.63,3.63,3.62,3.62,2560.0,3.6292,1672774200000,28,,2023-01-03 11:30:00-08:00
3.63,3.65,3.63,3.64,4807.0,3.6397,1672774500000,52,,2023-01-03 11:35:00-08:00
3.64,3.66,3.64,3.66,3212.0,3.6538,1672774800000,27,,2023-01-03 11:40:00-08:00
3.65,3.67,3.65,3.66,2257.0,3.6605,1672775100000,15,,2023-01-03 11:45:00-08:00
3.66,3.66,3.64,3.64,3662.0,3.65,1672775400000,29,,2023-01-03 11:50:00-08:00
3.64,3.64,3.61,3.61,5230.0,3.6218,1672775700000,58,,2023-01-03 11:55:00-08:00
3.61,3.63,3.605,3.605,3387.0,3.6189,1672776000000,38,,2023-01-03 12:00:00-08:00
3.605,3.61,3.6,3.6,5957.0,3.6021,1672776300000,23,,2023-01-03 12:05:00-08:00
3.58,3.625,3.57,3.625,6562.0,3.5978,1672776600000,67,,2023-01-03 12:10:00-08:00
3.62,3.625,3.62,3.62,3254.0,3.6213,1672776900000,45,,2023-01-03 12:15:00-08:00
3.62,3.625,3.61,3.61,4489.0,3.619,1672777200000,65,,2023-01-03 12:20:00-08:00
3.61,3.62,3.59,3.59,5649.0,3.6057,1672777500000,67,,2023-01-03 12:25:00-08:00
3.6,3.6199,3.6,3.6,5996.0,3.6098,1672777800000,27,,2023-01-03 12:30:00-08:00
3.61,3.61,3.575,3.59,8309.0,3.5906,1672778100000,68,,2023-01-03 12:35:00-08:00
3.595,3.6,3.59,3.6,4636.0,3.5947,1672778400000,46,,2023-01-03 12:40:00-08:00
3.595,3.6,3.59,3.6,6131.0,3.5955,1672778700000,73,,2023-01-03 12:45:00-08:00
3.595,3.6,3.58,3.5906,12853.0,3.5901,1672779000000,116,,2023-01-03 12:50:00-08:00
3.58,3.6,3.56,3.58,29012.0,3.5793,1672779300000,286,,2023-01-03 12:55:00-08:00
3.55,3.55,3.55,3.55,100.0,3.55,1672779600000,1,,2023-01-03 13:00:00-08:00
3.55,3.55,3.19,3.2,5270.0,3.2774,1672781700000,32,,2023-01-03 13:35:00-08:00
3.2,3.2,3.19,3.2,4231.0,3.1994,1672782000000,19,,2023-01-03 13:40:00-08:00
3.2,3.2,3.19,3.19,1320.0,3.1991,1672782300000,7,,2023-01-03 13:45:00-08:00
3.19,3.19,3.19,3.19,306.0,3.19,1672782600000,2,,2023-01-03 13:50:00-08:00
3.2,3.2,3.2,3.2,525.0,3.1995,1672782900000,4,,2023-01-03 13:55:00-08:00
3.19,3.2,3.19,3.2,500.0,3.198,1672783200000,4,,2023-01-03 14:00:00-08:00
3.19,3.19,3.19,3.19,122.0,3.1918,1672784100000,2,,2023-01-03 14:15:00-08:00
3.2,3.2,3.2,3.2,200.0,3.2,1672784400000,2,,2023-01-03 14:20:00-08:00
3.19,3.2,3.19,3.2,315.0,3.1963,1672784700000,5,,2023-01-03 14:25:00-08:00
3.2,3.2,3.2,3.2,12000.0,3.2,1672785300000,39,,2023-01-03 14:35:00-08:00
3.2,3.2,3.2,3.2,2001.0,3.2,1672785600000,4,,2023-01-03 14:40:00-08:00
3.2,3.2,3.2,3.2,2012.0,3.2,1672785900000,14,,2023-01-03 14:45:00-08:00
3.2,3.2,3.2,3.2,1242.0,3.2,1672786500000,4,,2023-01-03 14:55:00-08:00
3.2,3.2,3.2,3.2,2585.0,3.2,1672787700000,5,,2023-01-03 15:15:00-08:00
3.27,3.27,3.25,3.255,7451.0,3.2603,1672853400000,67,,2023-01-04 09:30:00-08:00
3.25,3.26,3.2415,3.2574,25238.0,3.2512,1672853700000,68,,2023-01-04 09:35:00-08:00
3.24,3.2599,3.225,3.23,6783.0,3.242,1672854000000,67,,2023-01-04 09:40:00-08:00
3.2398,3.27,3.23,3.265,82248.0,3.2525,1672854300000,150,,2023-01-04 09:45:00-08:00
3.265,3.28,3.2401,3.26,52557.0,3.2543,1672854600000,156,,2023-01-04 09:50:00-08:00
3.25,3.25,3.24,3.2491,6944.0,3.2465,1672854900000,62,,2023-01-04 09:55:00-08:00
3.245,3.245,3.23,3.235,6167.0,3.2386,1672855200000,34,,2023-01-04 10:00:00-08:00
3.23,3.26,3.23,3.26,7857.0,3.2425,1672855500000,71,,2023-01-04 10:05:00-08:00
3.255,3.39,3.255,3.365,19681.0,3.331,1672855800000,151,,2023-01-04 10:10:00-08:00
3.38,3.39,3.3515,3.36,3445.0,3.3709,1672856100000,51,,2023-01-04 10:15:00-08:00
3.36,3.39,3.36,3.38,2088.0,3.3784,1672856400000,36,,2023-01-04 10:20:00-08:00
3.39,3.4,3.37,3.39,7484.0,3.3817,1672856700000,57,,2023-01-04 10:25:00-08:00
3.4,3.44,3.4,3.4101,8056.0,3.4173,1672857000000,47,,2023-01-04 10:30:00-08:00
3.42,3.47,3.42,3.45,5537.0,3.4475,1672857300000,54,,2023-01-04 10:35:00-08:00
3.445,3.48,3.4405,3.475,7600.0,3.4552,1672857600000,52,,2023-01-04 10:40:00-08:00
3.475,3.49,3.4424,3.444,10041.0,3.4566,1672857900000,48,,2023-01-04 10:45:00-08:00
3.445,3.445,3.41,3.41,28577.0,3.4266,1672858200000,71,,2023-01-04 10:50:00-08:00
3.415,3.415,3.405,3.4103,3462.0,3.413,1672858500000,24,,2023-01-04 10:55:00-08:00
3.42,3.44,3.42,3.43,3420.0,3.4248,1672858800000,38,,2023-01-04 11:00:00-08:00
3.43,3.46,3.43,3.46,3243.0,3.4464,1672859100000,32,,2023-01-04 11:05:00-08:00
3.46,3.46,3.43,3.44,5742.0,3.44,1672859400000,58,,2023-01-04 11:10:00-08:00
3.44,3.47,3.44,3.455,4720.0,3.456,1672859700000,48,,2023-01-04 11:15:00-08:00
3.455,3.475,3.445,3.45,17373.0,3.4585,1672860000000,146,,2023-01-04 11:20:00-08:00
3.45,3.45,3.405,3.405,5355.0,3.4247,1672860300000,65,,2023-01-04 11:25:00-08:00
3.41,3.44,3.41,3.4201,5927.0,3.4222,1672860600000,57,,2023-01-04 11:30:00-08:00
3.4275,3.45,3.4275,3.45,6726.0,3.4376,1672860900000,67,,2023-01-04 11:35:00-08:00
3.44,3.45,3.4317,3.445,4261.0,3.4432,1672861200000,42,,2023-01-04 11:40:00-08:00
3.445,3.45,3.44,3.45,4185.0,3.4491,1672861500000,63,,2023-01-04 11:45:00-08:00
3.445,3.46,3.435,3.455,7045.0,3.4439,1672861800000,78,,2023-01-04 11:50:00-08:00
3.46,3.53,3.46,3.52,17297.0,3.4916,1672862100000,99,,2023-01-04 11:55:00-08:00
3.53,3.53,3.495,3.51,17800.0,3.5098,1672862400000,121,,2023-01-04 12:00:00-08:00
3.52,3.54,3.51,3.527,7226.0,3.5238,1672862700000,61,,2023-01-04 12:05:00-08:00
3.515,3.52,3.5,3.505,7288.0,3.5083,1672863000000,56,,2023-01-04 12:10:00-08:00
3.5,3.5,3.48,3.485,13670.0,3.4859,1672863300000,79,,2023-01-04 12:15:00-08:00
3.485,3.5,3.485,3.49,5266.0,3.4894,1672863600000,51,,2023-01-04 12:20:00-08:00
3.5,3.53,3.5,3.525,3103.0,3.5134,1672863900000,34,,2023-01-04 12:25:00-08:00
3.53,3.54,3.515,3.515,8551.0,3.5293,1672864200000,62,,2023-01-04 12:30:00-08:00
3.51,3.51,3.49,3.495,11084.0,3.5025,1672864500000,78,,2023-01-04 12:35:00-08:00
3.5,3.5,3.49,3.495,10073.0,3.495,1672864800000,51,,2023-01-04 12:40:00-08:00
3.5,3.515,3.495,3.495,20037.0,3.5041,1672865100000,104,,2023-01-04 12:45:00-08:00
3.495,3.515,3.4911,3.505,17128.0,3.504,1672865400000,92,,2023-01-04 12:50:00-08:00
3.51,3.51,3.44,3.44,77895.0,3.4608,1672865700000,467,,2023-01-04 12:55:00-08:00
3.5,3.5,3.5,3.5,250.0,3.5,1672866300000,1,,2023-01-04 13:05:00-08:00
3.33,3.33,3.33,3.33,2213.0,3.33,1672876800000,5,,2023-01-04 16:00:00-08:00
3.515,3.53,3.505,3.53,8514.0,3.517,1672939800000,52,,2023-01-05 09:30:00-08:00
3.525,3.54,3.5207,3.53,3243.0,3.5282,1672940100000,18,,2023-01-05 09:35:00-08:00
3.53,3.535,3.51,3.535,2570.0,3.5183,1672940400000,31,,2023-01-05 09:40:00-08:00
3.535,3.535,3.535,3.535,1100.0,3.535,1672940700000,11,,2023-01-05 09:45:00-08:00
3.535,3.5485,3.5348,3.535,3747.0,3.5353,1672941000000,24,,2023-01-05 09:50:00-08:00
3.535,3.54,3.535,3.54,1300.0,3.5362,1672941300000,11,,2023-01-05 09:55:00-08:00
3.545,3.55,3.545,3.545,5985.0,3.5463,1672941600000,33,,2023-01-05 10:00:00-08:00
3.545,3.545,3.545,3.545,1462.0,3.545,1672941900000,20,,2023-01-05 10:05:00-08:00
3.545,3.545,3.545,3.545,2285.0,3.545,1672942200000,29,,2023-01-05 10:10:00-08:00
3.545,3.56,3.545,3.555,3721.0,3.5494,1672942500000,31,,2023-01-05 10:15:00-08:00
3.555,3.56,3.535,3.54,9636.0,3.5515,1672942800000,123,,2023-01-05 10:20:00-08:00
3.54,3.55,3.54,3.54,1952.0,3.5407,1672943100000,22,,2023-01-05 10:25:00-08:00
3.54,3.55,3.54,3.55,6137.0,3.5467,1672943400000,130,,2023-01-05 10:30:00-08:00
3.55,3.55,3.535,3.5485,4704.0,3.5468,1672943700000,45,,2023-01-05 10:35:00-08:00
3.55,3.55,3.53,3.55,8311.0,3.542,1672944000000,74,,2023-01-05 10:40:00-08:00
3.55,3.55,3.55,3.55,2160.0,3.55,1672944300000,40,,2023-01-05 10:45:00-08:00
3.55,3.56,3.545,3.545,2341.0,3.5487,1672944600000,20,,2023-01-05 10:50:00-08:00
3.55,3.55,3.545,3.55,1112.0,3.5488,1672944900000,34,,2023-01-05 10:55:00-08:00
3.55,3.55,3.5415,3.55,1275.0,3.5492,1672945200000,14,,2023-01-05 11:00:00-08:00
3.55,3.55,3.54,3.55,5144.0,3.5441,1672945500000,45,,2023-01-05 11:05:00-08:00
3.55,3.555,3.53,3.53,9669.0,3.5384,1672945800000,104,,2023-01-05 11:10:00-08:00
3.54,3.55,3.54,3.55,2932.0,3.542,1672946100000,45,,2023-01-05 11:15:00-08:00
3.55,3.56,3.54,3.54,7968.0,3.5428,1672946400000,90,,2023-01-05 11:20:00-08:00
3.54,3.55,3.54,3.54,4114.0,3.5413,1672946700000,79,,2023-01-05 11:25:00-08:00
3.55,3.555,3.54,3.54,5569.0,3.5457,1672947000000,60,,2023-01-05 11:30:00-08:00
3.5475,3.56,3.54,3.555,5057.0,3.5505,1672947300000,67,,2023-01-05 11:35:00-08:00
3.545,3.56,3.53,3.5309,8354.0,3.5415,1672947600000,121,,2023-01-05 11:40:00-08:00
3.535,3.535,3.535,3.535,2705.0,3.535,1672947900000,47,,2023-01-05 11:45:00-08:00
3.535,3.535,3.535,3.535,2973.0,3.535,1672948200000,57,,2023-01-05 11:50:00-08:00
3.53,3.55,3.53,3.5425,7107.0,3.5431,1672948500000,85,,2023-01-05 11:55:00-08:00
3.545,3.55,3.53,3.535,5608.0,3.5395,1672948800000,63,,2023-01-05 12:00:00-08:00
3.535,3.56,3.535,3.555,4302.0,3.5437,1672949100000,59,,2023-01-05 12:05:00-08:00
3.555,3.5685,3.55,3.555,4654.0,3.5562,1672949400000,25,,2023-01-05 12:10:00-08:00
3.56,3.5601,3.54,3.545,7486.0,3.552,1672949700000,98,,2023-01-05 12:15:00-08:00
3.545,3.545,3.545,3.545,1577.0,3.545,1672950000000,15,,2023-01-05 12:20:00-08:00
3.545,3.55,3.5413,3.545,6878.0,3.5476,1672950300000,116,,2023-01-05 12:25:00-08:00
3.545,3.56,3.545,3.555,9681.0,3.5528,1672950600000,91,,2023-01-05 12:30:00-08:00
3.555,3.56,3.545,3.55,8311.0,3.5506,1672950900000,125,,2023-01-05 12:35:00-08:00
3.55,3.5585,3.55,3.555,6869.0,3.5542,1672951200000,42,,2023-01-05 12:40:00-08:00
3.555,3.56,3.55,3.555,16070.0,3.5545,1672951500000,177,,2023-01-05 12:45:00-08:00
3.555,3.555,3.5,3.505,57057.0,3.5223,1672951800000,313,,2023-01-05 12:50:00-08:00
3.5,3.51,3.48,3.48,50772.0,3.4971,1672952100000,304,,2023-01-05 12:55:00-08:00
3.5,3.5,3.5,3.5,92655.0,3.5,1672952400000,1,,2023-01-05 13:00:00-08:00
3.6085,3.6085,3.6085,3.6085,106.0,3.6085,1672956600000,1,,2023-01-05 14:10:00-08:00
3.61,3.61,3.61,3.61,252.0,3.61,1672957200000,1,,2023-01-05 14:20:00-08:00
3.63,3.63,3.63,3.63,104.0,3.6298,1672957500000,2,,2023-01-05 14:25:00-08:00
3.4901,3.4901,3.4901,3.4901,346.0,3.4901,1672962000000,1,,2023-01-05 15:40:00-08:00
3.73,3.73,3.69,3.69,3630.0,3.7115,1673026200000,66,,2023-01-06 09:30:00-08:00
