open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.9099,0.9099,0.9099,0.9099,409,0.9085,1672767000000,5,,2023-01-03 09:30:00-08:00
0.883201,0.883201,0.883201,0.883201,1500,0.8832,1672768200000,1,,2023-01-03 09:50:00-08:00
0.92,0.92,0.8832,0.92,410,0.9012,1672768500000,3,,2023-01-03 09:55:00-08:00
0.9,0.92,0.9,0.9,610,0.9036,1672768800000,6,,2023-01-03 10:00:00-08:00
0.92,0.92,0.92,0.92,100,0.92,1672769100000,1,,2023-01-03 10:05:00-08:00
0.9,0.92,0.9,0.92,200,0.91,1672769400000,2,,2023-01-03 10:10:00-08:00
0.92,0.92,0.92,0.92,201,0.9199,1672770300000,2,,2023-01-03 10:25:00-08:00
0.8999,0.8999,0.8999,0.8999,100,0.8999,1672772400000,1,,2023-01-03 11:00:00-08:00
0.9,0.9,0.9,0.9,100,0.9,1672772700000,1,,2023-01-03 11:05:00-08:00
0.9,0.9,0.9,0.9,200,0.9,1672773000000,3,,2023-01-03 11:10:00-08:00
0.8999,0.9,0.8802,0.9,1694,0.8918,1672773300000,11,,2023-01-03 11:15:00-08:00
0.88243,0.88243,0.8802,0.8802,2189,0.8822,1672774200000,4,,2023-01-03 11:30:00-08:00
0.9,0.92,0.89,0.92,2600,0.8973,1672775700000,12,,2023-01-03 11:55:00-08:00
0.9,0.9178,0.9,0.9178,325,0.9055,1672777500000,2,,2023-01-03 12:25:00-08:00
0.92,0.92,0.92,0.92,100,0.92,1672777800000,1,,2023-01-03 12:30:00-08:00
0.88,0.88,0.88,0.88,340,0.8847,1672778700000,3,,2023-01-03 12:45:00-08:00
0.92,0.92,0.91,0.92,300,0.9167,1672779000000,3,,2023-01-03 12:50:00-08:00
0.9,0.9,0.9,0.9,778,0.9,1672779300000,3,,2023-01-03 12:55:00-08:00
0.88,0.88,0.88,0.88,100,0.88,1672788000000,1,,2023-01-03 15:20:00-08:00
0.899,0.899,0.899,0.899,500,0.899,1672853400000,1,,2023-01-04 09:30:00-08:00
0.8999,0.8999,0.8999,0.8999,1500,0.8999,1672853700000,1,,2023-01-04 09:35:00-08:00
0.8999,0.9,0.8998,0.8998,1001,0.8998,1672854000000,5,,2023-01-04 09:40:00-08:00
0.8998,0.8998,0.8998,0.8998,150,0.8998,1672854300000,1,,2023-01-04 09:45:00-08:00
0.9,0.9,0.9,0.9,400,0.9,1672856700000,2,,2023-01-04 10:25:00-08:00
0.88,0.88,0.88,0.88,101,0.88,1672857300000,2,,2023-01-04 10:35:00-08:00
0.88,0.9,0.88,0.9,318,0.8863,1672858200000,3,,2023-01-04 10:50:00-08:00
0.866091,0.9,0.866091,0.9,1346,0.8817,1672861800000,3,,2023-01-04 11:50:00-08:00
0.87,0.9035,0.87,0.9035,1900,0.8841,1672862100000,13,,2023-01-04 11:55:00-08:00
0.9035,0.9035,0.9035,0.9035,200,0.9035,1672862400000,2,,2023-01-04 12:00:00-08:00
0.9035,0.905,0.9035,0.905,1600,0.9041,1672862700000,10,,2023-01-04 12:05:00-08:00
0.905,0.905,0.905,0.905,200,0.905,1672863000000,2,,2023-01-04 12:10:00-08:00
0.9,0.9,0.9,0.9,451,0.9,1672864200000,2,,2023-01-04 12:30:00-08:00
0.9199,0.9199,0.8707,0.8729,875,0.8851,1672865100000,7,,2023-01-04 12:45:00-08:00
0.9199,0.9199,0.9199,0.9199,200,0.9199,1672865700000,2,,2023-01-04 12:55:00-08:00
0.9199,0.9199,0.9199,0.9199,100,0.9199,1672866000000,1,,2023-01-04 13:00:00-08:00
0.9801,0.9801,0.9801,0.9801,401,0.9801,1672939800000,1,,2023-01-05 09:30:00-08:00
0.98342,0.98342,0.98342,0.98342,137,0.9847,1672941000000,2,,2023-01-05 09:50:00-08:00
0.98,0.98,0.98,0.98,1100,0.9818,1672941600000,9,,2023-01-05 10:00:00-08:00
0.9999,0.9999,0.9999,0.9999,100,0.9999,1672941900000,1,,2023-01-05 10:05:00-08:00
0.9998,0.9998,0.9998,0.9998,100,0.9998,1672942200000,1,,2023-01-05 10:10:00-08:00
0.9999,0.9999,0.9999,0.9999,514,0.9999,1672943400000,1,,2023-01-05 10:30:00-08:00
0.9998,0.9998,0.9998,0.9998,101,0.9997,1672943700000,2,,2023-01-05 10:35:00-08:00
0.99,0.99,0.99,0.99,300,0.99,1672944000000,1,,2023-01-05 10:40:00-08:00
0.99,1.01,0.965,0.99,12313,0.9906,1672944900000,25,,2023-01-05 10:55:00-08:00
0.9875,1.01,0.97,1.01,15751,0.9898,1672945200000,13,,2023-01-05 11:00:00-08:00
1.0,1.0,1.0,1.0,369,0.9998,1672945500000,3,,2023-01-05 11:05:00-08:00
0.9999,0.9999,0.9999,0.9999,300,0.9999,1672946100000,1,,2023-01-05 11:15:00-08:00
0.98,0.98,0.98,0.98,100,0.98,1672946700000,1,,2023-01-05 11:25:00-08:00
1.01,1.01,1.01,1.01,400,1.01,1672947300000,6,,2023-01-05 11:35:00-08:00
0.9905,1.01,0.9905,1.01,1816,0.9982,1672948200000,16,,2023-01-05 11:50:00-08:00
0.9909,0.9909,0.9909,0.9909,5000,0.9909,1672948800000,1,,2023-01-05 12:00:00-08:00
0.9906,1.01,0.9906,1.01,788,1.0051,1672949400000,10,,2023-01-05 12:10:00-08:00
1.0,1.01,1.0,1.01,769,1.0051,1672949700000,7,,2023-01-05 12:15:00-08:00
1.0,1.01,1.0,1.01,200,1.005,1672950900000,2,,2023-01-05 12:35:00-08:00
0.9948,0.9948,0.9948,0.9948,283,0.9948,1672951200000,1,,2023-01-05 12:40:00-08:00
0.9938,0.9938,0.9938,0.9938,437,0.9938,1672951500000,2,,2023-01-05 12:45:00-08:00
1.01,1.0359,0.99,1.0359,20807,1.0081,1672952100000,49,,2023-01-05 12:55:00-08:00
1.039,1.039,1.039,1.039,100,1.039,1672954200000,1,,2023-01-05 13:30:00-08:00
1.03,1.03,1.03,1.03,1114,1.03,1672962300000,1,,2023-01-05 15:45:00-08:00
1.0241,1.0241,1.0241,1.0241,100,1.0241,1673026200000,1,,2023-01-06 09:30:00-08:00
1.01,1.01,1.01,1.01,175,1.01,1673027100000,1,,2023-01-06 09:45:00-08:00
1.0,1.0,0.985,0.99,12045,0.9968,1673028000000,13,,2023-01-06 10:00:00-08:00
0.99,1.02,0.99,1.02,2546,0.9941,1673028300000,8,,2023-01-06 10:05:00-08:00
0.99,0.99,0.9811,0.9811,3052,0.9897,1673028900000,4,,2023-01-06 10:15:00-08:00
1.0,1.0,1.0,1.0,100,1.0,1673029500000,1,,2023-01-06 10:25:00-08:00
1.0099,1.0099,1.0075,1.0075,5201,1.0097,1673029800000,4,,2023-01-06 10:30:00-08:00
