open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.355,8.355,8.355,8.355,393,8.355,1672774800000,1,,2023-01-03 11:40:00-08:00
8.35,8.355,8.3401,8.3401,1614,8.3427,1672776600000,3,,2023-01-03 12:10:00-08:00
8.39,8.39,8.39,8.39,382,8.39,1672853700000,1,,2023-01-04 09:35:00-08:00
8.39,8.39,8.3801,8.3801,862,8.387,1672854600000,7,,2023-01-04 09:50:00-08:00
8.4,8.4,8.4,8.4,2032,8.4,1672857300000,1,,2023-01-04 10:35:00-08:00
8.395,8.395,8.39,8.39,1063,8.3928,1672861500000,6,,2023-01-04 11:45:00-08:00
8.405,8.405,8.4,8.4,400,8.4015,1672865700000,4,,2023-01-04 12:55:00-08:00
8.39,8.39,8.39,8.39,200,8.39,1672943100000,1,,2023-01-05 10:25:00-08:00
8.41,8.41,8.41,8.41,1100,8.41,1672951200000,7,,2023-01-05 12:40:00-08:00
8.41,8.41,8.41,8.41,100,8.41,1672952100000,1,,2023-01-05 12:55:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673026200000,2,,2023-01-06 09:30:00-08:00
8.49,8.49,8.49,8.49,200,8.49,1673026800000,2,,2023-01-06 09:40:00-08:00
8.47,8.47,8.47,8.47,600,8.47,1673027400000,3,,2023-01-06 09:50:00-08:00
8.49,8.49,8.49,8.49,200,8.49,1673027700000,1,,2023-01-06 09:55:00-08:00
8.49,8.49,8.49,8.49,200,8.49,1673028300000,1,,2023-01-06 10:05:00-08:00
8.49,8.49,8.49,8.49,200,8.49,1673028600000,2,,2023-01-06 10:10:00-08:00
8.49,8.49,8.49,8.49,200,8.49,1673029200000,3,,2023-01-06 10:20:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673029800000,1,,2023-01-06 10:30:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673030400000,2,,2023-01-06 10:40:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673030700000,2,,2023-01-06 10:45:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673031300000,2,,2023-01-06 10:55:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673031900000,2,,2023-01-06 11:05:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673032200000,2,,2023-01-06 11:10:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673032800000,2,,2023-01-06 11:20:00-08:00
8.5,8.5,8.5,8.5,200,8.5,1673033400000,1,,2023-01-06 11:30:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673033700000,2,,2023-01-06 11:35:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673034300000,2,,2023-01-06 11:45:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673034900000,2,,2023-01-06 11:55:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673035200000,2,,2023-01-06 12:00:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673035500000,2,,2023-01-06 12:05:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673036100000,2,,2023-01-06 12:15:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673036400000,2,,2023-01-06 12:20:00-08:00
8.51,8.51,8.51,8.51,200,8.51,1673036700000,2,,2023-01-06 12:25:00-08:00
8.51,8.51,8.51,8.51,600,8.51,1673037000000,4,,2023-01-06 12:30:00-08:00
8.5,8.52,8.5,8.52,600,8.5067,1673037300000,2,,2023-01-06 12:35:00-08:00
8.52,8.52,8.52,8.52,200,8.52,1673037600000,1,,2023-01-06 12:40:00-08:00
8.52,8.52,8.52,8.52,400,8.52,1673037900000,2,,2023-01-06 12:45:00-08:00
8.52,8.52,8.52,8.52,400,8.52,1673038200000,2,,2023-01-06 12:50:00-08:00
8.52,8.52,8.51,8.52,1080,8.5181,1673038500000,12,,2023-01-06 12:55:00-08:00
8.54,8.54,8.54,8.54,200,8.54,1673285400000,2,,2023-01-09 09:30:00-08:00
8.54,8.54,8.54,8.54,1044,8.54,1673286000000,2,,2023-01-09 09:40:00-08:00
