open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.8162,5.8162,5.8162,5.8162,63.24,5.8162,1672767000000,2,,2023-01-03 09:30:00-08:00
5.6275,5.6275,5.6275,5.6275,20.0,5.6275,1672767300000,1,,2023-01-03 09:35:00-08:00
6.0075,6.0075,6.0075,6.0075,8.36,6.0065,1672767900000,3,,2023-01-03 09:45:00-08:00
6.0075,6.0075,6.0075,6.0075,16.36,6.0018,1672768200000,5,,2023-01-03 09:50:00-08:00
6.0075,6.0075,6.0075,6.0075,16.0,6.0075,1672768500000,4,,2023-01-03 09:55:00-08:00
6.0075,6.0075,6.0075,6.0075,16.0,6.0075,1672768800000,4,,2023-01-03 10:00:00-08:00
5.63,6.3,5.6275,5.6275,211.76000000000002,5.916,1672769400000,17,,2023-01-03 10:10:00-08:00
6.0,6.475,6.0,6.475,52.0,6.4019,1672773300000,9,,2023-01-03 11:15:00-08:00
6.4132,6.475,6.4132,6.475,66.52000000000001,6.4281,1672773600000,4,,2023-01-03 11:20:00-08:00
6.475,6.475,6.475,6.475,32.0,6.475,1672773900000,5,,2023-01-03 11:25:00-08:00
6.2087,6.2087,6.125,6.125,24.2,6.1381,1672774200000,3,,2023-01-03 11:30:00-08:00
5.945,6.05,5.945,5.945,228.0,6.0039,1672774500000,25,,2023-01-03 11:35:00-08:00
5.945,5.9475,5.8225,5.945,855.92,5.9429,1672774800000,28,,2023-01-03 11:40:00-08:00
5.945,5.945,5.945,5.945,4.0,5.945,1672775100000,1,,2023-01-03 11:45:00-08:00
5.76,5.7675,5.76,5.7625,180.08,5.7636,1672776000000,6,,2023-01-03 12:00:00-08:00
5.875,5.945,5.875,5.885,256.0,5.8834,1672776900000,15,,2023-01-03 12:15:00-08:00
5.8775,5.88,5.8775,5.8788,128.8,5.8799,1672777500000,3,,2023-01-03 12:25:00-08:00
5.8775,5.8775,5.775,5.775,200.0,5.7873,1672777800000,7,,2023-01-03 12:30:00-08:00
5.78,5.945,5.7787,5.945,366.0,5.7869,1672778100000,26,,2023-01-03 12:35:00-08:00
5.875,5.875,5.875,5.875,28.0,5.875,1672778700000,1,,2023-01-03 12:45:00-08:00
5.775,5.775,5.775,5.775,4.16,5.775,1672782000000,1,,2023-01-03 13:40:00-08:00
6.115,6.1175,6.115,6.1175,328.36,6.1165,1672854000000,16,,2023-01-04 09:40:00-08:00
6.1175,6.1825,6.1163,6.1475,364.0,6.1289,1672854600000,43,,2023-01-04 09:50:00-08:00
6.2,6.2,6.2,6.2,28.0,6.2,1672855200000,7,,2023-01-04 10:00:00-08:00
6.175,6.175,6.175,6.175,4.0,6.175,1672855500000,1,,2023-01-04 10:05:00-08:00
