open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
33.4218,33.4218,33.4218,33.4218,147,33.4218,1672767300000,1,,2023-01-03 09:35:00-08:00
33.39,33.39,33.39,33.39,547,33.39,1672771200000,2,,2023-01-03 10:40:00-08:00
33.34,33.3612,33.34,33.3612,600,33.3506,1672774200000,6,,2023-01-03 11:30:00-08:00
33.36,33.36,33.36,33.36,300,33.36,1672774800000,1,,2023-01-03 11:40:00-08:00
33.38,33.46,33.38,33.458,4860,33.4509,1672775100000,31,,2023-01-03 11:45:00-08:00
33.4206,33.4206,33.4206,33.4206,193,33.4206,1672776000000,2,,2023-01-03 12:00:00-08:00
33.4267,33.4267,33.4267,33.4267,1224,33.4266,1672776300000,2,,2023-01-03 12:05:00-08:00
33.43,33.43,33.43,33.43,168,33.43,1672776600000,2,,2023-01-03 12:10:00-08:00
33.4392,33.4392,33.4392,33.4392,2709,33.4392,1672776900000,1,,2023-01-03 12:15:00-08:00
33.42,33.42,33.42,33.42,340,33.42,1672777800000,1,,2023-01-03 12:30:00-08:00
33.44,33.45,33.44,33.44,1982,33.4454,1672778700000,20,,2023-01-03 12:45:00-08:00
33.45,33.45,33.45,33.45,1658,33.45,1672779000000,3,,2023-01-03 12:50:00-08:00
33.4401,33.4401,33.4401,33.4401,160,33.4401,1672859700000,1,,2023-01-04 11:15:00-08:00
33.4401,33.4401,33.4401,33.4401,469,33.4401,1672860000000,1,,2023-01-04 11:20:00-08:00
33.41,33.41,33.408,33.408,334,33.4094,1672860600000,4,,2023-01-04 11:30:00-08:00
33.41,33.46,33.41,33.46,1324,33.4449,1672862400000,4,,2023-01-04 12:00:00-08:00
33.46,33.48,33.46,33.48,377,33.4655,1672862700000,2,,2023-01-04 12:05:00-08:00
33.27,33.28,33.27,33.27,11434,33.2701,1672945500000,26,,2023-01-05 11:05:00-08:00
33.31,33.31,33.26,33.26,1030,33.2694,1672946100000,7,,2023-01-05 11:15:00-08:00
33.2509,33.2509,33.2509,33.2509,115,33.2509,1672946700000,1,,2023-01-05 11:25:00-08:00
33.2999,33.2999,33.2999,33.2999,207,33.2999,1672949100000,1,,2023-01-05 12:05:00-08:00
33.27,33.27,33.27,33.27,2262,33.27,1672949400000,1,,2023-01-05 12:10:00-08:00
33.23,33.23,33.23,33.23,2048,33.2307,1672949700000,3,,2023-01-05 12:15:00-08:00
33.2346,33.2406,33.2346,33.2406,1065,33.2358,1672950000000,2,,2023-01-05 12:20:00-08:00
33.17,33.1701,33.17,33.1701,1623,33.17,1672952100000,5,,2023-01-05 12:55:00-08:00
33.48,33.48,33.48,33.48,537,33.48,1673028300000,2,,2023-01-06 10:05:00-08:00
33.49,33.49,33.49,33.49,100,33.49,1673029800000,1,,2023-01-06 10:30:00-08:00
33.5612,33.5612,33.5612,33.5612,125,33.5612,1673031600000,1,,2023-01-06 11:00:00-08:00
33.5301,33.5301,33.53,33.53,218,33.5301,1673031900000,2,,2023-01-06 11:05:00-08:00
33.6449,33.6449,33.6449,33.6449,370,33.6449,1673033700000,1,,2023-01-06 11:35:00-08:00
33.62,33.6455,33.62,33.6455,208,33.6326,1673034300000,4,,2023-01-06 11:45:00-08:00
33.7088,33.7088,33.67,33.6882,2085,33.6908,1673036100000,10,,2023-01-06 12:15:00-08:00
33.6899,33.6899,33.6647,33.6647,2568,33.6786,1673036400000,3,,2023-01-06 12:20:00-08:00
33.63,33.65,33.63,33.648,1022,33.6406,1673038500000,9,,2023-01-06 12:55:00-08:00
33.8401,33.8401,33.84,33.84,1220,33.8401,1673287800000,4,,2023-01-09 10:10:00-08:00
33.8978,33.8978,33.8978,33.8978,1367,33.8978,1673288100000,1,,2023-01-09 10:15:00-08:00
33.67,33.6987,33.67,33.67,1953,33.6856,1673294700000,10,,2023-01-09 12:05:00-08:00
33.6648,33.6648,33.6648,33.6648,889,33.6648,1673295300000,1,,2023-01-09 12:15:00-08:00
33.69,33.69,33.69,33.69,5403,33.69,1673295600000,1,,2023-01-09 12:20:00-08:00
33.64,33.64,33.64,33.64,797,33.64,1673296500000,2,,2023-01-09 12:35:00-08:00
33.64,33.67,33.64,33.67,3643,33.6412,1673297100000,4,,2023-01-09 12:45:00-08:00
33.5801,33.5801,33.58,33.58,2037,33.5801,1673297700000,9,,2023-01-09 12:55:00-08:00
33.63,33.63,33.63,33.63,138,33.63,1673372100000,2,,2023-01-10 09:35:00-08:00
33.58,33.5801,33.57,33.57,6246,33.5719,1673373000000,16,,2023-01-10 09:50:00-08:00
33.58,33.58,33.57,33.57,300,33.5734,1673374500000,3,,2023-01-10 10:15:00-08:00
33.65,33.65,33.61,33.61,2712,33.6485,1673376000000,2,,2023-01-10 10:40:00-08:00
33.64,33.6401,33.64,33.64,4638,33.64,1673378100000,4,,2023-01-10 11:15:00-08:00
33.65,33.6501,33.65,33.6501,564,33.6501,1673379300000,2,,2023-01-10 11:35:00-08:00
33.61,33.61,33.61,33.61,840,33.61,1673381100000,5,,2023-01-10 12:05:00-08:00
33.6101,33.6101,33.6101,33.6101,290,33.6101,1673381400000,1,,2023-01-10 12:10:00-08:00
33.68,33.68,33.65,33.65,4595,33.6537,1673382000000,10,,2023-01-10 12:20:00-08:00
33.62,33.6566,33.62,33.6566,1103,33.624,1673382900000,4,,2023-01-10 12:35:00-08:00
33.65,33.65,33.65,33.65,221,33.65,1673383200000,1,,2023-01-10 12:40:00-08:00
33.68,33.69,33.63,33.63,1999,33.6698,1673383500000,18,,2023-01-10 12:45:00-08:00
33.65,33.65,33.65,33.65,300,33.6508,1673384100000,2,,2023-01-10 12:55:00-08:00
33.81,33.81,33.81,33.81,125,33.81,1673458500000,2,,2023-01-11 09:35:00-08:00
33.87,33.87,33.8101,33.8101,5647,33.817,1673458800000,3,,2023-01-11 09:40:00-08:00
33.82,33.82,33.82,33.82,100,33.82,1673459400000,1,,2023-01-11 09:50:00-08:00
