open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.595,7.65,7.59,7.65,2631.0,7.6202,1672767000000,53,,2023-01-03 09:30:00-08:00
7.655,7.66,7.65,7.65,5108.0,7.656,1672767300000,59,,2023-01-03 09:35:00-08:00
7.64,7.64,7.58,7.58,1976.0,7.6216,1672767600000,40,,2023-01-03 09:40:00-08:00
7.58,7.58,7.52,7.53,8011.0,7.5491,1672767900000,91,,2023-01-03 09:45:00-08:00
7.525,7.55,7.525,7.55,3228.0,7.5351,1672768200000,59,,2023-01-03 09:50:00-08:00
7.555,7.595,7.555,7.59,9023.0,7.5845,1672768500000,84,,2023-01-03 09:55:00-08:00
7.6,7.62,7.56,7.62,7564.0,7.5865,1672768800000,90,,2023-01-03 10:00:00-08:00
7.61,7.62,7.55,7.555,6374.0,7.5942,1672769100000,76,,2023-01-03 10:05:00-08:00
7.55,7.57,7.52,7.535,8428.0,7.5537,1672769400000,97,,2023-01-03 10:10:00-08:00
7.53,7.57,7.52,7.54,12019.0,7.5447,1672769700000,143,,2023-01-03 10:15:00-08:00
7.53,7.59,7.53,7.575,21961.0,7.5674,1672770000000,129,,2023-01-03 10:20:00-08:00
7.58,7.64,7.58,7.64,11428.0,7.6168,1672770300000,116,,2023-01-03 10:25:00-08:00
7.64,7.64,7.61,7.62,10259.0,7.6266,1672770600000,116,,2023-01-03 10:30:00-08:00
7.62,7.65,7.62,7.65,8324.0,7.6374,1672770900000,91,,2023-01-03 10:35:00-08:00
7.64,7.64,7.61,7.63,7531.0,7.6252,1672771200000,91,,2023-01-03 10:40:00-08:00
7.62,7.62,7.595,7.61,11411.0,7.6073,1672771500000,131,,2023-01-03 10:45:00-08:00
7.61,7.64,7.57,7.6382,23480.0,7.6153,1672771800000,179,,2023-01-03 10:50:00-08:00
7.63,7.67,7.615,7.66,14460.0,7.6473,1672772100000,134,,2023-01-03 10:55:00-08:00
7.66,7.67,7.645,7.66,10089.0,7.6558,1672772400000,113,,2023-01-03 11:00:00-08:00
7.665,7.69,7.66,7.67,11128.0,7.6717,1672772700000,109,,2023-01-03 11:05:00-08:00
7.68,7.685,7.66,7.685,7581.0,7.6761,1672773000000,97,,2023-01-03 11:10:00-08:00
7.69,7.74,7.685,7.685,26987.0,7.7162,1672773300000,201,,2023-01-03 11:15:00-08:00
7.685,7.7,7.67,7.69,8202.0,7.6852,1672773600000,104,,2023-01-03 11:20:00-08:00
7.695,7.7,7.69,7.7,4390.0,7.6971,1672773900000,72,,2023-01-03 11:25:00-08:00
7.7,7.7,7.66,7.68,6468.0,7.6811,1672774200000,98,,2023-01-03 11:30:00-08:00
7.67,7.695,7.66,7.69,11991.0,7.6834,1672774500000,124,,2023-01-03 11:35:00-08:00
7.7,7.73,7.685,7.73,18120.0,7.713,1672774800000,170,,2023-01-03 11:40:00-08:00
7.735,7.78,7.735,7.77,12916.0,7.759,1672775100000,96,,2023-01-03 11:45:00-08:00
7.77,7.78,7.715,7.715,76353.0,7.7373,1672775400000,208,,2023-01-03 11:50:00-08:00
7.715,7.74,7.705,7.725,21202.0,7.719,1672775700000,195,,2023-01-03 11:55:00-08:00
7.725,7.745,7.67,7.71,17573.0,7.7187,1672776000000,188,,2023-01-03 12:00:00-08:00
7.71,7.715,7.695,7.705,13931.0,7.7091,1672776300000,126,,2023-01-03 12:05:00-08:00
7.71,7.75,7.71,7.74,9122.0,7.7287,1672776600000,91,,2023-01-03 12:10:00-08:00
7.75,7.77,7.745,7.765,10377.0,7.7618,1672776900000,156,,2023-01-03 12:15:00-08:00
7.765,7.78,7.74,7.74,19908.0,7.7572,1672777200000,272,,2023-01-03 12:20:00-08:00
7.75,7.785,7.74,7.785,20192.0,7.7617,1672777500000,250,,2023-01-03 12:25:00-08:00
7.79,7.799,7.76,7.785,15320.0,7.7809,1672777800000,189,,2023-01-03 12:30:00-08:00
7.79,7.8,7.74,7.76,14723.0,7.7713,1672778100000,193,,2023-01-03 12:35:00-08:00
7.755,7.79,7.745,7.78,32799.0,7.7668,1672778400000,336,,2023-01-03 12:40:00-08:00
7.78,7.79,7.75,7.77,25524.0,7.7739,1672778700000,286,,2023-01-03 12:45:00-08:00
7.77,7.81,7.75,7.81,38349.0,7.7895,1672779000000,457,,2023-01-03 12:50:00-08:00
7.805,7.805,7.77,7.8,97210.0,7.7899,1672779300000,1002,,2023-01-03 12:55:00-08:00
7.8,7.8,7.8,7.8,9551.0,7.8,1672779600000,11,,2023-01-03 13:00:00-08:00
7.835,7.87,7.835,7.865,4905.0,7.8537,1672853400000,85,,2023-01-04 09:30:00-08:00
7.865,7.87,7.84,7.86,12073.0,7.8543,1672853700000,127,,2023-01-04 09:35:00-08:00
7.865,7.9,7.86,7.9,8113.0,7.8776,1672854000000,112,,2023-01-04 09:40:00-08:00
7.9,7.96,7.9,7.96,5780.0,7.9329,1672854300000,100,,2023-01-04 09:45:00-08:00
7.96,8.02,7.93,7.99,55950.0,7.9709,1672854600000,495,,2023-01-04 09:50:00-08:00
7.99,8.005,7.97,7.995,15191.0,7.9929,1672854900000,193,,2023-01-04 09:55:00-08:00
7.99,8.02,7.96,8.01,13397.0,7.9854,1672855200000,172,,2023-01-04 10:00:00-08:00
8.0,8.01,7.99,8.005,4713.0,8.0026,1672855500000,80,,2023-01-04 10:05:00-08:00
8.005,8.03,7.99,8.03,8546.0,8.0007,1672855800000,93,,2023-01-04 10:10:00-08:00
8.025,8.05,8.015,8.05,4811.0,8.0329,1672856100000,80,,2023-01-04 10:15:00-08:00
8.05,8.08,8.04,8.08,5499.0,8.0648,1672856400000,92,,2023-01-04 10:20:00-08:00
8.09,8.12,8.08,8.11,10724.0,8.0957,1672856700000,146,,2023-01-04 10:25:00-08:00
8.1,8.11,8.1,8.11,1821.0,8.1061,1672857000000,51,,2023-01-04 10:30:00-08:00
8.115,8.13,8.09,8.09,4769.0,8.1177,1672857300000,84,,2023-01-04 10:35:00-08:00
8.1,8.11,8.085,8.105,3934.0,8.0997,1672857600000,52,,2023-01-04 10:40:00-08:00
8.11,8.12,8.11,8.115,1536.0,8.1135,1672857900000,36,,2023-01-04 10:45:00-08:00
8.115,8.13,8.115,8.115,8672.0,8.1272,1672858200000,49,,2023-01-04 10:50:00-08:00
8.12,8.13,7.96,8.11,36127.0,8.1114,1672858500000,312,,2023-01-04 10:55:00-08:00
8.055,8.155,8.055,8.1,8410.0,8.1012,1672858800000,144,,2023-01-04 11:00:00-08:00
8.1,8.15,8.07,8.09,7859.0,8.1157,1672859100000,138,,2023-01-04 11:05:00-08:00
8.08,8.13,8.07,8.13,31497.0,8.0974,1672859400000,373,,2023-01-04 11:10:00-08:00
8.13,8.15,8.13,8.15,7281.0,8.1427,1672859700000,87,,2023-01-04 11:15:00-08:00
8.15,8.15,8.0625,8.09,18336.0,8.1058,1672860000000,219,,2023-01-04 11:20:00-08:00
8.08,8.09,8.03,8.055,37803.0,8.0544,1672860300000,398,,2023-01-04 11:25:00-08:00
8.06,8.12,8.03,8.12,25072.0,8.074,1672860600000,327,,2023-01-04 11:30:00-08:00
8.11,8.115,7.96,7.985,13095.0,8.0195,1672860900000,211,,2023-01-04 11:35:00-08:00
7.98,8.01,7.97,7.98,9551.0,7.9886,1672861200000,156,,2023-01-04 11:40:00-08:00
7.99,8.02,7.99,8.0,6775.0,8.0071,1672861500000,95,,2023-01-04 11:45:00-08:00
8.0,8.03,7.995,8.03,8828.0,8.0136,1672861800000,152,,2023-01-04 11:50:00-08:00
