open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.29,10.29,10.29,10.29,5440,10.2899,1672863000000,10,,2023-01-04 12:10:00-08:00
10.3,10.3001,10.3,10.3,6000,10.3001,1673376300000,30,,2023-01-10 10:45:00-08:00
10.3,10.3,10.3,10.3,100,10.3,1673384100000,1,,2023-01-10 12:55:00-08:00
10.35,10.35,10.35,10.35,101,10.35,1673988900000,2,,2023-01-17 12:55:00-08:00
10.31,10.31,10.31,10.31,250000,10.31,1674152400000,1,,2023-01-19 10:20:00-08:00
10.3275,10.33,10.325,10.326,880,10.3274,1674503400000,9,,2023-01-23 11:50:00-08:00
10.33,10.33,10.33,10.33,33672,10.33,1674581700000,7,,2023-01-24 09:35:00-08:00
10.34,10.34,10.34,10.34,140000,10.34,1674843600000,1,,2023-01-27 10:20:00-08:00
10.35,10.35,10.35,10.35,188,10.35,1675104600000,1,,2023-01-30 10:50:00-08:00
10.34,10.34,10.34,10.34,22284,10.34,1675192800000,1,,2023-01-31 11:20:00-08:00
10.34,10.34,10.34,10.34,154,10.34,1675198500000,1,,2023-01-31 12:55:00-08:00
10.34,10.34,10.34,10.34,134,10.34,1675284900000,1,,2023-02-01 12:55:00-08:00
10.35,10.35,10.35,10.35,100,10.35,1675798800000,1,,2023-02-07 11:40:00-08:00
10.35,10.35,10.35,10.35,100,10.35,1675890000000,1,,2023-02-08 13:00:00-08:00
10.35,10.35,10.35,10.35,2632,10.35,1676056500000,1,,2023-02-10 11:15:00-08:00
10.3401,10.3401,10.3401,10.3401,187,10.3401,1676059500000,1,,2023-02-10 12:05:00-08:00
10.36,10.36,10.36,10.36,19393,10.36,1676494500000,2,,2023-02-15 12:55:00-08:00
10.4,10.4,10.4,10.4,750,10.4,1677868800000,1,,2023-03-03 10:40:00-08:00
10.43,10.43,10.43,10.43,100,10.43,1679426400000,1,,2023-03-21 12:20:00-07:00
10.47,10.47,10.47,10.47,100,10.47,1680119400000,1,,2023-03-29 12:50:00-07:00
10.485,10.485,10.485,10.485,100,10.485,1680718800000,1,,2023-04-05 11:20:00-07:00
10.48,10.48,10.48,10.48,306,10.48,1681234200000,1,,2023-04-11 10:30:00-07:00
10.48,10.49,10.48,10.49,4982,10.4825,1681412100000,14,,2023-04-13 11:55:00-07:00
10.48,10.49,10.48,10.485,251750,10.48,1681412400000,7,,2023-04-13 12:00:00-07:00
10.485,10.49,10.485,10.49,95000,10.4899,1681412700000,9,,2023-04-13 12:05:00-07:00
10.49,10.49,10.48,10.48,50300,10.4899,1681413000000,22,,2023-04-13 12:10:00-07:00
10.48,10.48,10.48,10.48,100000,10.48,1681414500000,1,,2023-04-13 12:35:00-07:00
10.48,10.48,10.48,10.48,250000,10.48,1681415100000,1,,2023-04-13 12:45:00-07:00
10.485,10.485,10.48,10.48,47095,10.4802,1681840200000,101,,2023-04-18 10:50:00-07:00
10.485,10.49,10.485,10.49,58871,10.4899,1682008500000,39,,2023-04-20 09:35:00-07:00
10.495,10.495,10.495,10.495,100017,10.495,1682452500000,20,,2023-04-25 12:55:00-07:00
10.5,10.5,10.5,10.5,850,10.5,1682624400000,1,,2023-04-27 12:40:00-07:00
10.5,10.5,10.5,10.5,300,10.5,1682711700000,1,,2023-04-28 12:55:00-07:00
10.505,10.505,10.5,10.5,5000,10.503,1683056100000,17,,2023-05-02 12:35:00-07:00
10.5001,10.5001,10.5,10.5,1001,10.5001,1683057000000,5,,2023-05-02 12:50:00-07:00
10.5,10.5,10.5,10.5,321,10.5,1683140400000,1,,2023-05-03 12:00:00-07:00
10.54,10.54,10.54,10.54,516,10.5391,1683312900000,3,,2023-05-05 11:55:00-07:00
10.55,10.55,10.55,10.55,6672,10.5499,1684170600000,16,,2023-05-15 10:10:00-07:00
10.55,10.55,10.55,10.55,100,10.55,1684172100000,1,,2023-05-15 10:35:00-07:00
10.54,10.54,10.54,10.54,524,10.54,1684174200000,2,,2023-05-15 11:10:00-07:00
10.54,10.54,10.54,10.54,339,10.54,1684176000000,3,,2023-05-15 11:40:00-07:00
10.55,10.55,10.55,10.55,3000,10.55,1684258200000,10,,2023-05-16 10:30:00-07:00
10.54,10.54,10.53,10.53,5098,10.5333,1684261500000,16,,2023-05-16 11:25:00-07:00
10.53,10.53,10.53,10.53,255000,10.53,1684432200000,2,,2023-05-18 10:50:00-07:00
10.56,10.56,10.56,10.56,244,10.5582,1684432800000,4,,2023-05-18 11:00:00-07:00
10.55,10.55,10.55,10.55,25300,10.55,1684433700000,2,,2023-05-18 11:15:00-07:00
10.55,10.55,10.54,10.55,232000,10.55,1684435500000,24,,2023-05-18 11:45:00-07:00
10.51,10.51,10.51,10.51,124,10.51,1684953300000,2,,2023-05-24 11:35:00-07:00
10.51,10.51,10.51,10.51,29568,10.51,1684953600000,86,,2023-05-24 11:40:00-07:00
10.51,10.51,10.51,10.51,2300,10.51,1684953900000,4,,2023-05-24 11:45:00-07:00
10.51,10.51,10.51,10.51,2700,10.51,1684954200000,4,,2023-05-24 11:50:00-07:00
10.51,10.51,10.49,10.5,47370,10.5,1684956300000,59,,2023-05-24 12:25:00-07:00
10.49,10.5,10.49,10.5,1472,10.4966,1684956600000,8,,2023-05-24 12:30:00-07:00
10.5,10.5,10.5,10.5,4980,10.5,1684956900000,2,,2023-05-24 12:35:00-07:00
10.5,10.5,10.5,10.5,7793,10.5,1684957200000,3,,2023-05-24 12:40:00-07:00
10.5,10.5,10.5,10.5,3348,10.5,1684957500000,2,,2023-05-24 12:45:00-07:00
10.48,10.51,10.48,10.51,6682,10.5085,1684958100000,23,,2023-05-24 12:55:00-07:00
10.47,10.47,10.47,10.47,745,10.47,1685033400000,1,,2023-05-25 09:50:00-07:00
10.5,10.51,10.47,10.5,659,10.4931,1685033700000,5,,2023-05-25 09:55:00-07:00
10.51,10.51,10.47,10.47,217,10.4916,1685034600000,3,,2023-05-25 10:10:00-07:00
10.51,10.51,10.47,10.47,785,10.4896,1685034900000,5,,2023-05-25 10:15:00-07:00
10.5,10.5,10.5,10.5,211,10.5005,1685035200000,2,,2023-05-25 10:20:00-07:00
10.48,10.48,10.48,10.48,100,10.48,1685037000000,1,,2023-05-25 10:50:00-07:00
