open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.18,2.185,2.18,2.185,3450.0,2.1805,1672767000000,38,,2023-01-03 09:30:00-08:00
2.18,2.19,2.18,2.19,1437.0,2.1819,1672767300000,20,,2023-01-03 09:35:00-08:00
2.19,2.19,2.17,2.175,9642.0,2.1808,1672767600000,44,,2023-01-03 09:40:00-08:00
2.17,2.175,2.16,2.17,6214.0,2.169,1672767900000,80,,2023-01-03 09:45:00-08:00
2.17,2.18,2.17,2.18,1512.0,2.1742,1672768200000,18,,2023-01-03 09:50:00-08:00
2.18,2.185,2.17,2.185,5492.0,2.1779,1672768500000,38,,2023-01-03 09:55:00-08:00
2.19,2.19,2.175,2.19,9130.0,2.1801,1672768800000,75,,2023-01-03 10:00:00-08:00
2.18,2.185,2.18,2.185,460.0,2.1824,1672769100000,10,,2023-01-03 10:05:00-08:00
2.185,2.185,2.18,2.185,680.0,2.1846,1672769400000,18,,2023-01-03 10:10:00-08:00
2.19,2.19,2.19,2.19,647.0,2.1867,1672769700000,23,,2023-01-03 10:15:00-08:00
2.19,2.19,2.185,2.185,3017.0,2.1851,1672770000000,20,,2023-01-03 10:20:00-08:00
2.18,2.218,2.18,2.215,19610.0,2.1958,1672770300000,108,,2023-01-03 10:25:00-08:00
2.215,2.22,2.21,2.21,1835.0,2.2146,1672770600000,45,,2023-01-03 10:30:00-08:00
2.22,2.22,2.205,2.205,6771.0,2.2115,1672770900000,83,,2023-01-03 10:35:00-08:00
2.205,2.205,2.205,2.205,226.0,2.2044,1672771200000,4,,2023-01-03 10:40:00-08:00
2.2,2.2,2.195,2.195,3214.0,2.1996,1672771500000,32,,2023-01-03 10:45:00-08:00
2.1997,2.205,2.195,2.2,5508.0,2.1992,1672771800000,49,,2023-01-03 10:50:00-08:00
2.21,2.21,2.2,2.205,486.0,2.2056,1672772100000,12,,2023-01-03 10:55:00-08:00
2.205,2.21,2.2,2.21,1401.0,2.2051,1672772400000,14,,2023-01-03 11:00:00-08:00
2.21,2.21,2.2,2.21,820.0,2.205,1672772700000,20,,2023-01-03 11:05:00-08:00
