open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
6.234,6.234,6.11,6.11,40.0,6.172,1672767000000,2,,2023-01-03 09:30:00-08:00
6.127,6.127,6.11,6.127,112.1,6.124,1672767300000,10,,2023-01-03 09:35:00-08:00
6.127,6.25,6.127,6.13,213.4,6.1415,1672767600000,11,,2023-01-03 09:40:00-08:00
6.2,6.25,6.2,6.25,30.0,6.2333,1672767900000,2,,2023-01-03 09:45:00-08:00
6.249,6.25,6.24,6.24,1511.0,6.2488,1672768200000,50,,2023-01-03 09:50:00-08:00
6.245,6.245,6.24,6.24,89.0,6.2406,1672768500000,6,,2023-01-03 09:55:00-08:00
6.25,6.25,6.11,6.11,187.4,6.1902,1672768800000,10,,2023-01-03 10:00:00-08:00
6.25,6.25,6.11,6.18,80.0,6.1625,1672769400000,4,,2023-01-03 10:10:00-08:00
6.18,6.25,6.11,6.11,550.0,6.1787,1672769700000,5,,2023-01-03 10:15:00-08:00
6.11,6.25,6.11,6.11,40.0,6.18,1672770000000,4,,2023-01-03 10:20:00-08:00
6.11,6.25,6.11,6.18,225.2,6.1319,1672770300000,11,,2023-01-03 10:25:00-08:00
6.11,6.25,6.11,6.25,105.0,6.1467,1672770600000,6,,2023-01-03 10:30:00-08:00
6.12,6.12,6.12,6.12,74.0,6.12,1672770900000,8,,2023-01-03 10:35:00-08:00
6.12,6.25,6.12,6.12,219.0,6.1289,1672771200000,9,,2023-01-03 10:40:00-08:00
6.12,6.25,6.12,6.25,80.0,6.1525,1672771500000,5,,2023-01-03 10:45:00-08:00
6.12,6.25,6.12,6.25,123.5,6.1569,1672771800000,9,,2023-01-03 10:50:00-08:00
6.2,6.25,6.2,6.25,60.0,6.2417,1672772100000,4,,2023-01-03 10:55:00-08:00
6.151,6.25,6.151,6.25,70.0,6.1878,1672772400000,3,,2023-01-03 11:00:00-08:00
6.171,6.25,6.171,6.25,91.0,6.2014,1672772700000,7,,2023-01-03 11:05:00-08:00
6.25,6.25,6.171,6.171,130.0,6.2044,1672773000000,6,,2023-01-03 11:10:00-08:00
6.21,6.25,6.171,6.25,170.0,6.1922,1672773300000,11,,2023-01-03 11:15:00-08:00
6.171,6.25,6.171,6.25,90.0,6.1973,1672773600000,4,,2023-01-03 11:20:00-08:00
6.2105,6.25,6.171,6.25,80.0,6.2056,1672773900000,3,,2023-01-03 11:25:00-08:00
6.25,6.25,6.169,6.25,1030.6,6.1877,1672774200000,30,,2023-01-03 11:30:00-08:00
6.25,6.25,6.201,6.2255,110.0,6.2242,1672774500000,8,,2023-01-03 11:35:00-08:00
6.25,6.309,6.23,6.309,247.59999999999997,6.2693,1672774800000,24,,2023-01-03 11:40:00-08:00
6.309,6.309,6.27,6.27,608.0,6.2995,1672775100000,22,,2023-01-03 11:45:00-08:00
6.3,6.35,6.29,6.3,672.2,6.3056,1672775400000,24,,2023-01-03 11:50:00-08:00
6.3,6.3,6.251,6.3,130.0,6.2953,1672775700000,6,,2023-01-03 11:55:00-08:00
6.2755,6.3,6.2755,6.3,100.0,6.2839,1672776000000,7,,2023-01-03 12:00:00-08:00
6.3,6.3,6.201,6.3,110.2,6.2902,1672776300000,6,,2023-01-03 12:05:00-08:00
6.3,6.3,6.25,6.3,517.7,6.2617,1672776600000,9,,2023-01-03 12:10:00-08:00
6.3,6.3,6.201,6.3,300.0,6.2752,1672776900000,9,,2023-01-03 12:15:00-08:00
6.3,6.3,6.201,6.3,130.0,6.2924,1672777200000,7,,2023-01-03 12:20:00-08:00
6.251,6.3,6.202,6.251,90.0,6.2401,1672777500000,7,,2023-01-03 12:25:00-08:00
6.3,6.3,6.202,6.3,184.9,6.2814,1672777800000,11,,2023-01-03 12:30:00-08:00
6.3,6.3,6.201,6.201,132.7,6.2618,1672778100000,8,,2023-01-03 12:35:00-08:00
6.3,6.3,6.256,6.289,146.4,6.2959,1672778400000,12,,2023-01-03 12:40:00-08:00
6.223,6.3,6.223,6.3,164.7,6.2738,1672778700000,13,,2023-01-03 12:45:00-08:00
6.299,6.35,6.2665,6.349,1797.8,6.3114,1672779000000,58,,2023-01-03 12:50:00-08:00
6.35,6.4,6.22,6.4,3917.5,6.3173,1672779300000,118,,2023-01-03 12:55:00-08:00
6.499,6.499,6.499,6.499,40.1,6.499,1672779600000,2,,2023-01-03 13:00:00-08:00
6.4,6.4,6.4,6.4,12.0,6.4,1672780800000,1,,2023-01-03 13:20:00-08:00
6.4,6.4,6.4,6.4,16.0,6.4,1672785600000,2,,2023-01-03 14:40:00-08:00
6.4505,6.4505,6.401,6.401,20.0,6.4257,1672853700000,2,,2023-01-04 09:35:00-08:00
6.45,6.45,6.45,6.45,19.2,6.474,1672854300000,2,,2023-01-04 09:45:00-08:00
6.499,6.5,6.491,6.5,420.6,6.4967,1672854900000,13,,2023-01-04 09:55:00-08:00
6.55,6.55,6.501,6.501,20.9,6.5245,1672855200000,4,,2023-01-04 10:00:00-08:00
6.6,6.6,6.501,6.5505,150.0,6.5547,1672855500000,9,,2023-01-04 10:05:00-08:00
6.6,6.6,6.6,6.6,72.3,6.6,1672855800000,4,,2023-01-04 10:10:00-08:00
6.599,6.6,6.599,6.6,60.0,6.5992,1672856700000,2,,2023-01-04 10:25:00-08:00
6.6,6.6,6.6,6.6,40.0,6.6,1672857000000,1,,2023-01-04 10:30:00-08:00
6.45,6.45,6.45,6.45,10.0,6.45,1672857300000,1,,2023-01-04 10:35:00-08:00
6.45,6.45,6.45,6.45,12.5,6.465,1672857600000,2,,2023-01-04 10:40:00-08:00
6.525,6.525,6.525,6.525,20.0,6.525,1672857900000,2,,2023-01-04 10:45:00-08:00
6.525,6.6,6.45,6.6,83.8,6.5188,1672858500000,10,,2023-01-04 10:55:00-08:00
6.525,6.525,6.525,6.525,12.6,6.525,1672858800000,2,,2023-01-04 11:00:00-08:00
6.45,6.45,6.45,6.45,20.0,6.45,1672859400000,2,,2023-01-04 11:10:00-08:00
6.45,6.45,6.45,6.45,10.0,6.45,1672859700000,1,,2023-01-04 11:15:00-08:00
6.45,6.6,6.4,6.4995,1150.0,6.4339,1672860600000,22,,2023-01-04 11:30:00-08:00
6.599,6.599,6.45,6.45,20.0,6.5245,1672860900000,2,,2023-01-04 11:35:00-08:00
6.599,6.599,6.45,6.5245,120.0,6.5245,1672861200000,3,,2023-01-04 11:40:00-08:00
6.599,6.599,6.599,6.599,30.0,6.599,1672861500000,2,,2023-01-04 11:45:00-08:00
6.599,6.599,6.599,6.599,10.0,6.599,1672861800000,1,,2023-01-04 11:50:00-08:00
6.5618,6.599,6.5618,6.599,90.0,6.5659,1672862100000,2,,2023-01-04 11:55:00-08:00
6.5245,6.599,6.45,6.45,260.0,6.513,1672862700000,5,,2023-01-04 12:05:00-08:00
6.5618,6.599,6.45,6.451,170.0,6.5185,1672863300000,8,,2023-01-04 12:15:00-08:00
6.451,6.5,6.451,6.475,1139.1000000000001,6.4662,1672863900000,31,,2023-01-04 12:25:00-08:00
6.475,6.4875,6.47,6.485,550.0,6.4771,1672864200000,11,,2023-01-04 12:30:00-08:00
6.5,6.5,6.47,6.47,67.5,6.4918,1672864500000,6,,2023-01-04 12:35:00-08:00
6.47,6.5,6.47,6.5,145.2,6.4922,1672864800000,13,,2023-01-04 12:40:00-08:00
6.553,6.553,6.451,6.4755,606.0999999999999,6.4763,1672865100000,30,,2023-01-04 12:45:00-08:00
6.451,6.5,6.451,6.479,541.3,6.4653,1672865400000,37,,2023-01-04 12:50:00-08:00
6.451,6.6,6.364,6.364,1066.5,6.443,1672865700000,82,,2023-01-04 12:55:00-08:00
6.4,6.5,6.4,6.44,137.2,6.4715,1672940100000,6,,2023-01-05 09:35:00-08:00
6.4,6.499,6.35,6.35,454.0,6.3798,1672941000000,7,,2023-01-05 09:50:00-08:00
6.499,6.499,6.499,6.499,10.0,6.499,1672941300000,1,,2023-01-05 09:55:00-08:00
6.499,6.499,6.499,6.499,10.0,6.499,1672941600000,1,,2023-01-05 10:00:00-08:00
6.35,6.35,6.35,6.35,17.2,6.35,1672941900000,2,,2023-01-05 10:05:00-08:00
6.4,6.4,6.4,6.4,17.2,6.4,1672942800000,1,,2023-01-05 10:20:00-08:00
6.497,6.497,6.497,6.497,10.0,6.497,1672943400000,1,,2023-01-05 10:30:00-08:00
6.4,6.4,6.4,6.4,17.2,6.4,1672943700000,2,,2023-01-05 10:35:00-08:00
6.4,6.4,6.4,6.4,17.2,6.4,1672944300000,1,,2023-01-05 10:45:00-08:00
6.49,6.5,6.475,6.5,898.1999999999999,6.4892,1672944600000,25,,2023-01-05 10:50:00-08:00
6.499,6.6,6.498,6.6,246.3,6.5068,1672944900000,17,,2023-01-05 10:55:00-08:00
6.499,6.6,6.499,6.6,244.8,6.5073,1672945200000,4,,2023-01-05 11:00:00-08:00
6.6,6.6,6.6,6.6,50.0,6.6,1672945800000,2,,2023-01-05 11:10:00-08:00
6.6,6.6,6.6,6.6,50.0,6.5999,1672946100000,3,,2023-01-05 11:15:00-08:00
6.6,6.6,6.6,6.6,50.0,6.6,1672946400000,2,,2023-01-05 11:20:00-08:00
6.6,6.6,6.5505,6.6,137.9,6.5921,1672946700000,10,,2023-01-05 11:25:00-08:00
6.6,6.6,6.6,6.6,70.0,6.6,1672947000000,4,,2023-01-05 11:30:00-08:00
6.6,6.6,6.6,6.6,72.0,6.5986,1672947300000,7,,2023-01-05 11:35:00-08:00
6.6,6.6,6.6,6.6,52.4,6.6,1672947600000,4,,2023-01-05 11:40:00-08:00
6.6,6.6,6.55,6.6,1138.1,6.5836,1672947900000,24,,2023-01-05 11:45:00-08:00
6.6,6.7,6.6,6.7,1084.6,6.6094,1672948200000,24,,2023-01-05 11:50:00-08:00
6.65,6.69,6.65,6.69,130.0,6.6746,1672948500000,8,,2023-01-05 11:55:00-08:00
6.601,6.69,6.6,6.6,990.0,6.6085,1672948800000,29,,2023-01-05 12:00:00-08:00
6.599,6.599,6.43,6.43,58.8,6.545,1672949100000,6,,2023-01-05 12:05:00-08:00
6.599,6.599,6.599,6.599,71.8,6.5947,1672949400000,7,,2023-01-05 12:10:00-08:00
6.549,6.549,6.549,6.549,143.4,6.5466,1672949700000,18,,2023-01-05 12:15:00-08:00
6.45,6.549,6.45,6.549,162.3,6.5302,1672950000000,13,,2023-01-05 12:20:00-08:00
6.549,6.55,6.501,6.55,213.2,6.5394,1672950300000,27,,2023-01-05 12:25:00-08:00
6.5169,6.6,6.5169,6.6,150.0,6.5917,1672950600000,6,,2023-01-05 12:30:00-08:00
6.501,6.6,6.501,6.6,176.7,6.5535,1672950900000,10,,2023-01-05 12:35:00-08:00
6.6,6.6,6.6,6.6,86.6,6.5944,1672951200000,7,,2023-01-05 12:40:00-08:00
6.501,6.577,6.501,6.542,282.09999999999997,6.5497,1672951500000,22,,2023-01-05 12:45:00-08:00
6.55,6.55,6.45,6.516,1715.9,6.5028,1672951800000,76,,2023-01-05 12:50:00-08:00
6.5,6.5,6.4,6.5,812.7,6.4927,1672952100000,65,,2023-01-05 12:55:00-08:00
6.4,6.4,6.4,6.4,20.0,6.4,1673026200000,1,,2023-01-06 09:30:00-08:00
6.47,6.47,6.47,6.47,10.0,6.47,1673027100000,1,,2023-01-06 09:45:00-08:00
6.5,6.54,6.4,6.4,271.7,6.4971,1673027400000,6,,2023-01-06 09:50:00-08:00
6.465,6.7,6.465,6.7,2549.1,6.5423,1673028300000,33,,2023-01-06 10:05:00-08:00
6.7,6.7,6.7,6.7,130.0,6.7,1673028600000,2,,2023-01-06 10:10:00-08:00
6.55,6.7,6.55,6.55,310.1,6.5549,1673029200000,4,,2023-01-06 10:20:00-08:00
6.699,6.7,6.699,6.7,60.0,6.6992,1673029500000,2,,2023-01-06 10:25:00-08:00
6.691,6.691,6.691,6.691,30.0,6.6891,1673029800000,3,,2023-01-06 10:30:00-08:00
6.657,6.657,6.657,6.657,100.0,6.657,1673030100000,1,,2023-01-06 10:35:00-08:00
6.6,6.691,6.6,6.691,40.0,6.6228,1673030400000,2,,2023-01-06 10:40:00-08:00
6.691,6.691,6.625,6.691,84.6,6.6832,1673031000000,6,,2023-01-06 10:50:00-08:00
6.625,6.7,6.55,6.551,860.1,6.554,1673031300000,31,,2023-01-06 10:55:00-08:00
6.7,6.7,6.55,6.6,1580.0,6.5686,1673031600000,33,,2023-01-06 11:00:00-08:00
6.6,6.691,6.6,6.6,100.0,6.6182,1673031900000,5,,2023-01-06 11:05:00-08:00
6.6,6.6,6.6,6.6,12.8,6.5783,1673032200000,2,,2023-01-06 11:10:00-08:00
6.6,6.618,6.6,6.6,730.3,6.6025,1673032500000,42,,2023-01-06 11:15:00-08:00
6.609,6.7,6.599,6.6,150.0,6.6163,1673032800000,8,,2023-01-06 11:20:00-08:00
6.601,6.695,6.601,6.695,290.0,6.6748,1673033100000,19,,2023-01-06 11:25:00-08:00
6.68,6.695,6.68,6.68,440.20000000000005,6.6816,1673033400000,32,,2023-01-06 11:30:00-08:00
6.7,6.7,6.68,6.68,210.0,6.681,1673033700000,23,,2023-01-06 11:35:00-08:00
6.682,6.682,6.679,6.68,130.0,6.6808,1673034000000,10,,2023-01-06 11:40:00-08:00
6.651,6.666,6.65,6.65,159.3,6.6553,1673034300000,16,,2023-01-06 11:45:00-08:00
6.6501,6.66,6.65,6.65,195.8,6.6508,1673034600000,5,,2023-01-06 11:50:00-08:00
6.65,6.67,6.602,6.65,377.9,6.6413,1673034900000,13,,2023-01-06 11:55:00-08:00
6.6,6.7,6.6,6.6,330.0,6.618,1673035200000,7,,2023-01-06 12:00:00-08:00
6.7,6.7,6.6,6.6505,170.0,6.6097,1673035500000,8,,2023-01-06 12:05:00-08:00
6.7,6.7,6.6,6.6,110.0,6.6141,1673035800000,7,,2023-01-06 12:10:00-08:00
6.6,6.691,6.6,6.691,117.4,6.6166,1673036100000,6,,2023-01-06 12:15:00-08:00
6.646,6.646,6.6,6.6,110.0,6.6045,1673036400000,5,,2023-01-06 12:20:00-08:00
6.6,6.691,6.6,6.691,110.0,6.6165,1673036700000,4,,2023-01-06 12:25:00-08:00
6.6,6.6455,6.6,6.645,121.6,6.6125,1673037000000,7,,2023-01-06 12:30:00-08:00
6.6,6.69,6.54,6.55,627.4,6.6009,1673037300000,25,,2023-01-06 12:35:00-08:00
6.547,6.6,6.547,6.6,126.10000000000001,6.5565,1673037600000,9,,2023-01-06 12:40:00-08:00
6.599,6.599,6.5,6.5,30.6,6.5361,1673037900000,4,,2023-01-06 12:45:00-08:00
6.501,6.599,6.5,6.5,929.8,6.5017,1673038200000,39,,2023-01-06 12:50:00-08:00
6.416,6.5,6.4,6.4,217.5,6.4723,1673038500000,24,,2023-01-06 12:55:00-08:00
6.731,6.731,6.731,6.731,970.0,6.731,1673048100000,2,,2023-01-06 15:35:00-08:00
6.501,6.6,6.501,6.6,20.0,6.5505,1673285400000,2,,2023-01-09 09:30:00-08:00
6.5505,6.6,6.5505,6.6,55.599999999999994,6.5908,1673285700000,9,,2023-01-09 09:35:00-08:00
6.5505,6.5505,6.5505,6.5505,20.1,6.5505,1673286000000,2,,2023-01-09 09:40:00-08:00
6.6,6.6,6.533,6.551,580.6,6.5806,1673286600000,25,,2023-01-09 09:50:00-08:00
6.6,6.605,6.6,6.605,150.6,6.6011,1673286900000,18,,2023-01-09 09:55:00-08:00
6.593,6.593,6.592,6.592,30.0,6.5923,1673287200000,2,,2023-01-09 10:00:00-08:00
6.6355,6.6355,6.6355,6.6355,20.0,6.6355,1673288100000,2,,2023-01-09 10:15:00-08:00
6.67,6.67,6.67,6.67,10.0,6.67,1673289000000,1,,2023-01-09 10:30:00-08:00
6.67,6.67,6.67,6.67,10.0,6.67,1673289300000,1,,2023-01-09 10:35:00-08:00
6.67,6.67,6.6585,6.6585,29.4,6.6623,1673289600000,3,,2023-01-09 10:40:00-08:00
6.67,6.67,6.67,6.67,10.0,6.67,1673290200000,1,,2023-01-09 10:50:00-08:00
6.67,6.67,6.67,6.67,10.0,6.67,1673290500000,1,,2023-01-09 10:55:00-08:00
6.67,6.67,6.67,6.67,52.8,6.67,1673290800000,13,,2023-01-09 11:00:00-08:00
6.61,6.61,6.61,6.61,10.0,6.61,1673291100000,1,,2023-01-09 11:05:00-08:00
6.67,6.698,6.635,6.6665,252.9,6.6729,1673292300000,34,,2023-01-09 11:25:00-08:00
6.698,6.734,6.685,6.734,134.8,6.7048,1673292600000,22,,2023-01-09 11:30:00-08:00
6.676,6.676,6.676,6.676,10.0,6.676,1673293500000,1,,2023-01-09 11:45:00-08:00
6.652,6.7,6.652,6.7,160.0,6.6718,1673294100000,12,,2023-01-09 11:55:00-08:00
6.698,6.698,6.675,6.698,430.0,6.6964,1673294700000,10,,2023-01-09 12:05:00-08:00
6.698,6.698,6.652,6.652,51.0,6.6885,1673295000000,4,,2023-01-09 12:10:00-08:00
6.698,6.7,6.652,6.652,679.8000000000001,6.6951,1673295300000,41,,2023-01-09 12:15:00-08:00
6.652,6.699,6.652,6.699,2297.3,6.6544,1673295600000,48,,2023-01-09 12:20:00-08:00
6.652,6.699,6.576,6.699,3646.9,6.6569,1673295900000,120,,2023-01-09 12:25:00-08:00
6.699,6.785,6.699,6.75,6412.8,6.7042,1673296200000,69,,2023-01-09 12:30:00-08:00
6.701,6.75,6.7,6.7,1224.1,6.7226,1673296500000,39,,2023-01-09 12:35:00-08:00
6.7,6.746,6.7,6.74,1297.5,6.7411,1673296800000,14,,2023-01-09 12:40:00-08:00
6.738,6.739,6.652,6.718,3898.3,6.7175,1673297100000,85,,2023-01-09 12:45:00-08:00
6.7,6.719,6.7,6.7045,2861.8,6.7028,1673297400000,47,,2023-01-09 12:50:00-08:00
6.7,6.705,6.508,6.55,2089.6000000000004,6.6872,1673297700000,69,,2023-01-09 12:55:00-08:00
6.699,6.699,6.699,6.699,40.1,6.699,1673298000000,2,,2023-01-09 13:00:00-08:00
6.365,6.365,6.301,6.301,20.0,6.333,1673298300000,2,,2023-01-09 13:05:00-08:00
6.6995,6.6995,6.6995,6.6995,10.0,6.6995,1673371800000,1,,2023-01-10 09:30:00-08:00
6.699,6.7,6.699,6.7,110.0,6.6993,1673372100000,10,,2023-01-10 09:35:00-08:00
6.7,6.7,6.7,6.7,20.1,6.7,1673372700000,3,,2023-01-10 09:45:00-08:00
6.6995,6.7,6.699,6.6995,63.0,6.6995,1673373000000,8,,2023-01-10 09:50:00-08:00
6.699,6.7,6.699,6.699,60.0,6.6992,1673373300000,4,,2023-01-10 09:55:00-08:00
6.699,6.7,6.699,6.6995,330.1,6.6992,1673373600000,11,,2023-01-10 10:00:00-08:00
6.6995,6.6995,6.6995,6.6995,10.0,6.6995,1673373900000,1,,2023-01-10 10:05:00-08:00
6.6995,6.7,6.699,6.6995,13503.4,6.6995,1673374200000,114,,2023-01-10 10:10:00-08:00
6.7,6.7,6.699,6.699,300.0,6.6995,1673374500000,11,,2023-01-10 10:15:00-08:00
6.6865,6.7,6.6865,6.7,20.0,6.6933,1673375100000,2,,2023-01-10 10:25:00-08:00
6.673,6.6865,6.673,6.6865,50.0,6.6757,1673375400000,2,,2023-01-10 10:30:00-08:00
6.699,6.699,6.699,6.699,60.0,6.699,1673376000000,1,,2023-01-10 10:40:00-08:00
6.7,6.7,6.699,6.699,121.6,6.6992,1673376300000,4,,2023-01-10 10:45:00-08:00
6.7,6.7,6.699,6.6995,5050.0,6.6995,1673376900000,22,,2023-01-10 10:55:00-08:00
6.7,6.7505,6.6995,6.75,1023.7,6.7024,1673377200000,51,,2023-01-10 11:00:00-08:00
6.751,6.751,6.7505,6.7505,25.0,6.7606,1673377500000,3,,2023-01-10 11:05:00-08:00
6.7505,6.7505,6.7505,6.7505,20.0,6.7505,1673377800000,2,,2023-01-10 11:10:00-08:00
6.751,6.8,6.751,6.7525,102.9,6.7573,1673378100000,6,,2023-01-10 11:15:00-08:00
6.8,6.8,6.7525,6.7525,170.0,6.7609,1673378400000,7,,2023-01-10 11:20:00-08:00
6.7525,6.753,6.705,6.705,50.0,6.7336,1673378700000,5,,2023-01-10 11:25:00-08:00
6.7525,6.773,6.7525,6.773,50.0,6.7609,1673379000000,4,,2023-01-10 11:30:00-08:00
6.753,6.753,6.753,6.753,20.0,6.753,1673379300000,2,,2023-01-10 11:35:00-08:00
6.753,6.753,6.706,6.753,40.0,6.7412,1673379600000,4,,2023-01-10 11:40:00-08:00
6.706,6.753,6.706,6.723,72.0,6.734,1673379900000,6,,2023-01-10 11:45:00-08:00
6.7535,6.7535,6.707,6.7285,82.0,6.7158,1673380200000,7,,2023-01-10 11:50:00-08:00
6.7285,6.734,6.71,6.7285,67.0,6.725,1673380500000,8,,2023-01-10 11:55:00-08:00
6.7285,6.7285,6.7285,6.7285,42.0,6.7285,1673380800000,5,,2023-01-10 12:00:00-08:00
6.7285,6.745,6.708,6.72,2164.8,6.7318,1673381100000,51,,2023-01-10 12:05:00-08:00
6.705,6.728,6.705,6.706,1480.0,6.7064,1673381400000,18,,2023-01-10 12:10:00-08:00
