open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.15,5.15,5.15,5.15,300,5.15,1672767000000,3,,2023-01-03 09:30:00-08:00
5.14,5.1401,5.14,5.14,746,5.1401,1672767600000,7,,2023-01-03 09:40:00-08:00
5.15,5.16,5.15,5.16,301,5.1534,1672770300000,3,,2023-01-03 10:25:00-08:00
5.15,5.15,5.15,5.15,600,5.15,1672770900000,3,,2023-01-03 10:35:00-08:00
5.14,5.14,5.14,5.14,1201,5.14,1672771500000,4,,2023-01-03 10:45:00-08:00
5.11,5.11,5.11,5.11,221,5.11,1672771800000,1,,2023-01-03 10:50:00-08:00
5.12,5.12,5.11,5.12,1570,5.1187,1672773900000,5,,2023-01-03 11:25:00-08:00
5.12,5.12,5.11,5.11,358,5.1128,1672777500000,3,,2023-01-03 12:25:00-08:00
5.11,5.11,5.11,5.11,140,5.1129,1672778400000,2,,2023-01-03 12:40:00-08:00
5.11,5.13,5.11,5.13,301,5.1167,1672779000000,5,,2023-01-03 12:50:00-08:00
5.13,5.13,5.12,5.13,741,5.1253,1672779300000,8,,2023-01-03 12:55:00-08:00
5.19,5.19,5.19,5.19,816,5.19,1672853400000,4,,2023-01-04 09:30:00-08:00
5.19,5.19,5.19,5.19,506,5.19,1672853700000,3,,2023-01-04 09:35:00-08:00
5.185,5.19,5.185,5.19,1645,5.1896,1672854000000,10,,2023-01-04 09:40:00-08:00
5.19,5.19,5.18,5.18,1306,5.1885,1672854300000,7,,2023-01-04 09:45:00-08:00
5.19,5.19,5.19,5.19,326,5.19,1672854600000,3,,2023-01-04 09:50:00-08:00
5.18,5.18,5.18,5.18,100,5.18,1672854900000,1,,2023-01-04 09:55:00-08:00
5.185,5.185,5.185,5.185,208,5.185,1672855200000,3,,2023-01-04 10:00:00-08:00
5.19,5.19,5.18,5.18,500,5.182,1672855500000,2,,2023-01-04 10:05:00-08:00
5.19,5.19,5.19,5.19,308,5.19,1672855800000,4,,2023-01-04 10:10:00-08:00
5.1889,5.1889,5.1889,5.1889,280,5.1889,1672856100000,1,,2023-01-04 10:15:00-08:00
5.19,5.19,5.18,5.19,2381,5.1822,1672856400000,18,,2023-01-04 10:20:00-08:00
5.1887,5.19,5.1887,5.19,402,5.1893,1672856700000,4,,2023-01-04 10:25:00-08:00
5.1841,5.1841,5.1841,5.1841,1000,5.1841,1672857000000,1,,2023-01-04 10:30:00-08:00
5.185,5.19,5.185,5.19,682,5.1865,1672857300000,4,,2023-01-04 10:35:00-08:00
5.18,5.18,5.18,5.18,503,5.18,1672857900000,7,,2023-01-04 10:45:00-08:00
5.17,5.175,5.17,5.175,600,5.1717,1672858500000,3,,2023-01-04 10:55:00-08:00
5.18,5.19,5.18,5.19,689,5.1815,1672858800000,8,,2023-01-04 11:00:00-08:00
5.18,5.18,5.18,5.18,314,5.18,1672859100000,3,,2023-01-04 11:05:00-08:00
5.1701,5.1701,5.1701,5.1701,188,5.1701,1672859400000,1,,2023-01-04 11:10:00-08:00
5.18,5.185,5.18,5.185,1242,5.1804,1672859700000,13,,2023-01-04 11:15:00-08:00
5.185,5.185,5.185,5.185,200,5.185,1672860000000,2,,2023-01-04 11:20:00-08:00
5.18,5.18,5.18,5.18,424,5.18,1672860300000,4,,2023-01-04 11:25:00-08:00
5.17,5.18,5.17,5.175,965,5.1736,1672860900000,7,,2023-01-04 11:35:00-08:00
5.18,5.18,5.18,5.18,6520,5.18,1672861200000,45,,2023-01-04 11:40:00-08:00
5.19,5.19,5.185,5.19,13777,5.1899,1672862100000,64,,2023-01-04 11:55:00-08:00
5.19,5.19,5.19,5.19,600,5.19,1672862400000,3,,2023-01-04 12:00:00-08:00
5.19,5.19,5.19,5.19,2554,5.19,1672862700000,17,,2023-01-04 12:05:00-08:00
5.2,5.2,5.2,5.2,233,5.2,1672863000000,2,,2023-01-04 12:10:00-08:00
5.2,5.2,5.2,5.2,226,5.2,1672863600000,2,,2023-01-04 12:20:00-08:00
5.19,5.195,5.19,5.195,500,5.191,1672863900000,2,,2023-01-04 12:25:00-08:00
5.2,5.2,5.19,5.19,322,5.1969,1672864200000,4,,2023-01-04 12:30:00-08:00
5.18,5.19,5.18,5.19,500,5.182,1672864500000,2,,2023-01-04 12:35:00-08:00
5.185,5.185,5.17,5.18,2501,5.1806,1672864800000,12,,2023-01-04 12:40:00-08:00
5.1758,5.1758,5.1758,5.1758,500,5.1758,1672865100000,1,,2023-01-04 12:45:00-08:00
5.18,5.2,5.18,5.2,3030,5.1822,1672865400000,30,,2023-01-04 12:50:00-08:00
5.1999,5.1999,5.195,5.195,1337,5.1965,1672865700000,16,,2023-01-04 12:55:00-08:00
5.17,5.17,5.17,5.17,436,5.1692,1672940100000,5,,2023-01-05 09:35:00-08:00
5.17,5.17,5.1608,5.17,1326,5.1657,1672940400000,7,,2023-01-05 09:40:00-08:00
5.17,5.17,5.17,5.17,100,5.17,1672942200000,1,,2023-01-05 10:10:00-08:00
5.175,5.18,5.17,5.17,1223,5.1745,1672942800000,4,,2023-01-05 10:20:00-08:00
5.175,5.18,5.175,5.18,858,5.1794,1672943100000,5,,2023-01-05 10:25:00-08:00
5.17,5.17,5.17,5.17,3923,5.17,1672943400000,12,,2023-01-05 10:30:00-08:00
5.18,5.18,5.1764,5.1764,409,5.1781,1672944600000,4,,2023-01-05 10:50:00-08:00
5.18,5.18,5.18,5.18,379,5.18,1672945800000,3,,2023-01-05 11:10:00-08:00
5.18,5.18,5.18,5.18,100,5.18,1672947300000,1,,2023-01-05 11:35:00-08:00
5.18,5.18,5.18,5.18,377,5.18,1672947600000,4,,2023-01-05 11:40:00-08:00
5.1742,5.18,5.1742,5.18,11426,5.1775,1672947900000,15,,2023-01-05 11:45:00-08:00
5.18,5.18,5.18,5.18,300,5.18,1672948200000,3,,2023-01-05 11:50:00-08:00
5.17,5.18,5.16,5.18,27150,5.1648,1672948800000,60,,2023-01-05 12:00:00-08:00
5.17,5.17,5.17,5.17,291,5.17,1672949100000,4,,2023-01-05 12:05:00-08:00
5.18,5.18,5.18,5.18,600,5.18,1672949400000,5,,2023-01-05 12:10:00-08:00
5.18,5.18,5.18,5.18,300,5.18,1672949700000,1,,2023-01-05 12:15:00-08:00
5.18,5.18,5.18,5.18,400,5.18,1672950300000,4,,2023-01-05 12:25:00-08:00
5.17,5.17,5.17,5.17,100,5.17,1672951200000,1,,2023-01-05 12:40:00-08:00
5.18,5.18,5.18,5.18,400,5.18,1672951500000,4,,2023-01-05 12:45:00-08:00
5.17,5.17,5.17,5.17,101,5.17,1672951800000,2,,2023-01-05 12:50:00-08:00
5.17,5.18,5.16,5.18,1160,5.1686,1672952100000,11,,2023-01-05 12:55:00-08:00
5.23,5.24,5.23,5.24,452,5.2322,1673026200000,5,,2023-01-06 09:30:00-08:00
5.23,5.23,5.23,5.23,200,5.23,1673026500000,2,,2023-01-06 09:35:00-08:00
5.23,5.24,5.23,5.23,551,5.2364,1673026800000,3,,2023-01-06 09:40:00-08:00
5.23,5.23,5.23,5.23,1415,5.23,1673027100000,10,,2023-01-06 09:45:00-08:00
5.23,5.23,5.23,5.23,200,5.23,1673027400000,2,,2023-01-06 09:50:00-08:00
5.23,5.23,5.22,5.22,3918,5.2297,1673027700000,15,,2023-01-06 09:55:00-08:00
5.23,5.23,5.23,5.23,980,5.23,1673028000000,5,,2023-01-06 10:00:00-08:00
5.22,5.225,5.22,5.225,200,5.2225,1673028600000,2,,2023-01-06 10:10:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673028900000,2,,2023-01-06 10:15:00-08:00
5.23,5.23,5.22,5.22,205,5.225,1673029200000,3,,2023-01-06 10:20:00-08:00
5.22,5.23,5.22,5.22,1300,5.2285,1673029500000,9,,2023-01-06 10:25:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673029800000,2,,2023-01-06 10:30:00-08:00
5.23,5.23,5.22,5.22,594,5.2266,1673030100000,4,,2023-01-06 10:35:00-08:00
5.225,5.225,5.22,5.22,207,5.2226,1673030400000,2,,2023-01-06 10:40:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673030700000,2,,2023-01-06 10:45:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673031000000,2,,2023-01-06 10:50:00-08:00
5.22,5.23,5.22,5.2225,3642,5.227,1673031300000,15,,2023-01-06 10:55:00-08:00
5.23,5.23,5.22,5.2215,4909,5.2225,1673031600000,18,,2023-01-06 11:00:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673031900000,2,,2023-01-06 11:05:00-08:00
5.22,5.23,5.22,5.23,563,5.2264,1673032200000,5,,2023-01-06 11:10:00-08:00
5.22,5.2285,5.22,5.22,563,5.2255,1673032500000,3,,2023-01-06 11:15:00-08:00
5.23,5.23,5.23,5.23,1808,5.23,1673032800000,20,,2023-01-06 11:20:00-08:00
5.2242,5.2242,5.2242,5.2242,660,5.2242,1673033100000,1,,2023-01-06 11:25:00-08:00
5.22,5.23,5.22,5.22,572,5.2265,1673033400000,4,,2023-01-06 11:30:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673033700000,2,,2023-01-06 11:35:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673034000000,2,,2023-01-06 11:40:00-08:00
5.22,5.2299,5.22,5.22,715,5.2271,1673034300000,4,,2023-01-06 11:45:00-08:00
5.23,5.23,5.22,5.22,587,5.2266,1673034600000,6,,2023-01-06 11:50:00-08:00
5.22,5.22,5.22,5.22,200,5.22,1673034900000,2,,2023-01-06 11:55:00-08:00
5.2299,5.23,5.22,5.22,3800,5.2293,1673035200000,10,,2023-01-06 12:00:00-08:00
5.22,5.23,5.22,5.23,574,5.2265,1673035500000,6,,2023-01-06 12:05:00-08:00
5.22,5.24,5.22,5.24,4470,5.2322,1673035800000,22,,2023-01-06 12:10:00-08:00
5.24,5.25,5.22,5.23,3800,5.2324,1673036100000,24,,2023-01-06 12:15:00-08:00
5.23,5.23,5.22,5.22,3014,5.2297,1673036400000,12,,2023-01-06 12:20:00-08:00
5.225,5.24,5.225,5.23,5545,5.2352,1673036700000,41,,2023-01-06 12:25:00-08:00
5.23,5.23,5.23,5.23,800,5.23,1673037000000,8,,2023-01-06 12:30:00-08:00
5.23,5.23,5.23,5.23,500,5.23,1673037300000,5,,2023-01-06 12:35:00-08:00
5.23,5.23,5.22,5.22,1471,5.2292,1673037600000,16,,2023-01-06 12:40:00-08:00
5.23,5.25,5.2299,5.2487,4500,5.2379,1673037900000,30,,2023-01-06 12:45:00-08:00
5.24,5.25,5.24,5.25,1685,5.2452,1673038200000,14,,2023-01-06 12:50:00-08:00
5.24,5.25,5.24,5.25,3752,5.2491,1673038500000,17,,2023-01-06 12:55:00-08:00
5.32,5.32,5.32,5.32,200,5.32,1673285400000,2,,2023-01-09 09:30:00-08:00
5.3282,5.3282,5.31,5.31,511,5.3211,1673285700000,3,,2023-01-09 09:35:00-08:00
5.31,5.325,5.31,5.32,500,5.32,1673286000000,5,,2023-01-09 09:40:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673286300000,2,,2023-01-09 09:45:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673286600000,1,,2023-01-09 09:50:00-08:00
5.33,5.35,5.33,5.35,1100,5.3336,1673286900000,11,,2023-01-09 09:55:00-08:00
5.33,5.35,5.33,5.35,555,5.3446,1673287200000,5,,2023-01-09 10:00:00-08:00
5.33,5.34,5.33,5.33,300,5.3333,1673287500000,3,,2023-01-09 10:05:00-08:00
5.35,5.35,5.32,5.32,400,5.3313,1673288100000,3,,2023-01-09 10:15:00-08:00
5.32,5.35,5.32,5.32,300,5.33,1673288400000,3,,2023-01-09 10:20:00-08:00
5.35,5.35,5.32,5.32,400,5.335,1673288700000,4,,2023-01-09 10:25:00-08:00
5.3249,5.345,5.3249,5.34,1370,5.3395,1673289000000,12,,2023-01-09 10:30:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673289600000,1,,2023-01-09 10:40:00-08:00
5.31,5.31,5.31,5.31,7188,5.31,1673289900000,15,,2023-01-09 10:45:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673290200000,1,,2023-01-09 10:50:00-08:00
5.31,5.32,5.31,5.31,300,5.3133,1673290500000,3,,2023-01-09 10:55:00-08:00
5.31,5.32,5.31,5.32,300,5.315,1673290800000,3,,2023-01-09 11:00:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673291100000,2,,2023-01-09 11:05:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673291400000,2,,2023-01-09 11:10:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673291700000,1,,2023-01-09 11:15:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673292000000,2,,2023-01-09 11:20:00-08:00
5.3154,5.32,5.31,5.31,1101,5.3148,1673292300000,5,,2023-01-09 11:25:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673292600000,1,,2023-01-09 11:30:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673292900000,2,,2023-01-09 11:35:00-08:00
5.31,5.31,5.31,5.31,200,5.31,1673293200000,2,,2023-01-09 11:40:00-08:00
5.32,5.32,5.31,5.32,960,5.3184,1673293500000,9,,2023-01-09 11:45:00-08:00
5.33,5.33,5.33,5.33,200,5.33,1673293800000,2,,2023-01-09 11:50:00-08:00
5.33,5.33,5.33,5.33,434,5.33,1673294100000,5,,2023-01-09 11:55:00-08:00
5.31,5.33,5.31,5.31,880,5.317,1673294700000,5,,2023-01-09 12:05:00-08:00
5.31,5.33,5.31,5.33,200,5.32,1673295000000,2,,2023-01-09 12:10:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673295300000,1,,2023-01-09 12:15:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673295600000,1,,2023-01-09 12:20:00-08:00
5.31,5.31,5.31,5.31,1100,5.31,1673295900000,7,,2023-01-09 12:25:00-08:00
5.31,5.31,5.31,5.31,100,5.31,1673296200000,1,,2023-01-09 12:30:00-08:00
5.31,5.31,5.3,5.31,1200,5.3092,1673296500000,5,,2023-01-09 12:35:00-08:00
5.31,5.31,5.31,5.31,526,5.31,1673296800000,5,,2023-01-09 12:40:00-08:00
5.31,5.32,5.31,5.32,300,5.3133,1673297100000,3,,2023-01-09 12:45:00-08:00
5.31,5.31,5.31,5.31,300,5.31,1673297400000,3,,2023-01-09 12:50:00-08:00
5.31,5.315,5.31,5.31,2075,5.3106,1673297700000,17,,2023-01-09 12:55:00-08:00
5.345,5.345,5.345,5.345,100,5.345,1673372100000,1,,2023-01-10 09:35:00-08:00
5.3425,5.35,5.34,5.34,5310,5.342,1673372700000,15,,2023-01-10 09:45:00-08:00
5.34,5.3401,5.34,5.34,2560,5.34,1673373300000,11,,2023-01-10 09:55:00-08:00
5.34,5.345,5.34,5.34,1857,5.3403,1673373600000,9,,2023-01-10 10:00:00-08:00
5.35,5.35,5.35,5.35,101,5.35,1673373900000,2,,2023-01-10 10:05:00-08:00
5.34,5.34,5.34,5.34,350,5.3414,1673374800000,3,,2023-01-10 10:20:00-08:00
5.34,5.3425,5.34,5.34,400,5.3406,1673375100000,4,,2023-01-10 10:25:00-08:00
5.345,5.345,5.345,5.345,1785,5.345,1673375400000,2,,2023-01-10 10:30:00-08:00
5.345,5.35,5.345,5.35,201,5.3475,1673375700000,3,,2023-01-10 10:35:00-08:00
5.345,5.3499,5.3425,5.3499,709,5.3457,1673376900000,4,,2023-01-10 10:55:00-08:00
5.345,5.35,5.34,5.35,17021,5.3484,1673377200000,38,,2023-01-10 11:00:00-08:00
5.36,5.36,5.35,5.35,10365,5.3501,1673377500000,30,,2023-01-10 11:05:00-08:00
5.36,5.36,5.36,5.36,400,5.36,1673378100000,4,,2023-01-10 11:15:00-08:00
5.35,5.35,5.35,5.35,100,5.35,1673379600000,1,,2023-01-10 11:40:00-08:00
5.35,5.35,5.35,5.35,110,5.35,1673379900000,1,,2023-01-10 11:45:00-08:00
5.359,5.36,5.359,5.36,1126,5.3594,1673380500000,8,,2023-01-10 11:55:00-08:00
5.35,5.36,5.35,5.36,1950,5.3528,1673381400000,11,,2023-01-10 12:10:00-08:00
5.36,5.37,5.36,5.37,300,5.3633,1673381700000,3,,2023-01-10 12:15:00-08:00
5.36,5.36,5.3518,5.3518,2965,5.3523,1673382300000,6,,2023-01-10 12:25:00-08:00
5.36,5.36,5.36,5.36,200,5.36,1673382600000,2,,2023-01-10 12:30:00-08:00
5.36,5.36,5.36,5.36,187,5.3611,1673383200000,3,,2023-01-10 12:40:00-08:00
5.36,5.36,5.36,5.36,1165,5.3613,1673383800000,18,,2023-01-10 12:50:00-08:00
5.36,5.37,5.35,5.36,2371,5.3677,1673384100000,32,,2023-01-10 12:55:00-08:00
5.4325,5.4325,5.4325,5.4325,100,5.4325,1673458200000,1,,2023-01-11 09:30:00-08:00
5.4325,5.435,5.4325,5.435,771,5.4347,1673458500000,4,,2023-01-11 09:35:00-08:00
5.435,5.435,5.435,5.435,212,5.435,1673458800000,2,,2023-01-11 09:40:00-08:00
5.43,5.43,5.43,5.43,700,5.43,1673460000000,5,,2023-01-11 10:00:00-08:00
5.43,5.43,5.43,5.43,800,5.43,1673460300000,5,,2023-01-11 10:05:00-08:00
5.44,5.44,5.43,5.43,700,5.4314,1673460600000,5,,2023-01-11 10:10:00-08:00
5.43,5.44,5.43,5.43,1012,5.4316,1673460900000,12,,2023-01-11 10:15:00-08:00
5.425,5.425,5.425,5.425,100,5.425,1673461200000,1,,2023-01-11 10:20:00-08:00
5.425,5.425,5.425,5.425,5515,5.425,1673461500000,2,,2023-01-11 10:25:00-08:00
5.425,5.425,5.42,5.421,3064,5.4209,1673461800000,16,,2023-01-11 10:30:00-08:00
5.4224,5.4224,5.4224,5.4224,1553,5.4227,1673463000000,3,,2023-01-11 10:50:00-08:00
5.42,5.42,5.42,5.42,3168,5.4207,1673464500000,4,,2023-01-11 11:15:00-08:00
5.43,5.43,5.42,5.4201,5188,5.4209,1673465100000,20,,2023-01-11 11:25:00-08:00
5.44,5.44,5.44,5.44,260,5.44,1673465700000,4,,2023-01-11 11:35:00-08:00
5.4201,5.4201,5.4201,5.4201,2585,5.4201,1673466600000,1,,2023-01-11 11:50:00-08:00
5.44,5.44,5.44,5.44,142,5.44,1673466900000,3,,2023-01-11 11:55:00-08:00
5.43,5.43,5.43,5.43,100,5.43,1673467500000,1,,2023-01-11 12:05:00-08:00
5.43,5.43,5.43,5.43,200,5.43,1673467800000,2,,2023-01-11 12:10:00-08:00
5.43,5.435,5.43,5.43,8592,5.4302,1673469600000,23,,2023-01-11 12:40:00-08:00
5.42,5.42,5.42,5.42,100,5.42,1673469900000,1,,2023-01-11 12:45:00-08:00
5.43,5.43,5.42,5.42,715,5.425,1673470500000,12,,2023-01-11 12:55:00-08:00
5.47,5.47,5.47,5.47,100,5.47,1673544600000,1,,2023-01-12 09:30:00-08:00
5.475,5.49,5.472,5.48,4813,5.4813,1673545800000,38,,2023-01-12 09:50:00-08:00
5.49,5.49,5.48,5.48,639,5.483,1673546100000,5,,2023-01-12 09:55:00-08:00
5.48,5.48,5.47,5.48,814,5.4788,1673546400000,7,,2023-01-12 10:00:00-08:00
5.4799,5.48,5.4799,5.48,2800,5.4799,1673547300000,8,,2023-01-12 10:15:00-08:00
5.48,5.49,5.47,5.47,1200,5.4767,1673547900000,10,,2023-01-12 10:25:00-08:00
5.47,5.47,5.47,5.47,100,5.47,1673548200000,1,,2023-01-12 10:30:00-08:00
5.48,5.48,5.48,5.48,400,5.48,1673549100000,4,,2023-01-12 10:45:00-08:00
5.48,5.48,5.48,5.48,125,5.4796,1673551800000,3,,2023-01-12 11:30:00-08:00
5.48,5.48,5.475,5.48,1800,5.4797,1673552400000,10,,2023-01-12 11:40:00-08:00
5.47,5.48,5.47,5.48,6433,5.4714,1673552700000,26,,2023-01-12 11:45:00-08:00
5.4747,5.4747,5.47,5.47,2146,5.471,1673553000000,10,,2023-01-12 11:50:00-08:00
5.47,5.47,5.47,5.47,100,5.47,1673553900000,1,,2023-01-12 12:05:00-08:00
5.46,5.4632,5.46,5.46,800,5.4612,1673556300000,8,,2023-01-12 12:45:00-08:00
5.46,5.46,5.45,5.45,1459,5.4593,1673556600000,9,,2023-01-12 12:50:00-08:00
5.46,5.46,5.46,5.46,659,5.46,1673556900000,5,,2023-01-12 12:55:00-08:00
5.49,5.49,5.49,5.49,1821,5.49,1673632200000,2,,2023-01-13 09:50:00-08:00
5.49,5.49,5.4825,5.49,691,5.488,1673632500000,8,,2023-01-13 09:55:00-08:00
5.4889,5.4889,5.485,5.485,334,5.4877,1673633100000,2,,2023-01-13 10:05:00-08:00
5.4899,5.4899,5.4899,5.4899,400,5.4899,1673633400000,1,,2023-01-13 10:10:00-08:00
5.4807,5.485,5.48,5.48,7035,5.4803,1673635500000,30,,2023-01-13 10:45:00-08:00
5.49,5.49,5.48,5.48,2000,5.481,1673635800000,3,,2023-01-13 10:50:00-08:00
5.49,5.49,5.49,5.49,648,5.49,1673636100000,7,,2023-01-13 10:55:00-08:00
5.49,5.49,5.4892,5.4892,399,5.4898,1673636400000,2,,2023-01-13 11:00:00-08:00
5.4864,5.4864,5.4864,5.4864,501,5.4864,1673636700000,2,,2023-01-13 11:05:00-08:00
5.49,5.49,5.49,5.49,101,5.49,1673638200000,1,,2023-01-13 11:30:00-08:00
5.4884,5.4884,5.4884,5.4884,176,5.4891,1673638500000,2,,2023-01-13 11:35:00-08:00
5.49,5.49,5.49,5.49,177,5.49,1673638800000,1,,2023-01-13 11:40:00-08:00
5.4807,5.485,5.48,5.48,2587,5.4802,1673639100000,21,,2023-01-13 11:45:00-08:00
5.4899,5.4899,5.4899,5.4899,300,5.4899,1673639700000,1,,2023-01-13 11:55:00-08:00
5.49,5.49,5.49,5.49,547,5.49,1673640300000,3,,2023-01-13 12:05:00-08:00
5.49,5.49,5.48,5.48,2929,5.4872,1673641500000,3,,2023-01-13 12:25:00-08:00
