open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
6.8345,6.8345,6.8345,6.8345,115.0,6.8345,1672767300000,1,,2023-01-03 09:35:00-08:00
6.8,6.8,6.8,6.8,20.0,6.8,1672767600000,2,,2023-01-03 09:40:00-08:00
6.9,6.9,6.9,6.9,31.2,6.9,1672777800000,3,,2023-01-03 12:30:00-08:00
6.968,6.968,6.968,6.968,800.8,6.9679,1672778400000,2,,2023-01-03 12:40:00-08:00
6.84,6.84,6.84,6.84,800.0,6.84,1672778700000,1,,2023-01-03 12:45:00-08:00
6.969,7.0,6.9658,7.0,3019.8,6.9834,1672779000000,31,,2023-01-03 12:50:00-08:00
6.902,7.4,6.902,7.38,452.6,7.3029,1672779300000,29,,2023-01-03 12:55:00-08:00
7.011,7.011,7.011,7.011,100.0,7.011,1672779900000,1,,2023-01-03 13:05:00-08:00
7.011,7.011,7.011,7.011,100.0,7.011,1672780200000,1,,2023-01-03 13:10:00-08:00
7.283,7.283,7.283,7.283,20.0,7.283,1672783200000,2,,2023-01-03 14:00:00-08:00
7.4,7.4,7.4,7.4,100.0,7.4,1672790400000,1,,2023-01-03 16:00:00-08:00
6.877,6.877,6.85,6.85,331.3,6.8574,1672856400000,7,,2023-01-04 10:20:00-08:00
7.199,7.5,7.199,7.5,225.0,7.327,1672858200000,10,,2023-01-04 10:50:00-08:00
7.487,7.4884,7.4744,7.4744,250.0,7.4791,1672858500000,6,,2023-01-04 10:55:00-08:00
7.499,7.5,7.499,7.5,796.5,7.499,1672858800000,3,,2023-01-04 11:00:00-08:00
7.5,7.5,7.421,7.421,162.5,7.4514,1672859700000,7,,2023-01-04 11:15:00-08:00
7.6,7.6,7.6,7.6,70.0,7.6,1672863000000,3,,2023-01-04 12:10:00-08:00
7.7,7.88,7.7,7.88,243.0,7.8481,1672863300000,4,,2023-01-04 12:15:00-08:00
7.8525,7.8525,7.8525,7.8525,30.0,7.8525,1672864200000,1,,2023-01-04 12:30:00-08:00
7.879,7.88,7.879,7.88,1147.8000000000002,7.8787,1672864500000,12,,2023-01-04 12:35:00-08:00
7.872,7.899,7.872,7.899,130.4,7.8783,1672865400000,3,,2023-01-04 12:50:00-08:00
7.9,7.9,7.803,7.803,110.0,7.8795,1672865700000,7,,2023-01-04 12:55:00-08:00
7.8,7.8,7.8,7.8,40.0,7.8,1672874700000,1,,2023-01-04 15:25:00-08:00
8.13,8.141,8.0,8.0,550.0,8.0755,1672940400000,11,,2023-01-05 09:40:00-08:00
8.0,8.0,8.0,8.0,280.0,8.0,1672940700000,1,,2023-01-05 09:45:00-08:00
8.001,8.001,8.001,8.001,10.0,8.001,1672941900000,1,,2023-01-05 10:05:00-08:00
8.002,8.002,8.002,8.002,15.0,8.002,1672944300000,1,,2023-01-05 10:45:00-08:00
8.002,8.002,8.0,8.0,410.9,8.0001,1672946100000,7,,2023-01-05 11:15:00-08:00
8.001,8.001,8.001,8.001,11.0,8.001,1672947000000,1,,2023-01-05 11:30:00-08:00
8.0,8.001,8.0,8.001,38.9,8.0006,1672947300000,4,,2023-01-05 11:35:00-08:00
8.0,8.0,8.0,8.0,20.0,8.0,1672949100000,1,,2023-01-05 12:05:00-08:00
8.0,8.0,7.7,7.7,2945.0,7.8778,1672950000000,32,,2023-01-05 12:20:00-08:00
7.531,7.6,7.177,7.177,228.3,7.5019,1672950300000,10,,2023-01-05 12:25:00-08:00
7.551,7.626,7.55,7.6,1130.0,7.6021,1672950600000,14,,2023-01-05 12:30:00-08:00
7.552,8.002,7.552,7.65,450.0,7.6839,1672950900000,8,,2023-01-05 12:35:00-08:00
7.602,8.002,7.6,7.777,460.2,7.7299,1672951200000,15,,2023-01-05 12:40:00-08:00
7.6,7.6,7.551,7.579,513.3,7.5804,1672952100000,8,,2023-01-05 12:55:00-08:00
7.579,7.579,7.579,7.579,185.0,7.579,1672952400000,1,,2023-01-05 13:00:00-08:00
7.58,7.58,7.58,7.58,13.5,7.58,1672956900000,1,,2023-01-05 14:15:00-08:00
7.58,7.58,7.58,7.58,30.0,7.58,1672962000000,1,,2023-01-05 15:40:00-08:00
7.5,7.5,7.5,7.5,20.0,7.5,1673027400000,1,,2023-01-06 09:50:00-08:00
7.5,7.5,7.5,7.5,500.0,7.5,1673028000000,1,,2023-01-06 10:00:00-08:00
7.55,7.55,7.55,7.55,20.0,7.55,1673031000000,2,,2023-01-06 10:50:00-08:00
7.575,7.587,7.575,7.587,30.0,7.579,1673032200000,3,,2023-01-06 11:10:00-08:00
7.5,7.501,7.5,7.501,200.7,7.5005,1673034300000,3,,2023-01-06 11:45:00-08:00
7.5,7.5,7.5,7.5,20.0,7.5,1673034600000,1,,2023-01-06 11:50:00-08:00
7.501,7.501,7.501,7.501,50.0,7.501,1673034900000,1,,2023-01-06 11:55:00-08:00
7.501,7.501,7.5,7.5,138.3,7.5002,1673035200000,9,,2023-01-06 12:00:00-08:00
7.5,7.5,7.5,7.5,80.0,7.5,1673035500000,1,,2023-01-06 12:05:00-08:00
7.501,7.501,7.501,7.501,47.7,7.501,1673035800000,3,,2023-01-06 12:10:00-08:00
7.606,7.606,7.5,7.5,100.0,7.5116,1673036100000,3,,2023-01-06 12:15:00-08:00
7.781,7.799,7.781,7.781,330.0,7.7919,1673037000000,4,,2023-01-06 12:30:00-08:00
7.779,7.779,7.779,7.779,20.0,7.779,1673037300000,2,,2023-01-06 12:35:00-08:00
7.779,7.779,7.779,7.779,200.0,7.779,1673037600000,3,,2023-01-06 12:40:00-08:00
7.748,7.778,7.748,7.748,30.0,7.758,1673037900000,3,,2023-01-06 12:45:00-08:00
7.601,7.756,7.6,7.746,701.1,7.7074,1673038200000,20,,2023-01-06 12:50:00-08:00
7.746,7.98,7.743,7.8,863.0,7.7878,1673038500000,18,,2023-01-06 12:55:00-08:00
7.801,7.801,7.801,7.801,10.0,7.801,1673038800000,1,,2023-01-06 13:00:00-08:00
7.801,7.98,7.801,7.98,119.0,7.9591,1673043300000,4,,2023-01-06 14:15:00-08:00
7.801,7.801,7.801,7.801,20.0,7.801,1673285700000,2,,2023-01-09 09:35:00-08:00
7.801,7.878,7.801,7.878,32.9,7.8312,1673286600000,3,,2023-01-09 09:50:00-08:00
7.801,7.801,7.801,7.801,40.0,7.801,1673287200000,4,,2023-01-09 10:00:00-08:00
7.801,7.801,7.7,7.7,372.9,7.752,1673288700000,11,,2023-01-09 10:25:00-08:00
7.7,7.7,7.7,7.7,240.0,7.7,1673290500000,13,,2023-01-09 10:55:00-08:00
7.7,7.7,7.7,7.7,169.2,7.7,1673292000000,1,,2023-01-09 11:20:00-08:00
7.7,7.7,7.7,7.7,20.0,7.7,1673293800000,1,,2023-01-09 11:50:00-08:00
7.701,7.851,7.701,7.851,170.0,7.7187,1673294100000,4,,2023-01-09 11:55:00-08:00
7.851,7.851,7.851,7.851,15.0,7.8508,1673294400000,2,,2023-01-09 12:00:00-08:00
