open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.515,2.515,2.515,2.515,503,2.5151,1672767000000,2,,2023-01-03 09:30:00-08:00
2.515,2.64,2.515,2.63,18851,2.6066,1672767300000,56,,2023-01-03 09:35:00-08:00
2.6161,2.63,2.6161,2.63,1200,2.6214,1672767600000,5,,2023-01-03 09:40:00-08:00
2.63,2.65,2.63,2.65,2333,2.6461,1672767900000,27,,2023-01-03 09:45:00-08:00
2.6899,2.72,2.655,2.72,11077,2.6877,1672768200000,25,,2023-01-03 09:50:00-08:00
2.6979,2.6979,2.6979,2.6979,500,2.6979,1672768500000,1,,2023-01-03 09:55:00-08:00
2.66,2.66,2.62,2.62,2154,2.6282,1672768800000,18,,2023-01-03 10:00:00-08:00
2.621,2.621,2.621,2.621,335,2.6237,1672769100000,3,,2023-01-03 10:05:00-08:00
2.6001,2.62,2.51,2.54,4058,2.5537,1672769400000,16,,2023-01-03 10:10:00-08:00
2.6174,2.6174,2.6174,2.6174,431,2.6174,1672769700000,1,,2023-01-03 10:15:00-08:00
2.5894,2.59,2.5599,2.5847,1930,2.5865,1672770300000,11,,2023-01-03 10:25:00-08:00
2.555,2.6599,2.555,2.635,3466,2.6182,1672770600000,13,,2023-01-03 10:30:00-08:00
2.66,2.66,2.62,2.62,3387,2.6418,1672770900000,17,,2023-01-03 10:35:00-08:00
2.5901,2.5901,2.5901,2.5901,318,2.5912,1672771200000,4,,2023-01-03 10:40:00-08:00
2.615,2.615,2.615,2.615,1009,2.6148,1672771800000,3,,2023-01-03 10:50:00-08:00
2.5849,2.5849,2.5849,2.5849,200,2.5849,1672772100000,1,,2023-01-03 10:55:00-08:00
2.66,2.66,2.66,2.66,107,2.6575,1672772400000,2,,2023-01-03 11:00:00-08:00
2.6589,2.66,2.64,2.6415,4118,2.6518,1672773300000,7,,2023-01-03 11:15:00-08:00
2.66,2.72,2.66,2.675,10399,2.6648,1672773600000,37,,2023-01-03 11:20:00-08:00
2.6495,2.65,2.6,2.6,6945,2.638,1672773900000,24,,2023-01-03 11:25:00-08:00
2.6013,2.6013,2.6013,2.6013,1410,2.6014,1672774200000,2,,2023-01-03 11:30:00-08:00
2.6499,2.6499,2.61,2.6101,2705,2.6247,1672775700000,20,,2023-01-03 11:55:00-08:00
2.62,2.62,2.62,2.62,2070,2.6203,1672776300000,5,,2023-01-03 12:05:00-08:00
2.64,2.65,2.62,2.62,1383,2.6353,1672776600000,6,,2023-01-03 12:10:00-08:00
2.629,2.629,2.6065,2.6065,600,2.6103,1672776900000,2,,2023-01-03 12:15:00-08:00
2.613,2.613,2.613,2.613,1001,2.613,1672777800000,2,,2023-01-03 12:30:00-08:00
2.63,2.6546,2.62,2.6546,1352,2.63,1672778100000,8,,2023-01-03 12:35:00-08:00
2.631,2.65,2.631,2.65,207,2.6408,1672778400000,3,,2023-01-03 12:40:00-08:00
2.692,2.6921,2.692,2.6921,2601,2.6909,1672778700000,4,,2023-01-03 12:45:00-08:00
2.62,2.62,2.62,2.62,625,2.6216,1672779000000,8,,2023-01-03 12:50:00-08:00
2.64,2.68,2.63,2.65,7711,2.6624,1672779300000,62,,2023-01-03 12:55:00-08:00
2.59,2.59,2.58,2.58,2000,2.581,1672780800000,2,,2023-01-03 13:20:00-08:00
2.66,2.66,2.66,2.66,150,2.66,1672781100000,1,,2023-01-03 13:25:00-08:00
2.59,2.66,2.58,2.66,700,2.6114,1672781400000,4,,2023-01-03 13:30:00-08:00
2.66,2.66,2.66,2.66,300,2.66,1672782600000,1,,2023-01-03 13:50:00-08:00
2.66,2.66,2.66,2.66,100,2.66,1672782900000,1,,2023-01-03 13:55:00-08:00
2.58,2.58,2.58,2.58,452,2.58,1672785300000,1,,2023-01-03 14:35:00-08:00
2.7401,2.7401,2.7401,2.7401,508,2.741,1672854600000,2,,2023-01-04 09:50:00-08:00
2.7903,2.8,2.77,2.7999,2637,2.7945,1672854900000,7,,2023-01-04 09:55:00-08:00
2.7475,2.8,2.7475,2.8,502,2.7855,1672855200000,3,,2023-01-04 10:00:00-08:00
2.81,2.81,2.81,2.81,798,2.8079,1672856700000,3,,2023-01-04 10:25:00-08:00
2.81,2.81,2.81,2.81,506,2.8098,1672857000000,8,,2023-01-04 10:30:00-08:00
2.8,2.8,2.79,2.79,701,2.7929,1672857600000,4,,2023-01-04 10:40:00-08:00
2.841,2.841,2.841,2.841,500,2.841,1672857900000,1,,2023-01-04 10:45:00-08:00
2.84,2.89,2.83,2.89,6235,2.8633,1672858200000,55,,2023-01-04 10:50:00-08:00
2.89,2.89,2.89,2.89,302,2.8899,1672858500000,5,,2023-01-04 10:55:00-08:00
2.86,2.865,2.82,2.86,2850,2.8541,1672858800000,12,,2023-01-04 11:00:00-08:00
2.841,2.841,2.83,2.83,1096,2.8337,1672859100000,9,,2023-01-04 11:05:00-08:00
2.8134,2.83,2.8,2.8,912,2.8104,1672859400000,15,,2023-01-04 11:10:00-08:00
2.7773,2.7773,2.7773,2.7773,179,2.7778,1672861500000,2,,2023-01-04 11:45:00-08:00
2.81,2.81,2.81,2.81,200,2.81,1672864200000,1,,2023-01-04 12:30:00-08:00
2.81,2.81,2.72,2.72,7882,2.7671,1672864800000,71,,2023-01-04 12:40:00-08:00
2.72,2.72,2.72,2.72,219,2.7236,1672865400000,2,,2023-01-04 12:50:00-08:00
2.7227,2.7227,2.7227,2.7227,627,2.7227,1672865700000,1,,2023-01-04 12:55:00-08:00
2.57,2.57,2.54,2.54,5202,2.5476,1672939800000,17,,2023-01-05 09:30:00-08:00
2.5498,2.5498,2.5498,2.5498,125,2.5498,1672940100000,1,,2023-01-05 09:35:00-08:00
2.5501,2.6,2.5501,2.6,1418,2.561,1672942800000,3,,2023-01-05 10:20:00-08:00
2.5579,2.5579,2.5579,2.5579,114,2.5579,1672943700000,1,,2023-01-05 10:35:00-08:00
