open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.041,3.048,2.908,3.048,1965.0,3.0015,1672767000000,27,,2023-01-03 09:30:00-08:00
2.908,3.034,2.908,3.034,167.0,2.9586,1672767600000,2,,2023-01-03 09:40:00-08:00
2.901,3.049,2.9,2.9,1050.0,2.9452,1672767900000,7,,2023-01-03 09:45:00-08:00
2.901,3.0475,2.901,2.901,230.0,3.0284,1672768500000,4,,2023-01-03 09:55:00-08:00
2.951,2.951,2.95,2.951,1000.0,2.9506,1672768800000,7,,2023-01-03 10:00:00-08:00
2.95,2.95,2.95,2.95,201.9,2.95,1672769100000,2,,2023-01-03 10:05:00-08:00
3.0,3.0,2.941,2.941,130.0,2.9773,1672769400000,3,,2023-01-03 10:10:00-08:00
2.941,2.941,2.941,2.941,10.0,2.941,1672769700000,1,,2023-01-03 10:15:00-08:00
3.047,3.047,3.047,3.047,10.0,3.047,1672770300000,1,,2023-01-03 10:25:00-08:00
3.0322,3.0322,3.0322,3.0322,588.2,3.0322,1672770900000,1,,2023-01-03 10:35:00-08:00
2.94,2.94,2.94,2.94,77.5,2.9437,1672772100000,7,,2023-01-03 10:55:00-08:00
3.0,3.0,3.0,3.0,210.0,3.0,1672772400000,3,,2023-01-03 11:00:00-08:00
3.019,3.019,3.019,3.019,300.0,3.019,1672773000000,1,,2023-01-03 11:10:00-08:00
2.984,2.984,2.984,2.984,29.0,2.984,1672773600000,1,,2023-01-03 11:20:00-08:00
2.941,2.941,2.9,2.9,1187.8,2.9273,1672774500000,23,,2023-01-03 11:35:00-08:00
2.9,2.9001,2.9,2.9,503.70000000000005,2.9,1672774800000,26,,2023-01-03 11:40:00-08:00
2.901,2.901,2.901,2.901,146.2,2.901,1672775100000,10,,2023-01-03 11:45:00-08:00
2.9,2.9005,2.9,2.9,80.0,2.9001,1672775400000,10,,2023-01-03 11:50:00-08:00
2.901,2.901,2.901,2.901,10.0,2.901,1672776000000,1,,2023-01-03 12:00:00-08:00
2.9007,2.9007,2.9,2.9,110.1,2.9006,1672776300000,6,,2023-01-03 12:05:00-08:00
2.9,2.9,2.9,2.9,62.9,2.9,1672776600000,4,,2023-01-03 12:10:00-08:00
2.9,2.9,2.9,2.9,16.8,2.9,1672776900000,1,,2023-01-03 12:15:00-08:00
2.9,2.9,2.9,2.9,95.2,2.9,1672777200000,6,,2023-01-03 12:20:00-08:00
2.9,2.9,2.839,2.855,536.0,2.8566,1672777500000,43,,2023-01-03 12:25:00-08:00
2.85,2.855,2.85,2.853,610.5,2.8519,1672777800000,17,,2023-01-03 12:30:00-08:00
2.853,2.984,2.853,2.984,506.0,2.9244,1672778400000,10,,2023-01-03 12:40:00-08:00
2.859,2.859,2.859,2.859,150.0,2.859,1672779300000,2,,2023-01-03 12:55:00-08:00
2.98,2.983,2.98,2.983,250.0,2.9818,1672785900000,2,,2023-01-03 14:45:00-08:00
2.979,2.979,2.979,2.979,50.0,2.979,1672786200000,1,,2023-01-03 14:50:00-08:00
2.973,2.973,2.82,2.82,20.0,2.8965,1672788000000,2,,2023-01-03 15:20:00-08:00
3.198,3.198,3.105,3.105,40.2,3.151,1672853400000,4,,2023-01-04 09:30:00-08:00
3.196,3.196,3.105,3.105,538.0,3.149,1672854600000,6,,2023-01-04 09:50:00-08:00
3.105,3.1505,3.105,3.1505,178.5,3.1305,1672854900000,2,,2023-01-04 09:55:00-08:00
3.173,3.173,3.173,3.173,25.0,3.173,1672855500000,1,,2023-01-04 10:05:00-08:00
3.19,3.193,3.115,3.115,223.2,3.1665,1672857000000,9,,2023-01-04 10:30:00-08:00
3.125,3.125,3.115,3.115,43.3,3.1227,1672857300000,5,,2023-01-04 10:35:00-08:00
3.198,3.198,3.198,3.198,179.4,3.198,1672859400000,14,,2023-01-04 11:10:00-08:00
3.198,3.209,3.12,3.121,1292.3999999999999,3.1473,1672859700000,16,,2023-01-04 11:15:00-08:00
3.208,3.208,3.1944,3.1944,450.0,3.1992,1672860600000,2,,2023-01-04 11:30:00-08:00
3.163,3.163,3.163,3.163,100.0,3.163,1672861800000,1,,2023-01-04 11:50:00-08:00
3.163,3.206,3.12,3.12,317.1,3.1648,1672862100000,15,,2023-01-04 11:55:00-08:00
3.199,3.2,3.197,3.199,1086.0,3.1999,1672862400000,14,,2023-01-04 12:00:00-08:00
3.209,3.209,3.209,3.209,52.7,3.209,1672862700000,2,,2023-01-04 12:05:00-08:00
3.209,3.21,3.2,3.21,331.7,3.2085,1672864500000,11,,2023-01-04 12:35:00-08:00
3.199,3.38,3.199,3.38,2223.9,3.347,1672864800000,26,,2023-01-04 12:40:00-08:00
3.379,3.379,3.379,3.379,130.0,3.379,1672865100000,1,,2023-01-04 12:45:00-08:00
3.208,3.208,3.208,3.208,38.9,3.208,1672865400000,1,,2023-01-04 12:50:00-08:00
3.299,3.299,3.299,3.299,127.2,3.299,1672865700000,10,,2023-01-04 12:55:00-08:00
3.38,3.38,3.38,3.38,3600.0,3.38,1672866300000,3,,2023-01-04 13:05:00-08:00
