open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.88,3.88,3.88,3.88,200,3.88,1679511600000,1,,2023-03-22 12:00:00-07:00
3.5,3.5,3.5,3.5,100,3.5,1679514600000,1,,2023-03-22 12:50:00-07:00
4.2,4.2,4.2,4.2,100,4.2,1679601300000,1,,2023-03-23 12:55:00-07:00
3.85,3.85,3.85,3.85,100,3.85,1680117300000,1,,2023-03-29 12:15:00-07:00
3.3,3.3,3.3,3.3,100,3.3,1680285300000,1,,2023-03-31 10:55:00-07:00
3.45,3.45,3.45,3.45,100,3.45,1680542400000,1,,2023-04-03 10:20:00-07:00
3.31,3.31,3.31,3.31,143,3.3671,1680548100000,2,,2023-04-03 11:55:00-07:00
3.5,3.5,3.5,3.5,358,3.4948,1680635100000,5,,2023-04-04 12:05:00-07:00
3.25,3.25,3.25,3.25,900,3.25,1681145700000,1,,2023-04-10 09:55:00-07:00
3.25,3.25,3.25,3.25,1500,3.25,1681148700000,1,,2023-04-10 10:45:00-07:00
3.38,3.38,3.38,3.38,1000,3.3719,1681155900000,3,,2023-04-10 12:45:00-07:00
3.25,3.25,3.25,3.25,480,3.25,1681239600000,1,,2023-04-11 12:00:00-07:00
3.21,3.21,3.21,3.21,3516,3.21,1681322400000,1,,2023-04-12 11:00:00-07:00
3.21,3.21,3.21,3.21,1295,3.21,1681323300000,2,,2023-04-12 11:15:00-07:00
3.21,3.21,3.21,3.21,189,3.21,1681415700000,1,,2023-04-13 12:55:00-07:00
3.11,3.15,3.0,3.0,4256,3.1091,1681495800000,10,,2023-04-14 11:10:00-07:00
1.71,1.71,1.71,1.71,3627,1.71,1681835700000,1,,2023-04-18 09:35:00-07:00
2.0,2.0,2.0,2.0,100,2.0,1681836900000,1,,2023-04-18 09:55:00-07:00
2.19,2.19,2.19,2.19,1166,2.19,1681845900000,4,,2023-04-18 12:25:00-07:00
2.4,2.4,2.4,2.4,200,2.4,1681922400000,1,,2023-04-19 09:40:00-07:00
2.75,2.75,2.75,2.75,100,2.75,1681922700000,1,,2023-04-19 09:45:00-07:00
2.5625,2.5625,2.5,2.5,200,2.5313,1682009100000,2,,2023-04-20 09:45:00-07:00
2.5,2.5,2.5,2.5,944,2.5,1682009700000,1,,2023-04-20 09:55:00-07:00
2.65,2.65,2.65,2.65,100,2.65,1682443500000,1,,2023-04-25 10:25:00-07:00
2.6815,2.6815,2.62,2.62,1000,2.6382,1682449200000,3,,2023-04-25 12:00:00-07:00
2.68,2.68,2.6783,2.68,1800,2.6794,1682535600000,8,,2023-04-26 12:00:00-07:00
3.0,3.0,3.0,3.0,400,3.0,1682701800000,3,,2023-04-28 10:10:00-07:00
3.45,3.45,3.45,3.45,200,3.45,1682702100000,2,,2023-04-28 10:15:00-07:00
3.05,3.05,3.05,3.05,100,3.05,1682702700000,1,,2023-04-28 10:25:00-07:00
3.4,3.4,3.4,3.4,110,3.4,1682711100000,1,,2023-04-28 12:45:00-07:00
3.4,3.4,3.4,3.4,1000,3.4,1682961300000,1,,2023-05-01 10:15:00-07:00
3.0,3.21,3.0,3.21,2637,3.0629,1683053100000,6,,2023-05-02 11:45:00-07:00
3.21,3.21,3.21,3.21,100,3.21,1683827400000,1,,2023-05-11 10:50:00-07:00
3.4,3.4,3.4,3.4,400,3.4,1683920400000,3,,2023-05-12 12:40:00-07:00
2.6975,2.6975,2.6975,2.6975,100,2.6975,1684255200000,1,,2023-05-16 09:40:00-07:00
3.03,3.03,3.0,3.0,1393,3.0149,1684257600000,5,,2023-05-16 10:20:00-07:00
3.29,3.29,3.29,3.29,300,3.29,1684515600000,1,,2023-05-19 10:00:00-07:00
3.085,3.085,3.085,3.085,100,3.085,1684780500000,1,,2023-05-22 11:35:00-07:00
3.0,3.0,3.0,3.0,200,3.0,1685042100000,1,,2023-05-25 12:15:00-07:00
2.75,2.75,2.75,2.75,110,2.75,1685123400000,1,,2023-05-26 10:50:00-07:00
2.76,2.76,2.75,2.75,253,2.754,1685123700000,2,,2023-05-26 10:55:00-07:00
2.75,2.75,2.5,2.5,1000,2.525,1685468700000,2,,2023-05-30 10:45:00-07:00
2.7,2.7,2.7,2.7,500,2.7,1685553600000,1,,2023-05-31 10:20:00-07:00
2.5,2.5,2.5,2.5,100,2.5,1685555100000,1,,2023-05-31 10:45:00-07:00
2.5,2.5,2.45,2.5,900,2.4833,1685555400000,3,,2023-05-31 10:50:00-07:00
2.7,2.75,2.7,2.75,1207,2.7367,1685562300000,6,,2023-05-31 12:45:00-07:00
3.25,3.25,3.25,3.25,100,3.25,1685994600000,1,,2023-06-05 12:50:00-07:00
3.0,3.0,3.0,3.0,359,3.0,1685994900000,1,,2023-06-05 12:55:00-07:00
3.0,3.0,3.0,3.0,200,3.0,1686767400000,2,,2023-06-14 11:30:00-07:00
3.25,3.25,3.25,3.25,1115,3.2458,1686769800000,5,,2023-06-14 12:10:00-07:00
3.3,3.3,3.3,3.3,500,3.3,1686770100000,1,,2023-06-14 12:15:00-07:00
3.47,3.47,3.47,3.47,100,3.47,1686771900000,1,,2023-06-14 12:45:00-07:00
3.3,3.3,3.3,3.3,200,3.3,1686772200000,1,,2023-06-14 12:50:00-07:00
3.25,3.25,3.25,3.25,300,3.25,1686853500000,2,,2023-06-15 11:25:00-07:00
3.25,3.25,3.25,3.25,100,3.25,1686935400000,1,,2023-06-16 10:10:00-07:00
3.6056,3.6056,3.5,3.544,500,3.5387,1686942000000,3,,2023-06-16 12:00:00-07:00
3.6056,3.6056,3.588,3.588,228,3.5957,1686942300000,2,,2023-06-16 12:05:00-07:00
3.5,3.5,3.5,3.5,1000,3.5,1686942600000,1,,2023-06-16 12:10:00-07:00
3.6056,3.6056,3.588,3.588,200,3.5968,1686942900000,2,,2023-06-16 12:15:00-07:00
3.25,3.25,3.25,3.25,1000,3.25,1687284900000,4,,2023-06-20 11:15:00-07:00
3.3,3.3,3.3,3.3,800,3.3,1687285200000,3,,2023-06-20 11:20:00-07:00
3.5,3.5,3.5,3.5,200,3.5,1687285800000,1,,2023-06-20 11:30:00-07:00
3.15,3.15,3.15,3.15,500,3.15,1687375200000,1,,2023-06-21 12:20:00-07:00
3.375,3.375,3.375,3.375,200,3.375,1687375500000,2,,2023-06-21 12:25:00-07:00
3.47,3.47,3.47,3.47,100,3.47,1687375800000,1,,2023-06-21 12:30:00-07:00
3.4,3.4331,3.25,3.4331,800,3.3601,1687458600000,4,,2023-06-22 11:30:00-07:00
3.7,3.7,3.7,3.7,700,3.7,1687543200000,1,,2023-06-23 11:00:00-07:00
3.8,3.8,3.65,3.65,1240,3.7056,1687547400000,4,,2023-06-23 12:10:00-07:00
4.1,4.1,4.1,4.1,100,4.1,1687549800000,1,,2023-06-23 12:50:00-07:00
3.7,3.7,3.7,3.7,100,3.7,1687797600000,1,,2023-06-26 09:40:00-07:00
3.7,3.7,3.7,3.7,100,3.7,1687799400000,1,,2023-06-26 10:10:00-07:00
3.5,3.5,3.5,3.5,100,3.5,1687801800000,1,,2023-06-26 10:50:00-07:00
3.49,3.49,3.49,3.49,300,3.49,1687808100000,1,,2023-06-26 12:35:00-07:00
3.7625,3.7625,3.7625,3.7625,100,3.7625,1687808700000,1,,2023-06-26 12:45:00-07:00
3.46,3.47,3.46,3.47,1000,3.467,1687889400000,3,,2023-06-27 11:10:00-07:00
3.3,3.3,3.3,3.3,107,3.3,1687889700000,2,,2023-06-27 11:15:00-07:00
3.0,3.0,3.0,3.0,1000,3.0,1687890900000,1,,2023-06-27 11:35:00-07:00
3.3,3.3,3.3,3.3,300,3.3,1687891800000,1,,2023-06-27 11:50:00-07:00
3.3,3.3,3.3,3.3,293,3.3,1687892400000,1,,2023-06-27 12:00:00-07:00
3.3,3.3,3.3,3.3,207,3.3,1687894800000,1,,2023-06-27 12:40:00-07:00
3.4,3.4,3.4,3.4,100,3.4,1687970400000,1,,2023-06-28 09:40:00-07:00
3.4,3.4,3.4,3.4,100,3.4,1687972800000,1,,2023-06-28 10:20:00-07:00
3.38,3.38,3.38,3.38,190,3.38,1687974600000,1,,2023-06-28 10:50:00-07:00
3.4,3.4,3.4,3.4,100,3.4,1687975200000,1,,2023-06-28 11:00:00-07:00
3.4,3.4,3.4,3.4,100,3.4,1687979100000,1,,2023-06-28 12:05:00-07:00
3.4,3.44,3.4,3.44,549,3.4073,1687979400000,2,,2023-06-28 12:10:00-07:00
3.44,3.44,3.44,3.44,100,3.44,1687982100000,1,,2023-06-28 12:55:00-07:00
3.3,3.3,3.3,3.3,400,3.3,1688068500000,1,,2023-06-29 12:55:00-07:00
2.55,2.55,2.53,2.53,2412,2.5443,1688143200000,20,,2023-06-30 09:40:00-07:00
2.5407,2.65,2.5407,2.65,6166,2.5958,1688143500000,29,,2023-06-30 09:45:00-07:00
2.67,2.6768,2.65,2.65,728,2.6633,1688143800000,9,,2023-06-30 09:50:00-07:00
2.6846,2.6846,2.6,2.6,4386,2.6155,1688144100000,19,,2023-06-30 09:55:00-07:00
2.6302,2.6358,2.6101,2.6105,3291,2.6229,1688144700000,67,,2023-06-30 10:05:00-07:00
2.61,2.63,2.61,2.63,1000,2.6195,1688145000000,9,,2023-06-30 10:10:00-07:00
2.6344,2.6344,2.53,2.53,5200,2.6038,1688145600000,30,,2023-06-30 10:20:00-07:00
2.53,2.62,2.53,2.62,800,2.5733,1688145900000,9,,2023-06-30 10:25:00-07:00
2.6,2.6,2.6,2.6,100,2.6,1688146200000,1,,2023-06-30 10:30:00-07:00
2.6,2.61,2.6,2.61,300,2.605,1688146500000,4,,2023-06-30 10:35:00-07:00
2.61,2.61,2.61,2.61,108,2.61,1688146800000,2,,2023-06-30 10:40:00-07:00
2.61,2.61,2.61,2.61,200,2.61,1688147100000,2,,2023-06-30 10:45:00-07:00
2.61,2.61,2.61,2.61,215,2.6051,1688147400000,3,,2023-06-30 10:50:00-07:00
2.62,2.62,2.58,2.58,332,2.5928,1688147700000,6,,2023-06-30 10:55:00-07:00
2.6,2.61,2.6,2.61,375,2.6012,1688148000000,5,,2023-06-30 11:00:00-07:00
2.6,2.6,2.57,2.6,310,2.5894,1688148300000,3,,2023-06-30 11:05:00-07:00
2.6,2.6,2.6,2.6,200,2.6,1688148600000,2,,2023-06-30 11:10:00-07:00
2.6,2.6,2.6,2.6,500,2.6,1688148900000,5,,2023-06-30 11:15:00-07:00
2.6,2.6,2.6,2.6,200,2.6,1688149200000,2,,2023-06-30 11:20:00-07:00
2.59,2.59,2.59,2.59,201,2.595,1688149500000,5,,2023-06-30 11:25:00-07:00
2.6,2.6,2.6,2.6,180,2.5978,1688149800000,2,,2023-06-30 11:30:00-07:00
2.59,2.599,2.59,2.59,805,2.5916,1688150100000,10,,2023-06-30 11:35:00-07:00
2.597,2.597,2.597,2.597,354,2.5961,1688150400000,3,,2023-06-30 11:40:00-07:00
2.6,2.6,2.54,2.54,2392,2.5493,1688150700000,21,,2023-06-30 11:45:00-07:00
2.54,2.54,2.54,2.54,1100,2.5436,1688151900000,8,,2023-06-30 12:05:00-07:00
2.54,2.55,2.53,2.55,1929,2.5396,1688152200000,17,,2023-06-30 12:10:00-07:00
2.55,2.55,2.52,2.53,4701,2.5307,1688152500000,29,,2023-06-30 12:15:00-07:00
2.55,2.55,2.55,2.55,200,2.55,1688152800000,2,,2023-06-30 12:20:00-07:00
2.55,2.55,2.55,2.55,521,2.55,1688153100000,6,,2023-06-30 12:25:00-07:00
2.5348,2.55,2.5348,2.55,2650,2.5489,1688153400000,13,,2023-06-30 12:30:00-07:00
2.55,2.55,2.55,2.55,1858,2.5495,1688153700000,15,,2023-06-30 12:35:00-07:00
2.57,2.5784,2.54,2.57,2250,2.566,1688154000000,24,,2023-06-30 12:40:00-07:00
2.55,2.55,2.51,2.5201,4800,2.531,1688154300000,41,,2023-06-30 12:45:00-07:00
2.51,2.55,2.51,2.55,5033,2.5451,1688154600000,20,,2023-06-30 12:50:00-07:00
2.55,2.75,2.53,2.69,34168,2.6459,1688154900000,209,,2023-06-30 12:55:00-07:00
2.61,2.61,2.55,2.6,2005,2.5984,1688155200000,9,,2023-06-30 13:00:00-07:00
2.6,2.6,2.6,2.6,1905,2.6,1688155500000,3,,2023-06-30 13:05:00-07:00
2.63,2.63,2.63,2.63,900,2.63,1688156700000,3,,2023-06-30 13:25:00-07:00
2.6,2.63,2.6,2.63,382,2.618,1688157600000,4,,2023-06-30 13:40:00-07:00
2.66,2.66,2.66,2.66,361,2.66,1688158200000,1,,2023-06-30 13:50:00-07:00
2.66,2.66,2.63,2.63,500,2.6383,1688160600000,3,,2023-06-30 14:30:00-07:00
2.639,2.64,2.639,2.64,508,2.6395,1688401800000,3,,2023-07-03 09:30:00-07:00
2.64,2.65,2.63,2.63,2100,2.6448,1688402100000,9,,2023-07-03 09:35:00-07:00
2.62,2.64,2.62,2.64,674,2.6288,1688402400000,8,,2023-07-03 09:40:00-07:00
2.64,2.65,2.6049,2.65,2854,2.6351,1688402700000,16,,2023-07-03 09:45:00-07:00
2.65,2.67,2.64,2.67,2160,2.6583,1688403000000,10,,2023-07-03 09:50:00-07:00
2.71,2.8,2.683,2.76,12152,2.7503,1688403300000,139,,2023-07-03 09:55:00-07:00
2.76,2.76,2.76,2.76,1740,2.76,1688403600000,1,,2023-07-03 10:00:00-07:00
2.74,2.74,2.67,2.67,428,2.6864,1688416500000,4,,2023-07-03 13:35:00-07:00
2.68,2.68,2.68,2.68,261,2.68,1688417100000,3,,2023-07-03 13:45:00-07:00
2.44,2.44,2.43,2.44,680,2.4385,1688575200000,6,,2023-07-05 09:40:00-07:00
2.42,2.465,2.42,2.465,386,2.4318,1688576400000,9,,2023-07-05 10:00:00-07:00
2.52,2.52,2.52,2.52,112,2.5189,1688577300000,3,,2023-07-05 10:15:00-07:00
2.43,2.43,2.43,2.43,576,2.43,1688578200000,1,,2023-07-05 10:30:00-07:00
2.51,2.51,2.51,2.51,106,2.5055,1688578500000,2,,2023-07-05 10:35:00-07:00
2.4393,2.4393,2.4393,2.4393,128,2.4393,1688580000000,1,,2023-07-05 11:00:00-07:00
2.45,2.46,2.44,2.44,685,2.45,1688581200000,7,,2023-07-05 11:20:00-07:00
2.431,2.48,2.43,2.48,640,2.4402,1688581500000,6,,2023-07-05 11:25:00-07:00
2.43,2.48,2.43,2.48,200,2.455,1688582400000,2,,2023-07-05 11:40:00-07:00
2.4822,2.4822,2.4822,2.4822,100,2.4822,1688582700000,1,,2023-07-05 11:45:00-07:00
2.4355,2.4355,2.4355,2.4355,150,2.4357,1688584500000,2,,2023-07-05 12:15:00-07:00
2.4301,2.4301,2.41,2.41,1452,2.4246,1688585700000,8,,2023-07-05 12:35:00-07:00
2.4107,2.4107,2.4107,2.4107,107,2.4115,1688586000000,2,,2023-07-05 12:40:00-07:00
2.46,2.49,2.46,2.48,326,2.4773,1688586300000,5,,2023-07-05 12:45:00-07:00
2.455,2.49,2.455,2.4797,700,2.4778,1688586600000,5,,2023-07-05 12:50:00-07:00
2.44,2.48,2.44,2.48,1751,2.4709,1688586900000,9,,2023-07-05 12:55:00-07:00
2.55,2.55,2.55,2.55,200,2.55,1688587200000,1,,2023-07-05 13:00:00-07:00
2.55,2.55,2.5,2.5,1261,2.5381,1688589900000,8,,2023-07-05 13:45:00-07:00
2.55,2.6013,2.55,2.6013,950,2.5738,1688590500000,14,,2023-07-05 13:55:00-07:00
2.61,2.61,2.6,2.6,300,2.6048,1688590800000,2,,2023-07-05 14:00:00-07:00
2.639,2.639,2.56,2.59,1088,2.5865,1688591400000,6,,2023-07-05 14:10:00-07:00
2.5899,2.5899,2.56,2.56,400,2.575,1688592000000,3,,2023-07-05 14:20:00-07:00
2.59,2.59,2.59,2.59,100,2.59,1688596200000,1,,2023-07-05 15:30:00-07:00
2.56,2.56,2.56,2.56,350,2.56,1688597100000,1,,2023-07-05 15:45:00-07:00
2.56,2.56,2.56,2.56,126,2.56,1688597700000,1,,2023-07-05 15:55:00-07:00
2.43,2.43,2.43,2.43,200,2.42,1688661000000,3,,2023-07-06 09:30:00-07:00
2.41,2.41,2.41,2.41,1159,2.41,1688661300000,13,,2023-07-06 09:35:00-07:00
2.4,2.44,2.4,2.43,2314,2.4044,1688661600000,6,,2023-07-06 09:40:00-07:00
2.4138,2.4138,2.4138,2.4138,135,2.4128,1688662200000,2,,2023-07-06 09:50:00-07:00
2.4399,2.4399,2.4399,2.4399,1123,2.4385,1688663100000,5,,2023-07-06 10:05:00-07:00
2.41,2.41,2.41,2.41,501,2.41,1688665800000,2,,2023-07-06 10:50:00-07:00
2.4,2.41,2.4,2.41,360,2.4028,1688666100000,2,,2023-07-06 10:55:00-07:00
2.43,2.43,2.43,2.43,450,2.4296,1688666700000,4,,2023-07-06 11:05:00-07:00
2.41,2.4101,2.41,2.4101,493,2.4121,1688668200000,5,,2023-07-06 11:30:00-07:00
2.41,2.41,2.41,2.41,100,2.41,1688668500000,1,,2023-07-06 11:35:00-07:00
2.415,2.415,2.415,2.415,1000,2.415,1688669100000,1,,2023-07-06 11:45:00-07:00
2.41,2.4193,2.41,2.4193,1100,2.4185,1688669400000,2,,2023-07-06 11:50:00-07:00
2.4191,2.42,2.41,2.42,300,2.4164,1688670300000,3,,2023-07-06 12:05:00-07:00
2.4058,2.4058,2.4,2.4,6064,2.4011,1688670900000,17,,2023-07-06 12:15:00-07:00
2.4,2.41,2.355,2.36,1064,2.393,1688672400000,4,,2023-07-06 12:40:00-07:00
2.3601,2.3617,2.3601,2.3617,202,2.3609,1688672700000,2,,2023-07-06 12:45:00-07:00
2.39,2.42,2.39,2.4199,850,2.4113,1688673000000,5,,2023-07-06 12:50:00-07:00
2.41,2.41,2.3601,2.4,940,2.3745,1688673300000,6,,2023-07-06 12:55:00-07:00
2.42,2.42,2.42,2.42,400,2.42,1688677800000,1,,2023-07-06 14:10:00-07:00
2.32,2.32,2.32,2.32,100,2.32,1688679300000,1,,2023-07-06 14:35:00-07:00
2.32,2.32,2.32,2.32,327,2.32,1688682600000,1,,2023-07-06 15:30:00-07:00
2.28,2.28,2.28,2.28,1198,2.279,1688747400000,8,,2023-07-07 09:30:00-07:00
2.295,2.295,2.295,2.295,200,2.295,1688747700000,1,,2023-07-07 09:35:00-07:00
2.3,2.3,2.3,2.3,400,2.3,1688748900000,1,,2023-07-07 09:55:00-07:00
2.28,2.3,2.28,2.3,5570,2.29,1688749800000,10,,2023-07-07 10:10:00-07:00
2.3,2.3,2.3,2.3,1300,2.3,1688750400000,1,,2023-07-07 10:20:00-07:00
2.28,2.3,2.28,2.2999,2302,2.2913,1688750700000,7,,2023-07-07 10:25:00-07:00
2.3,2.3,2.3,2.3,900,2.3,1688752200000,2,,2023-07-07 10:50:00-07:00
2.3999,2.3999,2.3999,2.3999,100,2.3999,1688753100000,1,,2023-07-07 11:05:00-07:00
2.33,2.33,2.33,2.33,300,2.33,1688753400000,2,,2023-07-07 11:10:00-07:00
2.3197,2.3197,2.3197,2.3197,100,2.3197,1688754600000,1,,2023-07-07 11:30:00-07:00
2.375,2.375,2.375,2.375,1000,2.375,1688755200000,1,,2023-07-07 11:40:00-07:00
2.35,2.35,2.34,2.3401,1531,2.3439,1688755500000,14,,2023-07-07 11:45:00-07:00
2.311,2.32,2.311,2.32,1259,2.3181,1688758500000,5,,2023-07-07 12:35:00-07:00
2.32,2.33,2.32,2.33,765,2.3244,1688758800000,6,,2023-07-07 12:40:00-07:00
2.36,2.36,2.36,2.36,108,2.36,1688759700000,2,,2023-07-07 12:55:00-07:00
2.41,2.41,2.37,2.37,630,2.3952,1688767800000,4,,2023-07-07 15:10:00-07:00
2.41,2.41,2.41,2.41,370,2.41,1688768100000,2,,2023-07-07 15:15:00-07:00
2.3284,2.3284,2.3284,2.3284,100,2.3284,1689006900000,1,,2023-07-10 09:35:00-07:00
2.35,2.35,2.3,2.3,332,2.3151,1689009300000,5,,2023-07-10 10:15:00-07:00
2.35,2.35,2.35,2.35,600,2.35,1689010500000,3,,2023-07-10 10:35:00-07:00
