open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.69,8.725,8.55,8.6575,2941,8.6143,1690216200000,39,,2023-07-24 09:30:00-07:00
8.89,8.98,8.75,8.75,2184,8.8604,1690216500000,35,,2023-07-24 09:35:00-07:00
8.935,9.31,8.885,9.2496,8979,9.0601,1690216800000,79,,2023-07-24 09:40:00-07:00
9.1535,9.1535,8.7301,8.88,7651,8.8691,1690217100000,62,,2023-07-24 09:45:00-07:00
8.8705,8.96,8.75,8.75,3242,8.8412,1690217400000,31,,2023-07-24 09:50:00-07:00
8.75,9.02,8.75,9.02,5463,8.8484,1690217700000,56,,2023-07-24 09:55:00-07:00
8.9,8.9897,8.8,8.83,2733,8.9385,1690218000000,31,,2023-07-24 10:00:00-07:00
8.91,9.05,8.83,9.0251,4056,8.9748,1690218300000,43,,2023-07-24 10:05:00-07:00
9.0999,9.0999,8.8,8.81,2764,8.8881,1690218600000,30,,2023-07-24 10:10:00-07:00
9.0615,9.0997,8.95,9.0997,3850,9.0371,1690218900000,52,,2023-07-24 10:15:00-07:00
9.04,9.2799,9.0,9.2799,4468,9.0908,1690219200000,34,,2023-07-24 10:20:00-07:00
9.2,9.5,9.125,9.4,17560,9.3483,1690219500000,127,,2023-07-24 10:25:00-07:00
9.3999,10.0,9.3999,9.8501,42478,9.8205,1690219800000,303,,2023-07-24 10:30:00-07:00
9.85,9.9238,9.57,9.79,5682,9.7638,1690220100000,89,,2023-07-24 10:35:00-07:00
9.67,9.8,9.5,9.7733,22451,9.5848,1690220400000,84,,2023-07-24 10:40:00-07:00
9.8,9.8,9.5001,9.605,7918,9.6025,1690220700000,49,,2023-07-24 10:45:00-07:00
9.62,9.71,9.575,9.5825,796,9.6547,1690221000000,13,,2023-07-24 10:50:00-07:00
9.635,9.67,9.5525,9.5525,1924,9.6305,1690221300000,15,,2023-07-24 10:55:00-07:00
9.6,9.655,9.53,9.6,3560,9.5955,1690221600000,38,,2023-07-24 11:00:00-07:00
9.6,9.6599,9.11,9.2425,5756,9.4709,1690221900000,52,,2023-07-24 11:05:00-07:00
9.18,9.31,9.11,9.31,2660,9.2319,1690222200000,40,,2023-07-24 11:10:00-07:00
9.3099,9.3099,9.19,9.19,1663,9.2322,1690222500000,29,,2023-07-24 11:15:00-07:00
9.21,9.4752,9.1901,9.4,3684,9.304,1690222800000,37,,2023-07-24 11:20:00-07:00
9.24,9.4,9.235,9.235,2215,9.2923,1690223100000,33,,2023-07-24 11:25:00-07:00
9.1101,9.24,9.1101,9.12,2069,9.1587,1690223400000,28,,2023-07-24 11:30:00-07:00
9.1201,9.36,9.11,9.36,6799,9.1707,1690223700000,38,,2023-07-24 11:35:00-07:00
9.31,9.31,9.21,9.2363,2268,9.2506,1690224000000,26,,2023-07-24 11:40:00-07:00
9.21,9.3135,9.21,9.21,2638,9.2318,1690224300000,27,,2023-07-24 11:45:00-07:00
9.21,9.21,9.11,9.11,1664,9.1599,1690224600000,20,,2023-07-24 11:50:00-07:00
9.11,9.2,9.1,9.1,1540,9.1422,1690224900000,21,,2023-07-24 11:55:00-07:00
9.1,9.1,8.75,8.88,11030,8.9044,1690225200000,112,,2023-07-24 12:00:00-07:00
8.8912,8.955,8.6,8.75,4365,8.773,1690225500000,61,,2023-07-24 12:05:00-07:00
8.76,8.825,8.7,8.75,2408,8.755,1690225800000,35,,2023-07-24 12:10:00-07:00
8.84,9.2088,8.84,9.0,2122,9.013,1690226100000,31,,2023-07-24 12:15:00-07:00
8.91,8.95,8.9,8.9,2457,8.9197,1690226400000,29,,2023-07-24 12:20:00-07:00
8.9,9.1,8.76,8.98,5646,8.8973,1690226700000,56,,2023-07-24 12:25:00-07:00
8.78,9.4,8.77,8.9,13912,9.1576,1690227000000,121,,2023-07-24 12:30:00-07:00
8.99,8.99,8.865,8.865,2273,8.9382,1690227300000,40,,2023-07-24 12:35:00-07:00
8.87,9.19,8.87,9.19,12249,9.0003,1690227600000,114,,2023-07-24 12:40:00-07:00
9.255,9.4,9.055,9.18,14641,9.2345,1690227900000,111,,2023-07-24 12:45:00-07:00
9.1132,9.35,9.0,9.2325,14478,9.1507,1690228200000,83,,2023-07-24 12:50:00-07:00
9.2385,9.2385,9.05,9.08,5504,9.1298,1690228500000,81,,2023-07-24 12:55:00-07:00
9.2,9.2,9.04,9.2,1361,9.1029,1690228800000,14,,2023-07-24 13:00:00-07:00
9.2,9.2,8.993,9.2,634,9.1366,1690229100000,8,,2023-07-24 13:05:00-07:00
