open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.01,2.11,2.01,2.11,15015,2.0512,1699464600000,86,,2023-11-08 09:30:00-08:00
2.11,2.19,2.0616,2.1506,11052,2.122,1699464900000,134,,2023-11-08 09:35:00-08:00
2.16,2.16,2.15,2.1501,5050,2.1517,1699465200000,54,,2023-11-08 09:40:00-08:00
2.15,2.22,2.15,2.213,4243,2.1909,1699465500000,29,,2023-11-08 09:45:00-08:00
2.19,2.2141,2.19,2.21,572,2.2043,1699465800000,20,,2023-11-08 09:50:00-08:00
2.19,2.2,2.17,2.2,1860,2.1943,1699466100000,31,,2023-11-08 09:55:00-08:00
2.195,2.195,2.195,2.195,166,2.1947,1699466400000,6,,2023-11-08 10:00:00-08:00
2.195,2.1999,2.16,2.1999,2100,2.1672,1699466700000,15,,2023-11-08 10:05:00-08:00
2.18,2.1999,2.15,2.1999,1411,2.1623,1699467000000,31,,2023-11-08 10:10:00-08:00
2.18,2.18,2.15,2.15,2298,2.1583,1699467300000,16,,2023-11-08 10:15:00-08:00
2.1552,2.18,2.15,2.17,1983,2.1652,1699467600000,37,,2023-11-08 10:20:00-08:00
2.15,2.16,2.15,2.16,230,2.1551,1699467900000,6,,2023-11-08 10:25:00-08:00
2.15,2.17,2.15,2.15,1341,2.1522,1699468200000,13,,2023-11-08 10:30:00-08:00
2.15,2.1599,2.15,2.1599,5290,2.1537,1699468500000,26,,2023-11-08 10:35:00-08:00
2.15,2.15,2.15,2.15,1586,2.1501,1699468800000,23,,2023-11-08 10:40:00-08:00
2.15,2.17,2.15,2.1624,2764,2.1625,1699469100000,55,,2023-11-08 10:45:00-08:00
2.1501,2.19,2.15,2.15,12425,2.1557,1699469400000,42,,2023-11-08 10:50:00-08:00
2.177,2.19,2.177,2.19,1547,2.1782,1699469700000,18,,2023-11-08 10:55:00-08:00
2.19,2.2,2.15,2.1949,8421,2.1828,1699470000000,39,,2023-11-08 11:00:00-08:00
2.16,2.16,2.15,2.15,2900,2.151,1699470300000,27,,2023-11-08 11:05:00-08:00
2.1547,2.1547,2.1547,2.1547,904,2.1548,1699470600000,5,,2023-11-08 11:10:00-08:00
2.15,2.1913,2.15,2.1913,4747,2.1753,1699470900000,19,,2023-11-08 11:15:00-08:00
2.175,2.175,2.1546,2.1546,1483,2.159,1699471200000,16,,2023-11-08 11:20:00-08:00
2.16,2.1601,2.15,2.15,11553,2.1547,1699471800000,76,,2023-11-08 11:30:00-08:00
2.17,2.18,2.15,2.15,4321,2.1585,1699472100000,53,,2023-11-08 11:35:00-08:00
2.15,2.1799,2.15,2.15,2316,2.1598,1699472400000,36,,2023-11-08 11:40:00-08:00
2.15,2.1525,2.15,2.15,8959,2.1502,1699472700000,67,,2023-11-08 11:45:00-08:00
2.1511,2.1636,2.15,2.15,2187,2.1527,1699473000000,37,,2023-11-08 11:50:00-08:00
2.13,2.15,2.1,2.1,4803,2.1102,1699473300000,28,,2023-11-08 11:55:00-08:00
2.1,2.1,2.0609,2.0609,4725,2.0989,1699473600000,27,,2023-11-08 12:00:00-08:00
2.07,2.08,2.05,2.05,10543,2.0542,1699473900000,65,,2023-11-08 12:05:00-08:00
2.05,2.1,2.05,2.05,1256,2.062,1699474200000,25,,2023-11-08 12:10:00-08:00
2.058,2.06,2.05,2.055,5904,2.0541,1699474500000,52,,2023-11-08 12:15:00-08:00
2.0501,2.1,2.05,2.0606,8103,2.0566,1699474800000,57,,2023-11-08 12:20:00-08:00
2.07,2.14,2.07,2.13,3404,2.1032,1699475100000,23,,2023-11-08 12:25:00-08:00
2.11,2.12,2.11,2.12,1083,2.1145,1699475400000,25,,2023-11-08 12:30:00-08:00
2.12,2.12,2.05,2.05,4786,2.0954,1699475700000,32,,2023-11-08 12:35:00-08:00
2.06,2.14,2.05,2.1005,8581,2.082,1699476000000,28,,2023-11-08 12:40:00-08:00
2.1,2.14,2.1,2.13,4895,2.132,1699476300000,35,,2023-11-08 12:45:00-08:00
2.13,2.16,2.09,2.1495,7338,2.1353,1699476600000,66,,2023-11-08 12:50:00-08:00
2.15,2.15,2.06,2.1494,15748,2.099,1699476900000,69,,2023-11-08 12:55:00-08:00
2.09,2.13,2.07,2.13,1655,2.0775,1699477500000,13,,2023-11-08 13:05:00-08:00
2.0757,2.11,2.0757,2.11,1353,2.1055,1699478100000,17,,2023-11-08 13:15:00-08:00
2.06,2.09,2.06,2.09,2557,2.0827,1699479000000,37,,2023-11-08 13:30:00-08:00
2.0408,2.0408,2.0408,2.0408,444,2.043,1699479300000,13,,2023-11-08 13:35:00-08:00
2.04,2.04,2.0,2.04,4141,2.0196,1699479600000,53,,2023-11-08 13:40:00-08:00
2.01,2.04,2.0,2.0,2064,2.0167,1699480200000,26,,2023-11-08 13:50:00-08:00
2.0,2.0,2.0,2.0,173,2.0007,1699480500000,6,,2023-11-08 13:55:00-08:00
2.08,2.08,2.08,2.08,287,2.0637,1699480800000,9,,2023-11-08 14:00:00-08:00
2.08,2.08,2.08,2.08,318,2.0954,1699481100000,10,,2023-11-08 14:05:00-08:00
2.2,2.2,2.15,2.15,1072,2.1584,1699481400000,18,,2023-11-08 14:10:00-08:00
2.11,2.14,2.1,2.14,5222,2.1125,1699482000000,122,,2023-11-08 14:20:00-08:00
2.1,2.15,2.06,2.07,3851,2.0966,1699482300000,71,,2023-11-08 14:25:00-08:00
2.08,2.08,2.08,2.08,476,2.0755,1699483500000,10,,2023-11-08 14:45:00-08:00
2.08,2.08,2.08,2.08,414,2.081,1699483800000,8,,2023-11-08 14:50:00-08:00
2.07,2.07,2.07,2.07,236,2.0725,1699484700000,4,,2023-11-08 15:05:00-08:00
2.14,2.14,2.14,2.14,100,2.14,1699485000000,1,,2023-11-08 15:10:00-08:00
2.07,2.07,2.07,2.07,250,2.0674,1699485600000,2,,2023-11-08 15:20:00-08:00
2.13,2.14,2.13,2.14,362,2.1333,1699486200000,2,,2023-11-08 15:30:00-08:00
2.08,2.08,2.08,2.08,138,2.08,1699487700000,1,,2023-11-08 15:55:00-08:00
2.07,2.07,2.07,2.07,280,2.0573,1699551000000,7,,2023-11-09 09:30:00-08:00
2.05,2.08,2.0,2.03,12269,2.0237,1699551300000,92,,2023-11-09 09:35:00-08:00
2.025,2.025,2.0,2.0,5409,2.0105,1699551600000,28,,2023-11-09 09:40:00-08:00
2.0001,2.02,2.0001,2.01,7411,2.012,1699551900000,27,,2023-11-09 09:45:00-08:00
2.01,2.1,2.01,2.1,2815,2.0723,1699552200000,23,,2023-11-09 09:50:00-08:00
2.0843,2.1,2.0296,2.1,5607,2.0828,1699552500000,15,,2023-11-09 09:55:00-08:00
2.1,2.1,2.0795,2.1,1330,2.0917,1699552800000,13,,2023-11-09 10:00:00-08:00
2.0787,2.0787,2.0787,2.0787,2041,2.0785,1699553100000,4,,2023-11-09 10:05:00-08:00
2.0838,2.0838,2.08,2.08,1261,2.0822,1699553400000,4,,2023-11-09 10:10:00-08:00
2.1,2.1,2.08,2.08,650,2.0953,1699553700000,3,,2023-11-09 10:15:00-08:00
2.0628,2.1,2.06,2.1,3249,2.084,1699554000000,27,,2023-11-09 10:20:00-08:00
2.0602,2.1,2.0601,2.08,968,2.0732,1699554300000,15,,2023-11-09 10:25:00-08:00
2.09,2.09,2.0608,2.0608,539,2.0823,1699554600000,2,,2023-11-09 10:30:00-08:00
2.1,2.1,2.1,2.1,170,2.1,1699554900000,1,,2023-11-09 10:35:00-08:00
2.12,2.12,2.12,2.12,313,2.12,1699555500000,5,,2023-11-09 10:45:00-08:00
2.12,2.186,2.12,2.1724,1733,2.1336,1699555800000,21,,2023-11-09 10:50:00-08:00
2.1788,2.1788,2.1301,2.1301,302,2.1593,1699556100000,7,,2023-11-09 10:55:00-08:00
2.1201,2.13,2.1201,2.13,714,2.1264,1699556700000,7,,2023-11-09 11:05:00-08:00
2.16,2.19,2.16,2.1899,2211,2.1861,1699557000000,6,,2023-11-09 11:10:00-08:00
2.1201,2.15,2.1201,2.15,1623,2.1478,1699557300000,3,,2023-11-09 11:15:00-08:00
2.16,2.16,2.15,2.15,516,2.1523,1699557600000,3,,2023-11-09 11:20:00-08:00
2.15,2.18,2.15,2.18,2740,2.1646,1699557900000,21,,2023-11-09 11:25:00-08:00
2.1799,2.1799,2.174,2.174,300,2.1779,1699558200000,3,,2023-11-09 11:30:00-08:00
2.1,2.1,2.07,2.1,1079,2.0855,1699558500000,10,,2023-11-09 11:35:00-08:00
2.071,2.18,2.06,2.18,3978,2.0874,1699558800000,29,,2023-11-09 11:40:00-08:00
2.13,2.13,2.13,2.13,301,2.13,1699559100000,3,,2023-11-09 11:45:00-08:00
2.11,2.11,2.11,2.11,100,2.11,1699559400000,1,,2023-11-09 11:50:00-08:00
2.11,2.11,2.11,2.11,200,2.11,1699559700000,3,,2023-11-09 11:55:00-08:00
2.11,2.15,2.11,2.15,582,2.1164,1699560000000,11,,2023-11-09 12:00:00-08:00
2.15,2.15,2.15,2.15,690,2.15,1699560300000,2,,2023-11-09 12:05:00-08:00
2.16,2.22,2.14,2.14,22537,2.1759,1699560600000,131,,2023-11-09 12:10:00-08:00
2.14,2.17,2.12,2.13,6108,2.1291,1699560900000,63,,2023-11-09 12:15:00-08:00
2.14,2.14,2.12,2.12,734,2.1329,1699561200000,6,,2023-11-09 12:20:00-08:00
2.16,2.165,2.16,2.165,608,2.1634,1699561500000,8,,2023-11-09 12:25:00-08:00
2.17,2.17,2.12,2.12,3878,2.1479,1699561800000,36,,2023-11-09 12:30:00-08:00
2.16,2.16,2.16,2.16,900,2.16,1699562100000,4,,2023-11-09 12:35:00-08:00
2.14,2.14,2.14,2.14,1289,2.1398,1699562400000,6,,2023-11-09 12:40:00-08:00
2.12,2.14,2.12,2.14,1943,2.1251,1699562700000,27,,2023-11-09 12:45:00-08:00
2.1285,2.14,2.1285,2.14,1728,2.1319,1699563000000,11,,2023-11-09 12:50:00-08:00
2.14,2.19,2.14,2.18,4255,2.1612,1699563300000,49,,2023-11-09 12:55:00-08:00
2.22,2.31,2.2,2.2992,10117,2.2749,1699563600000,51,,2023-11-09 13:00:00-08:00
2.14,2.14,2.14,2.14,341,2.1509,1699563900000,6,,2023-11-09 13:05:00-08:00
2.14,2.14,2.12,2.12,1402,2.139,1699564500000,12,,2023-11-09 13:15:00-08:00
2.12,2.12,2.12,2.12,757,2.1202,1699564800000,13,,2023-11-09 13:20:00-08:00
2.12,2.12,2.12,2.12,136,2.12,1699565100000,1,,2023-11-09 13:25:00-08:00
2.07,2.08,2.03,2.05,13475,2.0497,1699565400000,68,,2023-11-09 13:30:00-08:00
2.05,2.05,2.05,2.05,408,2.0512,1699565700000,4,,2023-11-09 13:35:00-08:00
2.13,2.14,2.05,2.05,911,2.0931,1699566000000,32,,2023-11-09 13:40:00-08:00
2.1,2.11,2.1,2.11,455,2.1014,1699566600000,5,,2023-11-09 13:50:00-08:00
