open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
25.25,25.25,25.25,25.25,400,25.25,1696266000000,2,,2023-10-02 10:00:00-07:00
25.319,25.319,25.319,25.319,180,25.319,1696268100000,1,,2023-10-02 10:35:00-07:00
24.86,24.86,24.86,24.86,260,24.86,1696272600000,2,,2023-10-02 11:50:00-07:00
24.7296,24.7296,24.7296,24.7296,104,24.7296,1696357800000,2,,2023-10-03 11:30:00-07:00
24.68,24.68,24.68,24.68,1025,24.6796,1696359300000,2,,2023-10-03 11:55:00-07:00
24.65,24.65,24.65,24.65,400,24.65,1696359600000,3,,2023-10-03 12:00:00-07:00
24.451,24.4612,24.451,24.4612,202,24.4561,1696437600000,2,,2023-10-04 09:40:00-07:00
24.46,24.46,24.46,24.46,165,24.46,1696445100000,2,,2023-10-04 11:45:00-07:00
24.6,24.62,24.6,24.62,1500,24.608,1696446000000,10,,2023-10-04 12:00:00-07:00
24.7,24.7,24.7,24.7,100,24.7,1696446300000,1,,2023-10-04 12:05:00-07:00
24.7,24.71,24.7,24.71,400,24.7075,1696446600000,2,,2023-10-04 12:10:00-07:00
24.47,24.47,24.47,24.47,1500,24.47,1696448400000,3,,2023-10-04 12:40:00-07:00
24.0785,24.0785,24.0785,24.0785,100,24.0785,1696525200000,1,,2023-10-05 10:00:00-07:00
23.5,23.5,23.4756,23.4756,260,23.4878,1696869000000,3,,2023-10-09 09:30:00-07:00
23.4799,23.4799,23.4799,23.4799,140,23.4799,1696869300000,1,,2023-10-09 09:35:00-07:00
23.409,23.409,23.409,23.409,250,23.409,1696957200000,1,,2023-10-10 10:00:00-07:00
23.33,23.33,23.33,23.33,278,23.33,1696957500000,3,,2023-10-10 10:05:00-07:00
23.335,23.335,23.335,23.335,550,23.335,1696967700000,1,,2023-10-10 12:55:00-07:00
23.1454,23.1454,23.1454,23.1454,150,23.1454,1697050200000,1,,2023-10-11 11:50:00-07:00
22.715,22.715,22.715,22.715,122,22.715,1697130300000,1,,2023-10-12 10:05:00-07:00
22.765,22.77,22.765,22.77,425,22.7688,1697131200000,5,,2023-10-12 10:20:00-07:00
22.825,22.825,22.825,22.825,223,22.825,1697135400000,1,,2023-10-12 11:30:00-07:00
22.791,22.811,22.791,22.811,553,22.7946,1697139300000,2,,2023-10-12 12:35:00-07:00
23.56,23.56,23.56,23.56,100,23.56,1697475000000,1,,2023-10-16 09:50:00-07:00
23.58,23.58,23.58,23.58,100,23.58,1697476800000,1,,2023-10-16 10:20:00-07:00
23.66,23.72,23.66,23.72,900,23.6867,1697482200000,2,,2023-10-16 11:50:00-07:00
23.79,23.79,23.79,23.79,100,23.79,1697482800000,1,,2023-10-16 12:00:00-07:00
23.91,23.91,23.91,23.91,100,23.91,1697483400000,1,,2023-10-16 12:10:00-07:00
23.43,23.44,23.43,23.44,400,23.4375,1697566500000,4,,2023-10-17 11:15:00-07:00
23.44,23.44,23.44,23.44,500,23.44,1697566800000,1,,2023-10-17 11:20:00-07:00
23.4,23.41,23.4,23.41,4300,23.4049,1697573100000,15,,2023-10-17 13:05:00-07:00
23.45,23.46,23.45,23.46,3900,23.4526,1697573400000,3,,2023-10-17 13:10:00-07:00
23.44,23.44,23.44,23.44,2500,23.44,1697574000000,1,,2023-10-17 13:20:00-07:00
23.37,23.38,23.37,23.38,1600,23.3794,1697658900000,6,,2023-10-18 12:55:00-07:00
24.045,24.045,24.045,24.045,100,24.045,1697827500000,1,,2023-10-20 11:45:00-07:00
25.23,25.23,25.23,25.23,800,25.23,1698081900000,2,,2023-10-23 10:25:00-07:00
25.2799,25.2799,25.2799,25.2799,200,25.2799,1698083100000,1,,2023-10-23 10:45:00-07:00
