open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.55,10.55,10.54,10.55,1130,10.5482,1672767000000,4,,2023-01-03 09:30:00-08:00
10.55,10.55,10.54,10.54,300,10.5467,1672767300000,3,,2023-01-03 09:35:00-08:00
10.55,10.55,10.55,10.55,1257,10.55,1672767600000,7,,2023-01-03 09:40:00-08:00
10.5409,10.55,10.5409,10.55,925,10.5439,1672767900000,4,,2023-01-03 09:45:00-08:00
10.55,10.55,10.55,10.55,100,10.55,1672768200000,1,,2023-01-03 09:50:00-08:00
10.55,10.56,10.54,10.55,600,10.55,1672768500000,6,,2023-01-03 09:55:00-08:00
10.55,10.55,10.55,10.55,200,10.55,1672768800000,2,,2023-01-03 10:00:00-08:00
10.55,10.55,10.55,10.55,400,10.55,1672769400000,4,,2023-01-03 10:10:00-08:00
10.55,10.55,10.55,10.55,200,10.55,1672769700000,2,,2023-01-03 10:15:00-08:00
10.55,10.55,10.55,10.55,300,10.55,1672770000000,3,,2023-01-03 10:20:00-08:00
10.55,10.55,10.54,10.55,500,10.548,1672770300000,5,,2023-01-03 10:25:00-08:00
10.55,10.55,10.55,10.55,200,10.55,1672770600000,2,,2023-01-03 10:30:00-08:00
10.55,10.56,10.55,10.56,1301,10.5585,1672770900000,14,,2023-01-03 10:35:00-08:00
10.56,10.57,10.56,10.57,1552,10.5668,1672771200000,14,,2023-01-03 10:40:00-08:00
10.57,10.57,10.57,10.57,100,10.57,1672771500000,1,,2023-01-03 10:45:00-08:00
10.567,10.567,10.567,10.567,256,10.567,1672771800000,1,,2023-01-03 10:50:00-08:00
10.56,10.57,10.56,10.57,400,10.5675,1672772100000,4,,2023-01-03 10:55:00-08:00
10.56,10.58,10.56,10.57,700,10.5714,1672772400000,7,,2023-01-03 11:00:00-08:00
10.56,10.57,10.56,10.57,900,10.5658,1672772700000,10,,2023-01-03 11:05:00-08:00
10.57,10.57,10.56,10.57,880,10.5677,1672773000000,9,,2023-01-03 11:10:00-08:00
10.57,10.58,10.56,10.58,3800,10.5718,1672773300000,36,,2023-01-03 11:15:00-08:00
10.58,10.58,10.58,10.58,300,10.58,1672773600000,3,,2023-01-03 11:20:00-08:00
10.58,10.58,10.57,10.58,600,10.5783,1672774200000,6,,2023-01-03 11:30:00-08:00
10.58,10.58,10.58,10.58,300,10.58,1672774500000,3,,2023-01-03 11:35:00-08:00
10.58,10.6,10.58,10.6,4597,10.5836,1672774800000,35,,2023-01-03 11:40:00-08:00
10.595,10.61,10.595,10.605,1200,10.6033,1672775100000,9,,2023-01-03 11:45:00-08:00
10.61,10.64,10.6,10.6,7167,10.6175,1672775400000,46,,2023-01-03 11:50:00-08:00
10.605,10.61,10.605,10.61,1189,10.6096,1672775700000,11,,2023-01-03 11:55:00-08:00
10.61,10.61,10.605,10.605,2897,10.6059,1672776000000,7,,2023-01-03 12:00:00-08:00
10.61,10.61,10.61,10.61,700,10.61,1672776300000,7,,2023-01-03 12:05:00-08:00
10.61,10.64,10.61,10.64,1139,10.6232,1672776600000,13,,2023-01-03 12:10:00-08:00
10.63,10.64,10.63,10.635,1377,10.6374,1672776900000,18,,2023-01-03 12:15:00-08:00
10.62,10.62,10.61,10.61,602,10.6117,1672777500000,6,,2023-01-03 12:25:00-08:00
10.61,10.62,10.6,10.61,1878,10.6104,1672777800000,15,,2023-01-03 12:30:00-08:00
10.61,10.61,10.6,10.6,800,10.605,1672778100000,9,,2023-01-03 12:35:00-08:00
10.59,10.59,10.58,10.59,400,10.5875,1672778400000,4,,2023-01-03 12:40:00-08:00
10.5969,10.5969,10.58,10.59,2270,10.5885,1672778700000,17,,2023-01-03 12:45:00-08:00
10.585,10.585,10.58,10.58,1376,10.581,1672779000000,19,,2023-01-03 12:50:00-08:00
10.58,10.59,10.57,10.58,5186,10.5808,1672779300000,59,,2023-01-03 12:55:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672853400000,2,,2023-01-04 09:30:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672853700000,2,,2023-01-04 09:35:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672854000000,2,,2023-01-04 09:40:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672854300000,2,,2023-01-04 09:45:00-08:00
10.66,10.67,10.66,10.67,1436,10.6672,1672854600000,13,,2023-01-04 09:50:00-08:00
10.66,10.66,10.66,10.66,100,10.66,1672855500000,1,,2023-01-04 10:05:00-08:00
10.66,10.67,10.66,10.66,400,10.6625,1672855800000,4,,2023-01-04 10:10:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672856100000,2,,2023-01-04 10:15:00-08:00
10.66,10.66,10.66,10.66,200,10.665,1672856400000,3,,2023-01-04 10:20:00-08:00
10.67,10.67,10.67,10.67,200,10.67,1672856700000,2,,2023-01-04 10:25:00-08:00
10.67,10.67,10.66,10.66,200,10.665,1672857000000,2,,2023-01-04 10:30:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672857300000,2,,2023-01-04 10:35:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672857600000,2,,2023-01-04 10:40:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672857900000,2,,2023-01-04 10:45:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672858200000,2,,2023-01-04 10:50:00-08:00
10.66,10.66,10.66,10.66,200,10.66,1672858500000,2,,2023-01-04 10:55:00-08:00
10.66,10.66,10.655,10.66,1157,10.6596,1672858800000,8,,2023-01-04 11:00:00-08:00
10.66,10.6627,10.66,10.6627,343,10.6611,1672859100000,5,,2023-01-04 11:05:00-08:00
10.66,10.67,10.66,10.67,1043,10.6681,1672859400000,13,,2023-01-04 11:10:00-08:00
