open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
15.52,15.55,15.52,15.55,682,15.5433,1672767000000,13,,2023-01-03 09:30:00-08:00
15.56,15.571,15.55,15.571,1542,15.5624,1672767300000,15,,2023-01-03 09:35:00-08:00
15.5767,15.58,15.565,15.565,985,15.5749,1672767600000,8,,2023-01-03 09:40:00-08:00
15.55,15.55,15.53,15.53,754,15.5437,1672767900000,24,,2023-01-03 09:45:00-08:00
15.525,15.525,15.525,15.525,104,15.525,1672768200000,1,,2023-01-03 09:50:00-08:00
15.55,15.55,15.5451,15.5451,400,15.5476,1672768800000,3,,2023-01-03 10:00:00-08:00
15.54,15.54,15.54,15.54,100,15.54,1672769700000,1,,2023-01-03 10:15:00-08:00
15.5284,15.5284,15.5284,15.5284,160,15.5284,1672770000000,3,,2023-01-03 10:20:00-08:00
15.5301,15.531,15.5301,15.531,975,15.5344,1672770300000,8,,2023-01-03 10:25:00-08:00
15.55,15.55,15.52,15.52,681,15.5382,1672770900000,13,,2023-01-03 10:35:00-08:00
15.5299,15.53,15.5299,15.53,1367,15.5297,1672771200000,4,,2023-01-03 10:40:00-08:00
15.52,15.52,15.52,15.52,100,15.52,1672771500000,1,,2023-01-03 10:45:00-08:00
15.535,15.535,15.535,15.535,100,15.535,1672771800000,1,,2023-01-03 10:50:00-08:00
15.54,15.555,15.52,15.52,1013,15.5418,1672772400000,17,,2023-01-03 11:00:00-08:00
15.52,15.52,15.52,15.52,105,15.5205,1672772700000,2,,2023-01-03 11:05:00-08:00
15.51,15.51,15.46,15.48,1959,15.4952,1672773000000,56,,2023-01-03 11:10:00-08:00
15.4801,15.51,15.4801,15.51,351,15.4887,1672773900000,3,,2023-01-03 11:25:00-08:00
15.48,15.48,15.45,15.4515,1703,15.4636,1672774200000,37,,2023-01-03 11:30:00-08:00
15.44,15.48,15.44,15.48,716,15.4602,1672774500000,11,,2023-01-03 11:35:00-08:00
15.55,15.56,15.55,15.56,1058,15.5547,1672775100000,10,,2023-01-03 11:45:00-08:00
15.58,15.585,15.54,15.575,3173,15.5653,1672775400000,44,,2023-01-03 11:50:00-08:00
15.575,15.575,15.575,15.575,200,15.575,1672775700000,2,,2023-01-03 11:55:00-08:00
15.575,15.575,15.57,15.57,1673,15.5749,1672776000000,13,,2023-01-03 12:00:00-08:00
15.57,15.57,15.57,15.57,100,15.57,1672776300000,1,,2023-01-03 12:05:00-08:00
15.57,15.57,15.57,15.57,291,15.5701,1672776600000,4,,2023-01-03 12:10:00-08:00
15.575,15.595,15.575,15.58,1665,15.587,1672776900000,32,,2023-01-03 12:15:00-08:00
15.585,15.585,15.58,15.58,310,15.5816,1672777200000,6,,2023-01-03 12:20:00-08:00
15.57,15.57,15.56,15.565,430,15.5646,1672777500000,13,,2023-01-03 12:25:00-08:00
15.56,15.57,15.56,15.5632,874,15.5665,1672777800000,16,,2023-01-03 12:30:00-08:00
15.57,15.57,15.565,15.565,537,15.5672,1672778100000,11,,2023-01-03 12:35:00-08:00
15.55,15.57,15.545,15.565,1226,15.5529,1672778400000,27,,2023-01-03 12:40:00-08:00
15.565,15.565,15.549,15.55,1023,15.5527,1672778700000,27,,2023-01-03 12:45:00-08:00
15.54,15.57,15.54,15.57,2358,15.5603,1672779000000,34,,2023-01-03 12:50:00-08:00
15.56,15.58,15.52,15.58,7677,15.5495,1672779300000,140,,2023-01-03 12:55:00-08:00
15.45,15.45,15.45,15.45,185,15.4501,1672785600000,3,,2023-01-03 14:40:00-08:00
15.48,15.48,15.48,15.48,100,15.48,1672785900000,1,,2023-01-03 14:45:00-08:00
15.6,15.6,15.6,15.6,100,15.6,1672786800000,1,,2023-01-03 15:00:00-08:00
15.73,15.73,15.73,15.73,170,15.73,1672853400000,3,,2023-01-04 09:30:00-08:00
15.73,15.73,15.73,15.73,163,15.73,1672853700000,2,,2023-01-04 09:35:00-08:00
15.74,15.7401,15.7,15.705,2923,15.7104,1672854300000,26,,2023-01-04 09:45:00-08:00
15.67,15.675,15.65,15.65,1080,15.6678,1672854900000,23,,2023-01-04 09:55:00-08:00
15.65,15.65,15.65,15.65,200,15.65,1672855200000,2,,2023-01-04 10:00:00-08:00
15.62,15.64,15.62,15.64,456,15.6257,1672855500000,9,,2023-01-04 10:05:00-08:00
15.63,15.63,15.63,15.63,300,15.63,1672855800000,3,,2023-01-04 10:10:00-08:00
15.63,15.63,15.62,15.63,523,15.6262,1672856100000,6,,2023-01-04 10:15:00-08:00
15.63,15.64,15.62,15.63,2638,15.6337,1672856400000,37,,2023-01-04 10:20:00-08:00
15.63,15.63,15.63,15.63,726,15.63,1672856700000,8,,2023-01-04 10:25:00-08:00
15.605,15.605,15.605,15.605,770,15.6052,1672857000000,9,,2023-01-04 10:30:00-08:00
15.6,15.615,15.6,15.615,941,15.6082,1672857300000,11,,2023-01-04 10:35:00-08:00
15.615,15.615,15.6,15.6,216,15.6079,1672857600000,6,,2023-01-04 10:40:00-08:00
15.6175,15.6175,15.6175,15.6175,102,15.6175,1672858200000,2,,2023-01-04 10:50:00-08:00
15.61,15.61,15.53,15.57,3624,15.5611,1672858500000,42,,2023-01-04 10:55:00-08:00
15.57,15.6,15.53,15.57,2660,15.5661,1672858800000,56,,2023-01-04 11:00:00-08:00
15.59,15.605,15.59,15.6,529,15.5998,1672859100000,13,,2023-01-04 11:05:00-08:00
15.585,15.6,15.585,15.6,457,15.5954,1672859400000,12,,2023-01-04 11:10:00-08:00
15.61,15.62,15.61,15.61,425,15.6153,1672859700000,6,,2023-01-04 11:15:00-08:00
